SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC14a,SPK_SPKC15a
257.4436,214.0319,272.1292,,,239.649975
258.265825,214.101225,272.138075,,,239.708725
258.686975,214.121725,272.492475,,,239.7219
258.7145,214.14725,272.554225,,,239.781875
258.751925,214.175225,272.639375,,,239.796975
258.805425,214.21035,272.99725,,,239.879275
258.9249,214.23585,273.006725,,,240.190825
259.284875,214.2705,273.0472,,,240.1935
260.017925,214.30755,273.07645,,,240.19555
260.043525,214.3343,273.413825,,,240.286775
260.0593,214.363475,273.427525,,,240.301575
260.082675,214.39735,273.44255,,,240.471875
260.102975,214.4252,273.451,,,240.80915
260.22835,214.453775,273.5956,,,240.811925
260.256525,214.487,273.6744,,,240.8145
260.5101,214.521625,273.708625,,,240.8167
260.54535,214.627025,273.774325,,,240.84495
260.597875,214.653275,273.79235,,,240.921
260.6532,214.691575,273.8928,,,240.950075
260.69625,214.73515,273.93385,,,241.171225
260.740625,214.76115,274.232825,,,241.376175
261.150375,214.7878,274.240875,,,241.477875
261.18705,214.831725,274.252275,,,241.48045
261.36025,214.886275,274.278525,,,241.483175
261.39255,214.922475,274.447125,,,241.5302
261.462925,214.96525,274.769525,,,241.5419
261.777075,215.028475,274.790475,,,241.56975
262.65475,215.094775,274.90095,,,241.5949
262.756575,215.12475,275.094,,,241.62785
262.78565,215.161925,275.147675,,,241.751025
262.838125,215.194475,275.20915,,,241.815175
263.1646,215.22865,275.682825,,,241.87685
263.76275,215.251875,275.965075,,,241.97085
263.80385,215.277875,275.97905,,,242.117525
263.873475,215.370125,275.99315,,,242.119825
263.884725,215.402975,276.29885,,,242.122875
263.9482,215.4273,276.323025,,,242.18815
263.985325,215.459125,276.3536,,,242.211575
264.00445,215.489725,276.64195,,,242.2153
264.032275,215.51595,276.65485,,,242.26465
264.072325,215.550525,276.990725,,,242.5186
264.326,215.585575,277.080775,,,242.576825
264.49075,215.6211,277.10045,,,242.58765
264.5366,215.64825,277.371975,,,242.615825
264.567975,215.7168,277.78115,,,242.64635
264.64275,215.74435,278.2072,,,242.77
264.69075,215.792625,278.280375,,,242.914375
264.772875,215.829325,278.718025,,,242.9167
264.82015,215.869375,278.78775,,,242.919425
265.180375,215.9037,279.29,,,242.9217
265.24945,215.93395,279.39405,,,242.981425
265.269125,215.963425,279.753675,,,243.002525
265.347575,215.99925,280.280075,,,243.1567
265.629725,216.032875,280.689775,,,243.2213
265.68755,216.0651,281.281475,,,243.225125
265.715575,216.09345,281.301775,,,243.283
265.76805,216.129375,281.822625,,,243.320325
265.837725,216.204275,282.338,,,243.332675
266.054225,216.277275,282.730475,,,243.364225
266.289625,216.36005,282.940825,,,243.407425
266.64935,216.405775,283.312975,,,243.6382
266.730075,216.4232,283.34545,,,243.6651
267.167475,216.46125,283.367375,,,243.6834
267.2301,216.494225,283.40825,,,243.68605
267.31755,216.51335,283.691925,,,243.74755
267.46055,216.54825,283.713,,,243.782325
267.599425,216.584175,283.781375,,,243.81015
268.183725,216.63565,283.86385,,,243.869525
268.2377,216.658,284.124625,,,243.965425
268.38625,216.69445,284.148325,,,243.988625
268.610775,216.737975,284.174975,,,244.06415
268.643875,216.770375,284.658625,,,244.13505
268.676475,216.8014,284.853025,,,244.154425
268.768075,216.841475,285.10745,,,244.210825
268.7897,216.869675,285.18375,,,244.446675
268.855425,216.91565,285.2368,,,244.454475
268.927725,216.9501,285.6024,,,244.469425
268.963475,217.0068,285.66295,,,244.52145
269.022425,217.046775,285.707725,,,244.5506
269.0497,217.0804,286.409675,,,244.604675
269.084675,217.104,286.60185,,,244.6569
269.138275,217.139575,286.6263,,,244.677325
269.38375,217.164625,286.723225,,,244.7542
269.41105,217.1885,287.030175,,,244.81885
