SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a
742.8831,913.59395,744.4817,734.068425,717.267075
743.088025,914.5203,744.51645,734.1974,717.33705
743.17195,915.683775,744.574,734.426,717.386
743.259925,916.819825,745.18845,734.706375,717.436125
743.407075,917.22475,745.249775,734.7381,717.472025
743.533275,918.127325,745.381975,734.831775,717.5132
743.6375,919.111125,745.554425,735.000275,717.55215
743.796475,,745.742775,735.398925,717.578475
744.0934,,745.8504,735.443275,717.606775
744.4055,,745.88335,735.512625,717.646775
744.626075,,746.0667,735.6173,717.695975
744.7837,,746.242675,735.7664,717.74665
744.9822,,746.715425,736.108375,717.765575
745.282675,,746.824925,736.2211,717.825325
745.438725,,746.917925,736.451225,717.8539
745.617325,,747.10915,736.503775,717.893825
745.68945,,747.2782,736.519025,717.904975
745.770825,,747.527975,736.86455,717.964075
745.980725,,747.7327,736.9774,717.998275
746.2751,,748.1232,737.096125,718.0519
746.412,,748.48635,737.265575,718.1029
746.573175,,749.3162,737.33415,718.1344
746.669675,,749.5309,737.419675,718.17305
746.827125,,749.666975,737.57905,718.2068
746.944225,,749.771475,737.711,718.257225
747.034975,,749.844475,737.836525,718.310575
747.189525,,749.969725,738.00415,718.3817
747.2838,,750.0184,738.219675,718.4754
747.353775,,750.40165,738.499325,718.5296
747.4593,,750.637775,738.710725,718.636675
747.705025,,750.7026,738.94395,718.744625
747.8069,,750.805475,739.058875,718.788725
747.938925,,750.85905,739.27865,718.853825
748.096475,,750.951475,739.36225,718.900725
748.1543,,751.78445,739.46745,718.950025
748.321575,,751.834975,739.6607,718.999775
748.4336,,751.8629,740.05475,719.0228
748.627125,,752.059,740.22755,719.082675
749.0063,,752.2481,740.669725,719.11435
749.094575,,752.496425,740.721475,719.143925
749.451175,,752.6503,740.78065,719.188525
749.5809,,752.849825,741.043725,719.2179
749.66655,,752.998925,741.59165,719.26475
749.851525,,753.168575,741.976125,719.299075
749.9201,,753.372175,742.0352,719.333225
750.004775,,753.851425,742.067,719.3633
750.12635,,753.9634,742.1627,719.3988
750.1927,,754.156925,742.332025,719.456325
750.297125,,754.466675,742.3669,719.48595
750.50705,,754.556175,742.457575,719.527625
750.739275,,754.61405,742.60305,719.5701
750.852225,,754.8668,742.722525,719.6296
750.923925,,754.937,742.814275,719.6589
750.935375,,755.02185,742.8895,719.68795
751.14865,,755.0993,742.959975,719.7214
751.717225,,755.2115,743.089375,719.76335
751.85375,,755.457825,743.2099,719.806925
751.9855,,755.6669,743.34775,719.827575
752.1331,,755.816525,743.426125,719.904925
752.2917,,755.8877,743.51485,719.95685
752.642175,,755.994075,743.8166,720.011925
752.8932,,756.5131,743.94395,720.071225
753.025475,,756.637525,744.058875,720.14385
753.161825,,756.676025,744.4184,720.18055
753.2955,,756.8103,744.6161,720.238
753.592425,,757.08345,744.80535,720.324675
753.683425,,757.3619,745.06855,720.486375
753.878325,,757.712675,745.157625,720.652025
753.9668,,758.027275,745.3981,720.86575
753.9855,,758.114375,745.52575,721.00255
754.084725,,758.3626,745.8843,721.03105
754.152975,,758.559575,746.004925,721.07945
754.270475,,758.78125,746.171675,721.117525
754.32465,,758.8324,746.3465,721.154525
754.564825,,759.152725,746.527025,721.19155
754.664575,,759.453075,746.5961,721.2482
754.720275,,759.5995,746.659875,721.347725
754.7666,,759.63785,746.713775,721.386725
754.86885,,759.683025,746.774625,721.4229
755.02975,,759.70865,746.852625,721.463725
755.410675,,759.893225,746.9152,721.52445
755.5496,,760.160175,747.001425,721.640725
755.84175,,760.21735,747.05185,721.7248
756.031525,,760.353625,747.17765,721.89295
756.1336,,760.434775,747.31025,721.99205
756.206625,,760.487175,747.42995,722.059175
756.383125,,760.874,747.485975,722.175825
756.494275,,761.11035,747.75075,722.183925
756.6775,,761.435725,748.019925,722.2422
756.9894,,761.53085,748.143375,722.327475
757.10515,,762.0065,748.39345,722.453075
757.302225,,762.0374,748.487525,722.6169
757.3904,,762.305025,748.64775,722.7601
757.503725,,762.6061,748.82605,722.8208
757.62445,,762.692875,749.007275,722.9796
757.762875,,762.70665,749.1092,722.99465
757.9782,,763.23295,749.20305,723.051925
758.082175,,763.322075,749.2426,723.118
758.269075,,763.839425,749.338825,723.19615
758.373925,,764.045525,749.501825,723.249675
758.4554,,764.365725,749.8066,723.333025
758.589625,,764.81145,749.8613,723.36185
758.7409,,764.915225,749.990225,723.378525
758.95285,,764.988825,750.120575,723.420475
759.02265,,765.02485,750.184925,723.4806
759.1646,,765.037425,750.32625,723.5202
759.29595,,765.21505,750.427025,723.562775
759.417825,,765.5907,750.497375,723.601425
759.542575,,765.990975,750.583875,723.63855
759.619275,,766.12615,750.640375,723.67225
759.71365,,766.227875,751.02955,723.7216
759.814325,,766.27755,751.118875,723.760725
760.0531,,766.3111,751.198325,723.793225
760.113575,,766.545175,751.298225,723.838775
760.1714,,766.56345,751.357075,723.8667
760.474075,,766.666525,751.43865,723.875425
760.5678,,766.74185,751.539775,723.912625
760.738925,,766.90005,751.63815,723.950075
760.8213,,767.31355,752.169725,723.978725
760.9394,,767.3815,752.281375,724.033425
761.19855,,767.389275,752.683125,724.05965
761.32355,,767.781,752.7596,724.144325
761.532375,,767.864625,752.8905,724.1754
761.661475,,768.205575,752.990725,724.208525
761.7562,,768.321425,753.1634,724.300825
761.9007,,768.343925,753.438725,724.34005
762.0125,,768.40345,753.564425,724.37885
762.546925,,768.561575,753.65305,724.4297
762.69935,,768.66115,753.7278,724.505
762.77585,,768.819075,753.8154,724.53695
763.008725,,769.175625,753.990175,724.594125
763.033025,,769.268975,754.0699,724.613925
763.352525,,769.349675,754.172075,724.675475
763.443675,,769.607475,754.23005,724.72145
763.616775,,770.2143,754.28515,724.757575
763.9615,,770.272175,754.351125,724.822
764.1002,,770.3293,754.38725,724.880325
764.21445,,770.398325,754.5352,724.959725
764.493925,,770.457775,754.719125,725.010575
764.6785,,770.57285,754.831275,725.0512
764.880675,,770.622025,754.932375,725.13095
764.9885,,770.734675,755.002075,725.211225
765.06325,,770.778875,755.0912,725.25795
765.16405,,770.911975,755.217225,725.33345
765.2318,,770.96345,755.3463,725.425825
765.366625,,771.4683,755.4075,725.4666
765.470575,,771.5937,755.63005,725.51105
765.677475,,771.702725,755.697775,725.60145
765.768275,,771.73205,755.7834,725.6966
765.991575,,771.751625,755.877425,725.80905
766.105825,,772.1351,755.9265,725.948225
766.18705,,772.492125,755.98855,725.993425
766.32655,,772.592325,756.13455,726.0366
766.460475,,772.691625,756.224875,726.0903
766.5833,,772.79585,756.35005,726.165775
766.651225,,772.86035,756.498275,726.20975
766.76215,,773.036725,756.59955,726.254325
766.9419,,773.039675,756.691,726.292175
767.193025,,773.27375,756.73725,726.333125
767.333875,,773.4726,756.8458,726.37925
767.4363,,773.81105,756.920425,726.5199
767.5091,,773.819525,757.077525,726.686775
767.631825,,773.904675,757.252425,726.840075
767.958425,,774.022825,757.3606,726.921075
768.066125,,774.08295,757.428325,726.962575
768.36275,,774.8503,757.497375,727.015775
768.759275,,774.92285,757.595375,727.05795
768.906825,,775.10195,757.6733,727.109125
769.0374,,775.16575,757.7375,727.1607
769.2241,,775.3166,757.824825,727.20965
769.374625,,775.5088,757.874875,727.24045
769.4679,,775.8858,757.941225,727.30245
769.564375,,775.992425,758.0467,727.342575
769.7647,,776.231725,758.143725,727.527025
