SPK_SPKC03a (no response),SPK_SPKC06a (no response),SPK_SPKC12a (no response)
44.391275,39.695475,30.93495
44.43135,39.8028,31.167525
44.5822,39.89555,31.2231
44.789625,39.9707,31.28555
44.8784,40.164525,31.290775
45.01605,40.36415,31.309525
45.02475,40.41275,31.342725
45.206325,40.600275,31.456875
45.330775,40.67825,31.5056
45.591,40.726875,31.64785
45.77405,40.834025,31.7171
45.895475,40.959425,31.773375
45.934725,41.06345,31.78235
45.978175,41.268575,31.811225
46.18095,41.364275,31.901125
46.294,41.402,31.92675
46.3589,41.6624,32.058325
46.502775,41.76505,32.124575
46.5844,41.88315,32.14325
46.605225,41.907775,32.15425
46.6276,41.9906,32.317825
46.729025,42.043875,32.402325
46.838475,42.127925,32.447175
47.114475,42.145175,32.4997
47.21455,42.2422,32.520575
47.252,42.40515,32.663975
47.32335,42.42525,32.747075
47.4107,42.45195,32.759825
47.431275,42.524975,32.99785
47.5752,42.6974,33.034975
47.698775,42.852675,33.075575
47.768875,42.89885,33.121925
48.1172,42.95205,33.1541
48.24685,42.987125,33.2884
48.2893,43.09025,33.4221
48.3637,43.165825,33.465775
48.408075,43.232,33.58615
48.70865,43.30965,33.61305
48.77975,43.3446,33.672775
48.850025,43.526425,33.760675
49.3612,43.78045,33.781775
49.40805,43.903525,33.90055
49.535375,44.01225,33.91995
49.584375,44.06065,33.92925
49.602275,44.102525,33.95945
49.675375,44.219875,34.0633
49.685675,44.25915,34.375275
49.74295,44.33015,34.45195
49.801325,44.3584,34.51885
49.8819,44.3944,34.536125
49.98585,44.444275,34.5876
50.20375,44.694025,34.62785
50.225525,44.7062,34.6475
50.607875,44.831575,34.975475
50.8355,44.998175,34.99865
51.0471,45.052375,35.0573
51.648075,45.109675,35.10095
51.837,45.133575,35.11305
51.8615,45.18735,35.1482
52.1281,45.2583,35.5776
52.191425,45.53195,35.6707
52.352025,45.676225,35.690025
52.353025,45.706175,36.20165
52.44535,45.865375,36.285
52.7777,45.9014,36.369675
52.817675,45.94065,36.397275
52.96025,45.991425,36.454125
52.996175,46.0464,36.590875
53.10455,46.107575,36.63085
53.291525,46.345975,36.696875
53.38885,46.4512,36.9398
53.50345,46.472975,36.9859
53.545525,46.5041,37.14475
53.5738,46.65635,37.197375
53.703525,46.7107,37.27685
53.727975,46.840425,37.3837
53.8929,46.945375,37.4444
53.9096,46.98305,37.489825
54.014675,47.249975,37.5666
54.105425,47.352375,37.594975
54.184925,47.462325,37.629925
54.19615,47.625925,37.699475
54.265725,47.711675,37.8016
54.2873,47.75235,37.839575
54.43725,47.84885,38.114025
54.450075,47.909775,38.1584
54.778775,47.934125,38.207925
54.789225,47.97885,38.335675
54.8773,48.0064,38.396375
54.8908,48.253475,38.522125
55.1039,48.30425,38.54095
55.2805,48.34365,38.602275
55.401625,48.397725,38.6551
55.629825,48.485075,38.859
55.827375,48.502925,38.943275
55.94055,48.530175,39.0162
56.083075,48.602175,39.1028
56.238075,48.73695,39.1553
56.381325,48.8562,39.2498
56.4681,48.8824,39.284875
56.652025,49.005175,39.303575
56.8185,49.1677,39.314325
56.885775,49.40075,39.324675
57.0401,49.552425,39.393775
57.335725,49.604025,39.409825
57.569975,49.6405,39.4868
57.579425,49.6977,39.550375
57.60685,49.755525,39.68585
57.712775,49.925,40.0326
57.82855,50.041175,40.093025
58.151775,50.07195,40.156525
58.331675,50.151475,40.229525
58.67595,50.285325,40.271425
58.7711,50.354475,40.34105
58.852825,50.387775,40.442825
58.937375,50.508275,40.5499
59.0845,50.551,40.57275
59.08555,50.682675,40.60965
59.170075,50.75065,40.6548
59.2914,50.805075,40.714025
59.3464,50.88875,40.742525
59.64865,50.9219,40.838975
59.740325,51.09615,41.0454
60.02975,51.14385,41.107525
60.143025,51.197325,41.132625
60.306025,51.272475,41.27015
60.621725,51.3297,41.3188
60.760075,51.397675,41.4151
60.979875,51.453075,41.527725
60.9928,51.47325,41.565575
61.302275,51.567375,41.610275
61.462925,51.601275,41.687
61.6229,51.74665,41.7165
61.779025,51.777775,41.836125
61.90895,51.887975,41.871225
61.93895,51.998125,41.9279
62.10235,52.02945,41.987575
62.19495,52.2441,42.137325
62.390425,52.309375,42.163
62.524325,52.36875,42.216825
62.651425,52.3966,42.2326
62.682425,52.480025,42.38155
62.822775,52.584375,42.657175
62.861475,52.68505,42.7901
62.921125,52.812025,42.845625
63.045225,52.8306,42.91615
63.099475,52.9758,42.964075
63.181675,53.056325,43.439525
63.387375,53.13,43.5026
63.502125,53.247025,43.543125
63.50565,53.28885,43.594525
63.52085,53.318675,43.628725
63.605775,53.364325,43.651075
63.716275,53.4707,43.6762
63.80765,53.51875,43.706
64.0662,53.555575,43.723925
64.26095,53.753225,43.83575
64.358325,53.779,43.938475
64.401225,53.93085,44.0706
64.496,54.002575,44.15725
64.60435,54.090725,44.1921
64.7857,54.153875,44.248
64.8746,54.426775,44.31435
64.91105,54.5136,44.343775
65.1061,54.61185,44.37665
65.157125,54.747175,44.4201
65.18345,54.8058,44.805175
65.285475,54.835475,44.927375
65.405375,54.957375,44.9889
65.687375,55.014325,45.02175
65.696575,55.05025,45.042075
65.92195,55.185625,45.10495
66.0584,55.308225,45.16255
66.29435,55.34945,45.3225
66.38065,55.425575,45.369925
66.5958,55.6559,45.529225
66.7182,55.6928,45.5972
66.9043,55.6966,45.67465
66.9409,55.84575,45.746875
67.056575,55.874175,45.838725
67.0841,55.89205,45.856125
67.17795,55.976475,45.91135
67.594275,56.045525,45.9773
67.703775,56.070925,46.121675
67.7678,56.162225,46.249975
68.22505,56.348775,46.38625
68.37115,56.48715,46.4446
68.538975,56.6221,46.486
68.66255,56.643125,46.56415
68.77945,56.806225,46.616925
68.8431,56.860075,46.68625
68.856825,56.929275,46.782
68.9479,56.9989,46.900575
69.085775,57.0739,47.04775
69.23,57.110475,47.122025
69.25515,57.152025,47.1535
69.345525,57.172675,47.189125
69.5055,57.198625,47.2665
69.65745,57.235275,47.358825
69.985975,57.2985,47.503725
69.9928,57.345625,47.516825
70.041375,57.36625,47.53245
70.174525,57.7927,47.547425
70.316425,57.807825,47.6711
70.344275,57.871975,48.062375
70.53375,57.988775,48.131475
70.57325,58.053375,48.234625
70.7096,58.14645,48.33105
70.734225,58.267625,48.38495
70.82465,58.423475,48.551625
71.10635,58.5099,48.663375
71.1276,58.579925,48.69725
71.17025,58.6303,48.781775
71.2789,58.7,48.845125
71.4247,58.888575,48.904525
71.741375,58.917125,49.0202
71.95365,58.9918,49.1204
72.14175,59.0877,49.17595
72.185725,59.1298,49.225675
72.33635,59.1934,49.378875
72.36405,59.25905,49.47295
72.6953,59.376625,49.4795
72.7344,59.394825,49.511125
72.847625,59.46995,49.619725
73.050875,59.5018,49.658
73.062975,59.678375,49.734
73.174675,59.867575,49.75625
73.24095,59.935275,49.812
73.414,60.0798,49.89315
73.421675,60.29745,50.07545
73.695025,60.389475,50.27275
73.807,60.446775,50.3036
73.929025,60.481925,50.443125
73.936575,60.554575,50.479825
73.985875,60.586125,50.536975
74.09915,60.62475,50.580025
74.144325,60.651725,50.70905
74.155975,60.728825,51.028325
74.3116,60.806475,51.04595
74.37355,60.834625,51.1295
74.545025,60.911425,51.177
74.56985,61.06655,51.26405
74.5941,61.18245,51.308
74.718025,61.2098,51.468775
74.81185,61.23975,51.5313
74.8657,61.2962,51.6001
75.05535,61.34135,51.632925
75.134,61.4281,51.650925
75.172225,61.46705,51.87
75.2944,61.560425,52.050125
75.37845,61.62895,52.172925
75.513575,61.67855,52.30975
75.623825,61.868475,52.333575
75.754975,61.89245,52.406125
75.842925,62.10345,52.536625
75.88355,62.310075,52.60435
75.997675,62.377675,52.71995
76.005125,62.39395,52.744675
76.040025,62.4544,52.8246
76.064525,62.4801,53.11685
76.2717,62.62705,53.1679
76.40705,62.649575,53.197275
76.468725,62.700875,53.2182
76.68785,62.7441,53.249575
76.747275,62.942375,53.3167
76.868275,62.979675,53.37075
77.035475,63.028625,53.3965
77.045075,63.140775,53.427175
77.161575,63.1687,53.484975
77.322675,63.257275,53.544825
77.542175,63.50395,53.967275
77.549225,63.5371,53.975425
77.73955,63.635225,53.99735
77.757975,63.690625,54.04945
77.900925,63.706275,54.111025
77.9212,63.774675,54.14915
78.03255,63.833025,54.208775
78.044775,63.90385,54.2227
78.286675,63.93845,54.271825
78.375225,63.983,54.33305
78.4833,64.07415,54.376525
78.497375,64.115925,54.657225
78.55345,64.19955,54.717175
78.794875,64.38365,54.776775
78.842425,64.49725,54.87695
78.848025,64.538325,54.904375
78.946625,64.557025,54.942725
79.001875,64.583675,54.9599
79.2566,64.6196,55.1591
79.37535,64.642125,55.3006
79.4103,64.829525,55.3722
79.522825,64.898725,55.405625
79.62785,65.006825,55.56185
79.67875,65.031525,55.66955
79.88315,65.0476,55.691725
79.995875,65.138575,55.7047
80.155625,65.179575,55.757625
80.188575,65.278225,55.8214
80.588925,65.39505,55.837975
80.8136,65.4876,56.1249
80.86165,65.583025,56.19475
81.0698,65.754075,56.3218
81.22795,65.8584,56.3839
81.27765,65.956875,56.412175
81.315025,66.0932,56.456175
81.357,66.21545,56.557825
81.637075,66.2454,56.624275
81.667625,66.347375,56.6906
81.779625,66.367125,57.009125
81.86775,66.52695,57.046675
81.90605,66.5954,57.077975
81.965325,66.642025,57.114075
82.2096,66.700425,57.13565
82.30575,66.81365,57.141025
82.399575,66.84475,57.157675
82.442175,66.9799,57.535425
82.53255,67.1721,57.583125
82.593675,67.204775,57.617275
82.678175,67.24935,57.841925
82.7112,67.275375,57.8863
83.03095,67.41645,57.979
83.052675,67.468125,58.017775
83.1464,67.54465,58.065425
