SPK_SPKC01a (no effect),SPK_SPKC05a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC09a (no effect),SPK_SPKC12a (excited),SPK_SPKC13a (excited)
13.36515,9.920025,3.80985,8.037225,60.2803,5.57495
13.392825,9.967725,3.81555,8.068825,61.626525,5.610425
13.571375,10.022925,3.823275,8.095425,61.741175,5.628325
13.706575,10.050025,3.836475,8.116225,61.83905,5.649325
13.733575,10.1485,3.8437,8.1594,62.4038,5.72495
13.76155,10.151275,3.851175,8.204425,62.559225,5.811
13.8915,10.175725,3.86085,8.271925,62.586325,5.843325
13.922125,10.206175,3.86775,8.293325,62.657525,5.86295
14.212075,10.447225,3.88125,8.3239,62.934775,5.87855
14.3134,10.5012,3.897525,8.3325,63.1396,5.90195
14.576675,10.542175,3.906075,8.358125,63.871525,5.919575
14.626225,10.570225,3.914,8.3685,64.03725,5.9399
14.66025,10.594325,3.921225,8.44715,64.634075,5.969725
15.048475,10.634225,3.9303,8.463275,64.6529,6.035875
15.1035,10.640825,3.93935,8.516225,64.68395,6.054225
15.139725,10.781375,3.94765,8.56645,64.78095,6.07265
15.191075,10.831525,3.957675,8.60325,64.789925,6.10835
15.265725,10.862825,3.974875,8.663875,64.7951,6.139475
15.392075,10.870125,3.985625,8.721825,64.814675,6.199
15.576,10.8807,3.9959,8.7273,64.919375,6.281925
15.597025,10.9152,4.005475,8.740775,65.0265,6.3994
15.631025,10.928275,4.016025,8.817625,65.3124,6.41815
15.7213,10.95145,4.027925,8.82865,65.899625,6.439725
15.769375,10.955875,4.054775,8.847575,66.58425,6.455675
15.78025,11.050725,4.06765,8.873225,67.048825,6.48205
15.8239,11.112925,4.079925,8.890575,67.1216,6.5004
15.88815,11.1742,4.09385,8.91115,67.4904,6.54225
15.9531,11.182575,4.107225,8.932675,67.5326,6.619875
16.0363,11.239075,4.12225,8.965675,67.5881,6.63385
16.08035,11.3442,4.1645,8.9783,67.66845,6.651
16.1354,11.368325,4.1812,9.05265,67.748675,6.772325
16.275525,11.448975,4.1979,9.0647,67.7572,6.7914
16.311775,11.506725,4.213,9.072425,67.802925,6.7993
16.33565,11.52785,4.24415,9.078625,68.434225,6.811175
16.358175,11.5927,4.321675,9.088925,68.919225,6.8237
16.478375,11.66075,4.3392,9.095075,68.995325,6.834475
16.7731,11.6788,4.355175,9.1014,69.554325,6.8502
16.843825,11.70205,4.367625,9.1353,69.79745,6.865925
16.864675,11.821575,4.3863,9.220275,69.83855,6.880875
16.912525,11.863775,4.404325,9.24705,70.2767,6.895925
16.99585,11.929825,4.416075,9.25735,70.347225,6.922725
17.0325,11.965125,4.427375,9.287475,70.60385,6.939075
17.088825,11.9972,4.44845,9.3085,71.07365,6.953575
17.1297,12.013375,4.4629,9.334825,71.143675,6.9691
17.16005,12.0714,4.484425,9.369475,71.55785,6.987225
17.29965,12.11195,4.49715,9.378125,71.71545,7.00485
17.335425,12.138975,4.513725,9.39885,72.15605,7.034425
17.35455,12.154025,4.52865,9.435475,72.182775,7.066025
17.37175,12.191375,4.54075,9.47315,72.350725,7.090675
17.388425,12.257775,4.5538,9.54415,72.370475,7.1108
17.460975,12.2894,4.555475,9.59535,72.786975,7.14745
17.501175,12.32495,4.57095,9.61275,73.136175,7.165175
17.53365,12.354875,4.5871,9.62945,73.2784,7.1916
17.564475,12.392075,4.610525,9.648575,73.448675,7.2163
17.665025,12.40535,4.63915,9.703225,73.4731,7.2504
17.959675,12.471925,4.6503,9.7857,74.10565,7.274525
17.9984,12.555425,4.66965,9.7952,74.22845,7.292825
18.264575,12.614,4.679175,9.8068,74.5543,7.3136
18.346325,12.669975,4.6962,9.82475,74.894575,7.3857
18.41765,12.711575,4.70325,9.845975,75.004875,7.40845
18.712525,12.772375,4.7089,9.92455,75.52465,7.465375
18.730875,12.86745,4.718025,9.991425,75.781275,7.499075
18.8376,13.130025,4.72585,10.036975,75.825825,7.5232
18.881425,13.2794,4.7329,10.089025,75.8314,7.55605
18.92045,13.313075,4.74185,10.104175,75.9363,7.659975
19.2498,13.341,4.75275,10.210275,76.077975,7.696175
19.58925,13.387575,4.767275,10.2359,76.1267,7.83035
19.6272,13.415,4.774025,10.2572,76.213775,7.879825
19.72495,13.71605,4.785875,10.2758,76.24135,7.896925
19.768625,13.78475,4.793825,10.34075,77.04605,7.97915
19.78125,13.8078,4.80315,10.37835,77.197125,8.000925
20.01735,13.829475,4.812,10.4325,77.435925,8.0219
20.128425,13.850475,4.835925,10.577325,77.456675,8.04235
20.64605,13.929575,4.849125,10.5806,77.7037,8.08925
20.79005,13.9718,4.862475,10.5858,78.203775,8.117625
20.8522,14.01515,4.873975,10.6021,78.22665,8.133325
20.869,14.08225,4.8861,10.76295,78.252675,8.1639
21.077,14.10535,4.8992,10.7971,78.31095,8.185775
21.10445,14.152225,4.9079,10.812875,78.8174,8.23545
21.282375,14.2517,4.91845,10.835925,79.048225,8.261125
21.400075,14.32295,4.926825,10.850725,79.098525,8.293675
21.4725,14.36455,4.9344,10.862525,79.17845,8.321625
21.66145,14.52925,4.944275,10.873925,79.25105,8.33475
21.89905,14.652325,4.9683,10.886975,79.635125,8.34845
22.152375,14.69755,4.979425,10.8891,79.668875,8.37055
22.1632,14.7908,4.99125,10.8974,79.7538,8.421225
22.183925,14.8383,5.012125,10.915925,79.907825,8.457125
22.220125,14.888525,5.02945,10.982275,80.06965,8.5884
22.5968,14.9266,5.05175,11.0588,80.5728,8.614625
22.613825,14.995,5.066875,11.064625,80.818375,8.6809
22.652425,15.0947,5.080275,11.088275,80.9233,8.7505
22.817075,15.144525,5.093825,11.10295,80.985675,8.805425
22.851125,15.169325,5.10805,11.108425,81.3119,8.832075
22.9113,15.237,5.1384,11.137625,81.448575,8.8524
22.970175,15.26425,5.155675,11.14025,81.745325,8.87485
22.984675,15.29495,5.1831,11.179725,82.204675,8.9025
22.998875,15.3685,5.19905,11.1919,82.3818,8.924875
23.02085,15.3882,5.216525,11.215975,82.4593,8.9407
23.028475,15.41705,5.262475,11.254625,82.67785,8.9677
23.0485,15.447425,5.282975,11.266425,83.0264,8.9846
23.060425,15.530825,5.335175,11.289025,83.121425,9.0033
23.072,15.5793,5.3555,11.3098,83.611175,9.021325
23.11525,15.59915,5.3829,11.3174,83.6255,9.0432
23.131875,15.618525,5.405625,11.351125,83.808325,9.057225
23.256225,15.6545,5.4409,11.3838,83.91655,9.07145
23.329025,15.719775,5.4571,11.4017,84.2044,9.086275
23.35545,15.766425,5.47695,11.428375,84.391575,9.102025
23.389075,15.811725,5.50895,11.5017,85.38945,9.1222
23.40795,15.858275,5.529775,11.520475,85.520775,9.1544
23.436625,15.887975,5.547875,11.5523,86.038075,9.171425
23.461625,16.008975,5.564575,11.581825,86.132125,9.188675
23.5021,16.07415,5.601725,11.59635,86.270925,9.325775
23.5377,16.13135,5.624,11.656925,86.443325,9.411275
23.541225,16.157925,5.668125,11.701025,86.763675,9.4281
23.586575,16.21015,5.719875,11.7191,87.9494,9.440875
23.6265,16.31165,5.739275,11.7515,88.130875,9.46145
23.650975,16.332275,5.760875,11.880025,88.37735,9.4784
23.661525,16.340125,5.784675,11.8916,89.42175,9.492975
23.682025,16.370075,5.8061,11.957525,89.982875,9.52485
23.68895,16.406975,5.825475,11.99195,90.766875,9.572475
23.6953,16.56715,5.838325,12.00125,91.665975,9.617275
23.731975,16.598475,5.855775,12.052875,92.00555,9.626825
23.757775,16.689675,5.8704,12.06635,92.31655,9.637825
23.790475,16.744625,5.888775,12.117325,92.327675,9.66715
23.806375,16.7643,5.9086,12.1381,92.862675,9.69325
23.821475,16.802125,5.92765,12.159725,93.102725,9.70675
23.83535,16.8546,5.941525,12.1885,93.1875,9.726775
23.852625,16.872625,5.958,12.26765,94.069475,9.8014
23.88935,16.923725,6.01125,12.27125,94.082625,9.822025
23.90375,16.971025,6.0314,12.285125,94.399225,9.8536
23.906225,16.989075,6.05795,12.33755,94.426,9.868125
23.92055,17.01455,6.1044,12.3456,94.435575,9.88515
23.939475,17.059,6.12895,12.355425,94.89395,9.91495
23.955675,17.090825,6.17085,12.4276,94.95895,10.1077
23.9728,17.1221,6.189825,12.4496,95.17675,10.1257
24.009675,17.203175,6.2032,12.544175,95.302375,10.144375
24.076375,17.2252,6.242725,12.5474,95.3524,10.16065
24.112975,17.2419,6.259375,12.602175,95.390425,10.19375
24.1455,17.277375,6.27165,12.614225,95.48945,10.294075
24.173625,17.306925,6.299625,12.6321,95.5386,10.33465
24.197725,17.3211,6.327475,12.655075,95.620875,10.353125
24.22815,17.3325,6.3358,12.67545,95.62545,10.3711
24.324975,17.3465,6.342725,12.723675,95.6309,10.387775
24.3686,17.3658,6.358425,12.75235,95.65455,10.402125
24.3841,17.37715,6.382775,12.7696,96.15145,10.417625
24.425525,17.420675,6.399725,12.7942,96.2213,10.446175
24.475025,17.4489,6.42425,12.8065,96.2511,10.45585
24.485225,17.518725,6.442875,12.82855,96.389075,10.4708
24.536725,17.5523,6.450875,12.870125,96.7835,10.50975
24.5855,17.566175,6.472625,12.91455,96.98295,10.53245
24.60975,17.5908,6.4882,12.960625,97.25945,10.557475
24.6716,17.6061,6.50165,12.9771,97.330175,10.5777
24.723325,17.66305,6.52445,13.0404,97.477375,10.60505
24.751525,17.7499,6.5373,13.071475,97.47965,10.62885
24.7864,17.893325,6.564075,13.1027,97.53275,10.666075
24.906725,17.960625,6.60235,13.1303,97.792625,10.683925
24.930425,18.023375,6.61885,13.31835,97.84405,10.699125
24.954475,18.0453,6.63675,13.321825,97.92155,10.876725
24.983275,18.177425,6.6659,13.32775,98.0127,10.888925
24.9991,18.2019,6.721575,13.3474,98.12625,10.896675
25.02805,18.33845,6.754725,13.3656,98.176725,10.905575
25.046175,18.38955,6.77575,13.38595,98.2123,10.911425
25.075775,18.48955,6.7882,13.405875,98.6193,10.930475
25.08265,18.61365,6.79615,13.458025,98.800725,10.939925
25.109225,18.68365,6.8184,13.46555,99.106425,10.95335
25.153225,18.70445,6.826425,13.472675,99.1751,10.9617
25.19975,18.7466,6.837375,13.4869,99.19155,10.973075
25.2464,18.85785,6.84625,13.514675,99.278775,10.982975
25.310525,18.921975,6.864175,13.56325,99.352325,11.0021
25.4586,18.958475,6.8769,13.606275,99.869825,11.0128
25.50235,19.02705,6.8898,13.6077,100.045975,11.022775
25.664875,19.112575,6.9015,13.62315,100.135525,11.03235
25.84445,19.131075,6.9125,13.64765,100.170975,11.0402
25.9655,19.15435,6.921875,13.71975,100.39625,11.059175
26.299175,19.207475,6.93345,13.754875,100.45375,11.06925
26.361475,19.26825,6.94085,13.7756,100.583525,11.087925
26.481475,19.298475,6.951125,13.80955,100.714225,11.096625
26.977075,19.3962,6.9693,13.83625,100.939175,11.10625
26.98675,19.44575,6.9809,13.859575,101.0233,11.11715
27.083775,19.465325,7.00045,13.871925,101.368775,11.125425
27.1477,19.493825,7.024375,13.99145,101.596725,11.1443
27.20505,19.5015,7.0497,14.074875,101.647025,11.152975
27.399625,19.522375,7.08595,14.1166,101.8002,11.162225
27.50115,19.5841,7.0976,14.15525,101.916675,11.172675
27.515825,19.610675,7.117725,14.207325,101.9622,11.18275
27.603225,19.64565,7.13115,14.2481,102.156975,11.1921
27.611625,19.70335,7.14705,14.3686,102.20435,11.208225
27.67665,19.764475,7.16015,14.500525,102.283725,11.2188
27.990625,19.8363,7.1774,14.583575,102.38145,11.230975
28.0394,19.8759,7.218175,14.6394,102.458425,11.2422
28.141675,19.896925,7.244325,14.688525,102.713275,11.28945
28.2613,19.916725,7.282175,14.731375,102.807275,11.305825
28.395175,20.05515,7.30005,14.760525,102.9156,11.31725
28.515525,20.091625,7.358575,14.814025,103.05955,11.347625
28.592775,20.14195,7.3806,14.8356,103.072175,11.364825
28.6076,20.2286,7.40625,14.87265,103.316425,11.3755
28.6993,20.29985,7.436675,14.87445,103.9706,11.426075
28.717675,20.3487,7.4667,14.9861,104.006625,11.4411
28.751475,20.37545,7.492425,15.02185,104.04065,11.4566
28.775375,20.4196,7.508425,15.072,104.174,11.472275
28.816975,20.421375,7.52935,15.086725,104.538475,11.495925
28.842375,20.456525,7.55415,15.119725,104.875775,11.507925
28.8769,20.524725,7.57265,15.150725,105.61945,11.52455
28.9098,20.538025,7.589875,15.17085,105.805,11.547375
28.971725,20.54875,7.611525,15.228,105.82785,11.5703
28.976575,20.60045,7.632625,15.273725,106.01045,11.6135
28.99015,20.69245,7.66075,15.2911,106.225675,11.63825
29.008325,20.7334,7.68105,15.321275,106.636975,11.65585
29.040475,20.802325,7.701125,15.42135,106.886275,11.676575
29.07035,20.89555,7.72085,15.531875,106.904575,11.690275
29.072875,21.040875,7.750025,15.5601,107.001225,11.705675
29.099575,21.08145,7.775825,15.574325,107.074,11.7238
29.15395,21.197175,7.791775,15.59005,107.172275,11.743525
29.179475,21.224475,7.811225,15.627925,107.1966,11.7805
29.2471,21.2379,7.8294,15.647675,107.3227,11.796375
29.27795,21.249475,7.86605,15.661075,107.337175,11.814625
29.3022,21.276375,7.88255,15.671475,107.531475,11.82835
29.330175,21.36085,7.903575,15.681925,107.631675,11.84055
29.354425,21.40235,7.92615,15.70585,107.6353,11.852725
29.3829,21.44565,7.972925,15.713775,107.675525,11.867275
29.41005,21.490975,8.008475,15.79955,107.708425,11.87815
29.4704,21.55825,8.025775,15.869175,107.8065,11.90295
29.48605,21.592175,8.04315,15.920025,107.819575,11.924125
29.51255,21.73825,8.077175,15.92965,107.832425,11.937175
29.55095,21.77335,8.093225,16.022575,107.871525,11.9619
29.5726,21.809925,8.112275,16.051625,108.109475,11.998225
29.7118,21.854025,8.126225,16.0799,108.4087,12.01445
29.76565,21.86005,8.152075,16.0977,108.450875,12.0333
29.799675,21.91375,8.16765,16.11265,108.45485,12.046875
29.824175,21.9592,8.198025,16.141325,108.462375,12.057925
29.839325,21.968225,8.215875,16.16735,108.515225,12.07595
29.860925,22.00515,8.23255,16.2232,108.6319,12.0772
