SPK_SPKC09a (no response),SPK_SPKC10a (inhi),SPK_SPKC13b (inhi),SPK_SPKC14a (no response),SPK_SPKC15a (inhi)
128.880125,127.2581,128.518925,110.07455,133.9286
128.91115,127.43005,128.5329,110.1092,134.030125
129.0413,127.5188,128.5637,110.142525,134.099075
129.1324,127.611375,128.64735,110.144475,134.172875
129.13935,127.6266,128.717025,110.159075,134.2045
129.1919,127.6377,128.9095,110.172975,134.22235
129.255425,127.76745,128.934025,110.189375,134.238575
129.28035,127.99385,128.944825,110.197875,134.262475
129.4208,128.2905,129.093575,110.2289,134.45735
129.439325,128.400175,129.1161,110.2493,134.48935
129.5341,128.4416,129.20545,110.259675,134.592
129.590925,128.4843,129.5323,110.307425,134.61975
129.602625,128.533825,129.6189,110.31135,134.64845
129.783325,128.589175,129.78755,110.3329,134.682575
129.8203,128.8412,129.839875,110.35285,134.758875
129.86065,129.153925,129.85295,110.390125,134.787575
129.965225,129.269625,129.94035,110.442175,134.854775
130.004425,129.5689,129.992775,110.463425,134.87825
130.0466,129.62275,130.01515,110.474775,134.928675
130.10765,129.731075,130.070475,110.4858,134.954475
130.109225,129.789875,130.104675,110.512475,134.974975
130.162375,129.83745,130.17865,110.517225,135.10145
130.1855,129.93585,130.19515,110.529625,135.1418
130.20695,130.0441,130.245675,110.531275,135.1755
130.256225,130.371225,130.269525,110.55765,135.20565
130.3318,130.407425,130.31395,110.5923,135.231125
130.37135,130.651,130.4062,110.626625,135.2507
130.526675,130.710825,130.41685,110.654225,135.28735
130.58045,130.767125,130.429925,110.672225,135.372225
130.764875,130.784475,130.4481,110.72425,135.440925
130.8409,130.873375,130.500775,110.741225,135.49235
130.976175,131.1269,130.568,110.756525,135.53715
131.0126,131.25095,130.659725,110.773925,135.582125
131.05985,131.286625,130.719175,110.821825,135.611975
131.07005,131.344875,130.810825,110.824575,135.6576
131.101725,131.5136,130.9861,110.8482,135.71175
131.26975,131.605975,131.020525,110.885675,135.921225
131.3004,131.66835,131.0384,110.896875,135.947675
131.3718,131.691,131.15325,110.905425,135.987325
131.432275,131.75795,131.20965,110.932175,136.039475
131.462,131.954825,131.396775,110.9366,136.0733
131.470675,132.03795,131.4387,110.98555,136.11135
131.580575,132.06885,131.45555,111.002775,136.17105
131.62675,132.0799,131.482,111.0304,136.1919
131.7088,132.102425,131.561125,111.04615,136.2409
131.81495,132.120975,131.58675,111.0832,136.275975
131.865825,132.141175,131.6068,111.14615,136.299375
131.97845,132.234675,131.644925,111.16565,136.315375
132.1863,132.24565,131.820725,111.190225,136.45015
132.228425,132.247975,131.849475,111.199875,136.483
132.2554,132.2946,131.882875,111.2114,136.605975
132.324875,132.30805,131.9408,111.229225,136.66375
132.35515,132.49075,131.962075,111.2444,136.722025
132.374675,132.543625,131.989775,111.2498,136.8083
132.408375,132.787975,132.055825,111.270325,136.8695
132.4098,132.833775,132.11805,111.3038,136.927825
132.484725,132.90315,132.221625,111.30585,136.943925
132.55355,132.93955,132.2623,111.333625,136.94985
132.5759,132.9686,132.337825,111.36395,137.14865
132.59375,132.980225,132.471475,111.3817,137.245475
132.7146,133.00045,132.487625,111.384775,137.281025
132.792375,133.13575,132.5629,111.408525,137.298875
132.893825,133.42095,132.5962,111.4385,137.36275
132.929775,133.465525,132.626375,111.453325,137.370775
132.959825,133.602525,132.670925,111.47035,137.392475
132.993575,133.63215,132.9153,111.471525,137.43155
133.029525,133.6856,133.088975,111.48345,137.4556
133.061025,133.892925,133.106525,111.499875,137.5103
133.145525,133.924125,133.11505,111.500975,137.5501
133.252675,133.96215,133.17345,111.55965,137.581725
133.318175,134.141975,133.2458,111.57925,137.6831
133.530675,134.581375,133.32815,111.606025,137.746025
133.544275,134.633975,133.3602,111.620475,137.779375
133.59425,134.6766,133.450225,111.6326,137.8156
133.617025,134.737725,133.459225,111.64645,137.830275
133.658925,134.8546,133.503,111.6589,137.960625
133.728725,134.87505,133.681825,111.682475,138.056225
133.828875,134.899075,133.6962,111.702875,138.212425
133.863875,134.9227,133.7132,111.727525,138.2885
133.91035,135.000425,133.73535,111.753375,138.32175
133.976225,135.009375,133.763675,111.786225,138.4031
134.177775,135.039625,133.824775,111.814925,138.4667
134.196575,135.218375,133.839475,111.822525,138.5134
134.234125,135.2293,134.0746,111.82955,138.5242
134.2706,135.656425,134.11785,111.8483,138.53
134.353975,135.666975,134.1713,111.857275,138.626375
134.39415,135.69485,134.261125,111.905225,138.668775
134.427725,135.7073,134.358,111.95425,138.70185
134.440925,135.7095,134.366625,111.966075,138.75245
134.56995,135.764325,134.44015,111.979375,138.792075
134.6008,135.925625,134.5936,112.00665,138.88045
134.76665,136.201325,134.7201,112.013675,138.940175
134.877825,136.288775,134.7948,112.031725,138.9565
134.893825,136.305975,134.91815,112.059475,138.984225
134.9383,136.3284,134.953525,112.089325,138.991975
134.94595,136.52495,134.970575,112.09365,139.006275
134.9914,136.591925,135.09605,112.127125,139.035
135.0848,136.592925,135.109675,112.12955,139.0474
135.136525,136.854125,135.17385,112.147525,139.239375
135.175975,136.896675,135.221975,112.16665,139.320725
135.313475,136.94645,135.2673,112.19205,139.340525
135.329875,136.985475,135.33555,112.205425,139.3465
135.3649,137.070575,135.397075,112.230775,139.3527
135.47025,137.08605,135.4283,112.24605,139.4343
135.530075,137.293775,135.529825,112.27175,139.465525
135.5868,137.322875,135.684025,112.302775,139.5059
135.604875,137.44845,135.7141,112.336825,139.515625
135.71845,137.704325,135.725525,112.358925,139.57135
135.752175,137.7527,135.75055,112.3909,139.708575
135.85465,137.79385,135.894325,112.40145,140.333375
135.936225,137.79815,135.932425,112.416375,140.389375
135.984775,137.819525,135.973075,112.45095,140.74315
136.0414,137.837375,135.984375,112.47025,140.77235
136.1204,137.847575,136.03895,112.5112,140.80635
136.223575,137.854225,136.08735,112.54555,140.827675
136.350325,137.88125,136.121575,112.547125,140.859775
136.390825,137.9204,136.16035,112.569675,140.9719
136.444725,137.96215,136.248375,112.60915,141.0063
136.50915,137.986775,136.277125,112.6413,141.0697
136.572975,138.074225,136.505375,112.642575,141.158275
136.6067,138.088825,136.53245,112.6625,141.250225
136.675975,138.10375,136.579575,112.68395,141.26405
136.781675,138.2058,136.610925,112.700725,141.28815
136.895925,138.2115,136.669925,112.71865,141.3567
136.9955,138.44005,136.725425,112.735225,141.381175
137.046725,138.44935,136.769225,112.759275,141.41255
137.252975,138.46905,136.9091,112.781775,141.424875
137.26015,138.4848,136.930675,112.8046,141.6265
