SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC15a,SPK_SPKC16b
3892.933175,3806.669825,3811.7992,3809.493025
3893.017475,3806.68205,3811.823025,3809.53825
3893.69805,3806.70085,3811.84535,3809.578425
3894.1794,3806.712,3811.87055,3809.6157
3894.3247,3806.752175,3811.9005,3809.625325
3894.49615,3806.7749,3811.925525,3809.683325
3894.575275,3806.807325,3812.090625,3809.73845
3895.16615,3806.82725,3812.114525,3809.792125
3895.442125,3806.848775,3812.1495,3809.839175
3895.547275,3806.862425,3812.226875,3809.8979
3895.9325,3806.896575,3812.278725,3809.944975
3896.7964,3806.92525,3812.32865,3809.979025
3897.8471,3806.9422,3812.3666,3810.0002
3898.044325,3806.9674,3812.403475,3810.02335
3898.42705,3806.977675,3812.42885,3810.080825
3898.9822,3806.996925,3812.454275,3810.112775
3899.321125,3807.013,3812.490425,3810.138025
3899.601025,3807.03165,3812.5142,3810.24185
3899.6298,3807.040875,3812.551425,3810.2904
3899.813025,3807.064975,3812.583225,3810.328225
3900.038125,3807.07375,3812.6107,3810.3817
3900.769975,3807.1033,3812.6362,3810.3859
3901.6446,3807.1279,3812.6864,3810.414725
3901.904075,3807.14955,3812.75785,3810.4165
3901.932125,3807.1615,3812.799125,3810.464
3902.441325,3807.188525,3812.84665,3810.50595
3902.504625,3807.214725,3812.87935,3810.609225
3902.56925,3807.23985,3812.908675,3810.67295
3902.67285,3807.25625,3812.944825,3810.713725
3902.6927,3807.292075,3813.013725,3810.726825
3902.933575,3807.30985,3813.047575,3810.7351
3903.082325,3807.337275,3813.098825,3810.7686
3903.914625,3807.353825,3813.1178,3810.797375
3903.96965,3807.3844,3813.14105,3810.8243
3904.64825,3807.4069,3813.22015,3810.9623
3904.743125,3807.417325,3813.256175,3811.057825
3904.79175,3807.4524,3813.32335,3811.08965
3904.9118,3807.476625,3813.399375,3811.14235
3904.9908,3807.4915,3813.4421,3811.197075
3905.143125,3807.505,3813.488425,3811.233725
3905.371475,3807.510375,3813.5144,3811.2471
3905.5642,3807.5242,3813.55955,3811.272675
3905.579475,3807.5416,3813.594925,3811.3168
3905.66965,3807.5583,3813.625675,3811.379425
3905.7699,3807.569925,3813.64225,3811.435075
3906.213375,3807.577975,3813.70765,3811.472625
3906.2727,3807.589575,3813.7339,3811.502975
3906.287975,3807.598975,3813.774525,3811.5818
3906.629075,3807.6133,3813.849525,3811.6376
3906.639725,3807.62605,3813.884825,3811.642025
3906.864675,3807.639925,3813.915975,3811.6683
3907.1293,3807.65565,3813.940975,3811.702
3907.25515,3807.67595,3813.981725,3811.757675
3907.497375,3807.693025,3814.010325,3811.79245
3908.497175,3807.709075,3814.030575,3811.820275
3908.56395,3807.728,3814.1112,3811.837575
3909.5086,3807.7462,3814.176575,3811.8953
3909.879325,3807.76985,3814.21775,3811.913675
3910.072825,3807.79805,3814.259375,3811.941325
3910.628325,3807.825175,3814.289525,3811.99785
3910.982,3807.84435,3814.31475,3812.000275
3911.358,3807.8701,3814.350425,3812.04775
3911.442125,3807.897375,3814.397975,3812.12855
3912.176475,3807.923775,3814.43015,3812.13605
3912.186175,3807.964325,3814.499675,3812.16915
3912.2962,3807.986275,3814.53315,3812.2148
3913.083675,3808.014175,3814.611225,3812.25725
3913.1721,3808.048425,3814.688875,3812.25865
3913.67365,3808.091275,3814.709525,3812.30895
3913.683175,3808.116975,3814.752825,3812.3384
3914.1783,3808.1391,3814.78625,3812.391675
3914.393625,3808.156275,3814.818025,3812.425875
3914.40465,3808.1897,3814.854375,3812.467
3915.770525,3808.21985,3814.87545,3812.4739
3915.85335,3808.23815,3814.9046,3812.4904
3916.55,3808.26015,3814.940825,3812.499725
3916.8663,3808.274675,3815.005375,3812.53775
3916.909,3808.302875,3815.039725,3812.60065
3917.1875,3808.3268,3815.107475,3812.627925
3918.444625,3808.358175,3815.157,3812.68805
3918.457825,3808.390475,3815.19815,3812.737525
3918.541025,3808.4265,3815.2377,3812.78015
3918.763275,3808.454625,3815.27405,3812.836775
3919.356125,3808.46545,3815.34275,3812.8957
3919.8507,3808.5084,3815.424075,3812.938325
3919.950175,3808.54455,3815.519375,3812.955175
3920.27975,3808.575525,3815.55715,3812.9586
3920.74015,3808.59015,3815.643225,3812.991175
3920.7674,3808.6113,3815.678725,3813.0792
3920.94395,3808.627275,3815.747,3813.08745
3921.10105,3808.642775,3815.785575,3813.094825
3921.126725,3808.659575,3815.84345,3813.112975
3921.330525,3808.672025,3815.8785,3813.13385
3921.453475,3808.686775,3815.92005,3813.17315
3921.729675,3808.70895,3815.9598,3813.21465
3922.59645,3808.726175,3816.02645,3813.271775
3923.00015,3808.739625,3816.046875,3813.305825
3923.0118,3808.753075,3816.06195,3813.39815
3923.102,3808.770925,3816.08385,3813.4577
3923.417275,3808.794,3816.121425,3813.5089
3923.535,3808.814025,3816.179525,3813.54925
3923.86115,3808.832075,3816.2191,3813.5938
3923.87385,3808.8555,3816.241425,3813.615825
3924.52365,3808.877275,3816.2899,3813.638225
3924.728325,3808.9068,3816.3114,3813.6471
3924.780575,3808.938225,3816.342375,3813.69055
3924.820575,3808.96835,3816.3705,3813.7329
3925.24075,3809.013725,3816.479725,3813.771075
3925.52795,3809.0476,3816.507625,3813.774425
3926.08465,3809.077025,3816.58335,3813.8168
3926.362925,3809.094975,3816.6195,3813.8506
3926.403025,3809.1297,3816.675375,3813.913875
3927.652575,3809.158975,3816.737525,3813.9607
3929.53955,3809.174875,3816.769025,3814.0105
3929.626425,3809.194425,3816.80115,3814.02805
3929.646775,3809.2263,3816.8321,3814.123825
3930.130025,3809.2361,3816.86985,3814.17655
3930.21455,3809.258975,3816.888525,3814.28415
3930.3042,3809.280525,3816.90115,3814.295
3930.8753,3809.3048,3816.94465,3814.33675
3930.96085,3809.337975,3816.9669,3814.362875
3931.130375,3809.3661,3817.04655,3814.387975
3931.786925,3809.395775,3817.0877,3814.41155
3931.976,3809.4117,3817.111575,3814.431775
3932.274375,3809.446875,3817.1734,3814.5011
3933.414075,3809.479875,3817.17515,3814.512075
3933.454225,3809.502375,3817.25185,3814.550025
3933.953875,3809.513275,3817.27995,3814.61045
3934.225925,3809.542675,3817.35065,3814.651825
3934.323825,3809.55715,3817.3658,3814.689925
3934.9149,3809.5855,3817.388925,3814.7194
3935.413725,3809.607325,3817.39295,3814.756775
3935.604,3809.621575,3817.47515,3814.760875
3936.566275,3809.64535,3817.506775,3814.803625
3936.783,3809.68695,3817.525675,3814.847375
3936.9705,3809.70805,3817.55595,3814.8656
3937.14705,3809.725225,3817.582125,3814.882425
3937.2808,3809.736425,3817.639,3814.931575
3937.574175,3809.774725,3817.675975,3814.950025
3938.0063,3809.797425,3817.704,3814.975025
3938.05615,3809.83545,3817.73485,3814.988375
3938.09105,3809.854125,3817.765525,3814.995825
3938.274725,3809.883475,3817.79985,3815.019975
3938.3018,3809.9229,3817.893825,3815.04105
3938.303175,3809.9508,3817.9555,3815.0755
3938.31505,3809.9721,3817.97175,3815.1146
3938.48045,3810.003375,3818.002275,3815.162
3938.547025,3810.0201,3818.033625,3815.18475
3938.5736,3810.028925,3818.082175,3815.230675
3938.6145,3810.04035,3818.115725,3815.26835
3939.6642,3810.051375,3818.14535,3815.302775
3939.80745,3810.06285,3818.17635,3815.35775
3940.040775,3810.073875,3818.20355,3815.405025
3940.2918,3810.087225,3818.2719,3815.436725
3941.953825,3810.100775,3818.309075,3815.47355
3943.283925,3810.121575,3818.33385,3815.49405
3943.603875,3810.164775,3818.363725,3815.53395
3943.748725,3810.179775,3818.39485,3815.57455
3943.84045,3810.2105,3818.4339,3815.6169
3944.5229,3810.25165,3818.498975,3815.663875
3944.8796,3810.2749,3818.53215,3815.705525
3946.098825,3810.2983,3818.558775,3815.792675
3946.68465,3810.319275,3818.597175,3815.8428
3946.9289,3810.332475,3818.622525,3815.87525
3947.343575,3810.373725,3818.6546,3815.93065
3947.566975,3810.391825,3818.696625,3815.982525
3948.02635,3810.4206,3818.723925,3816.000325
3948.072875,3810.44265,3818.80335,3816.0335
3948.750275,3810.46915,3818.82885,3816.047675
3948.85465,3810.490925,3818.86475,3816.071025
3949.103975,3810.517625,3818.890725,3816.085725
3949.4987,3810.5353,3818.913025,3816.170525
3949.63615,3810.572225,3818.920725,3816.189025
3949.925975,3810.606525,3818.94725,3816.2178
3951.29445,3810.636575,3818.9608,3816.30685
3951.40985,3810.66075,3818.985775,3816.311325
3951.731975,3810.68545,3819.210125,3816.325475
3951.876775,3810.693725,3819.3248,3816.34995
3952.783675,3810.724525,3819.39575,3816.40535
3952.794975,3810.730425,3819.4152,3816.439625
3952.84035,3810.746675,3819.4507,3816.471625
3952.943,3810.771175,3819.476825,3816.51865
3952.964075,3810.7842,3819.513925,3816.558625
3953.70365,3810.80005,3819.6187,3816.604625
3954.61035,3810.820525,3819.64795,3816.645
3954.900625,3810.8285,3819.6891,3816.68415
3955.71985,3810.8416,3819.747225,3816.722975
3955.78075,3810.8569,3819.778125,3816.7431
3955.873425,3810.87045,3819.81665,3816.780025
3956.1988,3810.882775,3819.847675,3816.846275
3956.34895,3810.8968,3819.8778,3816.88735
3956.963425,3810.90765,3819.906,3816.90875
3957.1199,3810.92375,3819.9369,3816.935225
3957.1594,3810.93425,3819.98735,3816.962475
3957.19315,3810.948525,3820.07735,3816.994825
3957.621875,3810.972225,3820.188475,3817.026225
3957.62365,3810.9897,3820.262975,3817.0953
3958.495425,3811.0139,3820.297675,3817.103725
3958.6436,3811.0299,3820.327975,3817.134175
3958.661875,3811.043675,3820.351975,3817.181375
3958.7874,3811.069375,3820.39055,3817.22665
3958.820725,3811.082325,3820.42045,3817.24535
3958.9432,3811.09965,3820.463375,3817.263125
3959.30215,3811.131775,3820.488925,3817.287875
3959.797275,3811.16155,3820.5442,3817.3052
3959.934,3811.2132,3820.5946,3817.3517
3960.18805,3811.231525,3820.6118,3817.372175
3960.714325,3811.25225,3820.6538,3817.4094
3960.839675,3811.2744,3820.673775,3817.449425
3960.88095,3811.2976,3820.69185,3817.4751
3961.0043,3811.32735,3820.711825,3817.4783
3961.1473,3811.35995,3820.716825,3817.515775
3961.17885,3811.37475,3820.77895,3817.547175
3961.326675,3811.4111,3820.811175,3817.6442
3961.440975,3811.44145,3820.83985,3817.678275
3961.9878,3811.481275,3820.8646,3817.6958
3962.033825,3811.50925,3820.9568,3817.705225
3962.5328,3811.530875,3820.9658,3817.759975
3962.9597,3811.55,3820.9971,3817.8383
3962.98405,3811.58725,3821.020275,3817.902225
3963.69245,3811.608925,3821.0355,3817.914675
3963.696575,3811.62555,3821.134925,3817.9337
3963.8008,3811.652975,3821.17725,3817.96685
3964.571725,3811.6692,3821.218175,3818.01565
3964.70295,3811.689,3821.284075,3818.020525
3965.386675,3811.718275,3821.350875,3818.052625
3965.72575,3811.7393,3821.391,3818.08845
3966.0005,3811.777525,3821.4199,3818.128
3966.11275,3811.798225,3821.458325,3818.182775
3967.12765,3811.812475,3821.5296,3818.221525
3967.26925,3811.8283,3821.550825,3818.266575
