SPK_SPKC04a (no effect),SPK_SPKC05a (excited),SPK_SPKC06a (no effect),SPK_SPKC08a (NA)
21.072325,60.939,77.27155,31.020225
21.08465,61.1836,77.37655,31.2548
21.15755,61.297075,77.457325,31.3304
21.196325,61.49745,77.500925,31.403675
21.22635,61.818125,77.5984,31.46955
21.2646,62.277425,77.667625,31.62815
21.297425,62.313275,77.718375,31.793675
21.352025,62.41835,77.757975,31.9043
21.416625,62.496075,77.96745,32.04375
21.460625,62.571425,78.050475,32.100425
21.51425,62.648,78.41065,32.1577
21.54765,62.7004,78.560525,32.18965
21.619025,62.721575,78.9566,32.278775
21.6614,62.7907,78.9959,32.348975
21.676925,62.868275,79.2906,32.545375
21.719725,63.087575,79.468375,32.6945
21.76175,63.457475,79.509225,32.88265
21.806375,63.516375,79.657125,32.9057
21.8659,63.557825,79.78625,32.997175
21.9116,63.587275,79.924225,33.1988
21.955175,63.62625,79.97345,33.295575
22.018725,63.923225,80.25195,33.399125
22.05265,64.1892,80.343075,33.693575
22.097,64.297675,80.4515,33.761075
22.14525,64.530825,80.69615,33.798275
22.2086,65.084975,80.8468,33.977075
22.223025,65.178675,80.8537,34.024475
22.276325,65.23735,81.167525,34.171825
22.31675,65.37235,81.2029,34.198
22.345075,65.51715,81.230325,34.348325
22.389275,65.57465,81.248,34.476625
22.39765,65.578825,81.896625,34.5152
22.442925,65.74225,84.211225,34.545575
22.462225,66.01325,84.709775,34.6813
22.5027,66.066275,85.07465,34.716475
22.5207,66.22055,85.4917,34.756725
22.528675,66.265325,90.116875,34.824425
22.61135,66.62845,91.65275,34.967
22.686825,66.75575,93.234375,34.988275
22.788425,66.783525,94.3135,34.994325
22.820525,66.873175,95.098525,35.0928
22.9319,67.029875,95.727825,35.17975
22.944375,67.525925,96.46045,35.2579
22.99465,67.9881,96.633675,35.405675
23.056675,68.0802,96.696,35.5145
23.127125,68.44465,96.97435,35.56435
23.165825,68.492075,97.349125,35.777325
23.19705,68.7655,97.833875,35.911125
23.25605,69.1607,98.41715,35.999125
23.27155,69.372075,98.7327,36.16575
23.312125,69.6233,98.958975,36.230375
23.351875,70.46135,98.97975,36.289325
23.416775,70.59375,99.123025,36.3763
23.447475,70.71395,99.228325,36.43075
23.482525,70.84675,99.298925,36.808675
23.5485,72.05465,99.4134,36.92025
23.637275,72.2893,99.797075,36.992475
23.65435,72.5236,99.9309,37.04455
23.706375,72.62095,100.412925,37.354325
23.76965,72.699675,100.465,37.444675
23.789425,72.841275,100.67545,37.5109
23.830175,72.887825,100.888425,37.621425
23.886075,73.0618,101.02935,37.71035
23.91925,73.101725,101.184925,37.93465
23.981125,73.156925,101.321525,38.09355
24.0049,73.3069,101.347825,38.12985
24.03865,73.3787,101.378225,38.3392
24.0601,73.42975,101.4651,38.414075
24.1056,73.5172,101.5029,38.4801
24.139275,73.6473,101.526625,38.591025
24.17095,73.66465,101.589475,38.699625
24.1971,73.73535,101.643525,38.82325
24.22905,73.868275,101.67615,38.895325
24.283225,73.9345,101.722875,38.95295
24.326725,73.964575,101.765325,38.99995
24.3379,74.069625,101.85545,39.096375
24.36375,74.317825,101.882325,39.210825
24.427825,74.374625,101.9066,39.3719
24.4997,74.403175,102.041875,39.416275
24.607775,74.429225,102.280475,39.57585
24.6611,74.516075,102.4349,39.679325
24.744775,74.655,102.52915,39.7892
24.786625,74.7193,102.591725,39.87685
24.83445,74.82335,102.691725,39.961625
24.951025,75.00185,102.724825,40.109925
25.058725,75.10665,102.7908,40.1818
25.216225,75.20325,102.8326,40.266275
25.244475,75.510025,102.879125,40.37935
25.31115,75.6407,103.14195,40.458325
25.343975,75.707375,103.18945,40.53165
25.4011,75.7807,103.367275,40.693125
25.454975,75.836425,103.4677,40.75035
25.494375,76.10285,103.871025,40.919275
25.567775,76.168025,103.88235,40.9867
25.615225,76.2855,104.47755,41.0452
25.665025,76.38895,105.126025,41.112425
25.7041,76.4249,105.541625,41.24415
25.79025,76.928725,106.1239,41.362175
25.80965,77.576325,106.377975,41.459225
25.86245,77.7341,106.57995,41.5659
25.881175,78.11025,106.6432,41.6704
25.89765,78.33525,106.829175,41.738525
25.946575,78.460125,106.901575,41.87185
25.97015,78.62145,106.99155,42.152375
26.0076,78.876025,107.072475,42.264625
26.051775,79.017425,107.111825,42.426325
26.0876,79.1286,107.330075,42.543525
26.13835,79.307925,107.690025,42.6577
26.16045,79.77405,107.915875,42.745925
26.2307,79.948875,108.03,42.903825
26.264375,80.31005,108.237775,42.97155
26.2811,80.582425,108.2911,43.027275
26.38095,80.599225,108.43185,43.146075
26.425475,80.64155,108.478275,43.19955
26.492025,80.675975,108.625075,43.324575
26.5169,80.709925,108.70485,43.37005
26.5846,80.760875,108.830275,43.4728
26.664625,81.10735,109.058175,43.627475
26.67715,81.573275,109.1176,43.744775
26.723875,81.82045,109.3257,43.904
26.752825,82.055,109.50325,44.1251
26.822775,82.2315,109.5592,44.26085
26.978075,82.296925,109.7018,44.348975
27.01545,82.707775,109.7046,44.52815
27.035175,83.01645,109.757625,44.63645
27.112375,83.872225,109.86515,44.6825
27.15795,84.0947,109.93985,44.81325
27.24235,84.453925,110.019425,44.9578
27.321375,84.5015,110.049025,44.993175
27.396275,84.55745,110.164675,45.0819
27.441325,84.652225,110.424375,45.136775
27.4948,84.825925,110.57345,45.230175
27.5994,84.98735,110.743375,45.294275
27.729775,85.947275,110.7953,45.359175
27.824525,86.699175,111.36715,45.453775
27.859225,87.496,111.658425,45.53195
27.9838,88.10725,111.76075,45.664725
28.16215,88.26355,111.933125,45.725
28.2518,88.34845,112.09905,45.798625
28.274175,88.413575,112.160325,45.9179
28.319475,88.676175,112.229225,45.965225
28.3743,88.83725,112.341225,46.05795
28.4337,89.686375,112.409725,46.310425
28.4797,89.906925,112.64705,46.424525
28.504,90.238,112.9479,46.45685
28.555875,90.376875,112.98495,46.5592
28.57495,91.06255,113.114725,46.765625
28.605125,91.3094,113.24915,46.832725
28.638725,91.380725,113.322075,46.9572
28.670775,91.4446,113.4942,47.01575
28.7184,91.729975,113.590375,47.1055
28.767075,91.85765,113.616375,47.159975
28.796025,91.92755,113.65695,47.32395
28.837475,92.045025,113.903025,47.406925
28.932,92.11965,113.973875,47.50355
29.00005,92.25305,114.0052,47.597975
29.10165,92.34505,114.038525,47.7361
29.212375,92.523025,114.15,47.84005
29.491325,92.61555,114.4406,47.996925
29.61265,92.6389,114.9895,48.1454
29.6824,92.67355,115.6037,48.2374
29.74315,92.71925,115.764325,48.297675
29.822675,92.7758,115.880425,48.469475
29.888825,92.847625,116.02065,48.617225
30.028875,92.934325,116.067025,48.7448
30.10465,93.007475,116.391675,48.90155
30.263725,93.1453,116.431025,49.135
30.448225,93.250675,116.487175,49.195175
30.5477,93.84535,116.492625,49.3092
30.863175,94.16635,116.830025,49.514325
30.90425,95.2831,117.1072,49.7653
31.046725,95.7003,117.6387,49.8832
31.259275,95.73645,117.745975,50.0054
31.426825,95.94295,117.986075,50.1823
31.484675,96.0986,118.04025,50.253125
31.64475,96.185375,118.21855,50.328175
31.708375,96.53125,118.4208,50.42165
31.869,96.584175,118.960675,50.487775
31.945525,96.63365,119.399725,50.681825
32.268025,96.670175,119.5242,50.7631
32.5769,96.94545,119.584925,50.86425
32.727975,97.049825,120.2766,50.964875
32.801625,97.08585,120.506625,50.965975
32.933875,97.119825,120.559275,51.046325
33.3192,97.305,120.590275,51.16785
33.437525,97.62855,121.1387,51.237275
33.622225,97.6655,121.26775,51.36665
33.68835,97.9401,121.37455,51.417325
33.738375,97.98985,121.78385,51.529075
33.768025,98.01815,121.95935,51.674675
33.796125,98.066075,122.099575,51.724125
33.8795,98.23345,122.310725,51.783175
33.949525,98.2906,122.487475,52.0922
34.01355,98.38715,122.709975,52.171425
34.074275,98.567325,122.760875,52.2957
34.117275,98.5757,122.967975,52.332175
34.183075,98.634975,123.00415,52.4745
34.2669,98.897025,123.16785,52.535675
34.2937,99.191525,123.3296,52.649225
34.3881,99.4272,123.488925,52.7273
34.437825,99.46905,123.59455,52.969075
34.468925,99.563925,123.683525,53.096025
34.5065,99.6068,124.101125,53.148925
34.52585,99.7619,124.33425,53.21095
34.587375,100.08385,124.4281,53.284625
34.610425,100.458925,124.580425,53.394325
34.646225,100.84625,124.663025,53.5619
34.6755,100.85925,124.759325,53.854975
34.71925,101.05615,124.907925,53.95715
34.76855,101.176175,124.94105,54.122125
34.8327,101.194825,125.0174,54.209925
34.8855,101.20895,125.162425,54.27895
34.902,101.23445,125.34495,54.633725
34.98505,101.47155,125.4819,54.71585
35.063425,101.48005,125.62365,54.97995
35.1331,101.48895,125.786275,55.1552
35.183925,101.579875,125.845525,55.2958
35.272525,101.593425,125.9145,55.689
35.39195,102.32475,126.00955,55.776075
35.4737,102.354425,126.162875,56.04425
35.5402,102.94295,126.2569,56.10175
35.58795,103.14195,126.296675,56.214775
35.686175,103.1806,126.30985,56.294075
35.7532,103.674325,126.365775,56.361425
35.862025,103.86,126.42105,56.4311
35.94675,104.402975,126.4956,56.4949
35.9833,104.710025,126.8039,56.6284
36.1084,104.720775,126.8077,56.7171
36.198925,104.74505,126.85815,56.849
36.2349,104.775175,126.914625,56.96535
36.313325,104.94365,127.0158,57.055575
36.36315,105.107275,127.085925,57.205975
36.417625,105.2172,127.13325,57.31285
36.4978,105.46655,127.2449,57.382225
36.538775,105.582425,127.41775,57.58585
36.7163,105.783675,127.470775,57.6831
36.77515,106.808075,127.527925,57.7607
36.8679,106.835325,127.71855,57.837875
36.966025,106.878775,127.89045,57.9134
37.0401,107.198225,128.011575,58.044375
37.155875,107.31255,128.082475,58.160025
37.200175,107.73825,128.1228,58.2362
37.2383,107.82875,128.166325,58.333225
37.330625,107.857275,128.25005,58.463775
37.390425,107.889,128.332525,58.470975
37.4659,108.046375,128.417325,58.56755
