SPK_SPKC01a (NA),SPK_SPKC04a (inhibited),SPK_SPKC08b (excitation + inhibition),SPK_SPKC11a (inhibited),SPK_SPKC11b (inhibited),SPK_SPKC13a (NA)
15.608625,29.777975,10.33815,114.833675,79.21445,27.6531
15.613675,29.81965,10.380675,114.859025,79.815225,27.749775
15.6346,29.876025,10.4556,114.988925,79.93925,28.017225
15.936375,29.8997,10.49775,115.2195,79.975325,28.10515
15.96595,29.9094,10.517075,115.24655,80.0179,28.192225
15.97615,29.9472,10.544425,115.29925,80.07505,28.261575
15.987725,30.005575,10.5488,115.31805,80.18435,28.3066
15.99875,30.02285,10.576825,115.3601,80.3108,28.3723
16.00195,30.081575,10.5889,115.7121,80.4412,28.45755
16.01155,30.283825,10.595175,115.724525,80.4641,28.52595
16.015275,30.53305,10.751025,115.754175,80.468975,28.57925
16.0234,30.56155,10.857025,115.97135,80.582,28.650425
16.026425,30.60775,10.8848,116.18395,80.6753,28.727075
16.0359,30.87305,10.94195,116.4209,80.776725,28.872225
16.04525,30.8895,10.97825,116.459675,80.826325,28.93915
16.07245,31.146275,11.059475,116.47975,80.905675,29.0103
16.311375,31.17845,11.161175,116.61055,81.0192,29.41325
16.32085,31.206875,11.193275,116.656625,81.264675,29.514825
16.32705,31.3627,11.2236,116.70835,81.470525,29.67745
16.3336,31.382325,11.235175,116.755475,81.631425,29.73185
16.349275,31.452,11.2458,116.8008,82.169075,29.81035
16.353,31.5582,11.2487,117.257025,82.172,29.915575
16.357425,31.586,11.265575,117.279225,82.232525,29.997575
16.366125,31.605975,11.27985,117.302975,82.258475,30.047475
16.36835,31.626575,11.292,117.3111,82.416375,30.185425
16.373325,31.694275,11.3043,117.355325,82.5886,30.2787
16.3763,31.81145,11.366775,121.242375,82.8797,30.3696
16.380425,31.939425,11.41565,121.296275,82.98605,30.465125
16.39415,31.997775,11.4678,122.722775,83.053225,30.5327
16.3981,32.09295,11.486425,126.927,83.145575,30.63105
16.40015,32.110625,11.52635,127.601925,83.255325,30.74395
16.403625,32.17,11.589225,127.781375,83.299425,30.840425
16.411775,32.278525,11.59065,127.81135,83.3503,30.893175
16.4152,32.293925,11.60695,127.85915,83.41205,30.995075
16.57735,32.353825,11.62515,127.8776,83.632975,31.090525
16.60675,32.4129,11.6606,127.913575,83.67415,31.12905
16.6236,32.596125,11.689775,127.9214,83.942325,31.156425
16.635975,32.62765,11.85815,128.000475,83.9594,31.239975
16.653875,32.731525,11.8757,128.049575,84.4975,31.506975
16.66475,32.816425,11.9388,128.068525,84.659725,31.57575
16.683325,33.0149,11.991125,128.1032,84.7719,31.685825
16.7064,33.225325,12.008725,128.1227,84.8484,31.737075
16.7719,33.2752,12.025575,128.1314,85.428675,31.8997
16.78565,33.31005,12.03635,128.5292,85.576675,32.03045
16.788825,33.349875,12.0468,128.572325,85.75935,32.11035
16.798475,33.4892,12.068225,128.604475,85.835375,32.1628
16.804825,33.648075,12.1911,128.733475,85.92525,32.23495
16.815925,33.662975,12.211275,128.85495,86.035675,32.317
16.84095,33.701325,12.311225,128.93865,86.284925,32.461225
