SPK_SPKC01a (NA),SPK_SPKC06a (weak excitation),SPK_SPKC09a (excited),SPK_SPKC10a (no effect),SPK_SPKC12b (short inhibition),SPK_SPKC13a (excited)
128.54045,193.138125,18.37715,,17.5072,5.859175
128.998275,193.160275,18.499875,,17.624125,5.8819
130.931375,193.21615,18.7902,,17.888775,5.89645
132.450425,194.036425,18.8325,,17.947875,5.905625
132.724725,194.45445,18.8823,,17.98235,5.92215
133.596975,195.353425,18.977175,,17.99235,5.9283
133.59985,196.38795,19.005975,,18.0018,5.93615
134.89875,197.4817,19.0499,,18.0132,5.950025
135.44485,197.597575,19.1007,,18.026425,5.965275
136.8845,198.288325,19.246675,,18.048075,5.970225
137.663125,198.495225,19.450775,,18.060725,5.990825
138.5342,200.720675,19.478125,,18.079575,6.01275
138.9423,201.003675,19.80345,,18.1325,6.037375
140.7691,201.336575,19.929375,,18.15845,6.0607
141.418875,201.718075,19.94055,,18.29275,6.073725
143.28185,202.391975,19.94935,,18.39045,6.10495
143.97055,202.898175,19.97245,,18.399825,6.111775
144.14435,203.249475,19.98005,,18.42415,6.115175
145.443475,203.595925,20.0133,,18.66965,6.125475
146.450325,204.093975,20.020325,,18.874825,6.13445
146.625625,204.358375,20.288,,18.908975,6.16275
147.0987,204.822525,20.40055,,18.94325,6.17145
147.863575,205.100925,20.42235,,18.962525,6.1749
148.85155,206.0923,20.434725,,19.02435,6.185525
150.49315,206.7166,20.445,,19.16905,6.2005
151.582875,207.079125,20.47975,,19.307425,6.210925
155.138525,207.58945,20.6129,,19.37905,6.231675
156.9248,207.657175,20.76265,,19.420425,6.2426
158.99095,207.6696,20.8055,,19.442175,6.25975
159.556275,207.738525,20.8507,,19.45735,6.271725
160.6081,209.387375,20.8899,,19.468575,6.288675
161.4792,210.51135,20.90795,,19.47765,6.29915
161.68265,210.87495,20.923175,,19.52705,6.31405
163.187,210.974425,20.988425,,19.60825,6.3457
164.08345,212.063525,21.141125,,19.665025,6.38295
164.199975,213.265825,21.174675,,19.7973,6.405225
165.64405,213.39985,21.298675,,19.910325,6.4192
168.354325,214.00435,21.3415,,19.985475,6.4275
168.728325,214.5648,21.4007,,20.030375,6.5137
169.02115,214.7415,21.459325,,20.128375,6.52215
169.49065,215.1765,21.502025,,20.246225,6.564
170.099025,215.2098,21.76925,,20.318425,6.572775
172.7342,215.7506,21.8112,,20.3624,6.5805
174.879325,215.8583,21.818375,,20.393725,6.598175
175.712125,216.35495,21.8985,,20.422375,6.6095
186.6436,216.8488,21.916025,,20.662125,6.612225
190.190525,217.058225,21.930825,,20.777475,6.630025
191.365375,217.703075,21.991575,,20.802775,6.671225
191.80645,220.342925,22.124175,,20.820475,6.702225
193.10995,221.57685,22.204675,,20.86495,6.71345
196.776075,222.411975,22.2444,,20.883925,6.72635
197.2471,223.00355,22.339575,,20.9496,6.7376
201.642625,223.723925,22.35195,,21.014525,6.750775
205.199125,225.284775,22.36175,,21.176925,6.772375
206.113575,226.41605,22.403475,,21.250075,6.7875
211.6336,227.083125,22.455425,,21.346225,6.808775
212.10285,227.429125,22.601625,,21.357225,6.849875
213.366775,227.637375,22.821975,,21.4271,6.873875
214.035575,227.7718,22.909575,,21.53645,6.884175
215.81115,228.355075,22.951725,,21.63865,6.912225
220.0644,228.457375,22.96365,,21.76755,7.02745
223.433625,228.971475,22.980875,,21.816,7.06025
224.477425,229.63535,23.01625,,21.846075,7.08335
225.31935,229.740775,23.02685,,21.885525,7.13525
227.00055,230.337675,23.036825,,22.0618,7.1525
227.697625,230.5369,23.058975,,22.24555,7.167675
229.27725,231.664525,23.1052,,22.3619,7.19195
230.316525,231.882675,23.1706,,22.3763,7.210325
230.67745,232.2948,23.3017,,22.400525,7.2261
234.25485,234.502025,23.3233,,22.4479,7.243675
235.9729,234.77065,23.351425,,22.6097,7.27215
236.96635,234.851925,23.693475,,22.7802,7.3322
238.14645,235.30115,23.705025,,22.8981,7.3562
246.322325,235.540875,23.7417,,22.962675,7.378175
246.48125,236.0401,23.828025,,22.9807,7.4015
246.890625,236.19145,23.976775,,22.9885,7.415875
248.116725,236.2701,24.0179,,23.0879,7.4293
248.61845,237.1225,24.0301,,23.139425,7.4573
250.070275,237.4105,24.03815,,23.235575,7.480225
,237.961725,24.3736,,23.261,7.49375
,237.979025,24.3907,,23.29845,7.5077
,238.025975,24.40845,,23.3383,7.5301
,238.6418,24.44935,,23.372025,7.53875
,239.748825,24.4585,,23.499725,7.550725
,240.1198,24.55085,,23.55225,7.557375
,241.123425,24.583125,,23.591025,7.57085
,241.184275,24.640525,,23.6056,7.587575
,241.18985,24.900775,,23.725275,7.615625
,242.59445,24.913075,,23.771125,7.620975
,242.9685,24.929075,,23.830675,7.638675
,243.050675,24.953175,,23.951975,7.66095
,243.101625,24.965775,,23.972675,7.679425
,244.10575,24.9853,,24.032,7.692175
,244.502475,25.33705,,24.052475,7.7397
,245.097,25.350725,,24.090275,7.754575
,246.363275,25.357175,,24.1805,7.7617
,247.107,25.3714,,24.286775,7.7712
,247.3459,25.380775,,24.334575,7.777775
,247.472175,25.4016,,24.3907,7.7972
,248.411325,25.4277,,24.43145,7.849325
,248.58785,25.5041,,24.458275,7.882675
,249.446275,25.7334,,24.472925,7.89335
,249.7347,25.827075,,24.60245,7.898975
,249.862875,25.8464,,24.816675,7.90335
,250.8371,25.852125,,24.86705,7.920575
