SPK_SPKC01a (inhi),SPK_SPKC05a (inhi),SPK_SPKC07a (exc),SPK_SPKC13a (inhi)
361.0652,262.665225,284.744925,274.7919
361.100225,262.807325,284.7748,274.802675
361.1035,263.04615,284.805025,274.831125
361.175475,263.0889,285.102575,274.861425
361.193425,263.854325,285.11275,274.897625
361.27655,263.9833,285.140125,275.084025
361.3506,264.211225,285.16085,275.1437
361.353125,264.34205,285.1961,275.16275
361.37845,264.3997,285.214425,275.194925
361.44475,264.43755,285.229225,275.300675
361.464225,264.571925,285.2969,275.31545
361.507675,264.604775,285.353675,275.35005
361.658125,264.717225,285.374,275.351375
361.701275,264.78915,285.456925,275.387375
361.7215,264.88745,285.46985,275.4953
361.745925,264.95765,285.53945,275.54915
361.776625,265.16235,285.60205,275.61155
361.80815,265.241775,285.61975,275.689775
361.84025,265.3057,285.646525,275.753525
361.86095,265.363175,285.664,275.80035
361.8982,265.5046,285.6784,275.89885
361.913025,265.55445,285.695425,275.938875
362.024075,265.6549,285.8498,275.97025
362.0297,265.766075,286.0076,276.182325
362.106275,265.874475,286.036075,276.21195
362.443775,266.1198,286.06345,276.23505
362.539125,266.170325,286.12465,276.261975
362.542925,266.298875,286.16585,276.29665
362.71495,266.3536,286.176275,276.3095
362.79175,266.40775,286.2378,276.332675
362.981025,266.470075,286.289025,276.40675
363.204025,266.52135,286.344675,276.44625
363.2803,266.5947,286.348025,276.585075
364.43015,266.81605,286.414775,276.637575
364.44505,266.967375,286.582225,276.677825
364.4503,267.03315,286.624425,276.810875
364.512625,267.289975,286.686475,276.820725
364.51565,267.497375,286.73475,276.906325
364.782125,267.704,286.8505,276.98365
365.218025,267.7473,286.872925,276.99155
365.4219,267.798975,286.902025,277.01555
366.36325,267.88085,286.938875,277.11265
366.390225,267.96565,287.0022,277.268475
366.570225,268.048625,287.291725,277.32985
366.665025,268.17995,287.323925,277.431275
366.727725,268.224825,287.37355,277.4801
367.826025,269.0222,287.43035,277.514075
367.98585,269.067775,287.896125,277.599425
368.043025,269.136,287.959175,277.666075
368.1154,269.2325,287.999975,277.994125
368.87005,269.5284,288.058275,278.181825
368.893875,269.601925,288.1315,278.277625
369.0033,269.759525,288.169275,278.305175
369.055125,269.877175,288.2647,278.418675
369.143825,269.9339,288.37635,278.466925
369.205225,270.02295,288.429425,278.487225
369.27705,270.08935,288.723775,278.507
369.521525,270.1459,288.78495,278.53275
369.929975,270.199225,288.927625,278.637425
370.100425,270.259575,289.032025,278.721125
370.875075,270.35935,289.087775,278.760175
371.243925,270.521425,289.15945,278.83355
371.317325,270.561,289.2434,278.876725
372.283,270.62475,289.271925,278.921975
372.550875,270.672725,289.306925,278.993775
372.818725,270.735075,289.3233,279.180525
372.933225,270.772575,289.3696,279.278825
372.991575,270.83095,289.595325,279.588525
373.3786,270.955325,289.650975,279.643175
373.554025,271.323825,289.657475,279.749425
373.6425,271.39145,289.682675,279.782175
374.22415,271.52075,289.977675,279.834925
374.6765,271.6889,290.000775,279.888225
375.110025,271.839125,290.03605,279.925
375.537825,271.890025,290.168675,280.054025
375.6822,271.94425,290.632225,280.231525
376.647375,272.14485,290.690475,280.31695
376.69415,272.255625,290.741425,280.361025
376.8349,272.32135,290.779425,280.661475
377.467075,272.587975,290.826225,280.678575
378.0213,272.85735,291.0501,280.71405
379.06285,272.932,291.1283,280.79875
380.714425,273.081525,291.1699,280.96155
380.9395,273.124075,291.299175,281.004225
381.093325,273.226775,291.68955,281.150425
381.29855,273.35995,291.6964,281.20885
381.427175,273.6182,291.75875,281.351725
382.2174,273.692125,292.35565,281.574825
382.274875,273.781925,292.510975,281.655525
382.8153,273.96135,292.6029,282.233325
383.42625,274.0411,292.638975,282.342
383.49265,274.14785,292.6707,282.377425
383.883025,274.174,292.744,282.55035
383.93365,274.21565,292.951025,283.175525
384.56555,274.2855,293.0157,283.65235
385.2107,274.342575,293.023125,284.0856
385.3549,274.522725,293.5306,284.343525
385.469675,274.6746,293.651525,284.43745
385.5417,274.70085,293.679525,284.564725
385.6821,274.726975,293.812075,284.63745
385.73275,274.77835,294.0015,284.905475
385.99605,274.802625,294.082275,285.0587
386.136725,274.83115,294.796075,285.150225
386.427875,274.897675,295.387775,285.210725
386.781075,274.94405,295.457825,285.292975
386.876575,275.016475,295.7208,285.363
387.1766,275.054325,295.812875,285.53915
387.2098,275.08405,296.368575,285.826875
387.2244,275.113825,296.4419,285.978325
387.866775,275.162775,296.45765,286.019875
388.032175,275.19495,296.481475,286.18945
388.211625,275.22975,296.5827,286.258925
388.52755,275.269525,296.807075,286.405025
388.856625,275.300675,296.9331,286.4692
389.41635,275.350025,297.28815,286.526925
389.47035,275.351375,298.24955,286.587875
390.142825,275.38735,298.409825,286.825475
390.145825,275.43925,298.432075,286.990175
390.415925,275.473325,298.448,287.125425
391.0883,275.549175,298.667,287.20855
391.3685,275.61655,299.1668,287.4338
391.56135,275.68975,299.2706,287.547325
391.618325,275.724325,299.29475,287.632375
391.6224,275.782725,299.438975,287.774575
392.08685,275.80035,299.57655,287.91105
392.12535,275.89885,299.5933,287.97855
393.954425,276.0242,299.774075,288.04045
394.45245,276.106875,300.043725,288.104025
395.032,276.13675,300.6173,288.327475
395.491825,276.155825,301.1807,288.407825
397.5397,276.182325,301.264275,288.6671
397.63925,276.21195,301.61925,288.8002
397.755125,276.28735,301.827975,289.094425
397.887675,276.3095,302.071225,289.31925
398.122325,276.3327,302.22915,289.349925
398.4379,276.369475,302.39445,289.656325
398.57685,276.406725,302.48995,289.73225
398.684975,276.5213,302.98185,289.893625
398.984425,276.555625,303.1415,290.2954
399.2115,276.677825,303.181775,290.49335
399.486725,276.750475,303.31715,290.5595
399.5538,276.786775,303.3229,290.6657
399.734425,276.930525,303.617625,290.790375
399.739225,276.954375,303.637825,290.85755
