SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC11a
25.7011,15.648325,42.926,12.70485,79.219725,36.424225,6.4856
25.82205,15.722325,42.98595,12.758275,79.76455,36.445275,6.51635
25.9744,15.78085,43.1868,12.8174,80.292575,36.459625,6.520075
26.04665,16.020075,43.39205,12.840625,81.493475,37.02065,6.532825
26.170375,16.078625,43.537625,12.940375,82.08265,37.074075,6.5379
26.268025,16.1106,43.55295,12.99065,82.24065,37.11265,6.553275
26.3848,16.196575,43.732575,13.086225,82.321475,37.25995,6.562625
26.51725,16.24775,43.757875,13.136675,83.518925,37.3218,6.571475
26.56,16.270675,43.794975,13.16945,84.378375,37.562625,6.572625
26.604525,16.279725,43.837425,13.1865,84.6644,37.660775,6.81655
26.67535,16.290075,43.9022,13.258825,85.56245,37.895075,6.9624
26.6786,16.38115,43.934775,13.351275,85.706,37.9426,6.977875
26.7579,16.383175,43.9695,13.397825,86.122125,38.07195,6.985275
26.7682,16.626675,43.993825,13.44535,86.270175,39.1463,6.992525
26.827475,16.730525,44.284575,13.54125,86.698575,39.2171,7.01045
26.90055,16.7605,44.365975,13.57865,87.471275,39.2543,7.0334
26.95095,16.811025,44.427275,13.639425,87.569375,39.342875,7.03555
27.004525,16.9072,44.459775,13.6975,88.15895,39.400325,7.0403
27.096375,17.042625,44.4729,13.7579,88.50955,39.50605,7.055875
27.178925,17.141725,44.713075,13.794475,89.3112,39.80695,7.068225
27.3441,17.1938,44.88795,13.84765,90.603375,39.830825,7.083275
27.53695,17.2402,44.96185,13.896225,91.178725,39.9094,7.09475
27.6435,17.31045,45.00965,13.9854,91.8006,40.0641,7.12275
27.696825,17.360825,45.050975,14.012825,91.972375,40.172325,7.170275
27.757075,17.392925,45.5344,14.050475,92.047575,40.268425,7.171725
27.848875,17.531625,45.867525,14.10285,93.172075,40.34785,7.188275
27.97795,17.584275,46.021025,14.1759,94.464725,40.83455,7.217125
28.077375,17.6489,47.180225,14.2106,95.05595,40.864775,7.38945
28.12885,17.659,50.60925,14.30515,96.1179,40.93905,7.469575
28.169525,17.71415,51.309625,14.3882,96.67975,41.45765,7.49115
28.205575,17.75705,51.352225,14.4286,97.061975,41.492925,7.506025
28.275525,17.772275,51.3979,14.44905,97.6721,41.537025,7.598725
28.3667,17.7968,51.568275,14.4729,98.469225,41.9081,7.6631
28.433875,17.809525,51.78375,14.477825,99.179025,41.937425,7.6683
28.55115,17.822875,51.8922,14.54205,99.223975,42.01355,7.67585
28.588875,17.855075,52.0819,14.610175,99.251175,42.04705,7.68455
28.6702,17.96365,52.108,14.667025,100.063075,42.185325,7.707225
28.76305,18.071475,52.16115,14.730525,100.4065,42.318125,7.747525
28.766025,18.11615,52.238175,14.794725,102.257775,42.95495,7.7702
28.808225,18.1354,52.2745,14.817675,102.39755,42.967125,7.807725
28.9104,18.168125,52.28055,14.844725,103.738425,43.374775,7.833075
29.02795,18.220325,52.316375,14.88355,104.17755,43.42895,7.89595
29.085475,18.24075,52.37845,14.9158,104.244125,43.6464,7.932525
29.154475,18.271775,52.666575,14.98275,105.105425,44.053475,7.965925
29.219425,18.37495,52.7157,15.0107,107.187675,44.097425,7.978125
29.329775,18.402225,52.72255,15.05375,107.668925,44.11035,8.29155
29.421325,18.43685,52.784875,15.1374,108.218525,44.2058,8.358325
29.6227,18.504325,52.829225,15.186475,110.790625,44.2609,8.403975
29.6636,18.65605,52.90345,15.244625,111.211475,45.212775,8.419375
29.717025,18.663775,53.002725,15.251375,111.51585,45.947825,8.42985
29.784725,18.889425,53.082525,15.300525,111.5915,46.677625,8.4394
29.8235,18.946275,53.27585,15.388575,112.45255,48.02945,8.448375
29.895225,18.993775,53.417975,15.412475,113.385925,48.0524,8.455825
29.9804,19.01035,53.45885,15.448825,113.91775,48.551425,8.461875
30.128675,19.229725,53.535,15.482175,115.3318,48.595825,8.49195
30.214975,19.26875,53.770025,15.51495,116.1285,49.26925,8.510175
30.318725,19.295125,53.7971,15.55175,116.3208,49.531,8.5143
30.336175,19.363575,54.050475,15.63495,116.997125,49.83935,8.522425
30.461425,19.3867,54.26995,15.696125,117.62485,49.962625,8.5447
30.64555,19.439025,54.347875,15.758775,117.9531,50.020775,8.567025
30.826675,19.50285,54.4756,15.7714,118.69865,50.06725,8.5876
30.934125,19.539325,54.551275,15.879475,119.745725,50.422525,8.613575
31.01345,19.593025,54.651425,15.900225,120.1647,50.4447,8.64165
31.100425,19.627175,54.902675,15.9486,120.358875,50.46695,8.658225
31.184725,19.927275,55.0792,16.175125,121.27965,50.531225,8.675325
31.24945,20.1587,55.234,16.2482,122.5012,51.178475,8.963975
31.311075,20.174875,55.342225,16.33505,122.600275,51.28985,9.079325
31.397875,20.262475,55.4007,16.400725,122.634075,51.52335,9.188075
31.683225,20.351175,55.6244,16.527675,124.05615,51.5399,9.21475
31.760725,20.4301,56.07605,16.58905,124.54685,51.571625,9.23235
31.82055,20.471975,56.1065,16.609075,124.619325,52.27935,9.250475
31.870025,20.5055,56.1517,16.628,125.3383,52.49845,9.275825
31.926725,20.580625,56.26105,16.646775,126.15355,52.545025,9.29165
31.935475,20.6289,56.350225,16.7033,127.15235,52.56315,9.30165
31.989175,20.7046,56.575725,16.766575,127.276625,52.664875,9.325525
32.141625,20.833175,56.636875,16.81165,127.6736,52.845125,9.338475
32.600175,20.874025,56.868175,16.891775,127.8368,52.898525,9.35265
32.74265,21.16025,57.02155,16.93075,127.989,53.1059,9.378175
32.96125,21.249875,57.0931,16.957625,128.715775,53.722425,9.3991
33.13685,21.300525,57.170725,17.194625,128.89,53.733675,9.400675
33.46175,21.312075,57.5841,17.254325,128.9831,53.805325,9.42315
33.612475,21.4208,58.457225,17.2611,129.667575,54.5228,9.437375
33.71375,21.479775,58.844575,17.3269,129.796525,54.548225,9.452475
33.792175,21.8266,58.87795,17.351,131.36965,54.710975,9.4624
33.87895,21.953175,59.031,17.446725,131.577075,55.233775,9.50485
34.23885,22.041125,60.984675,17.484325,131.6846,55.334575,9.5671
34.35285,22.2225,62.9417,17.5238,131.946975,55.396675,9.668775
34.4649,22.250225,63.2904,17.55475,132.100375,55.9171,9.746325
34.65195,22.284625,63.64445,17.583575,133.128875,55.948275,9.757
35.0607,22.324325,63.86025,17.70115,133.7979,56.037125,9.7906
35.211325,22.32835,64.048825,17.747175,134.147975,56.049425,9.83625
35.2963,22.47125,64.1615,17.7948,134.238325,56.202125,9.9034
35.505175,22.5801,64.229975,17.822475,135.4901,56.20705,9.974725
35.67765,22.65095,64.3473,17.89095,135.93175,56.2228,9.9953
35.857375,22.701,64.736125,17.90105,136.39355,56.718325,10.0088
36.044975,22.74665,65.381425,18.016725,136.472725,56.8487,10.02745
36.1245,22.876125,65.549575,18.1339,137.611675,57.080975,10.082475
36.188675,23.064725,65.72505,18.16055,137.998325,57.51975,10.094125
36.299575,23.103975,65.741025,18.194125,138.80995,58.834625,10.10405
36.3979,23.267125,66.56715,18.2215,139.6891,58.863275,10.11685
36.401775,23.5275,66.590675,18.263875,139.713725,58.94265,10.130175
36.508475,23.534225,66.7575,18.33905,140.10745,58.988375,10.138
36.554925,23.53905,67.212525,18.4567,140.252125,59.01835,10.143125
36.66915,23.575275,67.394675,18.476575,140.50515,59.034575,10.153175
36.7734,23.837275,67.77,18.5246,140.5093,59.396325,10.16335
36.829525,24.181675,67.97715,18.590925,140.9701,59.527225,10.195275
36.9885,24.323925,68.42745,18.730875,141.8108,59.628475,10.21575
37.10945,24.3615,68.7076,19.1716,142.10795,59.7034,10.34085
37.18935,24.423375,68.86415,19.3238,142.90515,59.737575,10.40305
37.33705,24.567025,68.978925,19.434875,143.235225,59.754475,10.558375
37.593025,24.60665,70.20445,19.528275,144.781375,59.7638,10.5805
37.7816,24.655075,70.30735,19.58585,144.826075,60.2065,10.593975
37.8647,24.6967,70.820925,19.588475,145.02965,60.2889,10.60455
38.01065,24.7672,71.097825,19.635725,145.06955,60.3243,10.614
38.115,24.8173,71.382925,19.731575,145.276925,60.369,10.619925
38.3295,24.865475,71.446175,19.768575,145.859825,60.5858,10.625375
