SPK_SPKC02a (inhibited),SPK_SPKC05a (inhibited)
12.14225,55.226175
12.163325,55.39785
12.179125,55.439075
12.190375,55.501825
12.2297,55.658525
12.256225,55.892825
12.28055,55.909225
12.28575,56.078825
12.294825,56.23515
12.301775,56.315325
12.321975,56.411175
12.32695,56.46325
12.333175,56.58755
12.346275,56.74135
12.38205,56.8329
12.40535,56.898075
12.446975,57.163825
12.46385,57.18705
12.49505,57.3082
12.505225,57.5757
12.521725,57.7668
12.537275,57.829625
12.54515,57.8817
12.548025,58.22695
12.5842,58.252725
12.599775,58.332125
12.6063,58.441875
12.6267,58.4733
12.638075,58.67135
12.65225,58.688025
12.675975,58.738325
12.69625,58.8516
12.71855,58.977
12.7235,59.007075
12.72975,59.09505
12.742275,59.150175
12.76975,59.16395
12.802825,59.275125
12.808275,59.420275
12.813875,59.4449
12.818325,59.472
12.8273,59.641875
12.834775,59.810425
12.859225,59.816275
12.886425,59.884675
12.8955,59.999175
12.92015,60.147325
12.9337,60.187675
12.941625,60.196125
12.966125,60.3317
12.97785,60.46105
12.981325,60.826175
12.9921,60.89305
13.0108,61.0044
13.02915,61.033
13.0325,61.107625
13.0453,61.194425
13.058075,61.4573
13.064475,61.568425
13.088375,61.734225
13.099525,61.929725
13.11385,61.97895
13.137375,62.01205
13.14675,62.10835
13.158775,62.148075
13.172425,62.156925
13.295075,62.2445
13.365575,62.372375
13.39005,62.745425
13.395475,62.772075
13.414525,62.792625
13.4274,62.882875
13.43745,63.279425
13.4493,63.36135
13.49075,63.471325
13.500125,63.50285
13.549125,64.04845
13.6256,64.055675
13.636775,64.106425
13.65355,64.2132
13.681775,64.2701
13.72405,64.356825
13.741375,64.454425
13.77835,64.485875
13.823625,64.626525
13.85135,64.682725
13.86825,64.91305
13.949,65.052425
13.9601,65.09615
13.967775,65.1071
13.97765,65.16965
13.996375,65.17785
14.01445,65.2429
14.0262,65.266725
14.04275,65.276525
14.053725,65.4599
14.0681,65.46765
14.071125,65.5248
14.0867,65.568375
14.099925,65.7137
14.114375,66.08585
14.1478,66.100925
14.162025,66.138675
14.1783,66.162625
14.188475,66.24525
14.20675,66.315625
14.228725,66.415775
14.242775,66.481975
14.26585,66.801425
14.3191,66.85605
14.32955,66.90895
14.357475,67.079725
14.371125,67.09375
14.378025,67.177075
14.390425,67.18985
14.399975,67.34185
14.41285,67.417125
14.433175,67.45995
14.45145,67.51295
14.46085,67.5872
14.480225,67.59745
14.49275,67.655875
14.505375,67.81655
14.548225,67.853125
14.561925,67.863225
14.57695,67.92815
14.6108,68.0312
14.613925,68.065225
14.6292,68.111875
14.648075,68.317325
14.698475,68.371625
14.709725,68.5104
14.72525,68.523975
14.738975,68.55875
14.74705,68.68335
14.76155,68.70545
14.77145,68.728275
14.81975,68.820225
14.8391,68.8461
14.8486,68.908675
14.8598,68.9743
14.874925,68.987725
14.879975,69.01545
14.89545,69.259775
14.971575,69.389575
15.06215,69.6112
15.0733,69.8368
15.12925,69.876075
15.133175,70.02665
15.142075,70.1379
15.1611,70.35675
15.170925,70.686725
15.191075,70.8662
15.2145,71.047575
15.246075,71.296525
15.27505,71.304175
15.295025,71.564725
15.30125,71.58555
15.3106,71.65325
15.325225,71.73735
15.35415,71.999225
15.390675,72.07005
15.414975,72.101
15.43385,72.14315
15.446475,72.273625
15.4641,72.4247
15.540425,72.454825
15.5524,72.56525
15.578275,72.653025
15.624275,72.7448
15.657675,72.78605
15.67075,72.8006
15.679275,73.117075
15.6938,73.141475
15.702975,73.1669
15.737775,73.22215
15.773225,73.271975
15.79275,73.296075
15.80285,73.411525
15.817,73.50535
15.830575,73.61745
15.864575,73.624075
15.874975,73.6562
15.8904,73.81075
15.901875,73.99985
15.936625,74.066075
15.94025,74.079475
15.9668,74.25545
16.00315,74.34215
16.016525,74.438225
16.02595,74.476075
16.04025,74.504625
16.064525,74.78305
16.085375,74.861425
16.099975,74.8822
16.1171,74.914925
16.1294,75.115425
16.1564,75.410825
16.1677,75.655925
16.183725,76.067775
16.2207,76.232525
16.2318,76.26125
16.248175,76.6484
16.2579,76.77395
16.262975,76.806875
16.270725,76.95955
16.288175,76.9794
16.305125,77.0369
16.32605,77.1018
16.3392,77.1172
16.381225,77.137775
16.398525,77.456625
16.41445,77.6293
16.4189,77.71995
16.4274,77.895625
16.47815,78.000475
16.4837,78.08225
16.50065,78.488975
