SPK_SPKC08a (no opto-tagging),SPK_SPKC10a (inhi),SPK_SPKC11a (exc),SPK_SPKC12a (no response),SPK_SPKC12b (exc),SPK_SPKC14a (short inhi)
72.183325,4.189275,5.06575,79.9084,6.702925,3.9092
72.27625,4.20275,5.085525,80.24205,6.738325,3.9516
72.53025,4.2082,5.09585,80.530575,6.7656,3.9876
72.5941,4.232375,5.10275,80.81905,6.8392,4.012325
73.409675,4.2588,5.118625,81.065325,6.88765,4.03365
74.232225,4.274325,5.1292,81.110725,6.931125,4.067725
74.956275,4.2893,5.148875,81.527525,6.9494,4.093825
75.1005,4.317775,5.16385,81.56985,6.9578,4.111675
75.1619,4.332975,5.171675,81.711525,6.97905,4.128175
75.5079,4.358475,5.179125,82.347925,6.988075,4.138625
75.721825,4.377125,5.1883,82.9588,6.993475,4.1544
75.72755,4.3806,5.200675,82.996575,7.00285,4.1793
76.16615,4.421725,5.2622,83.451925,7.007325,4.200225
76.2673,4.436725,5.27015,83.710125,7.012725,4.2109
76.60065,4.44985,5.28165,83.964775,7.019975,4.231125
76.664425,4.4653,5.31725,84.018475,7.02825,4.23835
76.7563,4.4761,5.3268,84.072,7.04,4.251625
76.773425,4.4804,5.356325,84.458575,7.057675,4.278325
76.7782,4.48855,5.37035,84.649675,7.0802,4.31185
77.176725,4.499925,5.40275,84.779325,7.09475,4.337875
77.254125,4.507025,5.440075,84.79215,7.11885,4.3622
77.267,4.5165,5.4526,85.6638,7.140275,4.379925
77.3926,4.5231,5.471575,85.6803,7.1672,4.396425
77.554025,4.528725,5.484325,88.0469,7.19345,4.419075
77.58875,4.5348,5.563375,88.937875,7.228275,4.43305
77.628825,4.550475,5.577375,89.611175,7.28495,4.448575
78.878625,4.560225,5.611675,90.174075,7.3303,4.464725
79.0311,4.5741,5.6283,90.2444,7.3735,4.478575
79.293825,4.59375,5.635625,90.5176,7.40235,4.497925
79.532,4.622325,5.65475,90.531225,7.41845,4.50935
79.5343,4.6266,5.665875,90.787075,7.42865,4.52105
79.608275,4.660825,5.68785,91.237625,7.45125,4.534125
80.385475,4.689125,5.703825,91.532725,7.47085,4.54485
80.576325,4.707825,5.73965,91.609475,7.486775,4.5548
80.597025,4.726025,5.759975,91.6393,7.5104,4.55855
80.623275,4.760125,5.78175,92.153225,7.52455,4.5787
80.99915,4.775725,5.800125,92.550275,7.5424,4.601925
81.285775,4.787825,5.8136,93.49835,7.573275,4.63385
81.7486,4.7945,5.83195,93.6705,7.592975,4.659575
81.85105,4.801575,5.84365,93.747475,7.6345,4.68005
81.933025,4.810025,5.855,93.776975,7.702475,4.693875
82.01925,4.822875,5.86315,93.809575,7.747025,4.743375
82.7328,4.837575,5.889875,93.860075,7.797525,4.7859
82.800725,4.858375,5.92615,94.257525,7.83945,4.81085
82.949975,4.873175,5.940575,94.84575,7.862875,4.8377
83.01425,4.88925,5.955975,94.8899,7.87775,4.8565
83.61005,4.90725,5.978075,95.20595,7.8882,4.900725
83.761775,4.926325,5.99165,95.607025,7.91965,4.91885
83.809275,4.93235,6.00245,95.640775,7.937475,4.945025
83.817375,4.94125,6.017575,95.9626,7.960475,4.95325
84.3082,4.95145,6.057875,96.104125,7.967625,4.9554
85.16085,4.9695,6.067875,96.11065,7.993975,4.9668
85.221825,4.989775,6.079225,97.378625,8.004,4.981725
85.561975,5.014725,6.0841,97.4085,8.0151,4.9929
85.83325,5.035425,6.11315,97.717525,8.021025,4.99925
86.052975,5.0686,6.120325,97.995725,8.02515,5.0057
86.1832,5.0984,6.1457,98.345575,8.031425,5.0131
86.34605,5.100375,6.15315,98.708625,8.034475,5.020875
86.6504,5.11085,6.192275,98.990275,8.056575,5.03825
86.691075,5.129325,6.2431,99.3944,8.0634,5.05985
87.42535,5.14045,6.270525,99.565425,8.0708,5.0719
87.8935,5.161875,6.28525,99.6929,8.084,5.082825
88.07045,5.18135,6.2912,99.8345,8.10635,5.098925
88.206125,5.1969,6.3001,100.8097,8.143325,5.1149
88.238875,5.22245,6.307825,101.6748,8.236425,5.1326
88.355425,5.2466,6.31595,102.34065,8.290575,5.14285
88.954275,5.306675,6.329825,102.405425,8.30075,5.15905
89.050175,5.314225,6.362625,102.513,8.31605,5.170625
89.079575,5.3318,6.3667,102.8172,8.322375,5.185325
89.45015,5.351225,6.37955,102.867325,8.3333,5.19405
89.56805,5.354525,6.39035,104.397225,8.3423,5.211075
89.920175,5.36855,6.402075,105.36285,8.349325,5.220525
90.3958,5.3783,6.4295,106.205925,8.3587,5.2349
91.131275,5.399125,6.44905,106.6537,8.36795,5.2432
91.7007,5.411275,6.4745,106.7037,8.378475,5.257475
91.997425,5.4278,6.483775,106.96315,8.384025,5.26935
92.0772,5.43925,6.51625,107.0263,8.399325,5.284325
92.2274,5.44735,6.547575,107.03185,8.415675,5.2998
