SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC12a,SPK_SPKC12b
652.271925,648.5359,641.901225,654.45415
652.30105,648.6564,641.920075,654.581125
652.307375,648.929,641.9717,654.6223
652.3507,649.013275,642.06455,654.687225
652.493525,649.03185,642.07645,654.71015
652.683275,649.039025,642.0814,654.7197
652.7391,649.054875,642.132075,654.78935
652.808225,649.060275,642.1337,654.814675
652.8267,649.127175,642.1538,654.8866
652.86365,649.181375,642.2314,655.1565
652.93165,649.23535,642.3283,655.277125
652.9624,649.268225,642.369275,655.296725
653.182925,649.5451,642.42225,655.316725
653.187225,649.552025,642.45475,655.337625
653.22375,649.6661,642.478725,655.345375
653.4064,649.739625,642.5164,655.38955
653.416725,649.764125,642.577925,655.46605
653.43205,650.053125,642.61915,655.501125
653.439525,650.095525,642.62885,655.813975
653.446725,650.09915,642.637,655.8475
653.450775,650.1206,642.651,655.86485
653.4625,650.136275,642.6762,655.87385
653.861,650.1481,642.7064,655.92325
653.8787,650.2091,642.72655,656.098975
653.894,650.2894,642.745475,656.2304
653.9217,650.4496,642.78795,656.268
654.135875,650.518875,642.837325,656.30775
654.15935,650.57695,642.97905,656.324925
654.1669,650.5889,643.026875,656.41265
654.17655,650.605675,643.135675,656.63845
654.1992,650.6186,643.1528,656.65865
654.317075,650.6553,643.2222,656.727625
654.347975,651.024675,643.271675,656.9221
654.635875,651.06835,643.33265,656.944975
654.67505,651.085575,643.433775,656.9622
654.702375,651.258125,643.464425,657.029025
654.721425,651.304375,643.486,657.269975
654.742025,651.393325,643.547025,657.326525
654.75145,651.4387,643.5496,657.3319
654.783975,651.515075,643.565175,657.380325
654.890675,651.64425,643.5806,657.405075
654.9218,651.6536,643.58205,657.4121
655.04,651.85355,643.590825,657.43905
655.05645,651.86745,643.62015,657.490475
655.07275,652.1144,643.6335,657.505725
655.089675,652.147975,643.641125,657.747175
655.146675,652.178775,643.6554,657.79485
655.66195,652.195425,643.697975,657.958625
655.676375,652.221025,643.97765,658.0272
655.87625,652.285225,643.97875,658.2352
655.89205,652.29545,643.98845,658.45595
655.89925,652.313875,643.996725,658.598975
655.905825,652.321175,643.999575,658.655025
