SPK_SPKC01a (no response),SPK_SPKC15a (no response)
,443.494075
,443.537975
,443.598875
,443.643475
,443.69065
,443.773975
,443.848875
,443.9222
,444.032125
,444.090925
,444.15245
,444.2256
,444.260825
,444.3137
,444.359925
,444.415825
,444.454525
,444.523025
,444.576075
,444.6464
,444.798475
,444.844125
,444.916425
,444.98825
,445.0262
,445.153125
,445.26135
,445.323225
,445.354575
,445.4597
,445.50915
,445.59495
,445.64475
,445.6909
,445.7838
,445.878325
,445.9216
,445.983825
,446.1162
,446.215
,446.2726
,446.32795
,446.394
,446.495775
,446.56495
,446.639325
,446.69375
,446.8688
,446.942975
,447.025125
,447.1662
,447.23275
,447.301375
,447.396675
,447.4655
,447.613125
,447.649925
,447.720675
,447.7706
,447.8287
,447.88045
,447.96445
,448.046725
,448.109275
,448.16725
,448.338325
,448.4579
,448.5841
,448.66145
,448.792425
,448.88855
,449.04505
,449.195125
,449.444375
,449.638125
,449.72645
,449.8723
,449.962975
,450.037325
,450.15485
,450.21245
,450.3592
,450.82925
,450.997875
,451.29185
,451.470175
,452.408475
,452.688775
,453.387725
,453.864675
,456.64225
,456.74335
,456.8066
,456.919225
,457.30855
,457.4032
,457.49045
,457.592825
,457.69455
,457.8372
,457.92105
,457.9799
,458.03605
,458.087975
,458.1328
,458.246575
,458.33215
,458.450575
,458.54845
,458.628825
,458.720125
,458.91455
,459.16785
,459.3214
,459.47625
,459.5369
,459.610075
,459.648525
,459.7045
,459.757125
,459.8349
,459.924625
,460.0915
,460.1643
,460.230225
,460.30615
,460.40575
,460.51915
,460.60595
,460.6675
,460.7306
,460.802525
,460.861525
,460.971725
,461.0298
,461.1005
,461.203075
,461.247475
,461.36785
,461.44725
,461.518875
,461.573775
,461.6588
,461.721625
,461.7651
,461.8247
,461.8716
,461.9421
,461.98705
,462.04775
,462.07365
,462.1732
,462.238725
,462.2947
,462.35335
,462.425225
,462.507025
,462.55315
,462.6685
,462.737425
,462.80575
,462.8855
,462.976075
,463.04595
,463.1021
,463.146025
,463.29305
,463.3469
,463.417
,463.4917
,463.6017
,463.63645
,463.726075
,463.788325
,463.948225
,464.0207
,464.078225
,464.12215
,464.176475
,464.217975
,464.25685
,464.3009
,464.3597
,464.492025
,464.5237
,464.55
,464.61755
,464.6804
,464.7801
,464.83735
,464.924575
,464.987675
,465.0445
,465.109425
,465.15445
,465.21345
,465.283625
,465.33855
,465.3875
,465.453275
,465.5177
,465.55825
,465.6205
,465.69635
,465.75035
,465.80625
,465.8612
,465.9626
,466.0338
,466.090075
,466.134975
,466.17745
,466.2733
,466.317575
,466.365475
,466.432025
,466.472475
,466.5221
,466.583
,466.62375
,466.702075
,466.74845
,466.793025
,466.93885
,466.994325
,467.098525
,467.177225
,467.245425
,467.305175
,467.374175
,467.6021
,467.671275
,467.718875
,467.754625
,467.85265
,467.892825
,467.96245
,468.0212
,468.08865
,468.15725
,468.236675
,468.328525
,468.402075
,468.475025
,468.5364
,468.584175
,468.66565
,468.755825
,468.81475
,468.869275
,468.948125
,468.995275
,469.05335
,469.09655
,469.156075
,469.220025
,469.263
,469.306925
,469.34875
,469.41405
,469.459475
,469.524775
,469.612975
,469.695525
,469.745575
,469.818675
,469.880875
,469.920375
,469.959275
,470.031675
,470.0734
,470.1347
,470.186075
,470.230725
,470.28975
,470.335575
,470.380175
,470.459825
,470.526375
,470.56945
,470.61195
,470.66485
,470.7347
,470.779925
,470.8478
,470.90425
,470.9518
,471.0017
,471.078325
,471.127525
,471.193175
,471.251625
,471.310875
,471.409675
,471.5033
,471.571025
,471.646125
,471.69935
,471.756125
,471.816125
,471.86885
,471.91955
,471.99385
,472.040425
,472.138325
,472.1785
,472.23265
,472.3088
,472.39325
,472.42545
,472.489
,472.5608
,472.611275
,472.7128
,472.789475
,472.84935
,472.94045
,472.9841
,473.04715
,473.085975
,473.183
,473.248425
,473.29775
,473.372875
,473.453825
,473.589225
,473.676
,473.812625
,473.863975
,473.9149
,473.990475
,474.0669
,474.127525
,474.231
,474.28385
,474.32385
,474.3879
,474.45145
,474.584525
,474.8142
,474.924425
,475.009175
,475.274325
,475.4073
,475.562875
,475.7191
,475.8392
,476.31935
,476.723375
,476.804075
,476.862175
,477.0309
,477.1939
,477.62615
,477.70055
,478.9459
,480.672075
,480.738575
,480.8236
,481.014475
,481.104
,481.197925
,481.3521
,481.44265
,481.565175
,481.621875
,481.688125
,481.851025
,481.9996
,482.54465
,482.6898
,482.8619
,482.98505
,483.055775
,483.1299
,483.1863
,483.291275
,483.403675
,483.46865
,483.69735
,483.7885
,483.87795
,484.1002
,484.15685
,484.2194
,484.260175
,484.308775
,484.40035
,484.50245
,484.57335
,484.650725
,484.72265
,484.821
,484.8866
,484.939775
,485.004875
,485.12475
,485.2253
,485.293425
,485.35635
,485.463275
,485.601
,485.65885
,485.7172
,485.796
,485.873
,485.9695
,486.23625
,486.365225
,486.486375
,486.67425
,486.842775
,486.973825
,487.040725
,487.123
,487.17275
,487.3509
,487.49885
,487.57655
,487.637225
,487.7126
,487.761925
,487.837075
,487.9121
,488.21595
,488.3123
,488.418275
,488.503125
,488.574175
,488.603475
,488.71285
,488.7664
,488.86995
,488.926475
,488.9893
,489.0508
,489.12275
,489.184325
,489.264875
,489.3421
,489.40025
,489.511875
,489.603575
,489.7097
,489.772
,489.818075
,489.886675
,489.979475
,490.05645
,490.104925
,490.18335
,490.25655
,490.43915
,490.564725
,490.624675
,490.719575
,490.7835
,490.88275
,490.91215
,491.13165
,491.314325
,491.4319
,491.50015
,491.55925
,491.599175
,491.660275
,491.725275
,491.777025
,491.934125
,492.01065
,492.08085
,492.16465
,492.302925
,492.385725
,492.516625
,492.686925
,492.76595
,492.84045
,492.905325
,493.01105
,493.04685
,493.148425
