SPK_SPKC02a (no response),SPK_SPKC07a (exc/inh)
342.760675,359.70735
342.83395,359.732875
342.93235,359.82235
343.101175,359.85025
343.23665,359.92165
343.431225,360.049025
343.71985,360.278625
343.928875,360.345475
344.404925,360.485075
344.659775,360.551575
344.773825,360.781025
344.852975,360.991125
344.909725,360.994875
345.046975,361.026625
345.101225,361.0599
345.17385,361.228225
345.48665,361.342275
345.5794,361.34455
345.62675,361.487625
345.6758,361.511275
345.721375,361.576575
345.768675,361.849925
345.836075,361.8698
345.87915,361.89765
345.929525,362.003575
345.960125,362.0344
345.9848,362.127475
346.006025,362.184575
346.041975,362.24785
346.0727,362.41355
346.09705,362.47595
346.133425,362.507125
346.16235,362.530025
346.19015,362.562075
346.24105,362.718875
346.255425,362.881325
346.298725,362.93805
346.3524,363.163975
346.38995,363.185125
346.455325,363.215225
346.4912,363.23415
346.52095,363.263175
346.54435,363.293575
346.607175,363.311375
346.636225,363.328675
346.662475,363.38205
346.781875,363.56805
346.805375,363.749
346.849875,363.7975
346.923475,363.8783
346.994175,363.99495
347.022875,364.02745
347.131525,364.27865
347.217525,364.297225
347.3383,364.356325
347.410475,364.4032
347.7311,364.405675
347.9184,364.4793
348.094875,364.540075
348.1425,364.54355
348.1782,364.56745
348.274925,364.768175
348.3289,364.905525
348.43035,365.2013
348.64865,365.327875
348.81035,365.416975
348.96585,365.463575
349.005775,365.540475
349.06255,365.560825
349.09855,365.675025
349.19215,365.703225
349.2471,365.953475
349.293075,366.07225
349.32295,366.11785
349.352775,366.181925
349.386675,366.495225
349.42315,366.522875
349.514475,366.58485
349.548725,366.61105
349.596,366.683375
349.625525,366.854325
349.68205,366.901425
349.749,366.961125
349.7714,367.10205
349.807925,367.11335
349.84225,367.168875
349.877375,367.1809
349.93105,367.21135
350.008075,367.292825
350.1541,367.302125
350.2245,367.312175
350.301625,367.4312
350.360975,367.510875
350.450025,367.66605
350.611975,367.68575
350.6614,367.711275
350.748475,367.729875
350.89275,367.9535
351.01575,368.08205
351.072725,368.108625
351.149725,368.35945
351.2011,368.4922
351.2686,368.602675
351.371925,368.661275
351.45035,368.789725
351.52255,368.891225
351.60465,368.9945
351.6363,369.05605
351.786125,369.132875
351.8483,369.215375
351.9407,369.258125
351.999825,369.362425
352.15175,369.395625
352.283175,369.41815
352.413225,369.48325
352.51495,369.501975
352.698925,369.56135
352.792425,369.64195
352.9323,369.732175
353.286025,369.806275
353.495825,369.8153
353.73395,369.8192
354.090475,370.361675
354.2064,370.40155
354.3274,370.46445
354.4033,370.523075
354.6128,370.5694
354.774225,370.6985
354.956475,370.7175
355.308375,370.7287
355.47935,370.942725
355.7034,371.040575
355.92145,371.114225
356.092025,371.321225
356.171425,371.6372
