SPK_SPKC02a (no response),SPK_SPKC07a (exc/inh)
245.335425,254.95115
245.4158,255.140025
245.543425,255.1486
245.6171,255.19895
245.703475,255.311225
245.822325,255.67685
245.949725,255.7154
246.097625,255.8148
246.174625,255.854525
246.30675,255.9401
246.410375,255.974275
246.5257,256.037
246.63105,256.329825
246.714775,256.40705
246.80115,256.4378
246.911575,256.88755
246.99015,257.05675
247.056675,257.46555
247.154225,257.629675
247.257875,257.82365
247.35965,257.889125
247.465025,257.9544
247.581375,258.137175
247.6773,258.19965
247.784775,258.59565
247.872775,258.72065
247.9538,258.758875
248.0212,258.78445
248.059625,258.890525
248.1649,258.9554
248.326725,259.046775
248.3844,259.078925
248.532,259.0894
250.933125,259.132025
251.112525,259.1548
251.23845,259.600075
251.396075,259.755525
251.502775,260.173
251.625175,260.283575
251.6931,260.30155
251.768725,260.3616
251.841775,260.4613
251.89505,260.5456
251.9896,260.6051
252.06525,260.6955
252.14485,260.845925
252.2593,260.894275
252.33795,261.06875
252.45205,261.2183
252.554575,261.337625
252.6425,261.346875
252.7386,261.50895
252.834125,261.619825
252.894525,261.729425
252.9917,261.883
253.10125,261.976625
253.1511,261.9867
253.284625,262.03115
253.4129,262.102025
253.506075,262.12005
253.601525,262.13635
253.6714,262.161075
253.74505,262.44155
253.85225,262.50815
253.98435,262.615925
254.07255,262.71375
254.157575,262.895525
254.2742,262.956125
254.341925,262.97805
254.412425,263.091075
254.50175,263.354925
254.61,263.38405
254.682125,263.47965
254.890025,263.550575
254.959475,263.60955
255.07825,263.681875
255.16275,263.779475
255.276875,263.942075
255.40215,264.10115
255.540125,264.132425
255.62085,264.18615
255.712075,264.255625
255.794125,264.2705
255.903525,264.346725
256.043075,264.38335
256.1353,264.41455
256.21775,264.695775
256.299575,264.7178
256.3534,264.75025
256.483275,264.77335
256.552225,264.8265
256.6551,264.833925
256.717725,264.9218
256.7816,265.0551
256.89135,265.2864
256.983275,265.327625
257.060075,265.486075
257.19625,265.50155
257.281575,265.7853
257.40945,265.9124
257.50245,265.968075
257.562175,266.046475
257.6809,266.223225
257.772675,266.3395
257.8862,266.406875
258.011075,266.4547
258.1048,266.578
258.162425,266.648975
258.2715,266.908125
258.43365,266.9941
258.566325,267.015925
258.659725,267.035575
258.7414,267.28035
258.827475,267.2905
258.89965,267.46
258.984975,267.505875
259.0882,267.588875
259.20725,267.634675
259.2868,267.7322
259.472575,267.975
259.596075,268.0214
259.679825,268.08545
259.758575,268.141325
260.036025,268.36875
260.133075,268.385725
