SPK_SPKC04a (no effect),SPK_SPKC08a (excited)
34.554725,31.0347
34.594,31.105825
34.604975,31.116775
34.642975,31.143275
34.724575,31.237475
34.82945,31.3165
34.92695,31.349125
35.118775,31.395625
35.143825,31.429925
35.427525,31.452975
35.51355,31.4851
35.557575,31.507825
35.6123,31.528875
35.63395,31.574475
35.6446,31.621325
35.780675,31.666575
35.862,31.698275
35.91225,31.710925
36.033925,31.72795
36.053325,31.749825
36.17215,31.800375
36.208375,31.88015
36.223825,31.893225
36.242275,31.922875
36.329175,31.9557
36.342375,31.97215
36.3703,31.992325
36.385875,32.008725
36.415475,32.033775
36.47415,32.066925
36.542475,32.131175
36.54635,32.1864
36.618175,32.2171
36.63645,32.22295
36.653825,32.2376
36.705425,32.24925
36.75435,32.266025
36.782275,32.2755
36.839575,32.2845
36.907975,32.29395
36.950075,32.341375
37.1077,32.4118
37.207125,32.44915
37.38525,32.468025
37.409925,32.4863
37.43435,32.508275
37.63095,32.516075
37.720425,32.544625
37.7783,32.572025
37.89455,32.599875
37.92085,32.6424
37.943875,32.684875
38.027875,32.697475
38.1157,32.7063
38.132225,32.72795
38.1715,32.7657
38.229675,32.8085
38.232325,32.867875
38.28885,32.909875
38.3329,32.928825
38.3556,32.9469
38.425625,32.979375
38.432675,32.99835
38.455425,33.02645
38.512825,33.06
38.543475,33.13385
38.6113,33.151775
38.70355,33.166125
38.756625,33.2177
39.23905,33.24265
39.259725,33.2977
39.2639,33.320925
39.28505,33.348075
39.43325,33.369875
39.44335,33.4054
39.733775,33.444575
39.77465,33.481925
39.8185,33.545275
39.8874,33.593775
39.931425,33.675725
40.201775,33.726525
40.2338,33.76965
40.26345,33.812475
40.2752,33.851
40.31335,33.8642
40.422975,33.87655
40.45045,33.889525
40.496575,33.91385
40.61715,33.930675
40.853525,33.95935
40.91285,33.98115
40.991525,34.0615
41.0111,34.075775
41.09,34.1143
41.10775,34.16205
41.156575,34.20355
41.208475,34.24695
41.25085,34.27635
41.28165,34.299675
41.360325,34.361425
41.451525,34.391225
41.529375,34.440075
41.58055,34.485525
41.59525,34.5353
41.641225,34.5822
41.8864,34.604575
41.925425,34.625475
41.9275,34.659025
41.968925,34.689925
42.0261,34.735725
42.086875,34.768675
42.2103,34.786475
42.254425,34.816775
42.316325,34.846825
42.33755,34.877775
42.4495,34.915325
42.483725,34.9195
42.5391,34.945375
42.68855,34.987525
42.703475,35.054725
42.7753,35.104125
42.815275,35.171825
42.908575,35.211025
42.961075,35.242925
42.97505,35.27165
43.00455,35.30205
43.037425,35.3562
43.056525,35.46665
43.0818,35.496925
43.121125,35.519975
43.14485,35.56755
43.31455,35.597525
43.380175,35.6183
43.384425,35.641425
43.43895,35.656
43.6938,35.671975
43.79765,35.705625
43.843025,35.792325
43.924675,35.848375
43.95235,35.891475
44.054125,35.931975
44.061775,36.01365
44.084675,36.06745
44.2843,36.091925
44.315275,36.14255
44.355475,36.174875
44.3782,36.215425
44.39935,36.272125
44.448425,36.30225
44.505525,36.3416
44.54035,36.466175
44.54505,36.511325
44.57115,36.531375
44.620075,36.570775
44.6673,36.622625
44.766575,36.654225
44.9015,36.691975
44.9032,36.716475
44.973475,36.752475
45.024275,36.7619
45.14035,36.7936
45.158425,36.834525
45.20035,36.897325
45.2087,36.9272
45.2254,36.9478
45.36385,36.982525
45.5511,37.01845
45.6229,37.116975
45.716175,37.18375
45.7906,37.24075
45.860675,37.29725
45.9038,37.336875
45.916325,37.3868
45.9207,37.42105
45.957725,37.45205
46.011275,37.497525
46.0461,37.518575
46.14215,37.54305
46.259375,37.5631
46.3995,37.62595
46.499275,37.641025
46.71535,37.6958
46.7367,37.74725
46.73855,37.7992
46.884375,37.847525
46.8922,37.87675
46.920125,37.9129
46.928525,37.966625
46.930175,38.033375
47.06035,38.067125
47.314225,38.0812
47.400425,38.103375
47.561625,38.14735
47.603025,38.173325
47.72065,38.29205
47.78975,38.3353
47.842025,38.364375
47.8976,38.39955
47.938825,38.424575
48.145275,38.442275
48.1736,38.478175
48.215925,38.498275
48.329125,38.536875
48.39275,38.55375
48.53645,38.5792
48.6578,38.61305
48.876525,38.63725
48.9262,38.664975
48.95125,38.696875
48.97055,38.722675
49.02235,38.775875
49.099275,38.80405
49.14355,38.860125
49.2083,38.894875
49.224575,38.922075
49.300575,38.966925
49.393775,39.0143
49.412075,39.066675
49.435275,39.1247
49.50835,39.1609
49.533625,39.188875
49.569475,39.2217
49.6277,39.2358
49.658775,39.260175
49.726675,39.292975
49.8141,39.3071
49.88385,39.327
49.926925,39.3425
49.930875,39.381075
49.9553,39.420525
50.052175,39.455775
50.152175,39.491975
50.16045,39.5461
50.204575,39.59545
50.217225,39.65335
50.29015,39.693625
50.40015,39.732425
50.44805,39.7622
50.490725,39.81875
50.5714,39.861375
50.672425,39.895475
50.753925,39.9394
50.786275,39.96275
50.830225,40.004575
50.902725,40.08605
50.9415,40.1338
50.962425,40.162525
50.989125,40.184475
51.074775,40.2054
51.1739,40.255575
51.20055,40.2949
51.26355,40.332625
51.297475,40.34965
51.3187,40.3775
51.4182,40.3929
51.5237,40.412525
51.585075,40.434175
51.94925,40.4598
52.0371,40.475125
52.153325,40.4946
52.16435,40.507825
52.294975,40.51875
52.352975,40.544875
52.408275,40.5704
52.416,40.596825
52.4758,40.629225
52.583375,40.66495
52.6037,40.695325
52.736675,40.82055
52.767775,40.873325
52.92905,40.9067
52.94695,40.98945
53.02925,41.03905
53.07525,41.069975
53.10865,41.1255
53.126075,41.15675
