SPK_SPKC01a (inhi),SPK_SPKC02a (maybe inhi),SPK_SPKC02b (inhi),SPK_SPKC06a (inhi),SPK_SPKC13a (inhi),SPK_SPKC13b (exc),SPK_SPKC16a (no opto-tagging)
220.9102,207.648475,203.5542,203.599125,202.9703,223.2807,213.5391
220.975475,207.659225,203.56555,203.60875,202.981825,223.30685,213.638625
221.087075,207.675025,203.6063,203.622325,202.9954,223.389,213.640275
221.10895,207.69975,203.616575,203.6333,203.00835,223.5154,213.710925
221.465125,207.7339,203.634175,203.6407,203.023425,223.6887,213.7675
221.491625,207.756075,203.655925,203.648275,203.037875,223.851,213.8412
221.5555,207.803375,203.663575,203.666125,203.052225,223.869825,213.88035
221.647075,207.857225,203.67645,203.674375,203.07505,223.890425,213.888275
221.66235,207.884125,203.692975,203.68155,203.086975,223.9082,213.9372
221.753,207.89465,203.7032,203.7054,203.0988,224.002725,213.9883
221.890925,207.927,203.714,203.711775,203.12745,224.19265,214.053
221.90565,207.93795,203.716325,203.723025,203.1417,224.2521,214.19615
221.91275,207.9399,203.75925,203.733575,203.16005,224.324975,214.274925
221.92045,208.040625,203.770575,203.742675,203.2201,224.422325,214.318975
222.16555,208.11535,203.786,203.771875,203.23715,224.507775,214.372925
222.21295,208.20455,203.81565,203.77895,203.249925,224.517625,214.4845
222.299925,208.239425,203.827325,203.78775,203.2711,224.661025,214.485975
222.33785,208.2624,203.849375,203.816625,203.2785,224.7265,214.572575
222.40575,208.295325,203.86235,203.828325,203.287175,224.79055,214.582225
222.4584,208.324575,203.872375,203.83685,203.2947,224.92285,214.627425
222.499875,208.341925,203.88505,203.84255,203.30345,224.93865,214.7573
222.599,208.4664,203.90195,203.85095,203.309725,224.954625,214.792375
222.666175,208.4834,203.92465,203.86905,203.316925,225.123325,214.861775
222.682,208.49045,203.94905,203.8793,203.323875,225.356575,214.9537
222.710525,208.505425,203.961075,203.885675,203.331675,225.366325,214.998375
222.716525,208.56685,203.98805,203.89765,203.341375,225.432825,215.0648
222.7445,208.57465,204.00085,203.90445,203.3488,225.5035,215.091875
222.767025,208.57675,204.00965,203.917175,203.3632,225.67845,215.21185
222.789125,208.583075,204.041025,203.934775,203.37695,225.727575,215.280175
222.7993,208.62935,204.061975,203.94055,203.384125,225.823675,215.328275
222.82855,208.643775,204.070925,203.94925,203.395625,225.95865,215.36795
222.829575,208.680125,204.080575,203.959675,203.403275,225.968,215.393225
222.965675,208.687875,204.08975,203.965475,203.412675,225.996925,215.43145
222.983175,208.71,204.097375,203.974275,203.425775,226.030225,215.47605
222.995025,208.717625,204.106025,203.9822,203.432725,226.067525,215.557
223.03905,208.777075,204.12515,203.9938,203.439175,226.3142,215.5981
223.261875,208.81695,204.14615,204.0022,203.446575,226.39655,215.64095
223.298775,208.84425,204.16845,204.0202,203.45205,226.406875,215.69205
223.308875,208.858825,204.20305,204.0259,203.457675,226.46825,215.69725
223.326975,208.9685,204.20985,204.03425,203.46935,226.483825,215.713825
223.4006,209.019625,204.21785,204.0443,203.4814,226.508475,215.754325
223.430775,209.05915,204.23025,204.05365,203.4985,226.51805,215.76215
223.470725,209.102875,204.236175,204.0701,203.5088,226.857875,215.801575
223.5105,209.139025,204.2582,204.082475,203.517475,226.9367,215.878825
223.52245,209.216225,204.274425,204.088325,203.529,226.9624,215.927475
223.5441,209.2671,204.283725,204.103525,203.538625,227.04385,215.96985
223.64075,209.28555,204.294125,204.1134,203.55335,227.069775,216.041475
223.66375,209.314,204.31465,204.12115,203.562125,227.20445,216.11485
223.71775,209.31575,204.321475,204.13125,203.571875,227.22325,216.17025
223.802375,209.32595,204.343325,204.1379,203.586875,227.2536,216.273325
223.808025,209.352125,204.349775,204.15125,203.5969,227.314225,216.30505
223.82625,209.37525,204.36115,204.164375,203.6032,227.35275,216.3333
223.855275,209.384825,204.37155,204.181275,203.614525,227.3762,216.355925
223.876325,209.399225,204.38975,204.1899,203.623975,227.419775,216.387575
223.959425,209.43295,204.399325,204.199275,203.63855,227.4367,216.4746
223.98005,209.446725,204.4169,204.203875,203.669375,227.538475,216.65595
224.014225,209.46995,204.431625,204.210575,203.687425,227.6035,216.67195
224.018525,209.4784,204.437925,204.237275,203.718475,227.6309,216.685975
224.048175,209.524775,204.4448,204.2451,203.7416,227.699375,216.6946
224.086225,209.547525,204.4487,204.25255,203.754675,227.784775,216.765375
224.142375,209.6008,204.453825,204.260625,203.77705,227.81005,216.898025
224.1886,209.609475,204.46005,204.2709,203.801625,227.886375,216.97295
224.23185,209.615225,204.466925,204.2768,203.827975,227.928725,217.02635
224.2376,209.6613,204.4731,204.2835,203.857925,228.25965,217.03195
224.2696,209.692275,204.4796,204.306075,203.878275,228.341,217.0385
224.41175,209.698,204.4843,204.31765,203.8964,228.3556,217.063
224.4305,209.702725,204.494225,204.3241,203.913675,228.430325,217.068875
224.52405,209.708075,204.503175,204.335575,203.9306,228.549625,217.093575
224.534175,209.746775,204.508525,204.341525,203.9436,228.605,217.10175
224.579725,209.748225,204.5153,204.349,203.9578,228.70115,217.28305
224.751175,209.7585,204.5202,204.35985,203.9721,228.72655,217.325125
224.8235,209.764875,204.537325,204.37375,203.9859,228.7386,217.385975
224.942175,209.7857,204.5417,204.381175,204.0011,228.7499,217.391425
224.990175,209.792175,204.571775,204.385175,204.01345,228.782575,217.53175
225.100775,209.8662,204.5804,204.39495,204.025475,228.94425,217.63075
225.122875,209.8873,204.58555,204.402525,204.0377,229.0032,217.658175
225.33295,209.9132,204.61365,204.409175,204.0639,229.0702,217.7091
225.40305,209.966675,204.624875,204.4181,204.0779,229.102325,217.752725
225.47865,210.00015,204.6463,204.4315,204.08945,229.1939,217.8336
225.515575,210.002375,204.652775,204.455,204.11555,229.222325,218.061375
225.62745,210.01345,204.6683,204.461225,204.12365,229.230975,218.112825
225.8652,210.03595,204.677775,204.47825,204.135575,229.54385,218.131825
225.987875,210.085825,204.69085,204.48595,204.1488,229.55615,218.146375
226.051925,210.096325,204.707275,204.515475,204.157375,229.567625,218.1593
226.086175,210.1451,204.71105,204.524175,204.167225,229.579925,218.1675
226.1928,210.186025,204.7243,204.550975,204.1737,229.606825,218.213175
226.379975,210.21535,204.732225,204.55985,204.1809,229.768125,218.22065
226.451225,210.389275,204.7362,204.570275,204.1975,229.821375,218.252225
226.5241,210.4228,204.764225,204.576475,204.202375,229.867125,218.351075
226.5353,210.465825,204.767525,204.58565,204.209975,229.88535,218.429625
226.54015,210.4815,204.771475,204.6203,204.22085,229.914025,218.482875
226.7774,210.501275,204.775025,204.62535,204.22985,230.13915,218.53095
226.806225,210.5263,204.779225,204.633575,204.238625,230.248575,218.6864
226.83435,210.55795,204.784725,204.639975,204.24585,230.25765,218.725425
226.867975,210.592075,204.7921,204.648125,204.2551,230.44415,218.791475
226.88375,210.59605,204.797075,204.65265,204.27065,230.662675,218.813125
226.92075,210.706875,204.8067,204.661775,204.2813,230.837725,218.860725
226.94085,210.731575,204.83185,204.691025,204.29245,230.8645,218.90255
227.064575,210.740325,204.840325,204.705725,204.3026,230.892425,218.979175
227.157625,210.781475,204.84645,204.7105,204.31175,230.90895,219.049525
227.31355,210.883525,204.858425,204.73295,204.318725,230.921075,219.1861
227.649975,210.907,204.863575,204.73745,204.3282,230.9313,219.19085
227.73685,211.057975,204.8659,204.741525,204.335775,230.965875,219.229625
227.742625,211.06625,204.87255,204.756375,204.346225,230.98865,219.261125
227.769,211.11705,204.880925,204.763925,204.3541,231.12715,219.262975
227.903025,211.163,204.885825,204.7824,204.36375,231.25875,219.29865
227.943675,211.172575,204.890375,204.79795,204.379275,231.3315,219.332325
227.9902,211.18005,204.9368,204.809475,204.38875,231.350075,219.340275
228.002975,211.217125,204.950625,204.818025,204.397425,231.40415,219.368525
228.027425,211.2217,204.959575,204.829425,204.4058,231.48695,219.372175
228.055575,211.24985,204.973625,204.839525,204.4151,231.60895,219.553225
228.1055,211.2713,204.979675,204.855575,204.4238,231.6223,219.691525
228.12275,211.3232,204.986475,204.869625,204.433975,231.648425,219.7797
228.147725,211.3316,204.99275,204.882475,204.444975,231.7703,219.78425
228.2091,211.33745,204.9991,204.89055,204.454125,231.79255,219.795925
228.28945,211.358425,205.005925,204.9043,204.462775,231.8478,219.800625
228.296,211.3848,205.0135,204.928275,204.47295,231.8785,219.82835
228.409525,211.393875,205.035225,204.932775,204.483425,231.9768,219.851
228.443925,211.42165,205.04275,204.946375,204.4928,232.187675,219.90955
228.44915,211.44345,205.053475,204.954475,204.500325,232.2756,219.924825
228.454175,211.471,205.060475,204.974425,204.50675,232.393775,219.946
228.746675,211.53805,205.06955,204.989375,204.5127,232.464925,220.01515
229.27075,211.54585,205.0864,205.00845,204.5172,232.5127,220.02865
229.28135,211.551675,205.108225,205.01675,204.521625,232.5717,220.0335
229.581175,211.579075,205.115825,205.055825,204.5258,232.582875,220.07385
229.75105,211.59625,205.12195,205.07295,204.529475,232.649275,220.0972
229.81365,211.607375,205.13825,205.099525,204.536875,232.65165,220.11105
229.822525,211.62805,205.151575,205.102875,204.54305,232.74885,220.123325
230.007,211.65105,205.159875,205.128,204.547775,232.831175,220.16575
230.069175,211.6579,205.17515,205.1394,204.553425,232.92825,220.174575
230.3918,211.663225,205.181625,205.150425,204.558225,232.950125,220.259375
230.5395,211.66505,205.1873,205.15975,204.566225,233.153325,220.4083
230.711875,211.6794,205.2018,205.1794,204.572975,233.215525,220.435675
230.741,211.700025,205.2096,205.2017,204.57955,233.4124,220.4543
230.76785,211.705625,205.233275,205.2117,204.592725,233.420175,220.491925
230.8907,211.717275,205.266225,205.21785,204.59895,233.46605,220.563375
230.93385,211.724125,205.2731,205.235275,204.611625,233.496475,220.63825
231.16255,211.75005,205.289475,205.29465,204.61855,233.623875,220.67585
231.382975,211.764425,205.29505,205.3031,204.623,234.08295,220.70935
231.50545,211.82075,205.30055,205.31085,204.627625,234.09365,220.7292
231.544975,211.823725,205.3156,205.313675,204.630825,234.19595,220.7639
231.5656,211.8453,205.343225,205.317725,204.634575,234.25405,220.793125
231.57225,211.8756,205.349825,205.334325,204.6421,234.2919,220.87565
231.591775,211.87755,205.378425,205.342075,204.6538,234.338575,221.0935
231.78445,211.9233,205.38655,205.348375,204.65835,234.48565,221.1112
