SPK_SPKC01a (excited),SPK_SPKC04a (inhibited),SPK_SPKC09b (excited),SPK_SPKC10b (excitation + inhibition),SPK_SPKC11a (inhibited),SPK_SPKC11b (excited),SPK_SPKC12a (excited),SPK_SPKC13a (excited),SPK_SPKC14a (excited),SPK_SPKC15a (NA),SPK_SPKC16a (excited)
4.7064,2.174525,11.339475,8.3738,8.941725,37.5067,7.844325,29.6502,94.030175,22.22135,24.947475
4.7426,2.18855,11.3659,8.450125,9.025925,37.65745,7.870425,29.705475,94.034025,22.2834,24.989175
4.76855,2.199975,12.063675,8.579825,9.08615,37.869375,7.8893,29.706975,95.069425,22.519175,25.0288
4.786975,2.209775,12.147875,8.618,9.1427,37.964825,7.9388,29.727375,100.916475,22.572,25.092175
4.812725,2.21835,12.171425,8.69175,9.16675,37.988825,7.978725,29.7669,101.760475,22.6675,25.156975
4.84755,2.23575,12.1877,8.738025,9.201775,38.068,8.03085,29.85385,102.256325,22.99945,25.162325
4.87975,2.242525,12.24375,8.829175,9.21805,38.1054,8.067875,30.10925,103.52855,23.0638,25.2282
4.931025,2.2584,12.263175,8.87005,9.264825,38.1522,8.0969,30.243225,104.625275,23.0955,25.5618
4.961625,2.27205,12.319225,9.110625,9.313925,38.171175,8.123375,30.32315,104.867075,23.144925,25.6541
4.994525,2.289575,12.46905,9.12265,9.37615,38.3258,8.142825,30.35165,105.90565,23.1714,25.770325
5.02725,2.30535,12.614025,9.170375,9.43705,38.457625,8.170625,30.489025,106.059275,23.183925,25.913825
5.0529,2.31445,13.064025,9.189825,9.4859,38.5649,8.183075,30.492175,106.379675,23.25565,26.239125
5.08325,2.328275,13.3994,9.20675,9.525225,38.660675,8.2052,30.538575,106.897375,23.308575,26.317175
5.117825,2.33905,13.42115,9.231475,9.569975,38.7336,8.21545,30.573125,107.026275,23.395225,26.3784
5.136675,2.347675,13.44765,9.2983,9.67635,38.8454,8.2401,30.57565,107.415,23.4458,26.4269
5.1667,2.372825,13.457775,9.378025,9.686375,38.897325,8.2466,30.593,107.5061,23.488725,26.480075
5.195525,2.383525,13.52415,9.72055,9.716175,38.9146,8.261375,30.895625,107.7231,23.63365,26.489
5.2578,2.39535,13.658575,9.78615,9.76455,39.055275,8.28745,31.016225,107.8818,23.72905,26.621675
5.2972,2.4068,13.845225,9.873625,9.836,39.09325,8.31405,31.069875,108.781625,23.7942,26.6469
5.32865,2.41945,13.95855,10.1096,9.90475,39.143125,8.3395,31.170775,109.071775,23.836975,26.671475
5.35615,2.43805,13.98775,10.140125,9.918975,39.2036,8.37375,31.4344,109.373375,23.87655,26.6963
5.39205,2.449175,14.0224,10.1889,9.971375,39.245175,8.375175,31.478325,110.274325,23.916125,26.7358
5.438225,2.463425,14.062075,10.2077,10.07185,39.2935,8.401225,31.83835,110.492475,23.9569,26.755375
5.454375,2.473075,14.08525,10.23065,10.1061,39.364975,8.4316,31.9159,110.5126,23.98865,26.7902
5.4804,2.488975,14.09855,10.25195,10.12295,39.48715,8.4629,31.996275,110.67035,24.131675,26.873775
5.50955,2.505125,14.1097,10.284,10.139175,39.589125,8.49165,32.233925,111.16325,24.1782,26.95245
5.5345,2.518075,14.13505,10.310625,10.269675,39.6204,8.5233,32.328775,111.401225,24.213175,26.984925
5.561075,2.52935,14.151775,10.41405,10.3188,39.668025,8.565625,32.450325,111.5772,24.260725,27.052275
5.584525,2.54095,14.167375,10.492825,10.357875,39.69545,8.58085,32.5467,112.383625,24.304775,27.122725
5.611475,2.554775,14.177625,10.520075,10.375025,39.7524,8.600625,32.610275,112.504375,24.326125,27.17285
5.62785,2.567325,14.199025,10.88455,10.420525,39.81795,8.641325,32.69125,113.4769,24.39435,27.262275
5.64635,2.579225,14.25685,10.917275,10.442925,39.8722,8.667075,32.707025,114.1386,24.48285,27.3043
5.668875,2.591875,14.285625,11.188875,10.4698,40.046325,8.702275,32.92095,114.24245,24.53675,27.410475
5.692275,2.6171,14.34405,11.206625,10.496175,40.10685,8.7184,32.9898,114.4364,24.5752,27.418225
5.712925,2.62905,14.4207,11.2355,10.5078,40.142725,8.736875,33.085475,115.667425,24.6252,27.46675
5.734675,2.6413,14.690975,11.260775,10.53705,40.181225,8.7519,33.123125,116.46315,24.6516,27.5482
5.760625,2.649225,14.8051,11.291375,10.574325,40.2833,8.805475,33.49575,116.6463,24.693325,27.614025
5.7876,2.663725,15.142275,11.3093,10.64935,40.359975,8.8227,33.60915,116.87525,24.75085,27.668725
5.818675,2.67635,15.203775,11.33945,10.6961,40.398075,8.8527,33.74055,117.22035,24.79165,27.730675
5.8541,2.690425,15.27155,11.36585,10.776775,40.436775,8.8954,33.8301,117.5755,24.8563,27.751525
5.8844,2.7157,15.325025,11.400525,10.82055,40.493025,8.913475,33.897925,117.826325,24.899525,27.953025
5.91415,2.72615,15.6092,11.688225,10.84815,40.562675,8.9417,33.967925,118.488125,24.901725,27.9801
5.946875,2.739775,15.648575,12.147825,10.866675,40.6074,8.974175,34.00565,118.703,24.932825,28.0231
5.989475,2.757425,16.0099,12.162625,10.88195,40.640625,9.0259,34.12865,118.846925,24.981875,28.128625
6.012975,2.7676,16.03125,12.171375,10.91215,40.71015,9.086125,34.4296,119.2494,25.027425,28.188825
6.039425,2.798425,16.06475,12.187675,10.943475,40.7219,9.096675,34.448725,119.947625,25.07665,28.287675
6.070625,2.8164,16.32905,12.200675,11.016475,40.734975,9.110575,34.4669,120.1659,25.2102,28.419675
6.106775,2.826675,16.571875,12.243725,11.061675,40.7397,9.134675,34.475175,120.4057,25.3125,28.60785
6.13695,2.838625,16.635175,12.263125,11.133525,40.74845,9.164825,34.488225,121.626425,25.35235,28.680775
6.17165,2.8524,16.772875,12.319175,11.1617,40.764375,9.166725,34.5263,121.7919,25.38735,28.702625
6.206825,2.8623,16.790775,12.469,11.22095,40.78575,9.18785,34.712425,121.80295,25.4202,28.817075
6.237725,2.874175,16.83185,12.614,11.26295,40.7961,9.201775,34.95355,122.236925,25.475325,28.953775
6.279375,2.883925,16.934975,13.064,11.29745,40.80275,9.218025,35.191725,122.59395,25.5255,29.168475
6.31105,2.8939,17.006825,13.399375,11.318175,40.8412,9.2336,35.222675,122.6922,25.5536,29.211975
6.330475,2.902025,17.235325,13.421125,11.37055,40.90515,9.2648,35.30165,122.804525,25.594925,29.252425
6.388725,2.919325,17.247,13.447625,11.38415,40.9891,9.313925,35.3575,123.039125,25.69575,29.3507
