SPK_SPKC04a (NA),SPK_SPKC08a (excited),SPK_SPKC12a (inhibited)
101.62375,35.474025,11.449675
101.6594,35.695675,11.464525
101.68775,35.712125,11.4693
101.734525,35.73115,11.477125
101.7417,35.745775,11.4863
101.75935,35.757975,11.4961
101.7619,35.850875,11.5039
101.787475,35.907175,11.5075
101.9098,35.976675,11.518175
101.9477,36.00005,11.525025
101.990375,36.0144,11.530425
102.21,36.13015,11.53575
102.219525,36.1408,11.544575
102.2393,36.232925,11.56735
102.402275,36.28965,11.5778
102.413275,36.299425,11.57955
102.5661,36.340475,11.581125
102.64995,36.4025,11.592475
102.76085,36.4289,11.5974
102.858925,36.502425,11.607025
102.9027,36.538725,11.61515
102.922625,36.6104,11.6326
103.140275,36.702,11.656475
103.155375,36.77335,11.67695
103.530025,36.7996,11.699675
104.315325,36.838175,11.7098
104.3739,36.9031,11.71885
104.626125,36.951025,11.725975
104.679325,37.016975,11.739475
104.68585,37.1039,11.741225
104.73365,37.120025,11.747775
104.7594,37.129975,11.759225
105.028825,37.158,11.773875
105.36705,37.2294,11.785825
105.433275,37.27015,11.806
105.5821,37.34405,11.812225
105.6523,37.4181,11.817325
105.941925,37.54495,11.83205
106.008875,37.55645,11.838075
106.13885,37.59,11.8508
106.1597,37.691975,11.8543
106.253,37.7255,11.867425
106.254575,37.739875,11.882825
106.36805,37.80705,11.903825
106.385575,37.885475,11.920975
106.70755,37.88875,11.933175
106.85,37.932625,11.9395
106.903325,37.940125,11.95
106.936875,37.979925,11.966425
107.3076,38.042925,11.974475
107.34035,38.138125,12.00305
107.581225,38.186175,12.012525
107.684225,38.24905,12.03185
107.750275,38.2596,12.0441
107.9929,38.31105,12.0606
108.1698,38.3775,12.075475
108.26205,38.493125,12.094925
108.576525,38.521375,12.129775
108.649975,38.5335,12.1351
108.73555,38.582525,12.15635
108.8172,38.583825,12.174775
109.384075,38.62595,12.232825
109.442975,38.63925,12.27325
109.47235,38.720525,12.2966
109.6661,38.760125,12.369425
109.801375,38.783425,12.377
110.120475,38.8127,12.40135
110.1248,38.83465,12.415925
110.174075,38.927175,12.437275
110.2081,39.054575,12.472675
110.2905,39.060675,12.49275
110.4152,39.0903,12.552125
110.74975,39.129925,12.563025
110.8228,39.199125,12.6009
111.124625,39.2144,12.6073
111.21675,39.223625,12.614025
111.657675,39.234325,12.631525
111.7742,39.258525,12.646375
111.7836,39.327675,12.65625
111.846075,39.36295,12.681425
112.010925,39.38585,12.69785
112.094725,39.531575,12.7113
112.243825,39.56785,12.72425
112.747925,39.622725,12.738475
112.809375,39.700775,12.74155
112.9681,39.710025,12.7639
113.0203,39.73195,12.79035
113.05435,39.8008,12.799125
113.060525,39.812275,12.817075
113.196875,39.846575,12.83495
113.986275,39.868825,12.862225
114.354425,39.893025,12.8775
114.486075,39.92225,12.9055
114.6527,39.936875,12.93145
115.252975,39.989425,12.953725
115.392025,40.01145,13.001825
115.421525,40.105325,13.047375
115.528925,40.16195,13.053775
115.58435,40.234425,13.0595
115.6102,40.303025,13.0754
115.90595,40.324625,13.092325
115.92035,40.33985,13.110025
115.92895,40.345725,13.117225
115.95675,40.387175,13.12595
115.97115,40.40595,13.137
115.984525,40.416075,13.158475
115.9932,40.506575,13.166
116.009725,40.5477,13.17095
116.02845,40.551525,13.17215
116.030725,40.594725,13.219925
116.0849,40.620375,13.231925
116.134375,40.66955,13.2404
116.148225,40.686225,13.2831
116.167525,40.7132,13.321375
116.183,40.73765,13.3612
116.196775,40.789575,13.372
116.256825,40.86115,13.4071
116.297775,40.8687,13.42895
116.3158,40.91535,13.438375
116.382425,40.934875,13.444675
116.447925,40.981475,13.461975
116.474475,40.9937,13.48285
116.56245,41.0486,13.49755
116.636675,41.079025,13.50835
116.660875,41.112875,13.518825
116.958425,41.1279,13.547425
117.02415,41.142675,13.567625
117.27345,41.165925,13.585625
117.332425,41.23155,13.607025
117.401825,41.238075,13.624875
117.429775,41.268225,13.665975
117.50255,41.299075,13.720825
117.629975,41.357975,13.72505
117.7368,41.386725,13.74035
117.940275,41.4039,13.78705
118.026025,41.41175,13.810075
118.24865,41.453125,13.830025
118.43485,41.475375,13.846425
118.539975,41.530925,13.86535
118.54415,41.59965,13.873775
118.657775,41.61485,13.88135
118.791475,41.6671,13.904025
119.1611,41.7164,13.943975
119.240825,41.754525,13.949225
119.31845,41.820575,13.962375
119.59925,41.9227,13.98375
120.270025,42.02755,13.9995
120.3061,42.05505,14.000625
120.870875,42.069275,14.041925
120.992875,42.08675,14.055375
121.0329,42.099675,14.058025
121.12365,42.11655,14.0767
121.224225,42.14015,14.09935
121.282575,42.23825,14.126875
121.358,42.281825,14.168625
121.4428,42.3102,14.22165
121.5341,42.3385,14.2484
121.8557,42.363525,14.254625
122.046475,42.58415,14.263925
122.07845,42.63155,14.27575
122.12255,42.654275,14.284375
122.2673,42.69585,14.29915
122.295925,42.7262,14.306875
122.33115,42.82345,14.3213
122.358275,42.8759,14.32925
122.37855,42.921675,14.34225
122.495725,42.96985,14.360875
122.823325,43.03125,14.371475
122.93845,43.045375,14.387375
122.97615,43.1496,14.403675
123.108975,43.181675,14.437425
123.1245,43.2067,14.452425
123.273775,43.225275,14.47235
123.428475,43.28415,14.48005
123.4452,43.323525,14.48525
123.459175,43.36745,14.510225
123.496675,43.4004,14.529175
123.588025,43.4156,14.54075
123.83545,43.4433,14.552725
123.854525,43.46745,14.560425
123.94565,43.52185,14.58165
123.9731,43.627975,14.590525
123.98125,43.651525,14.612175
124.05525,43.680425,14.655275
124.141525,43.709975,14.6798
124.294525,43.759875,14.685075
124.344825,43.82815,14.71255
124.509925,43.843275,14.7285
124.539375,43.8711,14.747825
124.59765,43.9632,14.779675
124.752175,44.022,14.7843
124.904625,44.059125,14.8092
124.928575,44.066625,14.83475
124.948825,44.10325,14.855025
124.98465,44.12685,14.868325
124.99795,44.14965,14.8745
125.0215,44.189575,14.88495
125.058175,44.251125,14.891575
125.084825,44.265075,14.898475
125.0941,44.286175,14.918875
125.254775,44.309025,14.937275
125.372275,44.334775,14.9508
125.438425,44.42005,14.972775
125.55685,44.455275,14.9844
125.795675,44.49585,15.00075
125.928675,44.52905,15.01875
125.9845,44.5595,15.0344
126.068475,44.640375,15.04165
126.2678,44.661525,15.047125
126.53195,44.766075,15.060275
126.7988,44.79705,15.096075
126.954825,44.89175,15.116275
127.08995,44.8935,15.140875
127.306475,44.93345,15.183725
127.435025,44.96795,15.192325
127.70965,44.991875,15.23035
127.7656,45.09145,15.26595
127.78915,45.15585,15.286325
128.117725,45.205375,15.291075
128.299775,45.2777,15.29905
128.301875,45.28025,15.307475
128.378225,45.29445,15.327975
128.4052,45.330625,15.352575
128.43885,45.349475,15.37045
128.56645,45.3617,15.3813
128.73595,45.3809,15.38485
129.2264,45.394575,15.411375
129.604275,45.505225,15.428825
129.642175,45.55345,15.451925
129.7202,45.599625,15.473
129.748925,45.722125,15.488375
129.8461,45.745925,15.5333
129.858125,45.831075,15.590175
130.098025,45.936,15.661475
130.2084,45.951975,15.663775
130.413775,45.9945,15.6707
130.64915,46.0109,15.675625
130.6876,46.0229,15.69595
130.70645,46.060125,15.72895
130.7311,46.1108,15.741625
130.770775,46.151775,15.773475
131.15495,46.2358,15.790175
131.1725,46.2636,15.813925
131.286575,46.29075,15.827275
131.297775,46.3392,15.83135
131.488225,46.3882,15.876075
131.7264,46.45625,15.90065
131.761925,46.476925,15.911575
