SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC06a,SPK_SPKC08a,SPK_SPKC10a
30.358075,66.7836,5.868275,8.7306,5.8731
30.5602,67.17775,5.8761,8.73895,5.881325
30.78155,67.547875,5.883,8.74995,5.888
31.0561,67.57255,5.888025,8.787675,5.89425
31.109,67.621925,5.899275,8.813925,5.898325
31.256375,67.8334,5.90625,8.8376,5.910375
31.282925,67.908025,5.91445,8.851175,5.915025
31.2969,67.9291,5.92355,8.876125,5.9329
31.565375,67.959975,5.94205,8.92195,5.943875
31.79605,68.0349,5.9529,8.959,5.949825
31.852025,68.29025,5.971525,9.008875,5.9551
32.132525,68.323725,5.9806,9.05075,5.976125
32.20335,68.374175,5.99515,9.057775,5.983825
32.4035,68.445375,6.0121,9.132225,6.001575
32.4383,68.556125,6.0276,9.148225,6.0374
32.450025,68.84375,6.044175,9.19735,6.05275
33.02865,68.845625,6.065375,9.213225,6.0641
33.158425,68.878225,6.092125,9.22495,6.078875
33.332025,69.358425,6.110825,9.258275,6.096225
33.835125,69.363625,6.1281,9.2806,6.1107
33.9499,69.558725,6.15765,9.326225,6.121175
34.1671,69.89495,6.1859,9.3414,6.138175
34.286225,70.162625,6.20435,9.35035,6.150975
34.4975,70.273375,6.218175,9.363425,6.1621
34.84895,70.3462,6.230425,9.398875,6.170375
35.071625,70.415125,6.256475,9.42895,6.179025
35.3696,70.7136,6.280825,9.445425,6.18935
35.385275,70.8165,6.294075,9.464275,6.209925
35.4207,70.8353,6.31785,9.4789,6.22105
35.43745,71.117175,6.327075,9.52885,6.236575
35.485225,71.15625,6.34655,9.5803,6.251125
35.91575,72.31045,6.367025,9.6302,6.2972
35.921325,72.331275,6.39755,9.667175,6.309025
35.944525,72.59405,6.4245,9.6976,6.326575
36.01065,73.46125,6.434025,9.722775,6.3547
36.255975,73.6706,6.442875,9.735775,6.368025
36.279275,73.922825,6.45,9.760225,6.4033
36.40765,74.08645,6.455875,9.79785,6.42285
36.4591,74.491125,6.47005,9.811175,6.444975
36.476025,74.82025,6.48685,9.82645,6.453675
36.4803,75.2569,6.491875,9.865875,6.459825
36.557725,75.2662,6.505925,9.926075,6.476
36.587725,75.302225,6.514775,9.929,6.487725
36.6332,75.49045,6.5329,9.975625,6.496875
36.962475,75.643625,6.548325,10.0187,6.50635
37.03425,75.755325,6.567825,10.03595,6.518075
37.14395,75.771825,6.607625,10.04985,6.527575
37.18825,75.77975,6.6493,10.06595,6.5403
37.219425,75.961375,6.674125,10.10615,6.549775
37.240825,76.373225,6.702825,10.12045,6.56195
37.276225,76.943525,6.725725,10.162475,6.57385
37.52645,77.013575,6.75055,10.241,6.600525
37.543525,77.31185,6.775075,10.252275,6.6255
37.5827,77.4393,6.782025,10.261925,6.649025
37.73115,77.62005,6.79165,10.31385,6.682925
37.829475,77.83595,6.805625,10.319125,6.715725
37.883325,77.892025,6.819525,10.332075,6.73625
37.930325,78.381475,6.826825,10.3707,6.771175
37.937925,78.429725,6.8392,10.4018,6.77765
38.033125,78.7577,6.8578,10.4167,6.7926
38.0415,79.004725,6.939225,10.42575,6.79785
38.057325,79.36795,6.960875,10.44625,6.804275
38.09855,79.38955,6.9808,10.47905,6.8101
38.1808,79.738175,6.99685,10.506425,6.82035
38.357475,79.936825,7.02045,10.55495,6.82645
38.473525,80.220425,7.040175,10.58795,6.84675
38.6283,80.2316,7.064575,10.638075,6.856125
39.068725,80.493925,7.08495,10.6788,6.865625
39.40435,80.563725,7.09995,10.69875,6.884525
39.408025,80.780475,7.125425,10.71755,6.905
39.447925,81.100375,7.148875,10.7595,6.931775
39.672025,81.52725,7.1696,10.762225,6.950525
39.696575,81.62445,7.187,10.77405,6.96995
39.8605,81.7109,7.218225,10.780375,6.9926
40.0309,83.0373,7.237825,10.8433,7.005225
40.207325,83.09205,7.255575,10.896125,7.0248
40.23555,83.3911,7.268575,10.9166,7.02605
40.270025,83.43155,7.279775,10.951475,7.02915
40.287725,83.723375,7.290875,10.9934,7.0395
40.373425,83.745025,7.296975,11.01785,7.0439
40.384625,83.851875,7.304725,11.35705,7.069925
40.389825,83.858675,7.31495,11.40945,7.078575
40.49895,84.0655,7.320825,11.5308,7.0884
40.683625,84.0853,7.331025,11.5814,7.104875
40.817825,84.240075,7.33995,11.7067,7.12725
41.351675,84.858675,7.3469,11.74225,7.1401
41.58065,84.92245,7.3538,12.125975,7.1501
42.184425,84.9577,7.361225,12.232525,7.16815
42.230225,85.022125,7.369325,12.274875,7.1926
42.289375,85.0295,7.39155,12.438175,7.21185
42.4065,85.0476,7.42095,12.611575,7.232025
42.4744,85.092625,7.44515,12.648175,7.257575
42.92565,85.1522,7.4694,12.671675,7.271775
43.498225,85.27375,7.493975,12.674675,7.286025
43.5479,85.347025,7.50745,12.7167,7.305
43.574425,85.4996,7.542025,12.7181,7.314275
43.664225,85.6263,7.559275,12.74845,7.3212
43.68905,85.9636,7.583725,12.800475,7.341475
43.732525,86.01435,7.60775,12.847275,7.35155
43.8366,86.320525,7.6184,12.8655,7.368025
43.8436,86.449075,7.6271,12.891075,7.375425
44.0349,86.5698,7.64775,12.964625,7.383675
44.373075,86.686025,7.658225,12.990475,7.41525
44.432925,86.78795,7.67285,13.03045,7.420525
44.54395,87.636975,7.688775,13.14305,7.42715
44.940925,88.197575,7.71435,13.1512,7.436075
45.017425,88.32635,7.729175,13.2282,7.447225
45.03835,88.9842,7.7445,13.259675,7.454125
45.044325,89.01235,7.7537,13.30785,7.46135
45.0628,89.0345,7.76345,13.312675,7.47665
45.0902,89.042725,7.776125,13.331925,7.50695
45.327425,89.949625,7.799175,13.352275,7.5128
45.425375,90.052825,7.8156,13.4215,7.53485
45.47155,90.119925,7.82625,13.44215,7.5546
45.5787,90.432525,7.840475,13.458875,7.569325
45.685975,90.572125,7.855625,13.48595,7.608325
45.9736,90.59195,7.885775,13.554225,7.6228
