SPK_SPKC02a (short excitation),SPK_SPKC05a (no effect),SPK_SPKC07a (no effect),SPK_SPKC09a (no effect),SPK_SPKC11a (no effect),SPK_SPKC11b (no effect)
50.4874,246.359975,52.056375,288.132725,6.707225,107.699375
50.65755,248.760675,52.989025,288.9253,6.727825,108.8223
50.82275,250.028575,53.168125,289.44205,6.749475,109.282475
51.476625,251.1901,53.182025,291.0284,6.771625,110.018275
51.684875,253.46765,53.484425,291.0449,6.7803,110.680175
51.75,254.716,53.674325,292.614825,6.791975,110.9354
51.802675,254.8205,53.9324,293.2554,6.811525,111.1542
51.882525,255.1539,54.120325,294.01215,6.822825,111.1795
52.040825,256.87745,54.260775,294.6094,6.83275,111.511175
52.0619,258.8177,54.59375,295.0666,6.848225,111.70245
52.089175,258.86785,55.2961,295.20595,6.8632,112.57945
52.250575,259.622275,56.339575,296.198625,6.8775,113.05905
52.32675,260.41,56.409025,296.603625,6.889775,114.719575
52.33805,261.390625,56.6848,296.7087,6.90945,115.4482
52.44675,261.550775,57.21085,296.891,6.938675,118.237825
52.737275,262.85285,57.38675,297.896475,6.9549,118.685
52.81275,263.594575,57.455725,298.126875,6.989775,118.715475
52.832525,263.8579,57.64165,299.5739,7.0202,118.72285
52.866275,264.1902,58.2589,300.32715,7.06035,120.133
52.977325,265.202125,58.57235,,7.082175,120.218525
53.310075,266.2483,58.591125,,7.123125,120.36405
53.748025,267.466175,59.544025,,7.178,120.468975
53.7857,268.274475,59.8185,,7.212025,121.219375
53.825675,269.396125,59.922375,,7.2985,121.97855
54.192775,269.763125,60.11505,,7.31455,122.653975
54.248325,272.618375,60.3968,,7.328125,122.657475
54.5273,272.808225,60.514375,,7.3523,122.734725
54.57925,273.19145,60.688925,,7.3657,122.977525
54.65925,274.66755,60.743575,,7.373775,123.325475
54.67765,275.0751,61.472175,,7.38455,123.4552
54.765025,276.33635,61.7735,,7.39425,124.963175
54.849475,277.257675,61.7923,,7.4057,126.3985
55.687925,277.420075,62.441175,,7.41865,127.93215
55.896,278.7327,62.601225,,7.442925,127.983175
56.229475,280.527775,63.0389,,7.466925,128.84475
56.252575,282.1102,63.0625,,7.48255,129.1676
56.373275,283.7149,63.077775,,7.542375,130.341625
56.41075,285.8402,63.1889,,7.555075,132.5108
56.470175,286.822975,63.5661,,7.5806,133.03565
56.725175,289.253225,63.9205,,7.605475,133.4112
56.75355,289.4517,63.958725,,7.635225,134.995125
56.78165,289.52365,63.982525,,7.661225,135.359725
56.919525,289.577025,64.196575,,7.677625,135.440625
57.142225,289.975125,64.36045,,7.72175,136.1448
57.146925,291.037975,65.752925,,7.7556,136.159025
57.290025,291.4088,65.823875,,7.81015,136.2972
57.7427,291.4385,66.15775,,7.859925,137.444325
57.994825,292.20905,66.357675,,7.9245,137.5092
58.268975,293.03975,66.6254,,8.034875,138.6858
58.366425,294.941425,66.770975,,8.060125,141.117825
59.0876,295.4675,67.033125,,8.074,141.173375
59.10735,295.5443,67.074525,,8.106325,141.514025
59.300225,295.656325,67.3285,,8.121775,142.75345
59.416375,296.177025,67.60625,,8.12595,143.821675
59.712175,297.5587,67.9522,,8.1326,144.0793
59.816275,298.377725,68.7187,,8.1428,144.94305
60.6898,299.954275,68.7395,,8.1687,145.795075
60.759525,,69.346325,,8.191575,146.149075
60.79115,,69.370475,,8.2023,146.406225
61.00845,,69.792925,,8.216975,146.70345
61.10005,,69.80265,,8.235675,146.83865
61.277975,,69.9005,,8.2592,147.7642
61.295425,,70.28525,,8.295725,148.488525
61.333625,,70.770225,,8.32815,149.42065
61.679575,,70.847575,,8.345025,149.436225
62.156925,,70.876425,,8.40485,149.989125
62.172,,71.053125,,8.455725,151.010525
62.395875,,71.143475,,8.491075,151.087675
62.421075,,71.215475,,8.50175,153.8178
62.60735,,72.1056,,8.5347,155.48945
62.618925,,72.119775,,8.561325,155.7963
63.060325,,72.396675,,8.5828,157.3734
63.184575,,72.59015,,8.602225,157.81265
63.24455,,72.7645,,8.608175,157.9714
63.265525,,73.0579,,8.623825,157.9791
63.38105,,73.3076,,8.63165,158.10655
63.501125,,74.592325,,8.648825,158.9874
63.963475,,74.6613,,8.66665,159.927475
64.093825,,75.049575,,8.6847,160.18885
64.1319,,75.42075,,8.694625,160.35375
64.29815,,75.8235,,8.730075,160.396275
64.328775,,77.689625,,8.746625,161.203225
64.3725,,77.96965,,8.7622,163.2149
64.89535,,78.500375,,8.78385,165.942575
64.980925,,79.88885,,8.86375,168.8817
65.035775,,81.842525,,8.9981,169.208225
65.09335,,81.871975,,9.029525,169.407725
65.1172,,81.953525,,9.092725,170.229225
65.31615,,83.2521,,9.103925,170.66945
65.3277,,83.680325,,9.119025,170.757925
65.447325,,84.316075,,9.12915,171.34795
65.494775,,84.580325,,9.1359,172.1126
65.60435,,84.719175,,9.1415,172.50325
65.9282,,85.30505,,9.14885,173.7494
66.127175,,85.606425,,9.16305,174.127475
66.2302,,85.8355,,9.1701,175.41805
66.35985,,86.038625,,9.189225,175.7636
66.763925,,86.0495,,9.221525,175.937025
66.7922,,86.31565,,9.243225,176.705275
66.889775,,86.851,,9.273975,177.2658
67.5817,,87.5251,,9.2846,177.2771
67.82525,,87.60915,,9.3259,178.2657
68.2359,,88.0942,,9.41535,178.7132
68.56435,,88.246475,,9.55195,179.027475
68.583675,,88.355475,,9.559875,179.375325
68.820225,,88.68945,,9.609975,180.1471
69.018825,,90.190925,,9.620975,180.1992
69.057425,,90.21395,,9.631975,181.823825
69.086175,,90.238725,,9.660625,182.648325
69.126025,,90.3825,,9.6843,183.671875
69.380475,,93.100625,,9.722275,185.50995
69.437425,,94.000125,,9.814875,185.70265
69.852075,,94.408275,,9.88585,186.90215
69.872875,,94.43635,,9.93045,187.061625
70.337925,,94.567675,,9.947775,187.396075
70.8284,,95.3191,,9.958725,189.40015
71.082675,,95.92825,,9.964225,192.0083
71.111675,,97.60735,,10.017,192.353225
71.35665,,97.72675,,10.044625,192.6082
71.3932,,99.644675,,10.080825,193.0346
71.492775,,100.056025,,10.121,193.047975
71.546425,,100.073925,,10.15035,194.6164
71.581175,,100.08655,,10.178825,194.70695
71.9515,,100.949275,,10.212975,195.3406
72.070575,,101.224925,,10.219275,195.511925
72.09755,,104.405825,,10.2412,195.519475
72.177175,,104.557875,,10.3568,196.68975
72.4278,,105.065625,,10.40335,198.354375
72.6506,,105.547925,,10.437625,198.554675
72.750575,,106.7069,,10.45185,199.123825
72.821375,,106.75195,,10.466875,199.21515
72.9972,,107.2376,,10.47825,199.725925
73.164475,,108.82275,,10.49695,199.792175
73.471825,,109.795775,,10.532025,201.45595
73.572425,,109.97135,,10.563375,201.974875
73.836175,,110.58655,,10.576625,203.887525
74.146925,,110.6501,,10.602525,203.946725
74.254525,,111.951975,,10.640025,207.9248
74.3678,,112.560025,,10.664925,211.810025
74.66745,,112.6474,,10.705775,212.07725
74.862675,,113.6913,,10.7793,212.5715
74.970475,,113.849375,,10.844575,212.714125
75.10535,,114.131575,,10.90525,213.406825
75.1231,,115.125175,,10.9405,214.7645
75.46015,,115.25175,,10.957525,215.702825
75.57925,,115.9253,,10.971025,217.479175
75.726475,,116.956425,,11.001325,217.7332
75.811475,,118.224475,,11.023125,217.845075
75.8322,,118.81565,,11.04075,219.043425
75.972425,,118.9512,,11.045675,219.2495
76.122325,,119.623375,,11.05665,219.339025
76.164425,,121.3231,,11.0956,219.488075
76.355175,,121.8113,,11.13865,219.57965
76.748275,,121.864975,,11.2001,219.62885
76.91575,,122.71025,,11.322675,219.955
77.113125,,122.823825,,11.3746,220.10385
77.1736,,123.8341,,11.401375,221.269675
77.2062,,126.431,,11.41015,221.369425
77.54355,,126.640525,,11.42715,221.660975
77.6988,,127.490175,,11.45055,224.98785
77.741825,,128.046675,,11.461175,225.701425
77.776525,,130.00375,,11.472925,225.735
77.92775,,130.1401,,11.485575,225.784825
78.139825,,132.996575,,11.504825,226.4434
78.5723,,133.845625,,11.52065,227.007
78.6294,,134.25985,,11.5417,229.737575
78.995275,,135.24465,,11.577975,230.085475
79.20605,,135.9365,,11.7517,231.00845
79.663925,,136.26225,,11.815,232.126125
80.167925,,137.2726,,11.845575,233.290475
80.23865,,138.15825,,11.860075,234.592875
80.672,,138.460125,,11.87675,234.62545
81.180275,,138.8877,,11.893225,234.733075
81.555325,,140.01215,,11.90435,235.53445
81.829075,,140.457825,,11.91515,235.9337
81.88205,,141.120725,,11.9247,236.874925
82.1003,,141.35315,,11.94315,238.53985
82.444775,,143.887575,,11.96025,238.9217
82.861875,,143.9884,,11.98215,239.6117
83.142975,,144.990825,,11.997125,239.692575
83.601125,,145.414325,,12.0131,240.2805
83.61015,,145.85895,,12.037075,240.5604
83.760575,,146.543225,,12.06155,240.813825
84.43645,,146.9854,,12.1135,241.744225
84.53835,,147.4357,,12.189,242.24115
84.9319,,147.9741,,12.300525,243.4504
85.157,,148.4187,,12.339925,243.710375
85.304825,,149.246475,,12.350575,244.43635
85.4864,,149.946975,,12.389,245.006225
85.7717,,150.379525,,12.406175,246.361475
85.836875,,151.3007,,12.418975,246.415075
86.04755,,152.972275,,12.43685,246.506525
86.068675,,153.29685,,12.4563,246.766
86.22165,,155.22295,,12.484375,247.9381
