SPK_SPKC06a (no effect),SPK_SPKC09a (excited),SPK_SPKC11a (no effect),SPK_SPKC11b (excited),SPK_SPKC13a (no effect),SPK_SPKC14a (no effect),SPK_SPKC15a (excited)
43.167525,34.006925,18.7437,16.918925,17.119625,8.253125,42.298025
43.24115,34.043075,18.759075,17.0364,17.1428,8.26845,42.416025
43.2937,34.05335,18.7822,17.08405,17.155075,8.27825,42.46825
43.356075,34.0893,18.82235,17.127025,17.1786,8.30965,42.534325
43.40485,34.1123,18.887325,17.146075,17.20205,8.322275,42.563125
43.52095,34.20835,18.9761,17.161975,17.2232,8.332875,42.6126
43.579075,34.291375,19.055725,17.18285,17.2373,8.355025,42.63325
43.74435,34.37295,19.11045,17.19665,17.256775,8.3798,42.81305
43.807975,34.384325,19.19455,17.2009,17.2663,8.40625,42.9284
43.84975,34.398375,19.290225,17.2895,17.2971,8.416625,42.992875
43.899775,34.4156,19.2924,17.299175,17.364825,8.434625,43.1011
43.935475,34.718575,19.3261,17.30615,17.473325,8.451075,43.11335
44.025125,34.79525,19.33865,17.322625,17.52,8.463225,43.159325
44.143175,34.818125,19.3751,17.35095,17.540325,8.469675,43.22555
44.193375,34.86045,19.471225,17.392475,17.630125,8.486825,43.245025
44.227875,34.9433,19.494575,17.4776,17.74295,8.515975,43.293125
44.350775,34.97135,19.628575,17.518075,17.80385,8.533025,43.350025
44.40375,34.990575,19.659175,17.540575,17.9277,8.559425,43.441275
44.481875,35.00885,19.687425,17.63775,17.9703,8.618675,43.531125
44.5422,35.0918,19.6954,17.719075,18.040975,8.643525,43.565725
44.653225,35.114275,19.700425,17.752525,18.11585,8.68555,43.5883
44.724825,35.157425,19.7067,17.753925,18.1289,8.6964,43.70485
44.790525,35.28625,19.71135,17.8628,18.13615,8.713625,43.74865
44.84775,35.328175,19.7339,17.9315,18.19425,8.72545,43.954725
44.90285,35.352575,19.76645,17.960825,18.21365,8.738375,44.33225
44.973925,35.37285,19.8151,18.000725,18.282525,8.7465,44.56025
45.05675,35.382375,19.83615,18.03675,18.296025,8.758175,44.6167
45.117225,35.435025,19.8875,18.081275,18.3245,8.7667,44.729525
45.190175,35.515825,19.9279,18.091425,18.3687,8.785225,44.85735
45.378025,35.542675,19.9366,18.116925,18.3826,8.806525,44.896925
45.4435,35.6272,19.96305,18.128025,18.412025,8.854125,44.937
