SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a,SPK_SPKC13b
510.275225,511.627,510.77705,,505.705925,
510.2979,511.646,510.8145,,505.73115,
510.33315,511.662775,510.85305,,505.7503,
510.365575,511.673,510.891575,,505.807125,
510.4316,511.769875,510.93455,,505.82875,
510.4809,511.80115,510.975975,,505.852575,
510.532925,511.875675,511.029425,,505.878225,
510.60035,511.918875,511.07355,,505.907675,
510.636375,511.976775,511.17765,,505.9245,
510.676,512.033975,511.25,,505.9789,
510.713,512.108825,511.318225,,505.995,
510.735875,512.1419,511.381675,,506.0022,
510.77175,512.1873,511.42985,,506.0366,
510.817275,512.214325,511.48035,,506.057175,
510.8558,512.242125,511.535175,,506.0717,
510.9491,512.262575,511.741125,,506.095775,
510.96805,512.32215,511.7699,,506.13615,
511.050025,512.390125,511.906225,,506.15595,
511.08175,512.509825,512.030575,,506.212475,
511.13825,512.53925,512.08755,,506.3103,
511.1874,512.58775,512.12845,,506.434475,
511.2614,512.642575,512.1727,,506.460525,
511.368325,512.722775,512.246825,,506.528325,
511.4005,512.8292,512.302825,,506.554125,
511.483075,512.857925,512.35255,,506.5896,
511.525075,512.953575,512.39595,,506.614575,
511.5512,513.066825,512.461975,,506.672825,
511.598825,513.096875,512.50865,,506.748325,
511.610725,513.119575,512.54795,,506.781725,
511.638725,513.19325,512.597,,506.815675,
511.6757,513.2386,512.669675,,506.8352,
511.72365,513.254575,512.701125,,506.862425,
511.817575,513.334675,512.745575,,506.8773,
511.860725,513.38175,512.82285,,506.8962,
511.8805,513.434025,512.85905,,506.912875,
511.914925,513.4971,512.8843,,506.942625,
511.918825,513.603175,512.946,,506.96325,
511.971525,513.66755,513.0046,,507.01035,
512.016575,513.718575,513.060375,,507.05385,
512.058575,513.746175,513.1022,,507.140075,
512.07445,513.836925,513.15035,,507.160075,
512.1135,513.87365,513.29675,,507.271925,
512.15855,514.0268,513.3571,,507.303275,
512.194025,514.062175,513.392925,,507.31985,
512.28255,514.1686,513.437425,,507.334475,
512.2996,514.2276,513.515175,,507.355175,
512.353625,514.272225,513.5649,,507.395075,
512.399325,514.297325,513.59125,,507.451375,
