SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC07a,SPK_SPKC09b,SPK_SPKC10a,SPK_SPKC15a
3840.7331,3989.899,3948.9928,3926.91325,,3851.763025
3840.8441,3991.41605,3949.9207,3927.0005,,3851.859425
3840.931875,3994.85865,3950.01265,3927.097425,,3852.184675
3841.081525,3996.33125,3950.377575,3927.21655,,3852.430225
3841.318925,3996.565925,3950.769275,3927.606175,,3852.507575
3841.66755,3996.77995,3950.839325,3928.026,,3852.655775
3841.8216,3996.83835,3951.133775,3928.280375,,3852.704875
3842.1419,3997.9096,3951.5221,3929.955825,,3853.104275
3842.514525,3998.418375,3951.57815,3930.2029,,3854.11745
3842.861925,3998.697125,3951.696325,3932.4322,,3854.5597
3842.947025,,3952.171925,3932.706775,,3855.18775
3843.246675,,3952.54875,3933.11435,,3855.3108
3843.3463,,3953.34145,3933.464275,,3855.383175
3843.34995,,3953.525575,3933.5207,,3855.438925
3843.559425,,3954.0538,3934.082975,,3855.67985
