SPK_SPKC01a (exc),SPK_SPKC10a (exc),SPK_SPKC16a (exc)
179.43875,186.513325,179.0324
179.4929,186.5924,179.07105
179.518925,186.630975,179.08945
179.54875,186.65985,179.1215
179.588925,186.709625,179.13565
179.615275,186.74805,179.18285
179.640275,186.8104,179.21195
179.660075,186.852225,179.234525
179.6851,186.906375,179.247225
179.7147,186.9496,179.2632
179.742675,186.99795,179.3009
179.77315,187.031725,179.31325
179.807875,187.073275,179.36465
179.83155,187.120275,179.399825
179.862825,187.158325,179.426775
179.887525,187.2078,179.47595
179.91615,187.2477,179.4942
179.94825,187.295975,179.512575
179.9824,187.36965,179.553625
180.00215,187.40385,179.57125
180.0301,187.43955,179.5937
180.064825,187.482175,179.6663
180.09145,187.502575,179.69005
180.1171,187.524275,179.71575
180.15005,187.563775,179.733725
180.18635,187.610375,179.785225
180.21755,187.6461,179.809025
180.231925,187.686425,179.8355
180.282625,187.71905,179.862225
180.316025,187.752975,179.9101
180.36495,187.7931,179.94265
180.4021,187.8194,179.988825
180.42305,187.85765,180.0374
180.46255,187.900375,180.0644
180.4983,187.997425,180.089525
180.54045,188.0353,180.185325
180.5727,188.060825,180.21235
180.599675,188.105725,180.225225
180.64165,188.143675,180.238675
180.674,188.17465,180.253925
180.720975,188.215475,180.26615
180.748075,188.2348,180.285625
180.775225,188.263275,180.29965
180.8188,188.30265,180.34095
180.8541,188.33535,180.3665
180.892625,188.384875,180.380225
180.93085,188.416875,180.404225
180.981225,188.47545,180.468975
181.009325,188.561725,180.512175
181.03265,188.613175,180.52295
181.074525,188.643275,180.6505
181.109525,188.67715,180.666125
181.14405,188.71705,180.748675
181.1818,188.739325,180.851775
181.265125,188.772925,180.90215
181.2874,188.7958,180.9158
181.321225,188.818725,180.935925
181.359375,188.844525,181.008875
181.420625,188.88295,181.143825
181.454125,188.90925,181.180375
181.51835,188.937025,181.2498
181.545175,188.9738,181.270025
181.59645,189.011225,181.30325
181.651,189.04875,181.328275
181.68245,189.08175,181.3504
181.7128,189.1613,181.3956
181.76645,189.18815,181.458325
181.803325,189.217525,181.4786
181.8522,189.245975,181.553475
181.8851,189.28125,181.65695
181.918675,189.327375,181.686975
181.9659,189.37215,181.782775
182.009525,189.419175,181.80165
182.05685,189.50125,181.836175
182.10545,189.5523,181.887
182.163025,189.629125,181.903075
182.20085,189.653675,181.953575
182.252275,189.683725,181.97475
182.32995,189.744875,181.9978
182.3746,189.78625,182.03735
182.417125,189.846575,182.0912
182.5012,189.881925,182.124925
182.55215,189.9751,182.1413
182.60735,190.0099,182.175025
182.640825,190.0351,182.188525
182.6808,190.07385,182.238575
182.709025,190.101575,182.290525
182.761525,190.1322,182.319575
182.805175,190.165275,182.3732
182.868125,190.1907,182.432775
182.907525,190.223875,182.466925
182.9741,190.241725,182.48765
183.032925,190.290075,182.536225
183.0981,190.3185,182.590525
183.14105,190.339075,182.6263
183.185075,190.371475,182.751575
183.218,190.386475,182.77135
183.2537,190.404575,182.793175
183.296125,190.412,182.829625
183.341625,190.426,182.8642
183.3902,190.44315,182.90855
183.425325,190.455675,182.92665
183.4589,190.46955,182.95895
183.4972,190.48225,182.993425
183.53695,190.53905,183.005225
183.611825,190.5731,183.027975
183.6631,190.59345,183.039625
183.7181,190.61315,183.10005
183.759925,190.628725,183.160375
183.8028,190.712625,183.1751
183.83005,190.74665,183.2224
183.872825,190.781975,183.24515
