SPK_SPKC04b,SPK_SPKC11a
425.8291,465.237925
425.8447,465.27355
425.859325,465.3215
425.87755,465.33825
425.89805,465.447775
425.931225,465.527125
425.967825,465.530625
426.005675,465.54325
426.027525,465.5593
426.0611,465.75555
426.0743,465.89865
426.116925,466.033375
426.217525,466.3233
426.23705,466.3521
426.269475,466.3992
426.29925,466.4409
426.32925,466.4457
426.345025,466.458725
426.387175,466.466925
426.40875,466.469475
426.426125,466.475925
426.44,466.48445
426.458975,466.5069
426.478325,466.544575
426.505425,466.78435
426.534475,466.909975
426.548275,466.93115
426.597575,466.94145
426.61665,466.960075
426.633375,467.057425
426.644425,467.10115
426.656725,467.128325
426.675425,467.14585
426.6936,467.295325
426.73255,467.457
426.7826,467.658625
426.802575,467.786625
426.838275,467.83905
426.860125,467.855225
426.910475,467.9119
426.949175,467.93
427.391375,467.95395
427.42585,467.9797
427.445525,467.981675
427.466275,468.039775
427.48225,468.043775
427.502325,468.059725
427.51675,468.10175
427.539575,468.1088
427.559675,468.112875
427.613925,468.1961
427.661725,468.261425
427.683875,468.309425
427.711475,468.5038
427.72065,468.53655
427.736025,468.65585
427.762125,468.682475
427.791825,468.695375
427.8371,468.6971
427.86485,468.715475
427.88135,469.257425
427.905625,469.399425
427.930175,469.442525
427.9482,469.455175
427.96995,469.493025
428.001225,469.510675
428.013225,469.55735
428.02345,469.578025
428.03365,469.6056
428.041275,469.608175
428.05815,469.859175
428.075325,469.9089
428.08335,470.013075
428.101725,470.046625
428.1236,470.115925
428.13675,470.243125
428.166725,470.249725
428.1963,470.260175
428.213325,470.275175
428.242675,470.38055
428.267525,470.627375
428.31145,470.6764
428.373975,471.063575
428.423475,471.2995
428.4437,471.326025
428.4921,471.329325
428.511425,471.338475
428.524675,471.37405
428.53555,471.383725
428.548125,471.42205
428.55965,471.448175
428.57065,471.494925
428.580725,471.594525
428.603925,471.62305
428.60865,471.7575
428.6136,471.937625
428.624375,472.0916
428.652625,472.172175
428.675675,472.189975
428.6938,472.321725
428.695775,472.337775
428.7029,472.374275
