SPK_SPKC05a (exc),SPK_SPKC15a (no response)
670.004125,758.6012
670.00615,758.84045
670.041525,759.37605
670.065725,759.6959
670.116225,759.9427
670.1777,760.025675
670.278575,760.16095
670.28795,760.379675
670.4177,760.454525
670.54175,760.523925
670.588825,760.665975
670.6693,761.111425
670.711525,761.4349
670.83745,761.5435
670.89675,761.7154
670.898225,763.37305
671.131225,763.597275
671.160275,763.682225
671.245325,763.767875
671.368575,763.8743
671.409425,764.088775
671.431275,764.1628
671.52465,765.009675
671.569175,765.14
671.674025,765.530125
671.76285,765.777075
671.8545,766.021925
671.89585,766.091325
671.91785,766.769075
671.979925,766.934775
671.98165,767.09345
672.0111,768.190775
672.01685,769.057075
672.1596,769.18935
672.3144,769.3916
672.374675,769.45235
672.4421,769.50825
672.565825,769.513425
672.59505,769.578625
672.62725,769.593825
672.676575,769.63905
672.741125,769.7142
672.754425,769.752625
672.81205,769.82395
672.96965,769.8937
673.0869,769.922775
673.1875,769.959625
673.196675,770.158825
673.27505,770.22355
673.360325,770.335975
673.4064,770.39805
673.516675,770.460675
673.550725,770.502725
673.65515,770.543025
673.676725,770.647075
673.73325,770.863325
673.844125,770.866
673.8771,770.950175
673.892,771.173675
673.934975,771.225275
674.0021,771.347875
674.0429,771.4413
674.044575,771.5611
674.10355,771.729725
674.14615,771.864775
674.16385,771.961925
674.231975,772.13595
674.2761,772.264775
674.3695,772.4975
674.407625,772.517725
674.487525,772.553975
674.589675,772.585375
674.864425,772.622875
674.8723,772.83755
674.9516,772.959725
675.06785,772.99355
675.0778,773.08
675.151125,773.177975
675.15625,773.4983
675.167625,773.753175
675.2846,773.7995
675.3374,773.81055
675.3474,773.89215
675.390075,773.931525
675.4946,773.96965
675.629425,774.005475
675.890725,774.08105
675.900225,774.164375
675.9208,774.37175
675.922525,774.3881
676.23965,774.427675
676.271825,774.45985
676.308975,774.870575
676.399025,774.972425
676.640225,775.202425
676.7824,775.26975
676.8016,775.401375
676.818575,775.507725
676.969725,775.538625
677.01895,775.636325
677.0685,775.660575
677.11585,775.68815
677.2952,775.7385
677.339075,775.798675
677.381925,775.887675
677.5146,775.957625
677.609675,776.0203
677.70075,776.1125
677.7094,776.187
677.7255,776.2532
677.7501,776.40865
677.766325,776.525275
677.776375,776.612175
677.83265,776.679725
678.0536,776.812525
678.107325,776.8578
678.33815,776.89865
678.6636,776.93235
678.68995,777.02095
678.71675,777.04235
678.777075,777.106
678.821975,777.179075
678.88145,777.20595
678.925575,777.28455
679.0007,777.334975
679.101175,777.390125
679.47145,777.412925
679.581775,777.473225
679.59765,777.5888
679.610725,777.64585
679.6205,777.702675
679.661075,777.729775
679.724275,777.767575
679.84085,777.8072
679.988825,777.8443
