SPK_SPKC04a (artef),SPK_SPKC12b (exc)
411.37755,443.83465
411.458825,444.2492
411.4787,444.3038
411.60055,444.62475
411.6511,444.900175
411.767025,445.085775
411.79905,445.099675
411.85085,445.16445
411.936325,445.65495
412.1483,445.823175
412.1853,445.89695
412.354625,446.187525
412.586275,446.346875
412.67125,446.503175
412.730375,446.639975
412.791025,447.130975
412.86895,447.440725
412.9378,447.917775
413.019225,448.269075
413.1045,448.45905
413.17845,448.62815
413.252875,448.739975
413.3333,448.85855
413.38395,449.003525
413.43875,449.11405
413.511275,449.138725
413.58095,449.183
413.66105,450.066975
413.7246,450.215225
413.760625,450.388125
413.82655,450.55505
413.891825,450.59435
413.952625,450.8843
414.008375,451.0971
414.061675,451.22975
414.174375,451.356225
414.2218,451.673325
414.339625,452.979175
414.373175,453.310875
414.41155,454.431175
414.4536,454.8724
414.648225,455.605075
414.711575,456.696775
414.752875,457.724975
414.83235,457.8085
414.9111,457.854625
414.960725,457.876775
415.0363,458.28435
415.0793,458.622375
415.131625,458.6914
415.184625,458.97185
415.248275,460.168825
415.2965,460.244
415.34575,460.27535
415.40595,460.3311
415.4527,460.543
415.598825,460.847325
415.66005,460.8618
415.73685,460.891575
415.795,461.02345
415.846725,461.33935
415.92035,461.51885
415.95765,461.7668
416.042475,462.1673
416.092675,462.529725
416.14625,463.09735
416.1879,463.724575
416.252575,463.85875
416.322125,463.99215
416.3757,464.46425
416.458,464.614125
416.5055,464.658825
416.574775,465.04305
416.625125,465.090675
416.65645,465.854825
416.696575,465.902825
416.763075,467.052175
416.803075,467.77815
416.83485,467.8232
416.8783,468.2461
416.937475,468.354875
416.9817,468.4326
417.028225,468.862125
417.0903,469.0384
417.206975,469.142425
417.288,469.179575
417.353125,469.784975
417.4151,470.27635
417.466125,470.49645
417.501525,470.83475
417.536825,470.9681
417.58615,471.4031
417.645675,471.46305
417.70575,471.9631
417.748475,472.028475
417.7821,472.46685
417.8337,472.524775
417.88595,472.646775
417.9345,472.8897
418.010475,473.60445
418.062325,473.96505
418.134875,474.17745
418.18465,474.328475
418.2383,474.64435
418.245525,474.680925
418.29185,474.89495
418.369175,474.949825
418.45535,475.010325
418.493925,475.419225
418.53775,475.43595
418.607225,475.524025
418.644,475.893475
418.707275,476.003525
418.85155,476.2154
418.897825,476.32355
418.9513,476.55345
418.997325,476.865825
419.060625,476.918025
419.1128,476.9619
419.1908,477.26
419.23385,477.619175
419.296475,477.72125
419.355,478.204475
419.4171,478.266725
419.4891,478.343625
419.57415,478.4952
419.663625,478.714225
419.712325,479.21115
419.753625,479.81265
419.80995,479.985025
419.848625,480.064425
419.877525,480.24275
419.9228,480.33565
419.97795,480.737825
420.081875,480.8505
420.1139,480.9547
420.17935,481.15525
420.21735,481.332725
420.2774,481.4612
420.307825,481.998125
420.343475,482.1814
420.39925,482.2497
420.4764,483.068725
420.57015,483.298225
420.622125,483.3967
420.725,483.58195
420.776175,483.850725
420.8378,484.0336
420.893,484.52065
420.96155,484.7394
421.09085,484.866575
421.143425,484.964375
421.263525,485.56635
421.38435,485.874375
421.508875,485.879875
421.57885,486.531475
421.70315,486.6812
421.724625,486.74085
422.02785,486.930925
422.177775,487.3913
422.645575,487.5835
423.2809,487.729675
423.567025,487.7755
423.61715,488.3171
423.741675,488.43015
423.84305,488.58295
423.84935,488.782175
424.1709,488.983525
424.34055,489.12285
424.36015,489.28935
424.4818,489.456
424.55705,489.5568
424.834525,490.266175
424.867925,490.878875
424.899075,491.3927
424.96445,491.70295
425.08515,491.751
425.109275,492.014375
425.250925,492.398875
425.35615,492.781375
425.5421,492.97075
425.629925,493.028875
425.707075,493.16545
425.807725,493.295025
425.8159,493.497725
425.918425,493.760475
426.0893,493.850975
426.42935,494.1697
426.637,494.34335
426.6468,494.645275
426.710025,494.690075
426.7817,494.930075
426.893,495.215825
426.98835,495.342725
426.99005,495.37805
427.0588,495.947
427.1069,496.43975
427.132025,496.64555
427.1957,496.744975
427.76145,496.85855
429.5726,497.295075
431.427125,497.456775
431.7967,497.679425
431.837975,497.79385
432.2933,497.908625
432.767925,498.047875
432.8886,498.17855
433.1149,498.3317
433.4748,498.554025
433.51905,498.694675
433.630125,498.9479
433.762,498.991925
433.9127,499.42535
434.100475,499.90115
434.362975,499.9841
434.5296,500.48815
436.12615,500.5686
436.18785,501.09115
436.192875,501.394175
436.417175,501.518375
436.46035,501.672025
436.555875,501.885225
436.63575,501.94845
436.735675,502.37095
436.7824,502.976925
437.3213,502.989825
437.560975,503.115775
437.623375,503.576775
437.73965,504.2786
437.7446,504.4917
437.835075,504.795875
437.8396,504.826425
437.906725,504.96575
437.9714,504.977675
437.991875,505.09995
438.1152,505.6397
438.1555,505.70205
438.2628,506.4398
438.294825,507.023175
438.48795,507.330425
438.563025,511.0461
438.5996,511.14125
438.649675,511.23095
438.680775,512.66055
438.721375,513.380875
438.75515,514.083125
438.7981,514.2152
438.862825,514.927325
438.932375,515.4084
438.952925,515.638125
438.9723,516.38455
439.00155,516.500675
439.0904,516.558875
439.196075,516.7958
439.231625,516.8406
