SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06b,SPK_SPKC10b,SPK_SPKC11a,SPK_SPKC16a
429.654125,428.559375,437.5504,425.5364,471.3982,417.82195,405.6756
430.038075,428.60225,437.575225,425.64525,471.4414,417.85585,405.705425
430.24905,428.669125,437.6162,425.7812,471.462025,417.922975,405.7201
430.3687,428.730975,437.9264,425.860525,471.983775,417.951725,405.73615
430.41665,428.86275,437.938575,425.9741,472.03915,418.0025,405.7532
430.71635,428.954075,438.04945,426.10745,472.0862,418.04615,405.78285
430.8365,429.052275,438.423125,426.21145,472.51365,418.14415,405.8094
430.9023,429.554175,438.705275,426.2627,472.8211,418.171825,405.8231
430.958725,429.6542,438.791175,426.294375,472.943625,418.310525,405.84915
431.007475,430.038175,438.81645,426.42385,473.080375,418.41365,405.8971
431.120425,430.24905,438.826125,426.4987,473.1632,418.444025,405.916675
431.191075,430.368775,439.1966,426.5349,473.5827,418.510425,405.92935
431.27585,430.4167,439.343225,426.597175,473.918825,418.582775,405.9372
431.42475,430.716375,439.401575,426.7197,474.7339,418.7408,405.951625
431.470325,430.83655,439.564675,426.801475,474.86715,418.75885,405.9739
431.520875,430.902375,439.598275,426.9009,475.287625,418.80735,406.01715
431.588475,430.958825,439.647475,426.96145,475.536675,418.811525,406.194775
431.609275,431.00755,439.698975,427.052725,476.00925,418.883675,406.205425
431.7058,431.12045,439.81425,427.228,476.712775,419.00935,406.2134
432.410675,431.19115,439.82075,427.318725,476.844925,419.03555,406.222575
432.4954,431.275875,440.36155,427.427825,477.584725,419.0779,406.23045
432.846675,431.4704,440.4215,427.56755,477.70345,419.1442,406.252625
432.9117,431.521,441.371275,427.6505,477.926675,419.2025,406.260775
433.0289,431.588525,441.463375,427.7193,478.000525,419.285075,406.273975
433.153475,431.609325,441.6204,427.7645,478.313875,419.34285,406.284525
433.267275,431.705875,441.636475,427.80945,478.397575,419.36865,406.295725
433.3543,432.41075,441.643525,427.8913,478.43405,419.388625,406.32065
433.4371,432.49545,441.8706,427.94495,478.617825,419.4126,406.3413
433.6572,432.9117,441.973125,428.01515,479.032825,419.496575,406.3536
433.7341,432.92665,442.600225,428.0746,479.3782,419.52585,406.412675
433.852875,433.02895,442.672725,428.1472,479.4429,419.565475,406.442325
433.8911,433.15355,442.96775,428.2434,479.50075,419.5909,406.48125
434.0341,433.26735,443.1407,428.29995,479.607525,419.6404,406.49905
434.21045,433.354325,443.405875,428.34845,480.22525,419.802175,406.526675
435.095625,433.437175,443.423,428.397025,480.313225,419.85455,406.54835
435.466525,433.590825,443.56415,428.4425,480.35155,419.87085,406.5622
435.650725,433.65725,443.851875,428.473175,480.4282,419.91685,406.581725
435.756675,433.852975,443.878975,428.48755,480.594025,419.937225,406.601
435.921775,433.891125,444.027275,428.520675,480.630675,419.989775,406.6124
436.085775,434.034225,444.1003,428.5274,480.7102,420.014825,406.624325
436.128675,434.147275,444.15905,428.696975,480.78755,420.10275,406.640225
436.173525,434.210475,444.18445,428.7388,480.9065,420.1142,406.658425
436.213775,435.09565,444.1904,428.799725,481.0172,420.14745,406.671725
436.300225,435.21745,444.225325,428.839425,481.05795,420.1658,406.681875
436.3232,435.466525,444.419825,428.908525,481.166275,420.3016,406.7076
436.360425,435.65075,444.42975,428.977725,481.8323,420.3433,406.725175
436.47,435.7567,444.604975,429.06215,482.0809,420.42755,406.731825
436.501275,435.921825,444.7261,429.126175,482.329575,420.4679,406.744325
436.74805,436.040475,445.038425,429.143,482.366325,420.48955,406.760975
436.79045,436.0858,445.292475,429.189375,482.396225,420.500275,406.769725
436.86835,436.128675,445.3779,429.268075,482.40765,420.540725,406.779025
436.947825,436.2139,445.4063,429.323575,482.540525,420.550075,406.80125
437.019125,436.30025,445.751825,429.364,482.60845,420.596175,406.82255
437.04415,436.3233,445.762125,429.41145,482.63215,420.60355,406.866525
437.114875,436.360475,445.798,429.43905,482.751425,420.72095,406.956275
437.1466,436.470025,445.812025,429.476875,483.37585,420.7361,407.148025
437.20325,436.5013,445.833075,429.520075,483.574,420.950525,407.179125
437.268975,436.748125,445.98855,429.59935,483.72935,421.040675,407.1966
