SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC02a,SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC05b,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC06c,SPK_SPKC08a,SPK_SPKC08b,SPK_SPKC09c,SPK_SPKC11b,SPK_SPKC11c,SPK_SPKC02c
96.959725,11.0276,68.350625,32.8244,5.19445,56.95835,3.6083,3.618675,6.436125,23.912175,8.73215,14.133325,9.77635,19.76435,6.277775
96.965975,11.156275,68.855925,32.912875,5.21985,57.150425,3.632375,3.655925,6.449925,24.096075,8.831525,14.2595,9.805975,20.0257,6.3127
97.232725,11.1912,69.121375,32.940175,5.231,57.530825,3.641525,3.673125,6.457625,24.123775,8.848425,14.3231,9.8253,20.037875,6.325375
97.402625,11.205475,69.306825,33.052625,5.2413,57.932975,3.65845,3.692925,6.486175,24.18965,8.884775,14.3403,9.84275,20.25205,6.451175
97.4291,11.322125,69.33605,33.519975,5.253375,57.966175,3.67435,3.710175,6.487775,24.2116,8.94995,14.426625,9.87665,20.28335,6.547575
97.65975,11.33585,70.747375,33.674075,5.27165,58.239175,3.694775,3.7299,6.5408,24.5813,8.989575,14.4459,9.938,20.331325,6.58715
97.704375,11.401875,70.904575,33.81605,5.279875,58.6983,3.707175,3.760775,6.55145,24.741325,9.0189,14.4906,9.951325,20.34675,6.63935
97.8113,11.4337,71.307025,34.613225,5.341575,59.570325,3.720375,3.7812,6.60535,25.063725,9.049075,14.59595,9.964,20.37095,6.83575
97.872525,11.4361,71.926925,34.8803,5.370425,59.8652,3.74955,3.80505,6.755375,25.10785,9.0828,14.625775,10.003275,20.45095,6.83905
97.914025,11.458875,71.95935,34.9373,5.39675,59.96015,3.785125,3.8212,6.8348,25.147475,9.120125,14.66835,10.068425,20.60165,6.87415
97.966775,11.50925,72.13085,35.001875,5.423625,60.6198,3.81875,3.8414,6.88545,25.193425,9.1754,14.8535,10.07055,20.916475,6.889575
98.29805,11.53035,72.7697,35.2402,5.467125,60.6417,3.834275,3.8984,6.91385,25.2512,9.2424,15.02,10.091125,21.242525,7.062275
98.6018,11.544575,73.169075,35.39065,5.50735,60.753675,3.886525,3.9498,7.0005,25.380875,9.322175,15.07305,10.20185,21.27355,7.106525
98.646525,11.584425,73.3611,35.414125,5.514525,61.994675,3.91325,3.979675,7.1145,25.59705,9.363125,15.1223,10.23085,21.329225,7.202925
98.711575,11.633375,73.9523,36.19275,5.5202,62.24105,3.9547,3.989975,7.13055,25.639275,9.39305,15.161525,10.238625,21.422525,7.229375
100.82915,11.72035,74.251525,36.4755,5.564925,63.09885,3.980675,4.0233,7.17655,26.2605,9.52035,15.2806,10.259375,21.524175,7.327075
