SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC09a,SPK_SPKC09b,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
228.5406,231.380275,213.623175,207.187775,237.104775,219.20695,205.427025,221.750125
228.60055,231.39845,213.631475,207.196725,237.266775,219.246075,205.438825,221.774325
228.7006,231.407925,213.638,207.218025,237.3849,219.636775,205.450475,221.90175
228.814325,231.62895,213.734925,207.233125,237.414775,219.678825,205.479125,222.076275
228.860175,231.716325,213.755275,207.248,237.700225,219.83165,205.4972,222.0836
228.97695,231.780825,213.781975,207.257,237.77845,219.8597,205.508475,222.124275
229.0316,231.9007,213.800525,207.2874,237.78715,219.9568,205.541875,222.2184
229.06175,232.294975,213.81555,207.339375,238.004325,220.048075,205.55995,222.2977
229.373425,234.0783,213.8851,207.342075,238.071875,220.0679,205.563975,222.318225
229.543325,234.45775,213.9085,207.3518,238.33015,220.0885,205.570775,222.386175
229.62995,234.473,213.9405,207.36195,238.33625,220.3034,205.58685,222.485475
229.66405,234.491,213.9523,207.374075,238.44395,220.31505,205.5919,222.50295
229.69885,234.8647,213.972675,207.3869,238.48685,220.360775,205.6,222.549675
229.738875,234.8916,213.982925,207.3956,238.6779,220.38395,205.614375,222.585125
229.85875,234.93085,213.993375,207.419225,238.807025,220.4665,205.6228,222.6189
229.891575,235.084775,214.0159,207.463375,238.89215,220.468725,205.633825,222.63675
