SPK_SPKC02a (no effect),SPK_SPKC08a (inhibited),SPK_SPKC09a (inhibited),SPK_SPKC13a (inhibited)
74.662425,110.882475,10.595575,7.736875
74.89485,111.076925,10.60665,7.753925
74.942725,111.39055,10.616575,7.781425
75.03185,111.534325,10.627375,7.794
75.0642,111.76565,10.642475,7.813325
75.104325,112.246025,10.674125,7.83425
75.178625,112.5287,10.6944,7.9169
75.296975,112.85045,10.720625,8.006875
75.34475,112.9533,10.745375,8.043325
75.403,113.819775,10.7579,8.053025
75.587175,113.9031,10.808925,8.063725
75.72415,114.263525,10.8224,8.107425
75.74055,114.3612,10.8366,8.121225
75.88295,114.7353,10.8624,8.14245
76.217225,114.79775,10.88355,8.157425
76.3976,114.969375,10.925075,8.1678
76.809325,115.478825,10.9473,8.190675
76.831275,116.016375,10.955125,8.20285
76.927425,116.7251,10.9639,8.2168
78.801275,116.832825,10.986075,8.228275
78.912275,116.96575,11.001325,8.25485
78.957625,117.869925,11.03275,8.2624
79.199025,117.920675,11.0549,8.285775
79.7436,118.4018,11.09985,8.3
80.1399,118.518275,11.10345,8.3365
80.786475,118.64335,11.1594,8.346475
81.2779,120.108175,11.17635,8.398525
81.33585,120.250525,11.19685,8.416675
83.38875,120.3454,11.2501,8.4561
83.53195,121.2285,11.2637,8.533375
83.56075,121.73075,11.296475,8.545975
86.73455,122.077775,11.3115,8.5892
86.73875,122.389325,11.368675,8.6296
87.28605,122.9246,11.384575,8.638375
87.310675,124.198275,11.40465,8.649325
87.382425,124.22515,11.431775,8.6683
88.385075,124.2513,11.457525,8.6818
88.432575,124.336575,11.48715,8.71295
88.544875,124.346825,11.50385,8.723225
88.562375,124.489825,11.52125,8.737925
88.577775,124.70955,11.53905,8.760575
88.591725,125.1218,11.5753,8.78635
88.6407,125.49635,11.591075,8.81655
89.180225,125.6134,11.619725,8.8646
89.367775,126.005625,11.637775,8.889925
92.204225,126.5907,11.7173,8.900875
92.21305,126.876575,11.735825,8.976025
92.4476,127.124175,11.791075,9.0313
92.674725,127.9314,11.808475,9.052075
93.280025,128.148525,11.8906,9.092125
93.361175,128.236075,11.9286,9.1033
93.432075,128.4771,11.959675,9.11675
93.4659,128.591325,11.9826,9.14235
93.497825,128.5991,12.073175,9.15105
94.10565,128.805425,12.09335,9.171275
94.261025,128.915,12.143975,9.20105
95.12605,129.0391,12.171225,9.210475
95.751175,129.0988,12.20835,9.2667
