SPK_SPKC02a (inhi),SPK_SPKC09a (no opto-tagging),SPK_SPKC10a (no opto-tagging)
98.223175,177.5667,41.01825
98.491725,177.904575,41.056175
98.874875,178.113425,41.076675
99.007875,178.5323,41.100025
99.095675,178.591025,41.119125
99.2988,178.729525,41.1568
99.36185,178.7649,41.196775
99.73765,179.550925,41.245075
99.921975,179.7623,41.465275
99.9795,179.80625,41.503075
100.029875,181.742625,41.562775
100.092225,182.534575,41.60925
100.113775,182.658675,41.64145
100.1698,182.8902,41.668275
100.22065,183.503525,41.6983
100.348225,184.2276,41.71795
100.5206,185.00995,41.753425
100.5515,185.120925,41.7854
100.6798,185.279275,41.8307
100.756,185.430625,41.92705
100.908625,186.2267,42.01955
100.96335,186.374225,42.0675
101.2468,186.963375,42.1162
101.45865,190.664,42.16
101.589975,192.26225,42.30715
101.66885,193.084375,42.35505
101.807725,193.7215,42.3703
101.9169,194.071075,42.39005
102.02505,194.999275,42.41425
102.07555,195.273625,42.443275
102.172275,196.00375,42.465125
102.2291,196.166975,42.501825
102.385825,196.981325,42.54325
102.42165,198.518,42.549475
102.503025,,42.575225
102.55015,,42.591275
102.620475,,42.623425
102.67255,,42.648525
102.95525,,42.653325
103.10695,,42.67065
103.2428,,42.706775
103.3225,,42.718875
103.58365,,42.759675
103.659575,,42.797875
103.734775,,42.8288
103.797175,,42.88865
103.86925,,42.92165
103.929375,,42.937275
103.98145,,42.9564
104.00605,,42.986075
104.125,,43.00965
104.316375,,43.038875
104.334325,,43.059625
104.413975,,43.0837
104.5142,,43.120025
104.70935,,43.144375
104.798375,,43.159325
104.8707,,43.181475
104.9049,,43.19955
105.038525,,43.2126
105.1272,,43.232975
105.262875,,43.250425
105.349325,,43.276225
105.44885,,43.299375
105.566325,,43.3219
105.6181,,43.354675
105.73045,,43.376625
105.949875,,43.393975
106.009,,43.407375
106.12705,,43.426475
106.28255,,43.460675
106.3855,,43.48655
106.500575,,43.5257
106.677525,,43.629225
106.7213,,43.672775
106.7372,,43.677425
106.75255,,43.699825
106.772875,,43.773625
106.819375,,43.8316
106.854925,,43.872825
106.890625,,43.893225
106.955975,,43.903975
107.0066,,43.92545
107.059375,,43.9579
107.16535,,43.97575
107.28945,,43.99005
107.317375,,44.011675
107.3606,,44.033175
107.419225,,44.059975
107.4463,,44.079725
107.49695,,44.1034
107.541675,,44.13025
107.578375,,44.173025
107.6122,,44.1974
107.647175,,44.319
107.69515,,44.38555
107.738225,,44.45765
107.769625,,44.486625
107.8005,,44.503725
107.8505,,44.514075
107.905725,,44.543025
107.957525,,44.548575
108.0224,,44.6175
108.074825,,44.642325
108.090075,,44.66525
108.096775,,44.6844
108.135975,,44.697675
108.17355,,44.716725
108.2122,,44.729825
108.24635,,44.757325
108.290475,,44.772025
108.3366,,44.784375
108.3688,,44.8115
108.4532,,44.83145
108.507125,,44.846975
108.5865,,44.889425
108.632975,,44.911725
108.6854,,44.96955
108.71615,,45.03145
108.772825,,45.06
108.82725,,45.08165
108.904,,45.125
108.939725,,45.164075
108.98385,,45.192525
109.037125,,45.2112
109.0882,,45.229275
