SPK_SPKC06a (NA),SPK_SPKC08a (NA),SPK_SPKC13a (excited),SPK_SPKC13b (excited),SPK_SPKC16a (NA)
,,10.6596,176.33085,
,,10.70385,176.3535,
,,10.7452,176.96475,
,,10.775675,177.872675,
,,10.800825,178.252425,
,,10.813825,178.906175,
,,10.82875,178.957425,
,,10.841,179.17305,
,,10.852975,179.40375,
,,10.880475,179.757125,
,,10.89855,180.360775,
,,10.923125,180.4992,
,,10.947375,180.921625,
,,10.96725,181.085225,
,,11.0007,181.4158,
,,11.025475,181.5287,
,,11.058125,182.6955,
,,11.085075,183.055825,
,,11.1089,183.763975,
,,11.13195,183.78145,
,,11.15975,184.86195,
,,11.182425,184.948,
,,11.2007,185.8045,
,,11.21955,186.249525,
,,11.24805,186.612975,
,,11.28105,186.7362,
,,11.311,186.99895,
,,11.343825,187.1626,
,,11.373025,187.620825,
,,11.402925,188.562075,
,,11.429425,188.617625,
,,11.45595,189.587225,
,,11.487725,189.627675,
,,11.510575,189.654225,
,,11.539025,190.05085,
,,11.564275,190.388475,
,,11.59745,190.61785,
,,11.656825,192.3535,
,,11.6949,192.42975,
,,11.7272,192.5509,
,,11.74115,192.83035,
,,11.7601,193.52505,
,,11.79955,193.648475,
,,11.83895,193.9327,
,,11.878725,194.079175,
,,11.921325,194.123525,
,,11.96465,194.291275,
,,12.004625,194.313275,
,,12.02895,194.661225,
,,12.053925,194.821725,
,,12.082575,194.96455,
,,12.116625,196.355675,
,,12.154475,196.540075,
,,12.189125,196.79885,
,,12.2292,197.941475,
,,12.281425,198.083925,
,,12.3074,198.78575,
,,12.330875,200.020325,
,,12.36085,200.197325,
,,12.381175,201.264,
,,12.398575,201.30075,
,,12.42725,201.951925,
,,12.455775,202.179675,
,,12.47855,202.27125,
,,12.500275,203.4998,
,,12.50855,203.518825,
,,12.522975,203.83235,
,,12.5555,204.049675,
,,12.612425,204.792575,
,,12.6423,205.21675,
,,12.690825,205.2902,
,,12.72775,206.328475,
,,12.76555,,
,,12.809225,,
,,12.84375,,
,,12.861225,,
,,12.881775,,
,,12.892125,,
,,12.89915,,
,,12.9316,,
,,12.9516,,
,,12.961325,,
,,12.981425,,
,,12.999275,,
,,13.03065,,
,,13.0727,,
,,13.10575,,
,,13.1436,,
,,13.178325,,
,,13.207075,,
,,13.2358,,
,,13.254325,,
,,13.288625,,
,,13.325625,,
,,13.3612,,
,,13.40065,,
,,13.43545,,
,,13.464725,,
,,13.511875,,
,,13.553825,,
,,13.586775,,
,,13.626775,,
,,13.65635,,
,,13.693075,,
,,13.7035,,
,,13.732225,,
,,13.747475,,
,,13.77015,,
,,13.7954,,
,,13.825675,,
,,13.8703,,
,,13.9001,,
,,13.925025,,
,,13.965075,,
,,14.003175,,
,,14.026525,,
,,14.0424,,
,,14.0715,,
,,14.0954,,
,,14.130975,,
,,14.17715,,
,,14.211375,,
,,14.2275,,
,,14.25805,,
,,14.282775,,
,,14.304575,,
,,14.330625,,
,,14.36275,,
,,14.40625,,
,,14.441225,,
,,14.474375,,
,,14.509825,,
,,14.567275,,
,,14.605475,,
,,14.6259,,
,,14.645,,
,,14.652675,,
,,14.675275,,
,,14.705375,,
,,14.730475,,
,,14.763725,,
,,14.7925,,
,,14.812475,,
,,14.85215,,
,,14.88765,,
,,14.920575,,
,,14.957775,,
,,14.9872,,
,,15.028725,,
,,15.061225,,
,,15.088175,,
,,15.105675,,
,,15.118525,,
,,15.129775,,
,,15.15115,,
,,15.1774,,
,,15.1909,,
,,15.2118,,
,,15.235675,,
,,15.272625,,
,,15.323075,,
,,15.38195,,
,,15.400375,,
,,15.41735,,
,,15.428675,,
,,15.448675,,
,,15.465825,,
,,15.496225,,
,,15.524875,,
,,15.555275,,
,,15.605875,,
,,15.63115,,
,,15.6593,,
,,15.676475,,
,,15.705425,,
,,15.724925,,
,,15.7544,,
,,15.776225,,
,,15.7913,,
,,15.810525,,
,,15.82685,,
,,15.84925,,
,,15.8716,,
,,15.89715,,
,,15.920625,,
,,15.9376,,
,,15.96835,,
,,15.987875,,
,,16.01815,,
,,16.052,,
,,16.070425,,
,,16.081075,,
,,16.1097,,
,,16.124425,,
,,16.1513,,
,,16.1695,,
,,16.18465,,
,,16.210475,,
,,16.23715,,
