SPK_SPKC02b,SPK_SPKC02c,SPK_SPKC09a
220.575725,223.948175,206.7381
220.58725,223.988275,206.745225
220.613375,224.284,206.752075
220.62215,224.2908,206.75805
220.634225,224.29675,206.815325
220.668375,224.3008,206.84785
220.681475,224.3101,206.8582
220.698325,224.329375,206.87625
220.70845,224.3331,206.888075
220.750175,224.3426,206.909475
220.780825,224.3519,206.919
220.817675,224.407175,206.96775
221.009775,224.61665,207.0582
221.031575,224.66355,207.06415
221.052675,224.677425,207.068925
221.068675,224.712125,207.073275
221.073625,224.73275,207.078025
221.10295,224.74485,207.082225
221.1221,224.81825,207.086525
221.13185,225.014025,207.092925
221.141775,225.062825,207.0982
221.16655,225.09885,207.1055
221.1845,225.11295,207.1113
221.282775,225.1373,207.117175
221.471425,225.187625,207.124
221.475975,225.20165,207.13975
221.485425,225.2356,207.17405
221.488975,225.26795,207.23555
221.492275,225.396425,207.2567
221.503425,225.452075,207.2974
221.507275,225.489375,207.3749
221.5208,225.52115,207.3958
221.5306,225.52735,207.417925
221.54265,225.5322,207.429575
221.58205,225.53865,207.45745
221.59115,225.543475,207.469675
221.609075,225.551175,207.48245
221.620625,225.582,207.495525
221.63955,225.59915,207.510575
221.650725,225.629025,207.55045
221.661225,225.811225,207.57635
221.707,225.902175,207.695675
221.8616,225.915575,207.723675
221.870275,225.942025,207.7365
221.87545,225.949275,207.74995
221.87885,225.9647,207.760725
221.88745,226.019875,207.7689
221.892375,226.0374,207.78665
221.89645,226.222475,207.7971
221.900925,226.2909,207.808675
221.9085,226.31615,207.823575
221.9617,226.3849,207.848075
221.9674,226.3925,207.867025
221.974975,226.394875,207.886875
221.9827,226.414575,207.898925
222.00825,226.441225,207.9306
222.019025,226.47615,207.949425
222.0311,226.484475,207.987275
222.043025,226.504275,208.002
222.06015,226.509125,208.01275
222.23535,226.558725,208.027475
222.249175,226.7348,208.041625
222.27655,226.818525,208.05695
222.285875,226.828,208.0667
222.315825,226.8367,208.080575
222.3484,226.85585,208.093125
222.354525,226.872,208.103975
222.407825,226.887375,208.11025
222.4176,226.9132,208.118125
222.429075,226.92795,208.125075
222.442375,226.992525,208.132025
222.4571,227.00595,208.136625
222.656875,227.014,208.141125
222.664175,227.130575,208.149525
222.6761,227.349575,208.158325
222.6873,227.354975,208.16895
222.6938,227.3758,208.1807
222.7091,227.3825,208.19535
222.718725,227.401475,208.206425
222.724775,227.42085,208.215225
222.731225,227.46865,208.224725
222.736925,227.51025,208.24175
222.749375,227.7019,208.25475
222.75805,227.7218,208.272275
222.779525,227.72835,208.370775
222.803175,227.737,208.447975
222.81795,227.754975,208.50345
222.827375,227.801325,208.5203
222.844775,227.85125,208.534275
222.911125,227.868025,208.544725
222.9753,227.89905,208.557425
223.040025,227.9044,208.56515
223.054925,227.924725,208.572775
223.0657,228.00555,208.586425
223.071225,228.065075,208.5936
223.075,228.12275,208.6036
223.07945,228.201,208.610775
223.08335,228.22245,208.622825
223.088375,228.228275,208.6413
223.1194,228.233525,208.65265
223.126025,228.238175,208.670725
223.129725,228.27735,208.770825
223.14295,228.297725,208.813675
223.1477,228.413,208.957325
223.159275,228.663175,208.971725
223.1976,228.680025,208.979175
223.20755,228.7213,208.984125
223.21585,228.7299,209.00035
223.261175,228.7594,209.00755
223.27,228.76705,209.0253
223.277425,228.7815,209.0665
223.30685,228.79855,209.0931
223.321625,228.810725,209.104025
223.345075,228.850575,209.141975
223.37685,228.9779,209.16985
223.534425,229.084475,209.212375
223.5559,229.098625,209.2862
223.56985,229.103775,209.327725
223.57285,229.112825,209.3476
223.57585,229.12295,209.3753
223.5999,229.13215,209.413125
223.6117,229.199225,209.4243
223.617775,229.207725,209.43535
223.6394,229.2481,209.446
223.6541,229.2773,209.45525
223.67235,229.28315,209.463875
223.708725,229.301275,209.47895
223.730525,229.4823,209.486825
223.9136,229.509625,209.505725
223.921175,229.555425,209.526525
223.944325,229.5715,209.601675
223.95365,229.665,209.63625
223.959175,229.73515,209.6847
223.966,229.753625,209.770975
223.997225,229.7816,209.788275
224.0076,229.857625,209.80225
224.017075,229.8773,209.8159
224.0247,229.896525,209.823
224.04025,230.07495,209.8318
224.072725,230.0977,209.840775
224.0948,230.119625,209.858075
224.12095,230.147775,209.875425
224.196675,230.3559,209.8885
224.265675,230.44155,209.91545
224.3191,230.461825,209.9534
224.323025,230.5889,209.9965
224.338,230.655125,210.020025
224.359525,230.92665,210.055475
224.36925,231.04385,210.07475
224.3792,231.160125,210.096575
224.387275,231.24555,210.107925
224.3974,231.59435,210.117575
224.423475,231.622475,210.128525
224.443625,231.6694,210.136025
