SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC09a,SPK_SPKC12b,SPK_SPKC13c,SPK_SPKC14a,SPK_SPKC16a
85.767925,149.1768,54.0556,35.3319,35.468725,9.313125,7.14125
86.173325,149.37775,54.506275,35.3704,35.495725,9.34275,7.165675
86.182775,149.71685,55.029975,35.382,35.542025,9.58695,7.19975
86.88875,152.808775,55.16735,35.39645,35.55665,9.63745,7.21495
86.8935,155.11945,55.600125,35.607625,35.58585,9.642525,7.23155
86.898825,156.055375,55.617175,35.6545,35.6558,9.671225,7.26135
86.918025,156.6823,56.42395,35.655775,35.719325,9.684475,7.2751
86.944925,157.14785,56.575225,36.0144,35.766275,9.713925,7.460925
87.435575,157.9032,56.606625,36.06805,35.790525,9.725075,7.4897
87.439275,158.9412,56.652975,37.258375,35.84255,9.741975,7.5047
87.991075,158.957875,56.690475,39.696375,35.882725,9.78565,7.5247
88.4006,159.36195,58.03435,40.639875,35.900175,9.8301,7.536225
88.4053,160.112225,58.15825,40.924725,35.931375,9.89865,7.569175
89.14925,160.118625,58.189425,40.970875,36.0144,10.16665,7.600775
89.431425,160.121375,58.2397,41.92335,36.0395,10.196875,7.618725
89.851175,160.133575,58.28295,42.997625,36.068075,10.20695,7.68715
90.11775,165.07535,58.340825,46.225825,36.1026,10.248775,7.702725
90.53825,165.235475,58.371625,46.4283,36.3311,10.590975,7.72275
90.953375,165.32345,58.39265,46.46825,36.5534,10.6161,7.769775
92.329375,166.7644,58.419075,46.4769,36.93125,10.61995,7.8993
92.496875,167.13135,58.43425,46.48105,36.96905,10.643025,7.956925
92.8826,167.32265,58.45985,46.50225,37.18155,10.666475,7.985075
93.183125,167.340725,58.513925,49.217925,37.216775,10.714625,8.04595
93.84825,167.842875,58.526075,53.219025,37.447525,10.723675,8.066525
93.9467,167.85245,58.56265,55.0901,37.5646,10.7739,8.0752
95.215525,169.62395,58.594075,55.179375,37.720225,11.0439,8.1024
97.34975,169.64465,58.627375,55.22065,37.79015,11.073,8.132675
97.9271,170.8645,58.678075,55.265525,38.1607,11.106675,8.160825
97.932525,171.495675,58.70275,55.6835,38.209,11.13565,8.366025
97.945825,171.888525,58.717575,55.740875,38.576975,11.156375,8.393225
98.07955,175.200575,58.732725,55.76615,38.96575,11.18475,8.436125
98.386375,175.382525,58.7596,55.779825,39.08145,11.19875,8.47205
98.48445,176.20895,58.76105,56.13805,39.2816,11.4335,8.5134
99.88535,176.691725,58.7651,56.177075,39.554825,11.45125,8.576625
99.901075,176.8286,58.800325,56.259425,39.631275,11.46345,8.595975
99.930025,176.854625,58.86535,56.705675,39.964775,11.528175,8.632625
100.58135,177.078375,58.885825,56.72215,40.265225,11.540675,8.693375
100.594075,177.10205,58.918825,56.996175,40.38385,11.548125,8.77385
100.89625,177.1064,58.96285,57.0341,40.489625,11.5688,8.80275
