SPK_SPKC01a (no response),SPK_SPKC05a (exc/inh),SPK_SPKC06a (no response),SPK_SPKC07a (no response),SPK_SPKC11a (no opto-tagging)
1130.352225,1148.5456,1165.511775,,1139.3964
1130.379075,1148.644725,1165.591325,,1139.582575
1130.4178,1148.71455,1166.005475,,1139.70205
1130.4403,1148.745,1166.06775,,1139.719175
1130.459225,1148.828575,1166.165575,,1139.9827
1130.477925,1148.9575,1166.257325,,1140.24885
1130.565025,1149.063875,1166.46315,,1140.410725
1130.5783,1149.127175,1166.50825,,1140.453075
1130.648825,1149.384025,1166.5862,,1140.684625
1130.65825,1149.530275,1166.633225,,1140.7141
1130.668825,1149.553575,1166.679425,,1140.77455
1130.721175,1149.6927,1166.91505,,1140.89565
1130.7369,1149.786575,1167.0304,,1141.0139
1130.777175,1149.87515,1167.114,,1141.08235
1130.790375,1150.0419,1167.238425,,1141.100375
1130.8058,1150.118875,1167.385625,,1141.12695
1130.8551,1150.2034,1167.554525,,1141.15455
1130.87265,1150.23435,1167.60665,,1141.178025
1130.89515,1150.259875,1168.04575,,1141.22935
1130.97085,1150.495725,1168.12715,,1141.69505
1130.983275,1150.54375,1168.1696,,1141.7961
1131.022725,1150.577575,1168.2703,,1141.809725
1131.028975,1150.631825,1168.44735,,1141.824
1131.04655,1150.7188,1168.507975,,1142.167525
1131.075425,1150.794725,1168.6219,,1142.2374
1131.109125,1150.825875,1168.7112,,1142.265775
1131.1315,1150.85205,1168.74205,,1142.5671
1131.152175,1150.9132,1168.832175,,1142.61845
1131.169975,1150.9949,1168.9823,,1142.761075
1131.205475,1151.0709,1169.031925,,1142.79215
1131.228025,1151.20385,1169.070125,,1142.837125
1131.242575,1151.254075,1169.16885,,1142.9107
