SPK_SPKC01a (inhibited),SPK_SPKC03a (excitation + inhibition),SPK_SPKC04a (excited),SPK_SPKC04b (inhibited),SPK_SPKC08a (inhibition + excitation),SPK_SPKC09a (excitation + inhibition),SPK_SPKC09b (no effect),SPK_SPKC12a (weak inhibition),SPK_SPKC16a (excited),SPK_SPKC16b (excited)
4.30945,36.235,109.532275,13.0785,62.09765,17.127325,4.99395,9.843625,370.0163,9.279375
4.340075,36.505075,110.9267,13.106725,62.35705,17.166275,5.040575,9.868475,373.529675,9.295275
4.372675,36.9548,112.32095,13.364375,62.879125,17.283025,5.0756,10.07415,390.0688,9.5305
4.390275,37.1085,112.74345,13.3659,62.98335,17.299525,5.11745,10.199275,390.414,9.57295
4.393875,37.395025,116.267875,13.4084,63.68495,17.4019,5.146,10.205525,390.539325,9.593375
4.42175,37.46205,116.97725,13.4333,64.802125,17.433675,5.182775,10.318075,390.91,9.60955
4.479175,37.590875,117.7731,13.47065,65.6676,17.4448,5.2157,10.32985,391.54395,9.622975
4.505675,37.6013,117.94515,13.491775,65.94825,17.495125,5.2501,10.362325,392.480525,9.630425
4.63105,37.843075,118.09405,13.544225,66.3076,17.6452,5.266175,10.436475,393.789475,9.6419
4.648775,38.333925,118.111225,13.552125,66.325825,17.66755,5.30525,10.486725,397.7207,9.647525
4.6738,38.414075,118.453625,13.600125,66.492925,17.7315,5.3164,10.625575,398.524925,9.65145
4.70705,38.614925,118.53275,13.61725,66.527325,17.823675,5.33675,10.746375,402.1189,9.65495
4.76285,38.80975,118.66525,13.632375,66.548225,18.03265,5.3797,10.7755,411.107425,9.687775
4.7667,38.9416,119.23475,13.67925,67.080625,18.164525,5.3963,10.87425,413.78085,9.704275
4.779675,39.0381,123.3717,13.7007,68.0814,18.1765,5.4075,11.1582,426.846875,9.760225
4.806725,39.0605,124.674325,14.142525,69.607875,18.2258,5.474625,11.165475,428.5583,9.783625
4.8209,39.1007,126.832625,14.221225,69.845875,18.251225,5.4861,11.192075,446.3759,9.7914
4.838475,39.172125,127.476325,14.272975,70.63485,18.28355,5.516625,11.3137,449.415275,9.7935
4.839925,39.2239,127.48735,14.54895,71.440175,18.490075,5.56895,11.5212,455.833225,9.8509
4.8908,39.255325,127.873475,14.716125,71.4449,18.5139,5.6254,11.53675,489.669025,9.8732
4.9146,39.389425,132.4804,14.76045,71.669175,18.6026,5.654425,11.61415,492.115025,9.877225
4.959975,39.82985,132.5075,14.935625,72.03795,18.752725,5.6998,11.64255,494.82555,9.89475
4.991325,39.937925,132.600275,15.47505,72.31845,18.754825,5.736675,11.831225,494.866625,9.90305
5.03275,39.952075,133.430025,15.547775,72.76615,18.924625,5.74425,11.861525,496.51405,9.909425
5.049025,40.0244,134.0921,15.843925,72.927825,19.00145,5.782,11.877625,497.45705,9.941075
5.06505,40.0463,134.17375,15.945175,73.302175,19.279575,5.8005,11.94465,508.71085,9.9554
5.0808,40.1062,134.49965,16.0298,73.617475,19.37565,5.819725,11.973025,509.092675,9.9972
5.09105,40.5396,135.69455,16.0487,73.894925,19.4076,5.8518,12.000425,515.698125,10.01295
5.121075,40.6543,136.254325,16.395,74.16955,19.476025,5.8818,12.094725,528.66655,10.01415
5.125475,41.07715,136.8057,16.8168,74.34805,19.597825,5.902875,12.2126,532.864075,10.017975
5.14415,41.5539,136.8212,16.90655,74.461925,19.653525,5.911175,12.25415,538.30875,10.081075
