SPK_SPKC09a,SPK_SPKC10c,SPK_SPKC11a,SPK_SPKC13a
,,43.676925,13.6854
,,43.711575,13.700675
,,43.774075,13.703075
,,43.788075,13.709675
,,43.8419,13.73245
,,43.863775,13.741025
,,43.96485,13.760925
,,43.98255,13.772325
,,44.00045,13.817725
,,44.025125,13.830825
,,44.045,13.850875
,,44.074275,13.8779
,,44.13885,13.8986
,,44.16175,13.9145
,,44.213725,13.924675
,,44.266925,13.95685
,,44.3038,13.9759
,,44.363725,13.98305
,,44.3901,13.992775
,,44.405225,14.0047
,,44.443075,14.021475
,,44.46665,14.044825
,,44.48035,14.2145
,,44.504,14.4009
,,44.5193,14.4176
,,44.526175,14.429775
,,44.54645,14.44645
,,44.629225,14.454825
,,44.643425,14.4627
,,44.65405,14.472775
,,44.66375,14.479325
,,44.69885,14.485975
,,44.7572,14.496825
,,44.7716,14.502925
,,44.79715,14.5163
,,44.819,14.534575
,,44.868575,14.54785
,,44.92055,14.56035
,,44.962925,14.58195
,,44.976675,14.6009
,,44.98945,14.665375
,,45.005125,14.945475
,,45.06195,14.964
,,45.089775,14.98555
,,45.10885,14.9962
,,45.1559,15.00505
,,45.237825,15.0184
,,45.2649,15.0293
,,45.314975,15.0484
,,45.3372,15.0853
,,45.405525,15.098475
,,45.504025,15.124325
,,45.53555,15.131675
,,45.6827,15.140075
,,45.6937,15.1504
,,45.713975,15.161925
,,45.745975,15.1713
,,45.7756,15.180525
,,45.8203,15.190125
,,45.8548,15.197775
,,45.887575,15.210325
,,45.970925,15.2335
,,45.993675,15.657375
,,46.02445,15.675425
,,46.08875,15.69005
,,46.120275,15.718675
,,46.148075,15.72865
,,46.193,15.745075
,,46.21195,15.7607
,,46.2406,15.771125
,,46.257625,15.78265
,,46.269175,15.799275
,,46.28555,15.821125
,,46.331875,15.841025
,,46.35385,15.851125
,,46.3842,15.876125
,,46.4115,15.913825
,,46.432775,15.92335
,,46.4447,15.93945
,,46.5432,16.2275
,,46.563475,16.243175
,,46.573325,16.256825
,,46.6249,16.2632
,,46.70505,16.27675
,,46.7333,16.28385
,,46.818875,16.291325
,,46.857,16.301625
,,46.897575,16.314425
,,46.918925,16.321075
,,46.939025,16.341275
,,47.016675,16.3646
,,47.027975,16.377775
,,47.05935,16.396925
,,47.073075,16.411125
,,47.154925,16.434475
,,47.3008,16.443575
,,47.44585,16.4546
,,47.456925,16.464875
,,47.4969,16.4854
,,47.519325,16.4991
,,47.691575,16.53405
,,47.77115,16.583225
,,47.809075,16.611425
,,47.92825,16.634225
,,47.949675,16.978375
,,47.97695,16.9893
,,47.98605,17.00305
,,47.995,17.021675
,,48.114775,17.0464
,,48.190725,17.06075
,,48.36405,17.07685
,,48.501975,17.093325
,,48.5871,17.132825
,,48.61455,17.14635
,,48.64015,17.18255
,,48.666125,17.210725
,,48.695275,17.24045
,,48.711,17.51705
,,48.74275,17.5476
,,48.767375,17.571175
,,48.87125,17.58805
,,48.93075,17.613925
,,49.092275,17.64215
,,49.112575,17.678725
,,49.119325,17.697975
,,49.138525,17.7877
,,49.148975,17.83825
,,49.167625,17.851
,,49.2997,17.872425
,,49.323925,17.8845
,,49.357425,17.89405
,,49.4215,17.90235
,,49.44255,17.921675
,,49.4908,17.96115
,,49.5032,17.97225
,,49.519875,18.0062
,,49.564225,18.025725
,,49.573725,18.071925
,,49.593875,18.171525
,,49.6315,18.196175
,,49.66995,18.223875
,,49.7185,18.2401
,,49.74385,18.253625
,,49.766075,18.2665
,,49.7806,18.28325
,,49.8073,18.294475
,,49.890275,18.30435
,,49.9161,18.323075
,,49.9474,18.350525
,,49.96055,18.3746
,,49.9692,18.39815
,,49.978175,18.45215
,,49.98435,18.7011
,,49.9931,18.7183
,,50.005975,18.733625
,,50.021575,18.755825
,,50.05595,18.7662
,,50.063725,18.77705
,,50.29855,18.784075
,,50.311225,18.792575
,,50.368975,18.809375
,,50.379325,18.819325
,,50.3884,18.84915
,,50.423525,18.869275
,,50.445275,18.893725
,,50.45315,18.91375
,,50.459325,18.9205
,,50.515425,18.9337
,,50.6448,18.94395
,,50.69015,18.954575
,,50.75775,18.962325
,,50.78115,18.9713
,,50.84355,18.987175
,,50.855325,18.997725
,,50.875525,19.007525
,,50.893975,19.015025
,,50.917125,19.032325
,,50.92705,19.044625
,,50.97455,19.0738
,,51.0135,19.105775
,,51.0272,19.135275
,,51.056875,19.141675
,,51.08355,19.153875
,,51.10865,19.169675
,,51.145525,19.180225
,,51.178575,19.191075
,,51.19705,19.199975
,,51.241775,19.2081
,,51.2818,19.214625
,,51.30625,19.2216
,,51.317875,19.230325
,,51.330275,19.236325
,,51.34475,19.2428
,,51.3541,19.24945
,,51.3958,19.25445
,,51.40525,19.258725
,,51.41045,19.261275
,,51.4229,19.2756
,,51.4281,19.288375
,,51.434725,19.298175
,,51.623075,19.302825
,,51.7208,19.3107
,,51.7832,19.323125
,,51.830875,19.327525
,,51.849975,19.33165
,,51.892275,19.34695
,,51.9124,19.35175
,,51.929625,19.358175
,,51.9881,19.387275
,,51.997825,19.427125
,,52.007175,19.548125
,,52.033525,19.562075
,,52.044025,19.574075
,,52.062175,19.58545
,,52.075625,19.596575
,,52.0942,19.6066
,,52.1158,19.61515
,,52.124725,19.6287
,,52.156175,19.647575
,,52.168825,19.68135
,,52.1814,19.865025
,,52.2002,19.8858
,,52.21205,19.895625
,,52.239,19.908225
,,52.299425,19.9186
,,52.369825,19.927675
,,52.39975,19.936625
,,52.4227,19.942475
,,52.440575,19.9518
,,52.4972,19.9594
,,52.510975,19.9672
,,52.528775,19.973725
,,52.61705,19.985575
,,52.625175,20.0028
,,52.650775,20.02785
,,52.667875,20.0583
,,52.681375,20.06965
,,52.7295,20.086325
,,52.7369,20.12425
,,52.760875,20.151675
,,52.77,20.410225
,,52.80495,20.4204
,,52.8255,20.4303
,,52.846425,20.4473
,,52.86605,20.45565
,,52.8868,20.46795
,,52.9168,20.474825
,,52.939,20.484225
,,52.9881,20.4976
,,53.056925,20.504925
,,53.0891,20.5155
,,53.103825,20.531
,,53.11525,20.5431
,,53.123825,20.55165
,,53.130525,20.5583
,,53.1559,20.57495
,,53.1635,20.582425
,,53.188575,20.587525
,,53.197375,20.60355
,,53.23795,20.619
,,53.29655,20.624625
,,53.312525,20.66905
,,53.334625,20.676
,,53.3766,20.68295
,,53.407625,20.702425
,,53.4657,20.713075
,,53.489425,20.743475
,,53.530825,20.97925
,,53.545225,20.98915
,,53.6011,20.995975
,,53.609725,21.004
,,53.618875,21.011525
,,53.650675,21.018625
,,53.692125,21.0268
,,53.724575,21.031975
,,53.748225,21.0472
,,53.767775,21.0613
,,53.7857,21.067325
,,53.86105,21.0966
,,53.988425,21.1018
,,54.0133,21.109275
,,54.028525,21.130925
,,54.03655,21.143875
,,54.044575,21.1507
,,54.05815,21.1757
,,54.065425,21.319675
,,54.07695,21.346025
,,54.08825,21.3647
,,54.09655,21.378325
,,54.10665,21.3969
,,54.110775,21.408275
,,54.22245,21.421325
,,54.24025,21.43385
,,54.3174,21.44475
,,54.38205,21.458075
,,54.405525,21.469475
,,54.49215,21.4821
,,54.5205,21.496925
,,54.536575,21.507125
