SPK_SPKC03a (excited),SPK_SPKC05a (no effect),SPK_SPKC05b (no effect),SPK_SPKC06b (no effect),SPK_SPKC08a (short inhibition),SPK_SPKC13a (no effect),SPK_SPKC14a (no effect)
21.854725,165.525225,5.3608,298.573825,5.059025,139.47385,40.506875
21.87055,168.800075,5.3961,298.606025,5.07565,139.559675,40.520275
22.0369,168.892425,5.438625,298.778975,5.08595,139.829175,40.66295
22.2897,169.1672,5.4603,298.862725,5.1471,140.00835,40.933725
22.294725,169.543225,5.4721,299.005975,5.155825,140.6844,40.9597
22.305475,169.7259,5.4905,299.537275,5.16435,140.727525,41.05785
22.320375,173.03615,5.4957,299.859125,5.182025,140.862,41.088075
22.33415,173.2576,5.5176,300.178875,5.2134,140.9147,41.342725
22.407125,173.909725,5.522825,,5.2208,140.99235,41.54795
22.416575,174.599375,5.542875,,5.2251,141.125825,41.6171
22.4451,174.725475,5.552475,,5.234775,141.54655,41.80545
22.466,175.027875,5.566925,,5.238325,141.62115,41.852325
22.50635,175.139275,5.58165,,5.244725,141.7063,42.0821
22.511375,176.484525,5.600775,,5.25285,141.907175,42.18145
22.5274,176.88755,5.609625,,5.26165,141.9494,42.531825
22.6063,177.842725,5.629325,,5.27085,142.059925,42.6363
22.6443,178.192275,5.647375,,5.2844,142.096375,42.77675
22.7869,178.281375,5.7183,,5.295725,142.402375,43.0808
22.851875,178.449225,5.756175,,5.31545,142.567875,43.11725
22.87665,178.817775,5.76765,,5.335725,142.657875,43.1569
22.9349,179.7407,5.77715,,5.343725,142.715275,43.235475
22.956725,179.822825,5.78975,,5.3546,142.980825,43.267775
22.9928,180.19865,5.8119,,5.362325,143.253575,43.27255
23.094275,183.0898,5.828175,,5.373625,143.386175,43.351375
23.2034,183.26995,5.838675,,5.383525,143.42895,43.431375
23.237925,184.328325,5.863025,,5.4005,143.54465,43.493375
23.24195,184.386125,5.8947,,5.4125,143.683025,43.498625
23.2717,185.467275,5.90965,,5.427525,143.76825,43.6632
23.4336,185.516925,5.915375,,5.44085,144.09025,43.781575
23.4586,185.696375,5.946325,,5.448425,144.279825,43.79185
23.601025,187.01255,5.9558,,5.457775,144.51605,43.857025
23.61825,187.34545,5.970775,,5.46775,144.800125,44.086425
23.956875,187.6735,5.996175,,5.48995,144.8277,44.200825
24.14655,189.447275,6.024825,,5.502775,144.909175,44.237425
24.151,189.57395,6.04775,,5.52585,144.991475,44.257975
24.270975,189.589975,6.069975,,5.539375,144.994,44.279125
24.357675,190.8842,6.11375,,5.5425,145.7114,44.456925
24.46045,191.79695,6.118725,,5.544,145.875625,44.5845
24.516375,192.3978,6.135825,,5.565675,145.9372,44.63755
24.5549,192.4819,6.15105,,5.5934,146.26305,44.64045
24.59485,192.689,6.16435,,5.623675,146.288725,44.688
24.623075,192.8515,6.19125,,5.631475,146.4348,44.984875
24.78185,193.337425,6.197125,,5.6514,146.5735,45.059475
24.909875,193.48225,6.23755,,5.676525,147.521225,45.1656
24.9574,193.643775,6.27495,,5.68725,147.57245,45.20255
25.007775,194.4772,6.29835,,5.695975,147.694175,45.3729
25.0225,195.2634,6.3071,,5.700975,148.087825,45.39825
25.027625,195.8996,6.323525,,5.70625,148.188525,45.455175
25.055225,195.93725,6.332325,,5.724,148.32025,45.50625
25.1831,196.36535,6.3385,,5.7411,148.996025,45.561625
25.229725,196.5098,6.346775,,5.752325,149.209375,45.6442
25.352625,197.095925,6.35335,,5.77035,149.667775,45.6838
25.427875,197.3117,6.360825,,5.82595,149.809675,45.900975
25.492075,197.5182,6.366,,5.82895,149.988825,45.95465
25.5052,198.3478,6.36795,,5.855325,150.03505,46.0192
25.5491,199.038725,6.37085,,5.865675,150.119075,46.0681
25.5651,199.479275,6.3767,,5.880175,150.148775,46.142025
25.581425,199.59115,6.386025,,5.8943,150.1948,46.193475
25.622825,199.71865,6.407575,,5.916025,150.270275,46.2381
25.645375,199.895125,6.42405,,5.923825,150.282475,46.56685
25.79105,200.02155,6.44075,,5.940075,150.37395,46.63075
25.905175,200.142225,6.464925,,5.96045,150.5953,46.679775
26.01935,200.240225,6.474925,,5.978975,150.619025,46.730475
26.082375,200.247375,6.504775,,6.026275,150.915125,46.897625
26.16575,201.015525,6.520975,,6.033075,150.968675,47.122725
26.182825,201.599225,6.5501,,6.040825,150.9771,47.34625
26.2748,201.90115,6.563025,,6.053,151.0027,47.4513
26.313675,201.928325,6.591475,,6.068225,151.084475,47.531625
26.40895,202.573,6.623925,,6.0753,151.13335,48.0092
26.427425,203.21735,6.647025,,6.097175,151.14205,48.19985
26.47755,203.67935,6.66265,,6.1044,151.18425,48.3067
26.501625,203.747675,6.684825,,6.113575,151.4842,48.325925
26.7482,204.1275,6.698225,,6.14085,151.780075,48.353675
26.78995,204.27215,6.71965,,6.15275,151.8662,48.537175
26.856025,205.1581,6.74055,,6.163875,151.950975,48.55115
26.9188,205.2427,6.7744,,6.192575,152.138825,48.613825
27.09655,205.2763,6.794275,,6.214625,152.212375,48.74625
27.2813,205.295575,6.83785,,6.237675,152.424875,49.049225
27.2893,205.437,6.845975,,6.262575,152.979075,49.1847
27.340775,205.466125,6.8637,,6.277775,153.853925,49.36805
27.407875,205.515725,6.877075,,6.299025,153.9191,49.384225
27.437975,205.5457,6.889125,,6.3523,153.975775,49.579375
27.546,205.594325,6.90935,,6.360925,154.03675,49.62885
27.548125,205.603225,6.926725,,6.377725,154.10725,49.639575
27.56095,205.67135,6.94865,,6.420275,154.1555,49.71325
27.6345,205.680225,6.97795,,6.438275,154.50145,49.800475
