SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC01c,SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC16a
3.22035,6.731075,13.62595,20.89465,5.96735,4.983875,10.49535,14.967375,27.8775
3.251675,6.821925,13.632875,20.915575,5.9829,5.070475,10.5797,15.064075,27.925075
3.269025,6.832375,13.71195,20.944525,6.005675,5.08715,10.606275,15.27045,27.9363
3.2707,6.843475,13.78385,20.99755,6.056125,5.110825,10.640475,15.3369,28.1252
3.297075,6.86345,13.86515,21.014525,6.091575,5.14305,10.6842,15.3646,28.4877
3.310425,6.87115,13.953925,21.040725,6.096025,5.145175,10.757425,15.4001,28.55985
3.337825,6.886225,14.058225,21.0854,6.1338,5.17915,10.794525,15.42535,28.57105
3.36285,6.90115,14.06025,21.21405,6.15475,5.2006,10.82855,15.45095,28.61645
3.3793,6.913175,14.08955,21.23035,6.176325,5.219325,10.845175,15.50265,28.69915
3.4064,6.933125,14.32125,21.237275,6.212975,5.238725,10.881975,15.593875,28.8131
3.425375,6.99735,14.44755,21.246825,6.23045,5.2522,10.904475,15.813025,28.93415
3.460925,7.01625,14.81075,21.275275,6.2421,5.266525,10.992575,16.113775,29.439
3.470375,7.03535,14.8419,21.329825,6.257625,5.286,11.054225,16.18415,29.8292
3.4799,7.088125,14.880575,21.363425,6.2756,5.30715,11.0719,16.5067,30.390225
3.510175,7.125475,15.1146,21.5284,6.28865,5.324325,11.076825,16.545275,30.51355
3.56865,7.1768,15.180775,21.53535,6.316175,5.33855,11.12695,16.5912,30.893425
3.59295,7.20355,15.357725,21.600275,6.366625,5.3727,11.1653,16.797025,31.04995
3.6445,7.223075,15.3706,21.672525,6.4526,5.3944,11.196125,16.7993,31.1305
3.660225,7.2551,15.38845,21.737525,6.49235,5.409975,11.220325,16.82555,31.422525
3.678625,7.3012,15.39955,21.7507,6.55005,5.438125,11.239275,16.85785,31.97535
3.701,7.31875,15.4044,21.865025,6.58325,5.476525,11.26735,17.109925,32.379925
3.71575,7.32935,15.4177,21.959325,6.5993,5.49595,11.290075,17.20185,33.1902
3.7345,7.363225,15.425775,21.99845,6.617075,5.51275,11.300775,17.240375,33.272175
3.7402,7.3957,15.4366,22.060425,6.636075,5.5143,11.34805,17.2944,33.2808
3.776075,7.421525,15.442525,22.0896,6.654825,5.5303,11.362625,17.5314,33.480475
3.78705,7.431025,15.446625,22.124175,6.6763,5.551825,11.40045,17.57655,33.727275
3.833975,7.44715,15.4514,22.17565,6.74105,5.6243,11.467725,17.59695,33.816275
3.8598,7.462425,15.461075,22.228125,6.762425,5.65455,11.53015,17.62375,33.921375
3.89195,7.498975,15.491375,22.310425,6.780275,5.69915,11.585575,17.6577,34.05835
3.927325,7.6035,15.50625,22.480375,6.824175,5.730425,11.610275,17.701,34.151825
3.93125,7.6355,15.5279,22.647075,6.838625,5.7589,11.6356,17.752225,34.41075
3.948525,7.655775,15.5809,22.967425,6.862675,5.7931,11.653725,17.784475,34.4891
3.972925,7.718475,15.605025,23.117375,6.89055,5.796425,11.663325,17.8128,34.586825
3.9817,7.75105,15.640075,23.221425,6.89935,5.810975,11.70605,17.897875,35.08695
3.9993,7.77935,15.8177,23.226225,6.917975,5.822525,11.749625,17.9271,35.463875
4.0198,7.8055,15.820675,23.5734,6.96055,5.904275,11.837875,17.946375,35.670775
4.0422,7.875625,15.8337,23.995575,7.006475,5.937275,11.90685,18.006725,35.910975
4.05835,7.9159,15.835425,24.21785,7.020725,5.961225,11.95155,18.047075,35.930325
4.080375,7.9403,15.83725,24.28365,7.0371,5.979875,12.233025,18.083125,36.379525
4.10795,7.9753,15.8405,24.34525,7.0484,6.0082,12.252075,18.13195,36.463725
4.136475,8.001175,15.8419,24.456925,7.06365,6.026625,12.279575,18.350075,36.84915
4.14305,8.026925,15.845175,24.501075,7.134375,6.047975,12.286125,18.379675,36.85395
4.16385,8.07705,15.84865,24.588475,7.218275,6.06745,12.329425,18.4062,36.9983
4.216725,8.094575,15.8631,24.844325,7.266225,6.097275,12.336525,18.422275,37.0476
4.25585,8.126125,15.87825,24.949275,7.27815,6.10105,12.379425,18.45675,37.320125
4.282725,8.156625,15.901325,24.973325,7.309875,6.1214,12.393225,18.515375,37.571725
4.309525,8.17705,15.920275,24.9898,7.325875,6.141675,12.4407,18.7087,38.044325
4.328025,8.194675,16.027325,25.04445,7.34205,6.234575,12.48245,18.755075,38.266675
4.34395,8.255525,16.243825,25.166075,7.36405,6.2557,12.54805,18.7824,38.348425
4.347825,8.2793,16.29595,25.276775,7.376725,6.2819,12.607275,18.808525,38.376025
4.355625,8.35835,16.36625,25.316525,7.407775,6.32785,12.66415,18.837175,38.796775
4.38375,8.4137,16.566375,25.33595,7.44935,6.34865,12.687,18.866275,38.92745
4.3939,8.53895,16.58355,25.554575,7.497325,6.375875,12.7467,18.8978,39.234975
4.4024,8.58645,16.72265,25.582175,7.499425,6.407925,12.783125,19.0347,39.365225
4.436525,8.627525,16.8431,25.63095,7.519125,6.440275,12.80945,19.0577,39.47515
