SPK_SPKC02a (exc),SPK_SPKC04a (no response),SPK_SPKC10b (no response)
59.929025,15.834075,57.187275
59.94135,15.84365,57.61565
59.972675,15.85135,57.61965
59.999675,15.8595,57.641375
60.1914,15.86875,57.65495
60.2339,15.893225,57.6713
60.2414,15.909125,57.6751
60.2513,15.919575,57.84445
60.4247,15.9426,57.882975
60.433425,15.9562,57.8891
60.460075,15.969375,57.914025
60.47315,15.980675,57.927875
60.478275,16.00185,57.949375
60.57445,16.03015,58.0065
60.588275,16.06105,58.0519
60.601975,16.095975,58.19705
60.704,16.139275,58.433375
60.7166,16.1834,58.463925
60.94485,16.2108,58.4692
60.949425,16.2618,58.658
60.981775,16.30875,58.811225
60.98555,16.368125,58.8339
61.0015,16.420825,58.8395
61.0283,16.44795,58.844575
61.072525,16.4693,58.855475
61.248075,16.482375,58.871075
61.26095,16.499725,58.8759
61.278,16.512475,58.8889
61.406275,16.523575,59.153825
61.48305,16.531775,59.249175
61.574575,16.54555,59.258175
61.756,16.5671,59.2717
61.9646,16.60135,59.283675
62.021925,16.6197,59.330225
62.0413,16.6436,59.341425
62.060825,16.731675,59.364625
62.068375,16.7823,59.38005
62.1517,16.82885,59.6697
62.27375,16.841775,59.7337
62.283725,16.858325,59.7578
62.3,16.86555,59.86415
62.302675,16.872425,59.910425
62.305625,16.878875,60.191325
62.31685,16.88755,60.197825
62.354275,16.894075,60.209375
62.359825,16.90085,60.2172
62.395925,16.909225,60.22535
62.4043,16.915275,60.280625
62.423675,16.93015,60.3241
62.430875,16.9386,60.43335
62.464775,16.9494,60.452775
62.794125,16.977375,60.467575
62.811075,16.9841,60.4823
62.8183,16.990025,60.513625
62.8376,17.0037,60.5221
62.90065,17.00965,60.56715
62.914825,17.025675,60.59325
63.078125,17.049475,60.9352
63.0843,17.06585,61.234175
63.09025,17.0769,61.238875
63.11305,17.090575,61.32525
63.131775,17.117475,61.336925
63.164925,17.13135,61.3511
63.38095,17.149925,61.395575
63.397925,17.170325,61.416325
63.4204,17.1971,61.43925
63.4503,17.2287,61.462
63.49295,17.31115,61.47355
63.52205,17.3425,61.69605
63.539475,17.366325,61.718625
63.5623,17.3792,61.73365
63.59635,17.389125,61.94135
64.016225,17.4027,61.956325
64.043525,17.420325,61.967825
64.050875,17.439,61.971
64.07255,17.46115,62.0075
64.11135,17.47465,62.068375
64.156925,17.487475,62.08925
64.188875,17.496525,62.2946
64.203775,17.5113,62.560225
64.306875,17.516525,62.574575
64.765275,17.528,62.81825
64.78495,17.5371,62.852425
65.0835,17.549475,63.113
65.118275,17.57515,63.1649
65.2078,17.594925,63.20395
65.654375,17.61935,63.3923
65.7021,17.660825,63.437175
65.70735,17.712,63.450275
65.739875,17.752975,63.480775
65.77535,17.802675,63.539425
65.828975,17.826925,64.025425
65.981775,17.850725,64.03915
66.01665,17.86025,64.080625
66.0218,17.8681,64.11135
66.027225,17.8769,64.156825
66.032125,17.887975,64.17245
66.05475,17.90185,64.188825
66.294675,17.9172,64.241175
66.3419,17.938425,64.731475
66.37425,17.946375,64.784825
66.382625,17.957975,65.078175
66.413375,17.966525,65.1004
66.466775,17.984075,65.108825
66.48255,17.9994,65.1347
66.54355,18.01355,65.195225
66.550875,18.028275,65.65855
66.5582,18.076875,65.669525
66.578275,18.10075,65.67185
66.603375,18.1576,65.67445
66.685925,18.188125,65.68895
66.902275,18.244175,65.70475
67.055575,18.268725,65.828975
67.238425,18.279725,65.8523
67.359875,18.287175,65.909275
67.628275,18.293475,66.08135
67.63585,18.299475,66.09845
67.63945,18.310175,66.30595
67.65365,18.33835,66.31665
67.732975,18.34875,66.3239
67.79195,18.357225,66.32725
68.085775,18.374025,66.341875
68.1189,18.382,66.36535
68.175875,18.40835,66.41335
68.425475,18.41535,66.538625
68.463425,18.42345,66.603325
68.500225,18.4315,66.63425
68.54895,18.445875,66.6698
68.561325,18.45405,66.956325
68.56795,18.462,67.03265
68.609175,18.487225,67.2729
68.63095,18.50435,67.34725
68.64255,18.5205,67.575325
68.653125,18.539375,67.579425
68.673625,18.56435,67.58665
68.7508,18.596775,67.70445
69.189775,18.617775,67.791875
69.1975,18.6463,68.07395
69.22035,18.6798,68.118875
69.2362,18.711575,68.1758
69.243825,18.755325,68.464475
69.333725,18.790775,68.543325
69.446175,18.8151,68.567925
69.465675,18.858425,68.573675
69.5217,18.873175,68.6008
69.894375,18.891425,68.66165
69.945175,18.89915,68.71315
69.964725,18.9069,68.7507
70.019925,18.91295,69.21015
70.03955,18.920125,69.226025
70.055275,18.93115,69.3124
70.075575,18.9368,69.379925
70.1972,18.95835,69.393275
70.216925,18.9724,69.42965
70.225075,18.979575,69.465625
70.237825,18.99165,69.8943
70.2649,19.008175,69.916525
70.312725,19.02075,69.92475
70.3388,19.0463,69.93175
70.620625,19.06365,69.972025
70.655725,19.10315,70.012625
70.686625,19.122075,70.0199
70.7445,19.17505,70.075525
70.758625,19.250475,70.101175
70.87825,19.274775,70.129075
70.924875,19.29705,70.14665
70.96145,19.360275,70.211375
70.986925,19.379725,70.3193
71.0238,19.395625,70.3256
71.091775,19.4091,70.3313
71.123625,19.4196,70.604675
71.17155,19.4317,70.64145
71.36995,19.469125,70.697375
71.376675,19.4826,70.758525
71.4222,19.49495,70.777625
71.7679,19.506675,70.830575
71.798975,19.517575,70.838875
71.838925,19.532025,70.92485
71.9349,19.544375,70.9512
71.94295,19.560075,70.96135
71.97315,19.573,71.037025
72.008425,19.582225,71.227475
72.024725,19.595375,71.327575
72.182025,19.6121,71.34795
72.19085,19.6287,71.354725
72.200375,19.64595,71.369925
72.2774,19.666275,71.386725
72.369175,19.679025,71.432375
72.3897,19.69465,71.4435
72.3935,19.704325,71.5444
72.43565,19.721825,71.77755
72.44015,19.732825,71.803425
72.506225,19.741,71.83335
72.57855,19.752325,71.8947
