SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a,SPK_SPKC10b
40.111675,11.765925,22.3342,106.739,11.93125,11.446625,25.297725,3.4881
40.171075,11.918175,22.350975,108.26085,12.01675,11.50855,25.560575,3.4978
40.17635,11.985075,22.601775,109.42975,12.067825,11.5981,25.90785,3.5254
40.325375,12.042675,22.667075,109.844475,12.1505,11.673375,26.07235,3.531625
40.360075,12.431525,23.043125,110.393175,12.24185,11.747825,26.425225,3.5478
40.96015,12.500625,23.279975,111.0594,12.29205,11.803075,27.723675,3.568275
40.96375,12.537525,23.42105,113.256425,12.312275,11.852075,27.77835,3.616875
41.0609,12.541075,23.60645,113.401325,12.3289,11.92885,28.46205,3.622525
41.0961,12.544625,23.8289,114.90495,12.344025,11.986475,28.90825,3.62915
42.05165,12.693075,23.941525,115.044475,12.366625,12.030625,29.2504,3.65835
42.183275,12.721825,24.126125,115.478825,12.419425,12.097225,29.39795,3.681225
42.3087,12.800425,24.29035,115.7341,12.435725,12.2642,29.720175,3.7075
42.683275,12.82215,24.4408,117.043175,12.5244,12.305425,29.779275,3.738325
42.7818,12.83715,24.4723,118.34785,12.896575,12.36305,29.8082,3.745025
42.830625,12.842625,24.524075,118.45875,12.9343,12.58185,29.859975,3.768125
43.2668,12.845425,24.740275,119.40495,12.967425,12.65155,29.880775,3.770325
43.2838,13.115875,24.94385,121.756525,12.9772,12.716975,29.90465,3.802125
43.295925,13.63695,25.00335,121.999425,13.019175,12.76045,30.005625,3.840325
43.4108,13.668,25.5906,122.428025,13.025,12.82845,30.0745,3.85425
43.673875,13.702075,25.68765,122.5077,13.0445,12.8741,30.08095,3.866375
43.793025,13.710775,25.84705,123.02265,13.1018,12.93115,30.273075,3.9193
43.99945,13.7162,25.92785,123.954675,13.221625,12.978475,30.369725,3.941925
44.367825,13.78365,26.005525,124.1019,13.43875,13.0475,30.7567,3.962225
44.406975,13.787725,26.054675,124.4869,13.553575,13.170275,31.4961,3.998
44.423325,13.7937,26.076975,125.202525,13.6155,13.27315,31.9585,4.028275
44.5822,13.812825,26.17375,127.94795,13.6385,13.36775,32.178175,4.0513
44.70625,13.8728,26.2024,128.1775,13.69395,13.422675,32.41875,4.07285
45.09465,14.04735,26.66825,129.615525,13.699425,13.457775,32.978275,4.09235
45.199675,14.3288,26.78865,129.89795,13.717275,13.4855,33.787075,4.1063
45.222925,14.436425,26.861275,130.528325,13.736,13.5282,33.997675,4.168725
45.656275,14.547075,26.990625,130.743275,13.747875,13.568525,34.273825,4.194075
45.662375,14.554525,27.093625,130.888125,14.0304,13.622525,34.53535,4.20385
45.675775,14.566575,27.192475,133.890675,14.033225,13.68805,34.636825,4.257925
45.68095,14.60895,27.400275,134.765475,14.106075,13.695975,34.816,4.2718
45.824225,14.613325,27.45225,136.62345,14.15835,13.838675,34.9673,4.32445
45.873125,14.622075,27.501175,136.756875,14.188625,13.8914,35.117425,4.3682
45.896425,14.673025,28.765275,136.802075,14.2443,13.96625,35.474275,4.422575
46.38355,14.8806,28.892075,137.543425,14.30695,14.037775,36.2963,4.5003
46.4662,14.88805,28.98,138.13535,14.4779,14.14935,36.318975,4.546925
47.116125,14.901875,29.4539,138.26095,14.57505,14.534375,36.35935,4.574925
47.189225,14.925825,29.510425,138.783275,14.601825,14.58505,36.6271,4.62775
47.94145,14.9575,29.5344,139.864175,14.67725,14.655775,37.4165,4.635675
48.272425,14.9908,29.578925,140.361625,14.67985,14.7457,37.5341,4.688
48.879975,15.027575,29.660075,144.110075,14.8529,14.752275,37.5994,4.708925
