SPK_SPKC09a,SPK_SPKC09c,SPK_SPKC10a,SPK_SPKC12a
626.9156,665.24665,628.605875,653.933775
626.931275,665.339125,628.642,654.03275
626.982375,665.66065,628.66175,654.080975
627,665.753325,628.7219,654.13285
627.038075,665.90225,628.74345,654.2076
627.062525,665.924275,628.916125,654.233225
627.0718,665.980725,628.957625,654.273625
627.113625,666.00695,628.9836,654.487625
627.13725,666.157825,629.038975,654.5913
627.146925,666.168375,629.12735,654.6765
627.1545,666.200775,629.179625,654.723575
627.1706,666.31635,629.192175,654.85595
627.19765,666.392075,629.2298,654.909425
627.21365,666.4215,629.243675,654.9319
627.2354,666.601075,629.325925,655.215025
627.357825,666.6537,629.3395,655.44535
627.425075,666.786,629.3876,655.572125
627.499625,666.805025,629.704675,655.589
627.516275,667.0632,629.711575,655.6131
627.595325,667.081875,629.774225,655.7012
627.76965,667.099125,630.108125,655.880275
627.7937,667.23715,630.466575,655.909925
627.87275,667.323925,630.5003,655.94485
627.906675,667.534225,630.50355,655.9834
627.919425,667.606525,630.506125,656.016125
627.99375,667.90915,630.5086,656.171025
628.29315,668.002225,630.529775,656.27405
628.33535,668.304625,630.53085,656.3912
628.4157,668.513,630.60095,656.48895
628.427175,668.6727,630.664175,656.5351
628.434175,668.860525,630.7407,656.635675
628.4379,668.961725,630.92245,656.6858
628.457975,669.0732,630.96585,656.85395
628.4795,669.120075,630.977625,656.87985
628.499575,669.300775,631.020325,657.03105
628.508325,669.427475,631.043525,657.155375
628.5401,669.4362,631.089925,657.287925
628.586,669.4459,631.14575,657.3429
628.602875,669.50415,631.1498,657.3562
628.650625,669.50885,631.29885,657.3639
628.681125,669.5185,631.41145,657.414525
628.736275,669.54145,631.447025,657.738675
628.80585,669.544825,631.451,657.7664
628.909125,669.65305,631.4548,657.864975
628.917075,669.920725,631.527475,657.9258
628.920825,670.120475,631.59665,657.947275
629.0081,670.1938,631.61595,658.0464
629.0299,670.543125,631.695375,658.0654
629.076525,670.764725,631.73125,658.274925
629.19735,670.825325,631.746925,658.350525
629.382175,670.842,631.8244,658.464025
629.58475,671.131375,631.88385,658.49985
629.641625,671.15785,632.0535,658.71695
629.66975,671.318625,632.08325,658.747825
629.692725,671.334575,632.14955,659.06875
629.73025,671.348975,632.317025,659.10795
629.753775,671.3558,632.609175,659.145825
629.91245,671.398225,632.628275,659.242
630.003925,671.60475,632.66605,659.29005
630.091225,671.62415,632.67935,659.378775
630.106175,671.8973,632.6879,659.40955
630.121175,671.958975,632.74955,659.441025
630.13905,672.239175,632.935125,659.6139
630.23875,672.25585,632.937125,659.664825
630.2594,672.33455,632.985325,659.7483
630.2963,672.4898,632.995975,659.79655
630.4135,672.7405,633.0212,660.00915
630.506825,672.77525,633.120625,660.1047
630.520925,672.903125,633.196125,660.16085
630.524625,673.282225,633.305225,660.199175
630.527825,673.285575,633.390075,660.224475
