SPK_SPKC02c,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC16a
136.545525,142.8031,135.671775,108.692925
136.795575,142.818075,135.7057,108.7052
137.03055,142.95975,135.83675,108.71465
137.358075,143.23345,135.939775,108.7185
137.578875,143.26855,136.402975,108.727375
137.695775,143.427975,136.420675,108.73205
137.719425,143.47485,136.437,108.7385
137.767125,143.512225,136.45255,108.74225
137.78075,143.5443,136.459925,108.748425
137.8677,143.620475,136.48355,108.752375
137.92135,143.70805,136.498825,108.760875
137.94675,144.0012,136.5202,108.766775
137.9686,144.165275,136.52715,108.77395
138.0263,144.573075,136.559375,108.7814
138.070175,144.60765,136.59685,108.790925
138.382075,144.6817,136.604625,108.7971
138.424625,144.72305,136.81725,108.80765
138.4845,144.978425,136.85505,108.814375
138.512125,145.012325,136.8688,108.823025
138.56425,145.745275,136.88625,108.830525
139.0064,145.791025,136.953325,108.835075
139.036325,145.83815,136.9751,108.8422
139.10665,145.922825,137.03305,108.851175
139.141275,145.9621,137.346475,108.87565
139.386825,145.99145,137.36345,108.889975
139.415875,146.0131,137.385225,108.907375
139.460925,146.0412,137.402975,108.92315
139.487825,146.562175,137.433425,108.950925
139.522,146.58635,137.440125,108.9778
139.5516,146.6236,137.465,108.99105
139.6346,146.674125,137.6352,109.009075
139.6799,146.731825,137.886025,109.034525
139.734,147.11105,137.9003,109.1226
140.198225,147.151125,137.915175,109.43105
140.222075,147.1947,137.93445,109.452425
140.250475,147.2745,137.9484,109.462825
140.275325,147.303475,137.985525,109.473275
140.33275,147.357675,138.04745,109.48195
140.36525,147.65085,138.0568,109.490375
140.586625,147.877875,138.533925,109.498975
140.632475,148.018875,138.545925,109.50815
140.66675,148.0463,138.56975,109.5122
140.712225,148.099425,138.576675,109.5188
140.902175,148.206825,138.617425,109.523925
141.1612,148.35045,138.6226,109.528325
141.346425,148.39535,138.63435,109.53225
141.391725,148.699525,138.643825,109.541975
141.494275,148.7333,138.648125,109.548775
141.52455,148.770125,138.66955,109.558375
141.608675,148.797925,138.68555,109.563175
141.63975,148.8564,138.706175,109.568275
141.698425,149.2186,138.7182,109.575575
141.724975,149.2647,138.72895,109.58705
141.7446,149.29345,138.754225,109.595725
141.7737,149.317525,138.793375,109.61155
141.843825,149.3484,139.030375,109.8341
141.87385,149.649625,139.201775,109.855525
142.023675,149.66565,139.26375,109.87455
142.16305,149.99965,139.4953,109.8839
142.19365,150.1053,139.524875,109.89145
142.227875,150.297025,139.535475,109.898275
142.261075,150.527825,139.5461,109.916525
142.29175,150.5843,139.567025,109.92645
142.332775,150.62525,139.575675,109.932775
142.3705,150.664775,139.58785,109.9433
142.438125,150.71755,139.598725,109.952775
142.745625,150.736725,139.605125,109.9644
142.767625,151.0335,139.617025,109.98945
142.803075,151.0676,139.621675,110.023875
142.81805,151.107275,139.630325,110.0388
142.840525,151.19855,139.64195,110.0449
142.959725,151.25205,139.658125,110.0526
143.2334,151.30875,139.6829,110.0623
143.268525,151.374,139.708175,110.065975
143.42795,151.4214,139.73655,110.075625
143.474825,151.744275,139.7765,110.080675
143.5122,151.78555,139.81235,110.090025
143.54425,151.818075,139.845875,110.09475
143.571525,151.843625,139.8955,110.099925
143.62045,151.8698,139.914725,110.115575
143.657425,151.92815,140.244175,110.123875
143.708025,151.98615,140.252875,110.13615
144.001175,152.000425,140.286025,110.14585
144.033725,152.017875,140.3586,110.151425
144.16525,152.059025,140.38635,110.1565
144.57305,152.2577,140.39505,110.167675
144.607625,152.305025,140.446075,110.176775
144.68165,152.603325,140.469175,110.1988
144.723025,152.640925,140.53735,110.209025
144.9784,152.730225,140.5561,110.224675
145.0123,152.779275,140.630175,110.2366
145.745275,152.80345,140.71655,110.2453
145.791,152.924425,140.752075,110.2552
145.83815,152.945575,140.833025,110.2684
145.9228,152.978775,140.860225,110.276225
145.962075,153.036925,140.8741,110.289025
145.9914,153.269475,140.89535,110.30615
146.041175,153.298675,140.9582,110.3161
146.56215,153.32425,141.012675,110.33435
146.5863,153.387275,141.03115,110.454475
146.623575,153.4361,141.154725,110.48405
146.6741,153.775175,141.505675,110.494875
146.7318,153.8222,141.714725,110.505
147.111025,153.859375,141.813975,110.51405
147.1511,153.875525,141.834175,110.523025
147.1947,153.90665,141.9891,110.5286
147.274475,153.92225,142.01705,110.53675
147.3034,153.9559,142.343125,110.542975
147.35765,154.151,142.3541,110.5519
147.650825,154.189625,142.36555,110.559425
147.877825,154.224175,142.39675,110.564225
148.01885,154.265275,142.40235,110.572875
148.046275,154.30575,142.427225,110.5801
148.099375,154.577275,142.446175,110.585775
148.12995,154.604375,142.4797,110.59095
148.2068,154.6628,142.48365,110.59485
148.3504,154.70155,142.491425,110.602425
148.395325,154.9029,142.501,110.611925
148.699475,154.916775,142.819525,110.61655
148.733275,154.96035,142.845375,110.622325
148.770125,155.11295,142.876925,110.625775
148.7979,155.13765,142.891275,110.63275
148.8169,155.201375,142.94365,110.6377
148.856375,155.23135,142.9613,110.645575
149.218575,155.2628,142.9768,110.64995
149.264675,155.329275,142.982625,110.653775
149.2934,155.350425,142.997425,110.662675
149.3175,155.39445,143.00375,110.67125
149.348375,155.4173,143.24595,110.6803
149.370475,155.4402,143.5038,110.6885
149.41275,155.72335,143.520375,110.705075
149.649625,155.750225,143.5327,110.756175
149.665625,155.78035,143.549175,110.7754
149.9996,155.8095,143.57925,110.7932
150.044325,155.834675,143.600075,110.847375
150.10525,155.871575,143.610375,110.873175
150.297,155.903875,143.6481,110.9063
150.5278,155.9392,143.664025,110.953625
150.584275,155.974025,143.700725,111.002375
150.625225,156.001375,144.100725,111.0275
150.664775,156.019825,144.109875,111.055975
150.717575,156.0438,144.129475,111.108575
150.7367,156.080775,144.146225,111.127225
151.033475,156.10955,144.152925,111.142325
151.067575,156.132725,144.16875,111.149475
151.10725,156.15425,144.196575,111.156075
151.198525,156.203225,144.215175,111.165475
151.252,156.22005,144.225025,111.1725
151.272125,156.242225,144.274975,111.179475
151.308725,156.27195,144.28855,111.1872
151.374,156.31925,144.422225,111.196275
151.421375,156.552075,144.64315,111.203525
151.744225,156.59925,144.669425,111.209675
151.78555,156.6368,144.70105,111.21725
151.81805,156.67505,144.8017,111.22525
151.8436,156.7099,144.82805,111.2318
151.869775,156.74935,144.9475,111.241875
151.928125,156.870475,145.004275,111.2461
151.986125,156.947325,145.02595,111.252575
152.0004,157.180325,145.03385,111.26125
152.017825,157.210675,145.2284,111.266525
152.059,157.24715,145.343,111.27375
152.25765,157.26915,145.3584,111.28245
152.305025,157.3294,145.4207,111.28605
152.333225,157.336725,146.0201,111.29035
152.6033,157.37195,146.038725,111.293725
152.6409,157.393825,146.054175,111.297525
152.7302,157.42195,146.0591,111.303325
152.77925,157.6493,146.077475,111.3064
152.8034,157.672425,146.109275,111.317175
152.9244,157.69055,146.116675,111.325925
152.94555,157.728575,146.12295,111.793625
152.97875,157.743425,146.16445,111.8078
