SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC03a,SPK_SPKC04a
235.25905,210.39065,206.505775,213.38615
235.283375,210.432575,206.5387,213.60655
235.29345,210.4544,206.556075,213.62335
235.3678,210.46525,206.654125,213.642425
235.47105,210.495925,206.75825,213.645575
235.54055,210.53395,206.780125,213.6875
235.549775,210.542625,206.8028,213.72575
235.794275,210.559375,206.824375,213.79275
235.8074,210.635675,206.837675,214.066375
235.965725,210.72195,206.865975,214.10905
236.07165,210.741575,206.894875,214.3809
236.12065,210.816375,206.907275,214.436275
236.279825,210.8322,206.9273,214.4739
236.28735,210.849,206.94715,214.482025
236.3117,210.879525,206.980925,214.529075
236.329625,210.901225,206.9974,214.57765
236.361425,210.931275,207.0116,214.59495
236.575125,210.993775,207.028325,214.64325
236.614,211.01315,207.050425,214.6785
236.615525,211.027525,207.06235,214.9134
236.645575,211.0808,207.084025,214.974425
236.678325,211.120975,207.123025,214.9842
236.7147,211.165825,207.1355,215.008975
236.785625,211.207,207.15285,215.021825
236.95455,211.3016,207.203125,215.074275
236.99345,211.3435,207.2297,215.08395
237.159525,211.37455,207.241125,215.10975
237.211675,211.408925,207.26425,215.126725
237.24375,211.43875,207.272025,215.17525
237.3312,211.470525,207.3027,215.25255
237.7008,211.5348,207.31415,215.289825
237.75875,211.5927,207.32875,215.4914
237.78175,211.619725,207.342575,215.507625
237.83595,211.656475,207.3514,215.51575
237.931925,211.7177,207.394375,215.543
237.944375,211.732325,207.4214,215.56495
238.051525,211.862725,207.4342,215.596625
238.0562,211.880725,207.481825,215.616275
238.08725,211.922,207.559025,215.62185
238.152725,211.956075,207.74575,215.871125
238.378975,212.0326,207.775325,215.888875
238.461125,212.072975,207.7865,215.905575
238.499675,212.100775,207.8075,215.918625
238.5031,212.146425,207.821275,216.04555
238.5462,212.163775,207.840925,216.065
238.649,212.195675,207.858975,216.08075
238.677525,212.26475,207.869575,216.09085
238.7235,212.2905,207.914925,216.114825
238.933375,212.37755,207.92955,216.1472
238.9739,212.4225,207.94845,216.1563
239.0054,212.4547,207.97005,216.42425
239.013925,212.499075,207.979675,216.5185
239.04615,212.577025,208.003625,216.5395
239.151375,212.60645,208.02015,216.563175
239.2384,212.63615,208.028675,216.635675
239.467875,212.696275,208.0589,216.6954
239.525275,212.747775,208.1025,216.7058
239.615425,212.7737,208.14885,216.754575
239.6811,212.783375,208.186475,216.81435
239.7586,212.7993,208.2343,216.8393
239.941525,212.8357,208.255725,217.116275
239.96865,212.8631,208.27405,217.163175
240.34925,212.892975,208.465475,217.192925
240.358425,212.929325,208.4755,217.215275
240.5795,212.999425,208.4906,217.250025
240.775625,213.038975,208.501,217.271375
240.979,213.055875,208.50915,217.2918
240.9867,213.070175,208.5224,217.31195
241.0558,213.145575,208.54595,217.5185
241.09125,213.157275,208.567975,217.57975
241.217125,213.178425,208.594,217.59535
241.34065,213.227875,208.61975,217.6282
241.344425,213.249375,208.64685,217.645675
241.587475,213.28205,208.657675,217.650425
241.8234,213.317975,208.67385,217.679825
242.028525,213.373425,208.699625,217.71685
242.1624,213.40675,208.713125,217.72795
242.212775,213.41775,208.72065,217.7361
242.26445,213.5138,208.7281,217.82965
242.30865,213.61095,208.765525,217.889625
242.346625,213.63095,208.7979,217.906225
242.362075,213.65105,208.835025,217.9285
242.51425,213.664075,208.8931,217.966025
242.5276,213.68055,208.915125,217.982075
242.6273,213.7222,208.9579,218.036025
242.8384,213.76125,209.000975,218.0541
242.8615,213.8118,209.0772,218.066575
242.932825,213.8712,209.16095,218.104675
243.111625,213.910425,209.1967,218.152225
243.121325,213.960125,209.233375,218.1854
243.16835,213.984575,209.245225,218.372875
243.26665,214.02075,209.256475,218.50955
243.544125,214.0506,209.2717,218.52385
243.689325,214.21275,209.284275,218.543975
243.721325,214.2853,209.299775,218.5572
243.8032,214.326075,209.32955,218.57295
243.8349,214.35745,209.343525,218.75215
243.899875,214.368725,209.35135,218.7781
243.9275,214.394375,209.361575,218.8025
243.941125,214.428225,209.3808,218.8355
243.9678,214.453025,209.397075,218.839275
243.992975,214.454975,209.41545,218.866675
244.00895,214.506825,209.423725,218.8828
244.1224,214.536425,209.4319,218.911575
244.1601,214.57765,209.4594,218.918575
244.35525,214.59475,209.5595,218.9543
244.4682,214.597725,209.65545,219.002325
244.557175,214.648275,209.7047,219.042275
244.710425,214.6808,209.7395,219.105775
244.74065,214.708875,209.795775,219.25625
244.93875,214.7417,209.93905,219.279775
244.9501,214.77475,209.97605,219.329375
244.9956,214.837425,210.11065,219.36545
245.1079,214.907525,210.143475,219.39165
245.217,214.934225,210.1624,219.4296
245.3233,214.9596,210.1847,219.444575
245.684975,215.013725,210.19695,219.454225
245.70915,215.04925,210.215,219.528075
245.737725,215.0777,210.228225,219.57885
245.797725,215.112525,210.247425,219.648525
246.156975,215.147425,210.2564,219.70455
246.225925,215.18945,210.2725,219.780125
246.232075,215.2401,210.2923,219.92095
246.47985,215.265175,210.30065,219.94525
246.503975,215.41535,210.32345,220.0625
246.5355,215.442525,210.3435,220.1288
246.80185,215.477425,210.392475,220.2044
246.83975,215.5294,210.472225,220.4188
246.96295,215.577325,210.507975,220.430225
247.163125,215.60045,210.54985,220.4707
247.205,215.668475,210.610375,220.80915
247.217025,215.6976,210.673325,220.86065
247.4298,215.777725,210.71865,220.871375
247.569575,215.8251,210.73355,220.894425
247.63025,215.845775,210.793625,220.92545
247.649925,215.869325,210.812925,220.97765
247.85545,215.9268,210.82755,220.9822
247.93045,215.987675,210.84915,221.10165
247.963375,216.040425,210.886775,221.16435
247.9989,216.05705,210.9105,221.21825
248.03185,216.101225,210.951125,221.276025
248.06435,216.24665,210.965575,221.287575
248.411175,216.276675,211.020825,221.351825
248.427325,216.3536,211.085875,221.60495
248.466375,216.381475,211.1341,221.6928
248.499975,216.53715,211.202725,221.706625
248.574975,216.562625,211.389825,221.742675
248.58555,216.63555,211.44775,221.784425
248.589825,216.67375,211.497575,221.8065
