SPK_SPKC06a (excited),SPK_SPKC07b (no effect),SPK_SPKC09a (excited)
53.4203,,46.75745
53.5459,,46.8551
53.61735,,46.86065
53.7277,,46.95775
53.767425,,47.058975
53.9449,,47.10095
54.110375,,47.136775
54.192375,,47.30245
54.270475,,47.334675
54.3948,,47.6535
54.558225,,47.72235
54.696675,,47.8278
54.750525,,47.90435
54.80975,,48.0611
54.957575,,48.096625
55.0812,,48.14265
55.266925,,48.1591
55.358925,,48.2482
55.52585,,48.354375
55.63135,,48.445375
55.8007,,48.4538
55.871325,,48.531375
55.95085,,48.582825
56.014,,48.62435
56.101225,,48.701425
56.1658,,48.7321
56.345275,,48.79695
56.446925,,48.96155
56.526225,,49.0296
56.6443,,49.11315
56.7039,,49.2845
56.741125,,49.323225
56.884225,,49.346025
57.087475,,49.36135
57.145025,,49.37925
57.199675,,49.41415
57.313125,,49.487925
57.462675,,49.4967
57.52995,,49.529625
57.57915,,49.645125
57.6014,,49.6869
57.62555,,49.71245
57.78195,,49.7891
57.84525,,49.79855
57.912125,,49.84145
57.97775,,49.896825
58.037725,,49.940725
58.147375,,50.174125
58.292875,,50.358925
58.34985,,50.377075
58.39945,,50.454725
58.463975,,50.586825
58.536625,,50.6069
58.600175,,50.6216
58.69765,,50.6725
58.765775,,50.686625
58.812375,,50.8147
58.85945,,50.866275
58.86445,,50.8919
58.906925,,51.002225
58.98795,,51.072775
59.04385,,51.0991
59.1602,,51.1052
59.17705,,51.181875
59.27715,,51.20045
59.3369,,51.209775
59.3951,,51.342525
59.436,,51.41995
59.564575,,51.47625
59.56625,,51.484875
59.6729,,51.507425
59.762,,51.515075
59.7948,,51.531875
59.886575,,51.5523
59.943625,,51.61585
60.17445,,51.685375
60.177575,,51.716575
60.235225,,51.7308
60.37845,,51.8371
60.4225,,51.898025
60.484575,,52.0908
60.555725,,52.1479
60.647625,,52.20905
60.708375,,52.32835
60.9074,,52.398
60.91125,,52.46425
60.940125,,52.47145
61.00515,,52.50725
61.069375,,52.561125
61.129775,,52.5957
61.176275,,52.7697
61.188425,,52.80735
61.326475,,52.947925
61.4068,,52.9874
61.547475,,53.043375
61.721,,53.0786
61.8307,,53.090075
61.903175,,53.17165
61.96525,,53.1964
62.052525,,53.3053
62.0954,,53.363825
62.133725,,53.4226
62.1878,,53.645775
62.210475,,53.6623
62.245525,,53.67995
62.30095,,53.78755
62.352275,,53.934875
62.442025,,54.05115
62.579025,,54.12135
62.71325,,54.1429
62.79075,,54.18845
62.8859,,54.231825
63.0314,,54.291925
63.0418,,54.31865
63.226425,,54.328525
63.3132,,54.33765
63.478575,,54.384025
63.56885,,54.43685
63.639275,,54.472325
63.73555,,54.4951
63.7977,,54.54885
63.956825,,54.634175
64.025375,,54.642475
64.19285,,54.67845
64.251775,,54.706675
64.3423,,54.769325
64.5834,,54.8403
64.712825,,54.877975
64.8453,,54.981775
64.87115,,55.0252
64.944275,,55.064675
65.013725,,55.123225
65.0812,,55.227075
65.159425,,55.303275
65.248175,,55.368175
65.33585,,55.5289
65.355825,,55.593875
65.403125,,55.6037
65.4864,,55.666375
65.494625,,55.728375
65.66625,,55.76285
65.84575,,55.8379
65.91565,,55.974775
65.976425,,56.040525
66.07955,,56.05325
66.11755,,56.081825
66.557575,,56.108225
66.64925,,56.170925
66.803,,56.186525
66.85205,,56.196175
66.901125,,56.25015
66.97235,,56.2929
67.006625,,56.3391
67.0535,,56.440425
67.0854,,56.7292
67.178025,,56.740725
67.376125,,56.856
67.48905,,56.930875
67.6813,,56.955725
67.844725,,56.964725
68.019625,,57.077325
68.07515,,57.092475
68.129425,,57.1056
68.23445,,57.148325
68.350125,,57.180375
68.395775,,57.23445
68.42735,,57.376275
68.4448,,57.38525
68.687975,,57.4244
68.750625,,57.4612
68.78865,,57.54135
69.118325,,57.558125
69.2327,,57.606
69.29865,,57.61845
69.423,,57.642175
69.481175,,57.737375
69.5381,,57.8284
69.61025,,57.888925
69.6627,,57.927175
69.797475,,58.119025
69.85515,,58.133825
69.93135,,58.388175
70.009775,,58.414525
70.0622,,58.44825
70.1471,,58.5153
70.208525,,58.601475
70.34625,,58.62905
70.414875,,58.70995
70.515925,,58.781225
70.59345,,58.7872
70.71195,,58.86115
70.7544,,58.89255
70.78135,,58.9158
70.968575,,58.957675
71.010575,,59.189025
71.07955,,59.19465
71.241575,,59.280225
71.28,,59.36925
71.354625,,59.4108
71.4319,,59.602425
71.4761,,59.622275
71.504475,,59.63255
71.5406,,59.658
71.791025,,59.66665
71.849825,,59.7466
71.857125,,59.8186
71.86965,,59.904
72.101675,,60.048125
72.14975,,60.161625
72.292675,,60.338725
72.500025,,60.41455
72.544075,,60.4659
72.71965,,60.52005
72.8971,,60.5636
72.907575,,60.90475
72.9904,,60.95825
73.12385,,61.02575
73.162075,,61.149375
73.253,,61.162525
73.573675,,61.1682
73.59445,,61.460875
73.740675,,61.6357
73.9364,,61.643625
74.041575,,61.6516
74.16635,,61.662225
74.229525,,61.695875
74.275975,,61.7043
74.3385,,61.77405
74.4067,,61.804225
74.554225,,62.045025
74.580725,,62.181725
74.616525,,62.2967
74.740075,,62.35545
74.968125,,62.36965
75.02865,,62.404
75.06155,,62.41395
75.11475,,62.515925
75.1993,,62.53145
75.2099,,62.77225
75.270375,,62.80975
75.3343,,62.86385
75.361475,,62.904775
75.435625,,62.965025
75.4907,,63.0861
75.553775,,63.1783
75.608525,,63.302475
75.660025,,63.3225
75.7191,,63.3491
75.8619,,63.3632
75.921425,,63.3788
75.986225,,63.48455
76.043125,,63.535175
76.111825,,63.593425
76.19035,,63.646475
76.25865,,63.7183
76.313675,,63.77405
76.364625,,63.933275
76.424525,,63.996975
76.4768,,64.006275
76.541925,,64.07165
76.5936,,64.1085
76.659,,64.25475
76.706575,,64.312125
76.7924,,64.360975
76.848225,,64.373325
76.889,,64.5215
76.9217,,64.629325
76.944425,,64.66695
76.9955,,64.67855
77.211975,,64.7187
77.288025,,64.8705
77.349,,64.941375
77.445225,,64.9649
77.523925,,65.000025
77.6021,,65.031375
77.698125,,65.072825
77.903225,,65.1105
77.97605,,65.179175
78.029025,,65.19255
78.092575,,65.20415
78.139775,,65.23425
78.21655,,65.24345
78.2775,,65.317525
78.3333,,65.348325
78.389125,,65.38925
78.4655,,65.4139
78.525475,,65.48845
78.58565,,65.50965
78.643625,,65.6426
78.691625,,65.652925
78.7485,,65.69545
78.795925,,65.714825
78.8676,,65.81375
79.101725,,65.83255
79.177725,,65.921525
79.256875,,65.93015
79.324875,,65.962875
79.391825,,66.1077
79.4522,,66.1305
79.518675,,66.234275
79.609575,,66.239575
79.73205,,66.248675
79.78585,,66.27725
79.873325,,66.30405
79.98425,,66.3119
80.029825,,66.40775
80.078825,,66.413525
80.136075,,66.42635
80.208775,,66.463975
80.422775,,66.552175
80.49565,,66.5579
80.57425,,66.643725
80.63915,,66.676675
80.736725,,66.754425
80.773275,,66.762375
80.814425,,66.776575
80.8616,,66.8523
80.97895,,66.888575
81.003375,,66.968075
81.13915,,66.974175
81.25545,,66.9792
81.31855,,67.058425
81.372925,,67.20605
81.4177,,67.28005
81.58035,,67.3139
81.684575,,67.3278
81.764175,,67.333575
82.02685,,67.46055
82.101925,,67.4978
82.260575,,67.570225
82.328825,,67.706775
82.453975,,68.09255
82.534375,,68.173275
82.58695,,68.190575
82.611,,68.222875
82.699175,,68.380225
82.7481,,68.3953
82.801725,,68.495325
83.023625,,68.726625
83.123125,,68.963175
83.172825,,69.012675
83.209525,,69.0911
83.231325,,69.1629
83.2887,,69.335875
