SPK_SPKC05a (inhi),SPK_SPKC09b (exc),SPK_SPKC09c (inhi)
412.6174,425.7069,412.4701
412.63775,425.772575,412.499025
412.667875,425.9636,412.511325
412.71175,426.077175,412.541525
412.764325,426.113025,412.55985
412.8023,426.14295,412.589525
412.829375,426.179325,412.6222
412.857525,426.238125,412.646625
412.89425,426.302225,412.7137
412.92,426.31035,412.7409
412.952425,426.4034,412.832175
413.00645,426.42675,412.8921
413.0296,426.470325,412.913875
413.053375,426.497025,412.966925
413.14775,426.546525,413
413.175075,426.57645,413.05015
413.21715,426.713575,413.078875
413.2431,426.744025,413.11055
413.247625,426.821425,413.140025
413.2718,426.883425,413.17695
413.382275,426.91885,413.208325
413.4296,426.9927,413.24325
413.454875,427.075025,413.285525
413.484875,427.144275,413.342475
413.519725,427.202475,413.360625
413.5542,427.26145,413.38245
413.59845,427.366,413.42915
413.622175,427.482275,413.456975
413.64225,427.52485,413.4862
413.664275,427.572825,413.51975
413.682625,427.636575,413.54745
413.707725,427.819025,413.579175
413.732425,427.93535,413.6157
413.755475,427.959325,413.6398
413.7933,427.992775,413.663875
413.810225,428.1414,413.6955
413.841175,428.175775,413.721775
413.89075,428.206575,413.757675
413.914425,428.225725,413.804775
413.9455,428.287275,413.833625
413.9778,428.315825,413.85965
414.0197,428.3861,413.89115
414.045125,428.400975,413.926025
414.081775,428.4234,413.955375
414.1109,428.475875,413.977125
414.15885,428.563625,414.000175
414.17645,428.590775,414.032625
414.2179,428.694625,414.048175
414.247875,428.720025,414.068675
414.2686,428.873,414.099025
414.29545,428.919825,414.11965
414.351275,428.948775,414.139175
414.393875,428.969775,414.175
414.425325,429.021825,414.1993
414.4572,429.151625,414.229725
414.521175,429.2102,414.258175
414.5384,429.25745,414.302525
414.560725,429.293475,414.3258
414.583575,429.327975,414.35535
414.6077,429.330475,414.389475
414.6282,429.394875,414.4186
414.651525,429.465875,414.442925
414.700625,429.4836,414.4598
414.748025,429.50685,414.486725
414.775075,429.5388,414.5057
414.813975,429.541325,414.53605
414.8491,429.66955,414.559425
414.87025,429.7184,414.581325
414.8981,429.757725,414.60815
414.92695,429.9024,414.62985
414.953625,429.936375,414.656725
414.9943,429.967725,414.68335
415.01855,430.06715,414.741025
415.048,430.1218,414.76795
415.074525,430.1751,414.79505
415.100875,430.3759,414.839125
415.127,430.392675,414.879925
415.173725,430.4265,414.9144
415.188775,430.4698,414.958275
415.237325,430.550775,415.012125
415.2825,430.608275,415.047675
415.30955,430.666975,415.072925
415.337425,430.708525,415.094475
415.359,430.7296,415.11505
415.3801,430.80665,415.132575
415.4083,430.884775,415.160275
415.436475,430.94425,415.185575
415.457175,430.982175,415.216125
415.5029,431.018775,415.245725
415.531875,431.080475,415.28105
415.580825,431.184375,415.31185
415.615225,431.273025,415.337475
415.647325,431.3001,415.369425
415.670975,431.346125,415.394475
415.707525,431.370575,415.4209
415.746625,431.4022,415.4504
415.779175,431.49415,415.472925
415.794325,431.5424,415.502725
415.799975,431.58635,415.5288
415.8168,431.654925,415.550225
415.8347,431.6711,415.5745
415.8657,431.752925,415.5999
415.893425,431.79885,415.62675
415.915075,431.8659,415.654275
415.94085,431.9346,415.675
415.987725,431.962475,415.70205
416.010675,432.1497,415.7266
416.0446,432.202075,415.746375
416.06095,432.274775,415.75885
416.093325,432.323525,415.80015
416.1102,432.3254,415.837025
416.136025,432.391675,415.846475
416.186175,432.399675,415.876675
416.21515,432.426375,415.89635
416.232825,432.4604,415.909975
416.26225,432.50425,415.931625
416.297375,432.612775,415.950675
416.328575,432.670325,415.9889
416.361275,432.71135,416.012375
416.385325,432.77075,416.047275
416.3999,432.8051,416.0667
416.42295,432.84145,416.100775
416.435825,432.897475,416.13025
416.4625,433.006875,416.162875
416.525025,433.085325,416.194025
416.5485,433.10665,416.2464
416.568725,433.193575,416.29205
416.602725,433.213175,416.3196
416.626125,433.23245,416.3434
416.652425,433.234825,416.364875
416.67655,433.253875,416.403375
416.702725,433.2671,416.42725
416.739425,433.289,416.45805
416.755225,433.363675,416.556525
416.7749,433.426175,416.580425
416.7915,433.4919,416.6047
416.8117,433.596475,416.62935
416.84405,433.6429,416.658125
416.8709,433.68895,416.685575
416.89705,433.707675,416.71305
416.92865,433.725475,416.744775
416.957675,433.7582,416.777825
417.007225,433.787475,416.813075
417.06185,433.823025,416.84065
417.09495,433.82665,416.865875
417.126775,433.90905,416.897175
417.148525,433.943225,416.92315
417.15245,433.960725,416.94205
417.1767,434.055325,416.980475
417.20115,434.15185,417.0147
417.266,434.188325,417.042425
417.297975,434.217075,417.065275
417.31175,434.29805,417.119675
417.341425,434.364625,417.171975
417.3725,434.380675,417.205675
417.429575,434.541325,417.232575
417.452075,434.570075,417.257325
417.4928,434.633925,417.29435
417.532425,434.672525,417.320075
417.563375,434.770275,417.37285
417.59135,434.796225,417.4162
417.6372,434.8379,417.451025
417.65885,434.89385,417.477825
417.67985,435.024025,417.5081
417.702075,435.066025,417.524225
417.726,435.1145,417.55125
417.764625,435.196125,417.57635
417.813225,435.2344,417.606275
417.876725,435.3196,417.613175
417.953925,435.3772,417.63135
417.97595,435.3877,417.664475
417.9975,435.407625,417.68835
418.02675,435.4255,417.716825
418.04995,435.460075,417.74245
418.0596,435.56885,417.769525
418.08035,435.592075,417.79745
418.107225,435.616,417.8471
418.12835,435.61925,417.8801
418.171575,435.6532,417.89865
418.2094,435.6929,417.91925
418.234525,435.735475,417.934875
418.257,435.7493,417.97955
418.2948,435.827975,418.005525
418.33265,435.864925,418.036375
418.3555,435.950775,418.061725
418.3694,436.03065,418.10155
418.410175,436.11195,418.146975
418.438525,436.155725,418.220675
418.457075,436.231225,418.24315
418.471725,436.300225,418.2711
418.494975,436.322125,418.30685
418.5216,436.343625,418.3263
418.5597,436.42085,418.345525
418.59275,436.4562,418.364075
418.610825,436.5207,418.392525
418.648375,436.5745,418.433175
418.6732,436.7194,418.454425
418.689675,436.7801,418.479975
418.706825,436.817625,418.514325
418.729075,436.81995,418.5564
418.770075,436.851375,418.5871
418.787275,436.94445,418.61405
418.809675,437.03895,418.635325
418.831775,437.089575,418.65855
418.871575,437.19765,418.71715
418.90115,437.28855,418.740975
418.938075,437.2966,418.772775
418.966,437.3273,418.794125
419.003775,437.4085,418.82855
419.016725,437.44835,418.8507
419.0467,437.510425,418.882775
419.078375,437.5482,418.94495
419.101275,437.58095,418.9831
419.1382,437.628175,419.0077
419.180825,437.66515,419.021575
419.209875,437.695975,419.05015
419.22855,437.704675,419.069675
419.2416,437.734725,419.088925
419.256125,437.8252,419.103575
419.283475,437.90145,419.12795
419.3203,437.98485,419.149225
419.357925,437.99355,419.165425
419.400575,438.007675,419.1916
419.439425,438.076225,419.211
419.460725,438.133375,419.22565
419.483425,438.23805,419.240325
419.5063,438.264875,419.25815
419.531475,438.31175,419.29095
419.573325,438.3356,419.312975
419.5936,438.36995,419.3517
419.6148,438.4017,419.39015
419.640775,438.4415,419.43765
419.669325,438.4803,419.456775
419.719725,438.59825,419.482875
419.74945,438.63215,419.5086
419.7641,438.7159,419.541325
419.782725,438.78745,419.55805
419.80115,438.831425,419.571075
419.8285,438.8941,419.5966
419.863575,438.983775,419.611725
419.88685,439.014525,419.6537
419.90285,439.067425,419.6895
419.9241,439.11865,419.709075
419.943125,439.1645,419.723225
419.971925,439.265175,419.740325
420.003025,439.33995,419.753
420.04105,439.342775,419.7785
420.06035,439.39465,419.798225
420.09915,439.48125,419.816075
420.12795,439.570975,419.854825
420.162425,439.6486,419.882275
420.207725,439.691625,419.903025
420.2341,439.7241,419.932475
420.257675,439.74735,419.95405
420.28555,439.7631,419.980175
420.31055,439.80115,419.9963
