SPK_SPKC10a (excited),SPK_SPKC12a (NA),SPK_SPKC13a (NA),SPK_SPKC14a (no effect),SPK_SPKC16a (NA)
90.32995,10.19065,120.075725,175.889525,75.775125
91.390975,10.2093,120.158825,175.909925,76.014425
91.575175,10.285125,120.244675,175.963325,76.047575
91.8604,10.33285,120.292825,175.98285,76.0636
91.875975,10.35475,120.309375,175.99495,76.083125
91.948925,10.372725,120.344575,176.0204,76.1036
92.265675,10.40455,120.37855,176.1078,76.160575
92.2869,10.426375,120.398375,176.222725,76.1955
92.32525,10.461025,120.43555,176.233025,76.42915
92.818825,10.490825,120.46765,176.482275,76.578425
92.85265,10.518375,120.497875,176.50115,76.753775
93.99805,10.53185,120.514725,176.513075,76.856125
94.311175,10.5457,120.56825,176.5495,76.883625
94.989025,10.567675,120.71425,176.6234,77.031175
95.15465,10.622225,120.7629,176.660825,77.103
95.20815,10.6562,120.7764,176.67275,77.207325
95.61505,10.684275,120.8256,176.732025,77.60815
95.763725,10.701775,120.844775,176.7722,77.6326
95.899425,10.728775,120.93285,176.856525,77.71045
96.096525,10.828775,120.94885,177.0174,77.817325
96.156375,10.858325,120.9986,177.053425,77.866
96.378925,10.867125,121.06955,177.07275,77.927275
96.524175,10.942825,121.084525,177.089125,78.3124
97.400225,10.95075,121.1591,177.1788,78.3862
97.93775,10.9623,121.313975,177.24775,78.540075
98.668775,10.9748,121.32905,177.271675,78.5879
99.09715,10.986025,121.36085,177.3604,78.64175
99.14645,11.028,121.444025,177.3749,78.70525
100.53955,11.0343,121.56715,177.4135,78.806825
100.78215,11.0501,121.66325,177.429575,79.00355
101.298475,11.059525,121.719075,177.46195,79.0755
102.433525,11.0683,121.75635,177.483025,79.919225
102.61955,11.091525,121.773475,177.531125,80.285525
104.118875,11.111475,121.7951,177.551175,81.74405
104.30565,11.118875,121.87365,177.566025,82.572525
104.4513,11.142475,121.992275,177.573375,82.61885
104.928475,11.148925,122.427525,177.630425,83.204875
105.678825,11.194075,122.494375,177.639775,83.8167
106.101175,11.210575,122.509675,177.700725,84.2553
107.020125,11.40285,122.561425,177.84175,84.846925
107.0431,11.428075,122.5789,177.87145,85.073725
107.41535,11.4399,122.597075,177.9008,85.5995
107.516325,11.478725,122.616525,177.9219,86.1761
107.570825,11.495525,122.64945,178.01975,86.26545
108.407875,11.514625,122.707675,178.131075,86.4942
108.5777,11.53295,122.870975,178.250575,86.55665
108.67075,11.54465,122.9705,178.305175,86.84105
109.080325,11.607625,123.0782,178.3185,87.147325
109.09915,11.638625,123.095375,178.377925,87.9969
109.880025,11.664,123.161925,178.392275,88.662975
110.37665,11.714575,123.255775,178.4223,88.838625
110.84675,11.725,123.313975,178.472125,89.303725
110.876225,11.8204,123.3277,178.4896,90.767875
111.566175,11.8474,123.39815,178.56625,90.838125
111.679875,11.876325,123.506975,179.01115,91.300275
111.776475,11.960275,123.56615,179.050775,91.370825
112.036125,11.989325,123.626275,179.083075,91.506925
112.092375,12.054575,123.6996,179.14075,91.816325
112.1945,12.075825,123.73555,179.151675,92.107475
112.642325,12.09205,123.82935,179.29105,92.40825
112.7042,12.12325,123.8678,179.30945,92.535825
113.0848,12.168975,123.88705,179.883,92.6102
113.4828,12.209575,124.0134,179.892225,93.412875
113.897775,12.277575,124.03665,179.8952,93.44795
114.4105,12.3324,124.058425,179.896925,93.5601
114.48555,12.364875,124.12075,179.92225,93.598475
115.151775,12.41875,131.405125,179.934125,93.623975
115.17885,12.503525,131.806075,179.97735,93.880775
115.29005,12.510975,131.845725,179.983675,93.919775
115.465475,12.576775,131.9178,179.9895,93.979775
116.260125,12.5846,131.973675,180.06035,94.562775
116.908225,12.597475,131.99095,180.078775,94.640175
116.96815,12.666825,132.01495,180.367775,95.601075
117.100575,12.726675,132.069075,180.9985,95.76385
117.529725,12.745775,159.50545,182.203625,95.792
117.63675,12.78965,160.401425,182.270575,95.86185
117.637925,12.8793,160.4356,182.3218,96.107275
117.873475,12.891525,160.66945,182.3404,97.119625
117.99255,12.9005,162.955475,182.442225,97.206175
118.20065,13.024575,163.042525,182.46295,97.33285
118.457375,13.0334,174.17,182.5438,97.417025
118.502025,13.097475,214.634875,182.5622,97.56535
118.8344,13.114125,216.06705,182.579075,97.73665
118.900125,13.1855,222.426325,182.599575,98.119075
118.947325,13.234325,225.301825,182.617475,98.552875
120.177025,13.2524,229.030625,182.635725,98.874075
120.287525,13.269125,230.161475,182.6579,98.930125
120.394475,13.538075,233.901025,182.70785,98.94845
120.6062,13.619875,238.618125,182.728475,99.011075
120.9085,13.659475,247.216225,182.762425,99.0453
121.981175,13.76055,247.225775,182.787025,99.0677
122.055025,13.7807,247.680325,182.8199,99.1545
122.251775,13.83625,247.9698,182.83965,99.175975
122.30855,13.866825,248.1647,182.855,99.221475
122.697025,13.92055,248.290525,183.0304,99.38845
123.149675,13.962575,248.654425,183.111,99.4106
123.696925,13.98055,248.787275,183.58015,99.4464
123.72365,14.00075,248.818175,183.667225,99.54955
123.95195,14.02105,248.9211,183.70395,99.574225
124.1599,14.033225,249.0978,183.73695,99.648925
124.263075,14.073075,249.310575,183.772225,99.74405
124.348325,14.111125,249.51835,183.7822,99.8171
124.3847,14.1886,251.6092,183.792375,99.959225
124.555625,14.245325,251.64265,183.79935,100.188775
124.744975,14.262225,251.65455,183.805225,100.481125
124.931625,14.285075,251.67265,183.8131,100.80785
125.0404,14.3483,255.639675,183.825975,100.880325
125.063125,14.426375,259.951175,183.83265,101.44715
125.6495,14.68115,260.026425,183.84985,101.547925
125.90605,14.704975,260.162075,183.87125,102.053475
125.952075,14.77725,260.1778,184.38055,102.10785
126.492375,14.8194,260.33875,185.95695,102.90385
126.556175,15.0633,260.377025,185.968325,103.029975
127.15465,15.0895,260.503275,186.026675,103.154775
127.768175,15.11265,260.53615,186.0425,103.238875
128.19035,15.12235,260.78975,186.07495,103.324175
128.214325,15.1427,260.8348,186.0897,103.67235
128.6398,15.170475,286.039175,186.10275,103.7573
128.742775,15.288125,287.03835,186.121125,103.82435
128.759675,15.325725,,186.1604,104.073375
129.598925,15.35925,,186.1783,105.7276
129.67555,15.372625,,186.214675,107.8033
130.113375,15.455875,,186.2277,109.552225
130.265775,15.5923,,186.256675,113.114625
130.7501,15.612075,,186.2822,113.232975
131.409975,15.62475,,186.3329,113.26245
131.664725,15.668875,,186.519425,113.30465
131.749175,15.71845,,186.681075,113.62455
132.8636,15.7565,,186.699475,113.8091
133.5296,15.786025,,186.716025,113.92615
133.978375,15.8247,,186.730975,114.059625
