SPK_SPKC04a (late exc?),SPK_SPKC04b (inhi/exc),SPK_SPKC05a (exc/inhi)
,32.20965,
,32.2565,
,32.454425,
,32.4927,
,32.5093,
,32.5412,
,32.573375,
,32.619675,
,32.650025,
,32.6907,
,32.83135,
,32.8765,
,32.88625,
,32.897175,
,32.905975,
,32.9413,
,32.9587,
,32.9809,
,33.0112,
,33.0282,
,33.0542,
,33.0688,
,33.08915,
,33.113725,
,33.13655,
,33.24375,
,33.324825,
,33.349025,
,33.3809,
,33.450475,
,33.4795,
,33.507,
,33.534375,
,33.5614,
,33.577625,
,33.589675,
,33.669225,
,33.6946,
,33.71065,
,33.7432,
,33.766525,
,33.7864,
,33.806825,
,33.8224,
,33.8497,
,33.895775,
,33.920425,
,33.950725,
,33.985125,
,34.028025,
,34.046675,
,34.067625,
,34.095025,
,34.12465,
,34.141775,
,34.1539,
,34.174075,
,34.1893,
,34.229925,
,34.25945,
,34.319575,
,34.38815,
,34.4544,
,34.478425,
,34.503525,
,34.526925,
,34.567725,
,34.587175,
,34.603225,
,34.623525,
,34.659575,
,34.73985,
,34.7588,
,34.8083,
,34.842525,
,34.882125,
,34.904,
,34.92185,
,34.9418,
,34.970725,
,35.024125,
,35.08595,
,35.112325,
,35.1442,
,35.167075,
,35.198275,
,35.2084,
,35.22705,
,35.24055,
,35.25445,
,35.272725,
,35.308325,
,35.342075,
,35.365125,
,35.386275,
,35.399725,
,35.425925,
,35.45545,
,35.5111,
,35.5856,
,35.617275,
,35.637425,
,35.666075,
,35.7032,
,35.731375,
,35.74505,
,35.768475,
,35.801775,
,35.814875,
,35.83695,
,35.849125,
,35.9035,
,35.940175,
,35.9586,
,35.97545,
,35.985925,
,36.00085,
,36.024225,
,36.03455,
,36.06735,
,36.0804,
,36.0957,
,36.144425,
,36.18745,
,36.20565,
,36.241875,
,36.26675,
,36.311775,
,36.3494,
,36.413625,
,36.456225,
,36.502025,
,36.518975,
,36.535825,
,36.58145,
,36.61285,
,36.63225,
,36.68585,
,36.712775,
,36.7462,
,36.76535,
,36.780925,
,36.839475,
,36.849825,
,36.8694,
,36.9012,
,36.9183,
,36.9349,
,37.00165,
,37.020025,
,37.034375,
,37.052875,
,37.068425,
,37.08925,
,37.139725,
,37.1631,
,37.1925,
,37.248525,
,37.2864,
,37.31395,
,37.3387,
,37.3707,
,37.399525,
,37.421475,
,37.4375,
,37.46755,
,37.502825,
,37.528125,
,37.5706,
,37.6077,
,37.63755,
,37.666725,
,37.685325,
,37.715875,
,37.74295,
,37.76905,
,37.790625,
,37.8298,
,37.85245,
,37.867175,
,37.906075,
,37.922875,
,37.9499,
,38.065375,
,38.117775,
,38.1392,
,38.190325,
,38.2146,
,38.248675,
,38.285575,
,38.303675,
,38.326675,
,38.34185,
,38.37045,
,38.400975,
,38.42265,
,38.441975,
,38.48165,
,38.528,
,38.568675,
,38.59795,
,38.62275,
,38.639125,
,38.65575,
,38.6706,
,38.71835,
,38.7371,
,38.753975,
,38.767675,
,38.7811,
,38.815325,
,38.850225,
,38.871175,
,38.909225,
,38.940875,
,38.9709,
,39.007975,
,39.0307,
,39.04335,
,39.075975,
,39.1101,
,39.13865,
,39.161325,
,39.1822,
,39.20575,
,39.2336,
,39.2475,
,39.2925,
,39.323225,
,39.43545,
,39.49685,
,39.526025,
,39.537625,
,39.551225,
,39.56645,
,39.581975,
,39.59405,
,39.606975,
,39.619525,
,39.645525,
,39.6643,
,39.68295,
,39.713025,
,39.766325,
,39.800525,
,39.82485,
,39.875225,
,39.900875,
,39.920375,
,39.954425,
,39.976625,
,40.0082,
,40.053125,
,40.0826,
,40.114275,
,40.142075,
,40.16605,
,40.210875,
,40.275025,
,40.299825,
,40.3237,
,40.353875,
,40.376175,
,40.39645,
,40.438425,
,40.469225,
,40.52545,
,40.58625,
,40.604975,
,40.615275,
,40.636375,
,40.661475,
,40.7066,
,40.730275,
,40.763075,
,40.7802,
,40.816825,
,40.8408,
,40.8642,
,40.8962,
,40.945475,
,40.988525,
,41.16795,
,41.18975,
,41.243275,
,41.291125,
,41.35045,
,41.377425,
,41.40045,
,41.41195,
,41.428175,
,41.440875,
,41.4709,
,41.4864,
,41.511475,
,41.531975,
,41.5573,
,41.582775,
,41.638575,
,41.666475,
,41.686,
,41.7159,
,41.769175,
,41.797,
,41.847825,
,41.877475,
,41.920725,
,41.94455,
,41.9674,
,42.00455,
,42.03655,
,42.090375,
,42.158925,
,42.1858,
,42.2146,
,42.245625,
,42.2843,
,42.304875,
,42.324175,
,42.370025,
,42.435225,
,42.51175,
,42.538425,
,42.562225,
,42.6,
,42.621925,
,42.635275,
,42.661425,
,42.701,
,42.718675,
,42.78145,
,42.79575,
,42.837425,
,42.853075,
,42.892975,
,42.9445,
,42.973225,
,43.065125,
,43.179,
,43.192125,
,43.221275,
,43.253525,
,43.29835,
,43.324975,
,43.350475,
,43.3908,
,43.44295,
,43.5147,
,43.5445,
,43.570875,
,43.629175,
,43.644075,
,43.674825,
,43.70155,
,43.762425,
,43.8114,
,43.864,
,43.936925,
,43.973325,
,44.038225,
,44.06605,
,44.08015,
,44.0956,
,44.12765,
,44.238275,
,44.28355,
,44.428475,
,44.4485,
,44.479275,
,44.5986,
,44.627825,
,44.661025,
,44.7113,
