SPK_SPKC09a (exc),SPK_SPKC12a (no response),SPK_SPKC13a (no response)
432.4468,428.223825,
432.471525,428.24625,
432.5118,428.27135,
432.568975,428.290775,
432.60905,428.3178,
432.666625,428.354325,
432.74355,428.429675,
432.868575,428.491125,
432.890725,428.5619,
432.912,428.61695,
432.945,428.7081,
432.9836,428.81875,
433.024925,428.923525,
433.0508,429.019575,
433.094825,429.100225,
433.138675,429.33335,
433.175725,429.480675,
433.2409,429.5252,
433.33455,429.5525,
433.411975,429.568575,
433.44325,429.615875,
433.460475,429.64395,
433.47725,429.672925,
433.498075,429.723175,
433.520725,429.839825,
433.54985,429.85865,
433.5742,429.874775,
433.5976,429.885075,
433.6181,429.900575,
433.64315,429.91375,
433.66785,429.9254,
433.700025,429.93505,
433.734975,429.945225,
433.771225,429.958825,
433.801475,429.9706,
433.93715,430.000325,
434.009375,430.017575,
434.080025,430.0361,
434.126925,430.0559,
434.15645,430.0759,
434.1946,430.0988,
434.2411,430.1225,
434.27595,430.141575,
434.292875,430.1614,
434.296575,430.18535,
434.303,430.215625,
434.319925,430.244525,
434.34545,430.302475,
434.37975,430.33945,
434.39855,430.35355,
434.43355,430.367425,
434.458275,430.383925,
434.459425,430.403675,
434.50795,430.4313,
434.550225,430.4455,
434.592625,430.47295,
434.6143,430.487275,
434.657375,430.533775,
434.7064,430.575475,
434.73605,430.770025,
434.7724,430.810325,
434.89055,430.8216,
434.953925,430.834075,
434.984075,430.8481,
435.001275,430.86475,
435.0188,430.88105,
435.037375,430.894425,
435.0607,430.9053,
435.078625,430.927025,
435.1139,430.941775,
435.157625,430.959525,
435.190725,430.9694,
435.2185,430.980875,
435.247675,430.998025,
435.27595,431.010625,
435.3144,431.025125,
435.330025,431.045675,
435.3528,431.070625,
435.36695,431.0868,
435.3944,431.114075,
435.414225,431.1404,
435.433025,431.169975,
435.43595,431.21155,
435.467625,431.253475,
435.5303,431.273625,
435.563075,431.3034,
435.605075,431.355775,
435.6577,431.409175,
435.695275,431.5051,
435.761775,431.5598,
435.799625,431.587375,
435.82625,431.604325,
435.86895,431.621525,
435.953975,431.63565,
436.023825,431.66625,
436.04995,431.678675,
436.073925,431.7029,
436.107725,431.744,
436.149475,431.765925,
436.173775,431.7887,
436.198625,431.803175,
436.2384,431.819225,
436.2749,431.828175,
436.32295,431.856525,
436.34445,431.914925,
436.3803,432.09615,
436.407725,432.116,
436.4368,432.127675,
436.47735,432.136475,
436.515025,432.1435,
436.54735,432.161475,
436.57425,432.168875,
436.620225,432.175725,
436.651225,432.1871,
436.7039,432.199625,
436.7608,432.210825,
436.7883,432.21915,
436.81735,432.22885,
436.842,432.242075,
436.860675,432.249325,
436.88045,432.26765,
436.91805,432.28865,
436.94175,432.311925,
436.9763,432.357525,
437.00235,432.395075,
437.05105,432.467025,
437.0841,432.57285,
437.113425,432.610975,
437.143875,432.647475,
437.2003,432.67805,
437.2433,432.700675,
437.271125,432.73905,
437.29685,432.77495,
437.363975,432.818525,
437.39745,432.84595,
437.435675,432.884525,
437.4968,432.90235,
437.5386,432.917325,
437.57125,432.95495,
437.612125,432.977775,
437.6597,432.9959,
437.69155,433.012975,
437.723275,433.041725,
437.779425,433.061025,
437.82435,433.094125,
437.87095,433.167225,
437.896025,433.218625,
437.927475,433.2775,
437.953975,433.377425,
437.989675,433.410675,
438.0165,433.431175,
438.057075,433.447425,
438.097125,433.464975,
438.1269,433.478725,
438.152825,433.496225,
438.192425,433.50785,
438.2384,433.519625,
438.2647,433.5298,
438.3072,433.558525,
438.378875,433.5755,
438.466,433.591275,
438.5067,433.60765,
438.631525,433.62305,
438.660025,433.648125,
438.691,433.661925,
438.743875,433.6796,
438.782075,433.726875,
438.805725,433.7399,
438.8554,433.754775,
438.885575,433.77625,
438.919725,433.8084,
438.988075,433.835575,
439.02585,433.9151,
439.054775,434.047425,
439.11035,434.095375,
439.1337,434.12395,
439.1718,434.250825,
439.196725,434.273925,
439.226525,434.291675,
439.265225,434.302775,
439.30695,434.3117,
439.42785,434.32225,
439.449175,434.335025,
439.4708,434.352975,
439.504975,434.368725,
439.537775,434.3833,
439.563675,434.404275,
439.5667,434.41895,
439.592525,434.4354,
439.6164,434.445625,
439.677025,434.462925,
439.699975,434.479525,
439.716075,434.496925,
439.741875,434.517775,
439.760375,434.5301,
439.7739,434.553625,
439.79645,434.56975,
439.8351,434.58905,
439.854725,434.605675,
439.888625,434.625175,
439.9165,434.648925,
439.952875,434.6781,
439.965575,434.705625,
439.98665,434.739975,
440.029875,434.7658,
440.06925,434.793175,
440.091025,434.825475,
440.11115,434.965475,
440.14975,434.9901,
440.171425,435.00105,
440.1904,435.01355,
440.20705,435.021875,
440.2317,435.029075,
440.310575,435.039775,
440.341125,435.047975,
440.366275,435.057625,
440.39605,435.0732,
440.4169,435.0829,
440.4311,435.1005,
440.464675,435.121425,
440.487775,435.139775,
440.5127,435.165525,
440.541975,435.18115,
440.58235,435.197725,
440.598475,435.215125,
440.604325,435.233175,
440.621375,435.25415,
440.66895,435.289375,
440.6871,435.3076,
440.796825,435.329225,
440.830925,435.349125,
440.8612,435.381625,
440.902925,435.429225,
440.92585,435.442,
440.943175,435.464325,
440.9648,435.483875,
440.9844,435.5016,
441.038725,435.530475,
441.0643,435.54765,
441.08335,435.573225,
441.104875,435.593525,
441.13235,435.6702,
441.162475,435.699825,
441.2095,435.729275,
441.23825,435.755975,
441.253925,435.78225,
441.29325,435.793825,
441.336775,435.811975,
441.358975,435.833175,
441.390525,435.8577,
441.425375,435.885225,
441.45215,435.915625,
441.4793,435.9791,
441.4994,436.013225,
441.547175,436.030375,
441.591875,436.050725,
441.63895,436.070075,
441.68685,436.08075,
441.739375,436.09525,
441.7821,436.10985,
441.82575,436.133575,
441.88075,436.14705,
441.993025,436.17905,
442.0309,436.2165,
442.1114,436.2345,
442.214725,436.26225,
442.299425,436.28215,
442.4105,436.306125,
442.459025,436.33925,
442.50695,436.3661,
442.556325,436.39135,
442.59745,436.414775,
442.66175,436.446375,
442.699275,436.461475,
442.7502,436.476125,
442.789625,436.49075,
442.809,436.504975,
442.821225,436.53315,
442.837175,436.57295,
442.861825,436.59545,
442.888975,436.617125,
442.911625,436.628825,
442.92905,436.6615,
442.9462,436.684125,
442.960375,436.714725,
443.006075,436.75685,
443.0362,436.77505,
443.064425,436.791875,
443.09825,436.8102,
443.121975,436.8213,
443.13945,436.82785,
443.16885,436.83085,
443.193975,436.842675,
443.21405,436.8526,
443.222675,436.888875,
443.234875,436.904325,
443.30955,436.922175,
443.375525,436.94425,
443.401125,436.97015,
443.425825,436.996275,
443.45095,437.011475,
443.472175,437.024725,
443.491675,437.04305,
443.515775,437.06575,
443.538,437.09345,
443.566275,437.1102,
443.586125,437.12925,
443.61125,437.157875,
443.650775,437.1849,
443.673175,437.212175,
443.6975,437.245125,
443.736575,437.2754,
443.772,437.3413,
443.78965,437.359525,
443.8342,437.376575,
443.8708,437.392325,
443.916275,437.40735,
443.961425,437.4208,
444.013525,437.447825,
444.05405,437.46905,
444.088225,437.50785,
444.13775,437.536425,
444.2014,437.57785,
444.260625,437.60385,
444.2981,437.623375,
444.334975,437.6395,
444.365375,437.664925,
444.41035,437.6991,
444.456525,437.7205,
444.50875,437.747175,
444.54705,437.81615,
444.594175,437.8662,
444.6749,437.885575,
444.72565,437.9027,
444.7686,437.930875,
444.794275,437.9524,
444.84265,437.967725,
444.89355,437.975975,
444.947875,437.990425,
444.978925,438.013625,
445.001875,438.03815,
445.029125,438.065025,
445.04735,438.084475,
445.0662,438.104825,
445.107525,438.124125,
445.144525,438.14655,
445.17115,438.168175,
445.189225,438.196,
445.222575,438.2201,
445.253,438.252475,
445.302975,438.28855,
445.320975,438.310825,
445.364275,438.346875,
445.386375,438.3893,
445.410225,438.502475,
445.448075,438.643225,
445.50675,438.6679,
445.537825,438.69435,
445.576675,438.71475,
445.6347,438.741925,
445.70095,438.743575,
445.74385,438.778875,
445.806025,438.8007,
445.8555,438.8427,
445.90115,438.906775,
445.94195,438.9446,
445.95695,438.996675,
445.992675,439.019875,
446.03835,439.0438,
446.0619,439.0765,
446.08455,439.107875,
446.11205,439.131775,
446.141525,439.1623,
446.1718,439.190575,
446.22395,439.219775,
446.24095,439.25335,
446.258175,439.343,
446.27685,439.37405,
446.296475,439.395175,
446.3187,439.41535,
446.377625,439.4318,
446.404225,439.45205,
446.427575,439.483125,
446.4661,439.5085,
446.515675,439.524425,
446.59555,439.53475,
446.6367,439.55115,
446.6734,439.567575,
446.701075,439.5914,
446.7174,439.605,
446.736825,439.6226,
446.761025,439.640825,
446.79115,439.665,
446.80565,439.70475,
446.8326,439.717925,
446.872075,439.72665,
446.894825,439.7377,
446.930025,439.7423,
447.0036,439.744675,
447.0274,439.754675,
447.064075,439.76585,
447.093475,439.77965,
447.118775,439.794225,
447.134,439.820475,
447.163925,439.8323,
447.21035,439.84175,
447.231325,439.8558,
447.250975,439.879275,
447.277375,439.89755,
447.304,439.918525,
447.332075,439.934575,
447.35815,439.95145,
447.392525,439.96475,
447.43225,439.97815,
447.469675,440.010075,
447.504525,440.023425,
447.52905,440.039375,
447.5775,440.05475,
447.61065,440.064675,
447.62625,440.071275,
447.661125,440.079375,
447.68305,440.101275,
447.699325,440.1181,
447.731825,440.128475,
447.7645,440.159525,
447.795175,440.174125,
447.819775,440.187425,
447.844975,440.201725,
447.8757,440.253225,
447.90915,440.285075,
447.9489,440.3097,
447.96875,440.326925,
448.01475,440.34505,
448.0426,440.358825,
448.0687,440.37965,
448.091325,440.39935,
448.111775,440.4135,
448.137175,440.42935,
448.16645,440.4504,
448.186975,440.471625,
448.203325,440.501325,
448.23065,440.55445,
448.2405,440.598225,
448.2512,440.61395,
448.27535,440.630375,
448.2994,440.6428,
448.3377,440.657625,
448.36755,440.669925,
448.399625,440.681625,
448.431825,440.70415,
448.462675,440.7131,
448.47595,440.71625,
448.47765,440.7621,
448.50875,440.786525,
448.535425,440.824575,
448.5682,440.9057,
448.602675,440.942225,
448.667325,440.9632,
448.722325,440.995075,
448.756025,441.04025,
448.81175,441.080575,
448.855875,441.102625,
448.858575,441.13245,
448.923475,441.1508,
448.955325,441.161325,
449.01945,441.183225,
449.056525,441.1918,
449.087325,441.2069,
449.1317,441.224925,
449.19475,441.24025,
449.248225,441.259825,
449.2916,441.273275,
449.325825,441.294675,
