SPK_SPKC03a (weak inhi),SPK_SPKC08a (exc),SPK_SPKC09a (no response),SPK_SPKC10b (weak inhi),SPK_SPKC11a (no response)
258.03475,266.826175,256.10675,261.440225,256.024825
258.0525,266.873925,256.130275,261.492275,256.027025
258.077825,266.87855,256.153775,261.506575,256.042175
258.110125,266.88645,256.18545,261.541725,256.057
258.14275,267.057925,256.212025,261.56485,256.102375
258.173425,267.0622,256.232975,261.59945,256.1149
258.18715,267.0789,256.25025,261.6438,256.13375
258.221075,267.1204,256.273675,261.680025,256.157625
258.3038,267.495825,256.2984,261.74175,256.17275
258.3285,267.500275,256.3322,261.7962,256.180625
258.34915,267.56245,256.354475,261.8447,256.1882
258.391675,267.570775,256.418875,261.895525,256.205525
258.41375,267.592675,256.443925,261.922175,256.2358
258.434025,267.8432,256.461125,262.004775,256.249425
258.47575,267.866625,256.47475,262.061175,256.27165
258.504625,267.878725,256.49155,262.1839,256.28565
258.544175,268.056175,256.499475,262.216475,256.302125
258.568475,268.19105,256.522725,262.30045,256.33945
258.63525,268.32245,256.547175,262.385125,256.361275
258.6663,268.65235,256.610525,262.442575,256.380425
258.6869,268.894975,256.643875,262.456425,256.3987
258.701075,268.9763,256.69005,262.62065,256.4109
258.7207,269.06915,256.715175,262.64315,256.4763
258.814525,269.0768,256.782975,262.8067,256.4908
258.83815,269.34555,256.80075,262.894375,256.51355
258.956225,269.7381,256.823675,262.898875,256.531775
258.980175,269.75055,256.834725,262.956675,256.56575
259.01095,269.7593,256.837575,262.978525,256.6288
259.03215,269.7976,256.8707,263.0622,256.651925
259.094775,269.81615,256.886975,263.144825,256.677025
259.16475,270.060525,256.909325,263.154575,256.6932
259.188125,270.072925,256.9271,263.1716,256.715925
259.2051,270.630175,256.94205,263.19335,256.736325
259.2226,270.63365,256.96705,263.2722,256.78575
259.346775,270.642525,256.981775,263.403125,256.802925
259.381825,270.648725,256.995625,263.431725,256.8297
259.398375,270.65875,257.01055,263.501425,256.838975
259.424075,270.7,257.017925,263.53625,256.8677
259.466075,270.859525,257.04185,263.577275,256.88525
259.4865,270.98005,257.076225,263.601975,256.91235
259.49965,271.042775,257.09105,263.631425,256.9373
259.530875,271.96035,257.12,263.654225,256.954825
259.567275,271.97365,257.14155,263.88595,256.976675
259.590175,272.214475,257.1947,263.946425,256.988925
259.614475,272.21905,257.207525,263.968925,257.0131
259.6364,272.223825,257.2304,264.01635,257.035125
259.6512,272.228275,257.23295,264.0332,257.0643
259.693075,272.3681,257.24335,264.063975,257.112225
259.7065,272.42025,257.28435,264.2195,257.1201
259.722625,272.605375,257.287025,264.25825,257.1417
259.7726,272.7561,257.303875,264.3443,257.195675
259.819325,272.7782,257.3365,264.478075,257.215575
259.876125,273.095525,257.375525,264.500475,257.237275
259.893175,273.20415,257.38605,264.53085,257.263625
259.9131,273.22135,257.417125,264.582775,257.293275
259.950325,273.22985,257.46265,264.5851,257.345525
259.9751,273.309825,257.5158,264.666625,257.36075
260.0128,273.36625,257.52485,264.722825,257.37735
260.072175,273.402525,257.54385,264.7267,257.392375
260.12235,273.418525,257.5662,264.764725,257.4381
260.2289,273.78435,257.6049,264.90235,257.4565
260.283,273.79585,257.64085,264.949825,257.476875
260.3031,274.300575,257.64765,265.0241,257.501625
260.321,274.3052,257.66715,265.0745,257.5156
260.35645,274.34465,257.681575,265.0847,257.52245
260.39495,274.6389,257.705825,265.110975,257.573
260.42285,274.656475,257.7269,265.19155,257.600975
260.44,274.659925,257.7701,265.22975,257.616975
260.5065,274.6711,257.83995,265.3272,257.634975
260.5476,275.01045,257.849675,265.46855,257.654525
260.58425,275.015125,257.873175,265.53405,257.678925
260.61285,275.02925,257.903075,265.58785,257.768925
