SPK_SPKC02a (NA),SPK_SPKC07a (inhibited),SPK_SPKC13a (inhibited)
68.655075,16.011875,153.237075
68.705225,16.026625,153.287875
69.271125,16.05225,153.289825
69.494325,16.058525,153.5648
70.083525,16.0706,153.912075
70.43305,16.0732,153.98135
70.528625,16.097175,154.067625
70.547375,16.11785,154.2996
70.930175,16.139225,154.530175
71.830175,16.160275,154.703625
72.281875,16.191475,155.015625
72.368125,16.211075,155.7845
72.4882,16.253625,156.00745
72.7306,16.291825,156.38765
72.77035,16.339625,156.6889
73.177225,16.364025,157.429075
73.419125,16.390525,158.266375
73.42115,16.428125,158.397625
73.505025,16.44745,158.499825
73.51825,16.464625,158.748075
73.75505,16.486375,159.316525
73.772775,16.49455,160.011525
73.781025,16.527,160.361775
73.84185,16.556775,160.827925
73.90025,16.5849,161.923825
73.913425,16.6411,162.568425
73.966325,16.69595,163.62465
74.1927,16.72565,163.846075
74.300125,16.75765,164.3459
74.302325,16.8359,165.084025
74.481625,16.859175,165.4073
74.60605,16.934725,165.97865
74.7608,16.978225,166.36875
74.93765,16.994225,166.47445
74.99595,17.03525,168.251875
75.1126,17.0669,168.566725
75.293725,17.074675,168.726525
75.310725,17.1493,168.728875
75.35305,17.1974,168.774825
75.376,17.204075,169.118225
75.421225,17.2119,169.3621
75.45135,17.241225,169.737625
75.6559,17.274225,170.76495
75.75705,17.311225,171.4817
75.864225,17.334275,171.7367
75.90815,17.3858,171.87535
75.914625,17.418825,172.016475
76.002525,17.494325,172.168175
76.2567,17.6035,172.402575
76.4296,17.679825,172.48255
76.470675,17.736125,172.735975
76.7107,17.79955,172.77145
76.765,17.858425,172.8153
76.767325,17.88895,172.9587
77.3026,17.91305,173.260525
77.7224,17.94825,174.0225
77.748025,17.976825,174.529575
78.313025,18.0732,174.57385
79.197825,18.1118,174.578375
79.8556,18.157675,175.160875
79.903125,18.234975,175.29065
79.959675,18.26315,175.921325
80.39585,18.312875,177.069725
80.5387,18.3547,177.129925
80.6115,18.3771,177.640425
81.394525,18.39605,177.8279
81.5021,18.423725,178.6961
81.518225,18.491525,179.030825
81.700525,18.5617,180.31905
81.7937,18.6569,181.0152
81.839425,18.7176,181.6767
81.85415,18.757575,181.868675
81.9458,18.7895,181.90855
82.1049,18.826425,181.9918
82.122,18.8547,182.738925
82.154475,18.877875,182.875375
82.24365,18.930425,184.075675
82.59085,18.9485,184.690975
82.607025,18.96675,185.306125
82.6999,19.008075,186.822925
82.82605,19.0236,186.82525
82.94775,19.07855,186.958725
82.976,19.0914,187.727375
83.189925,19.1136,188.263375
83.60225,19.1279,188.635825
83.753525,19.154575,189.117275
84.077975,19.175375,190.05265
84.49975,19.204425,191.121325
84.5619,19.248125,191.419525
85.062075,19.289,191.46195
85.516475,19.32735,191.9909
85.5404,19.384225,192.228575
85.622925,19.43345,192.4181
85.654875,19.467275,192.7875
85.6646,19.479175,192.794175
85.67635,19.511225,193.112975
85.68815,19.549725,193.38605
85.7322,19.5742,193.7784
85.7873,19.59825,195.118975
85.824975,19.612275,196.093875
86.0273,19.634475,196.457525
86.074825,19.670625,197.20425
86.1031,19.6894,197.9845
86.14915,19.70455,198.2371
86.1597,19.735925,198.84225
86.4012,19.766125,199.2757
86.496925,19.817275,199.658675
86.514175,19.87235,200.238975
86.54125,19.94865,200.49125
86.6099,19.975225,200.865275
86.667125,20.009,201.6122
86.745425,20.0271,201.725525
87.06615,20.047975,202.03445
87.25285,20.0834,203.457325
87.28425,20.104325,203.76515
87.4762,20.125025,204.791825
87.572825,20.146025,204.944675
87.671225,20.173525,206.1311
87.7092,20.191025,206.6017
88.00815,20.19535,206.69535
88.160375,20.23485,206.90665
88.2368,20.266675,207.3353
88.47625,20.319075,208.14375
88.76295,20.35115,208.968925
88.8404,20.396175,210.594725
88.88155,20.466525,211.389575
88.90865,20.53785,211.727625
88.9402,20.554825,211.750075
89.0539,20.56855,212.008725
89.0888,20.62405,213.360175
89.116425,20.664625,213.5919
89.129,20.762625,215.2587
89.1589,20.849125,215.644875
89.160425,20.959175,216.242025
89.239725,21.0025,216.3611
89.4735,21.07025,216.85245
89.489225,21.0987,218.5076
89.56535,21.128975,218.6941
89.584625,21.152375,218.989025
89.5867,21.178,219.72485
89.854725,21.1841,219.92325
89.949375,21.2268,220.066375
90.088825,21.2673,220.2633
90.10425,21.27925,220.44675
90.188825,21.298975,220.4593
90.38615,21.3175,220.55165
90.491675,21.383225,220.7536
91.5303,21.46055,221.2612
91.600375,21.4883,221.501225
91.695175,21.6075,221.5636
91.716175,21.6607,221.837625
91.828025,21.682375,222.093025
91.838025,21.695125,222.335175
91.867625,21.735175,222.4947
92.01395,21.770375,222.6053
92.063825,21.809025,222.8076
92.095875,21.8478,223.0169
92.1034,21.9081,223.4776
92.106875,21.931325,223.6797
92.12955,21.941375,223.83695
92.26175,21.965275,224.037825
92.304725,21.999075,224.41535
92.355,22.04135,225.61985
92.43935,22.073675,225.88815
92.530575,22.095375,226.3147
92.580125,22.132325,226.569225
92.600175,22.152275,226.65525
92.712775,22.224175,226.706525
92.83275,22.270375,226.9835
92.8507,22.343425,227.296675
93.02555,22.38645,227.384875
93.173675,22.4191,227.666975
93.229325,22.4688,227.8495
93.25325,22.506175,227.8878
93.468675,22.5491,228.0719
93.66665,22.59455,228.2398
93.782225,22.6537,228.448225
93.79855,22.688275,228.614925
93.813575,22.732375,228.7446
93.896375,22.802075,228.86245
94.1608,22.9414,228.954625
94.175525,23.009825,229.014175
94.49505,23.0525,229.246925
94.54825,23.0858,229.31505
94.6047,23.166975,229.6007
94.7315,23.207725,229.628025
94.7769,23.26965,229.65735
94.791425,23.3781,229.788275
94.84155,23.4109,229.883975
95.23405,23.44355,229.9089
95.307925,23.480675,229.93565
95.350525,23.58865,230.01065
95.459475,23.631125,230.09495
95.529825,23.698975,230.12495
95.74495,23.80595,230.13665
95.7543,23.8357,230.150425
95.7681,23.883575,230.1948
96.0843,23.931175,230.20285
96.229525,23.977425,230.2118
96.2913,24.1028,230.237675
96.790725,24.221575,230.3221
96.819925,24.405825,230.402175
96.86775,24.438875,230.41325
96.950025,24.456975,230.416575
96.97155,24.4637,230.4304
96.998675,24.511475,230.4492
97.043,24.578025,230.4718
97.13165,24.60045,230.573225
97.199775,24.655375,230.5991
97.2402,24.684725,230.675775
97.259325,24.7062,230.713325
97.28925,24.748175,230.758025
97.37215,24.773975,230.79985
97.428975,24.803,230.912875
97.653475,24.8324,230.970525
97.701475,24.86795,231.01055
97.792,24.919025,231.205725
98.093875,24.94425,231.24375
98.192075,24.982275,231.26385
98.2352,25.01585,231.26945
98.511475,25.061075,231.317475
98.6819,25.1109,231.3409
98.788725,25.137725,231.37935
98.85025,25.189775,231.429275
98.88315,25.206775,231.46095
98.9586,25.2741,231.473475
99.455375,25.316425,231.510175
99.543225,25.388725,231.5382
99.663475,25.435425,231.658975
99.93535,25.48105,231.6727
100.227375,25.529675,231.8092
100.3519,25.546,231.876975
101.064775,25.572825,231.95025
101.793725,25.62075,232.174275
101.9697,25.6372,232.6397
101.988075,25.6706,232.822075
102.096925,25.702225,232.875325
102.32165,25.757025,233.014375
102.351,25.777,233.561325
102.945275,25.815475,233.837475
103.066925,25.8801,233.839
103.350425,25.92765,234.1021
103.37225,25.975825,234.342825
103.617325,26.0001,234.54855
103.686675,26.05235,234.70135
103.689675,26.07895,235.00975
103.716625,26.107025,235.31405
103.771075,26.16365,235.541525
104.035075,26.217375,235.630825
104.084525,26.281075,235.814625
104.46015,26.331725,236.091225
104.464075,26.3808,236.331475
104.48595,26.455025,236.6127
104.536925,26.4964,236.67695
104.5394,26.51925,236.849175
104.72765,26.5665,237.358
105.5616,26.639975,237.458875
105.88905,26.657075,237.9846
106.0553,26.703675,238.263175
106.31995,26.734475,239.4503
106.618025,26.82715,239.608275
106.6595,26.927575,239.891325
106.796275,26.985675,240.06755
106.96335,27.048025,240.661075
107.695425,27.185625,241.13465
107.7669,27.247575,241.5506
107.83465,27.3214,243.7275
107.869325,27.397025,244.069
108.1343,27.430475,244.284475
108.228875,27.432025,244.377375
108.436375,27.4579,244.44585
108.4787,27.499375,244.8004
109.42625,27.5222,245.012875
109.800925,27.534225,245.07705
109.855525,27.55385,245.0957
109.8773,27.58435,245.114025
109.936175,27.600325,245.126275
110.63105,27.63035,245.166675
110.9656,27.690375,245.1845
111.075175,27.794275,245.219525
111.3064,27.836975,245.241
111.343225,27.916475,245.290725
111.378375,27.953525,245.32905
111.470225,27.99975,245.3631
111.52935,28.070675,245.38065
111.649775,28.127875,245.389075
111.6751,28.2637,245.426675
111.75555,28.3727,245.4767
111.878275,28.497275,245.561375
111.926325,28.65785,245.626
112.124775,28.703825,245.640875
112.12655,28.778125,245.754875
112.2609,28.808825,245.80235
112.294925,28.91935,245.8586
112.387675,28.954825,246.067675
112.56815,28.99125,246.1416
112.606275,29.017175,246.192125
112.626875,29.0527,246.536975
112.656025,29.144875,246.7626
112.81065,29.1699,246.873925
112.9046,29.2561,247.1533
113.707175,29.329725,247.39225
113.801425,29.410025,247.805475
113.871675,29.4565,248.308725
113.9428,29.534275,248.5017
114.178375,29.6241,249.3609
114.29075,29.6775,250.65895
114.6852,29.72995,251.171125
114.953225,29.79665,251.42935
115.01815,29.870625,252.088675
115.1317,29.9041,252.25605
115.13585,29.935675,252.3932
115.241725,29.997225,252.479125
115.272225,30.022275,252.54045
115.4377,30.0864,253.340675
115.43955,30.113175,253.87975
115.6569,30.15685,254.69285
115.777,30.1987,254.890025
116.17375,30.23075,255.16225
116.245975,30.267775,255.497775
116.368525,30.29415,255.756475
117.682925,30.3565,255.959325
117.819675,30.391075,256.133125
117.8825,30.44205,256.68225
118.335175,30.48425,257.26555
118.47525,30.5126,258.037975
