SPK_SPKC01a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC08b,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC14a
103.957675,3.356625,20.50565,13.54485,8.01395,41.959775,5.927025,7.142975,12.53515
104.1965,3.3633,20.564525,13.59545,8.042475,41.99755,5.9517,7.176975,12.57165
104.27735,3.370875,20.71765,13.61275,8.06595,42.082325,5.973075,7.195625,12.6244
104.90175,3.37745,20.7572,13.6352,8.1036,42.127275,5.994175,7.218025,12.655275
105.0978,3.3903,20.865425,13.65265,8.1301,42.168375,6.03195,7.243,12.700575
106.01425,3.3976,20.9034,13.65615,8.147725,42.223375,6.071075,7.307225,12.74975
106.444175,3.413,20.92925,13.706375,8.166375,42.274125,6.0923,7.349025,12.869925
106.689325,3.42165,20.972425,13.7495,8.18895,42.30645,6.1171,7.3688,12.8855
106.7236,3.4319,21.297825,13.819325,8.22095,42.34415,6.13535,7.39095,12.9071
106.74165,3.439175,21.357375,13.850675,8.2433,42.378825,6.15685,7.4083,12.93375
106.782525,3.447275,21.459625,13.894325,8.279675,42.42715,6.175275,7.434325,12.954675
106.90365,3.454925,21.523,13.9732,8.296375,42.45335,6.223225,7.4769,12.978375
107.022075,3.461725,21.581225,13.994225,8.313075,42.501925,6.241375,7.515125,13.01555
107.155775,3.475175,21.658825,14.078375,8.339925,42.55005,6.350275,7.560175,13.10875
107.32615,3.4859,21.70865,14.083775,8.4132,42.589625,6.374125,7.57055,13.174125
107.41235,3.49645,21.719075,14.0931,8.4664,42.695625,6.401475,7.598075,13.196925
107.64565,3.5205,21.951225,14.105625,8.50495,42.73945,6.42295,7.628025,13.256025
107.691325,3.530825,22.07645,14.116375,8.5232,42.764475,6.447725,7.64975,13.383375
108.0862,3.540325,22.1656,14.159775,8.5521,42.818,6.470625,7.66765,13.444575
108.381625,3.548075,22.284375,14.21845,8.5889,42.862775,6.509,7.683525,13.505
108.52,3.555825,22.322475,14.2334,8.62635,42.911175,6.543225,7.703075,13.508425
109.566275,3.563475,22.515575,14.271175,8.6557,42.96735,6.584925,7.7196,13.525975
109.816875,3.571625,22.65585,14.286775,8.6889,43.003475,6.59165,7.74175,13.544275
110.011675,3.59305,22.931,14.315525,8.729025,43.0521,6.6095,7.772375,13.6286
110.174925,3.608025,23.0156,14.363425,8.750725,43.121375,6.6298,7.7969,13.64175
110.45145,3.614575,23.077825,14.42795,8.7718,43.197125,6.6626,7.8133,13.76485
110.6937,3.6238,23.158875,14.467175,8.801425,43.3671,6.680875,7.826575,13.79495
110.760875,3.6477,23.19675,14.47685,8.8402,43.412725,6.7337,7.84665,13.81995
111.069425,3.6601,23.272475,14.516325,8.873775,43.458975,6.76345,7.923425,13.8628
111.2448,3.6706,23.41185,14.577175,8.889675,43.513075,6.780425,7.937175,13.91275
111.34555,3.680325,23.492825,14.6034,8.9152,43.545275,6.8505,7.971825,13.965975
111.705425,3.6901,23.495575,14.62045,8.960325,43.588075,6.86975,7.998175,13.993875
112.816375,3.7025,23.5041,14.89465,8.9959,43.6342,6.89615,8.017375,14.0074
112.96795,3.711325,23.561225,14.937575,9.03185,43.6753,6.944725,8.077825,14.049625
113.692375,3.73055,23.663625,15.02445,9.065225,43.7137,7.0209,8.098225,14.1519
113.9283,3.74545,23.6701,15.1147,9.096075,43.737375,7.040225,8.11835,14.177175
114.1242,3.7613,23.71925,15.1562,9.13265,43.7824,7.1126,8.150875,14.20435
114.330775,3.774975,23.774675,15.18565,9.15745,43.866875,7.134,8.182675,14.219575
114.4665,3.792325,23.912375,15.209,9.178825,43.932625,7.159225,8.23535,14.23045
114.693275,3.802725,24.112325,15.28355,9.21065,43.971,7.2044,8.25925,14.291725
115.010975,3.81355,24.16345,15.31675,9.238,44.0188,7.225,8.278925,14.315075
115.148875,3.825575,24.228075,15.396225,9.268325,44.056225,7.239475,8.312275,14.347875
115.526125,3.836425,24.3807,15.4846,9.291225,44.115975,7.287325,8.338675,14.359325
115.829075,3.8462,24.499125,15.52,9.326375,44.175575,7.3072,8.359625,14.3746
115.895375,3.858425,24.599675,15.588175,9.34485,44.2269,7.326325,8.389225,14.39485
116.2159,3.87775,24.623675,15.594725,9.379025,44.290725,7.344675,8.4451,14.453275
116.52065,3.89025,24.676225,15.6185,9.417,44.3311,7.3662,8.45995,14.51085
116.73915,3.898225,24.701025,15.652375,9.471775,44.389325,7.387825,8.479525,14.56545
116.84655,3.906025,24.7194,15.68245,9.5074,44.4205,7.40565,8.51655,14.6071
117.32735,3.9173,24.7596,15.703875,9.524075,44.4648,7.42015,8.54235,14.623275
117.412025,3.94335,24.7815,15.71035,9.556025,44.49875,7.4547,8.566125,14.6592
117.497575,3.969225,24.84245,15.726375,9.580425,44.538575,7.4679,8.594075,14.703425
117.6076,3.995325,24.91095,15.7437,9.6089,44.58225,7.536075,8.630425,14.7739
117.800175,4.00785,24.99005,15.761625,9.636025,44.6651,7.57055,8.66725,14.8216
118.2107,4.01645,25.046825,15.859375,9.668425,44.69245,7.59755,8.694975,14.95115
118.5094,4.029325,25.1135,15.882775,9.704775,44.724225,7.6171,8.724175,14.98045
118.667175,4.0403,25.168375,15.898325,9.750675,44.780575,7.636275,8.7453,15.002825
118.93165,4.04735,25.34355,16.011225,9.774875,44.82925,7.66185,8.77115,15.04705
119.04265,4.0582,25.412,16.0224,9.810225,44.858825,7.70635,8.8022,15.04965
119.47105,4.067525,25.588175,16.083225,9.841475,44.916425,7.726625,8.833325,15.1013
119.54915,4.07685,25.602975,16.121875,9.8641,45.00455,7.746,8.8731,15.1561
119.670775,4.0848,25.687,16.1491,9.909825,45.02855,7.76715,8.901025,15.178925
119.725775,4.09415,25.739025,16.213,9.9486,45.149375,7.7884,8.93365,15.223225
119.827675,4.102825,25.770775,16.267175,10.03435,45.260625,7.8099,8.953325,15.269325
120.099875,4.1116,25.895975,16.28385,10.080975,45.3073,7.827225,8.9741,15.304175
120.510375,4.1218,25.9427,16.427575,10.10785,45.34775,7.850925,8.989,15.333825
120.82845,4.132225,26.020575,16.46845,10.135325,45.3981,7.88975,9.042775,15.47595
