SPK_SPKC04a (inhi),SPK_SPKC06a (inhi),SPK_SPKC09a (late exc),SPK_SPKC10a (exc),SPK_SPKC11a (inhi),SPK_SPKC11b (inhi),SPK_SPKC15a (inhi)
47.129325,43.80735,43.856525,60.941775,45.929075,43.2602,54.07365
47.170525,43.82155,43.8746,61.12435,45.9697,43.268925,54.133525
47.20235,43.83905,43.892075,61.190875,45.98485,43.28035,54.30435
47.217675,43.857975,43.92115,61.24875,45.9946,43.302425,54.42385
47.245125,43.8844,43.944375,61.41415,46.011925,43.3248,54.484275
47.26625,43.9031,43.9667,61.527275,46.0271,43.337475,54.540975
47.285625,43.913525,43.974875,61.602825,46.080225,43.344625,54.605425
47.30915,43.928825,43.9964,61.697625,46.09935,43.362775,54.854825
47.346975,43.94205,44.0097,61.8161,46.109925,43.36905,54.90985
47.41875,43.95535,44.016925,61.84725,46.132475,43.39425,55.018175
47.442375,43.968875,44.026725,61.988675,46.163175,43.40565,55.098375
47.466225,43.97825,44.036775,62.199,46.206025,43.433825,55.1589
47.51245,44.00055,44.044475,62.25895,46.217275,43.440975,55.22065
47.536125,44.01765,44.05785,62.3363,46.244525,43.456,55.330025
47.5596,44.03095,44.074175,62.412125,46.261725,43.467875,55.395825
47.58305,44.0542,44.100425,62.6534,46.292525,43.475725,55.456575
47.61265,44.064125,44.122175,62.6873,46.3181,43.4807,55.511975
47.639925,44.08085,44.177075,62.73235,46.3638,43.488725,55.576425
47.6697,44.0974,44.20095,62.84855,46.3875,43.4988,55.81375
47.703925,44.104475,44.22405,63.071675,46.395775,43.506275,55.8834
47.738875,44.115475,44.234425,63.24085,46.40665,43.513675,55.944925
47.79525,44.127975,44.25945,63.290975,46.42135,43.5181,56.00065
47.82095,44.137175,44.287025,63.338275,46.433725,43.526925,56.06185
47.8701,44.149675,44.309025,63.49675,46.462425,43.54695,56.115225
47.99445,44.158375,44.3473,63.5704,46.4832,43.56205,56.2791
48.037575,44.1697,44.373175,63.582925,46.53825,43.5724,56.328925
48.0746,44.180475,44.3973,63.867775,46.603425,43.58185,56.374225
48.09595,44.19495,44.417525,63.95215,46.613325,43.589625,56.42495
48.11575,44.211875,44.440175,64.003025,46.637525,43.603475,56.611825
48.12895,44.234475,44.448025,64.03595,46.667925,43.780075,56.71855
48.150675,44.247575,44.46575,64.070125,46.68205,43.79195,56.776725
48.167875,44.279675,44.474675,64.0728,46.687225,43.800475,56.842575
48.211425,44.294225,44.509125,64.106575,46.708025,43.81645,56.906675
48.248575,44.31665,44.54355,64.171275,46.7227,43.824325,56.9502
48.3063,44.335875,44.568525,64.471425,46.73225,43.855625,57.004875
48.330525,44.35825,44.59285,64.506275,46.768225,43.863725,57.06045
48.468075,44.37425,44.6229,64.5825,46.820275,43.8883,57.121775
48.5012,44.3937,44.636125,64.81535,46.828025,43.900925,57.23495
48.528325,44.466275,44.662175,64.858425,46.847125,43.911125,57.427925
48.587425,44.5037,44.703175,64.8906,46.875775,43.921025,57.48425
