SPK_SPKC01a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC15a
23.910875,33.417675,9.51875,42.33065,10.317675
24.283025,33.439175,9.560575,42.34955,10.332375
24.299375,33.473825,9.5851,42.3729,10.37055
24.34015,33.5101,9.6198,42.397825,10.412125
24.35825,33.53655,9.6512,42.43465,10.436225
24.386875,33.547225,9.672675,42.4544,10.456925
25.2097,33.597375,9.705925,42.4739,10.4829
25.240225,33.636325,9.721625,42.751675,10.51595
25.25335,33.665075,9.75495,42.78215,10.529725
25.27975,33.739375,9.7787,42.79595,10.5437
25.315525,33.779325,9.8064,42.812325,10.555325
26.239925,33.818125,9.822525,42.828575,10.5755
26.29455,33.8557,9.853375,42.850075,10.589875
26.623975,34.265375,9.890425,42.863775,10.608425
26.697525,34.337025,9.911825,43.179825,10.6773
27.406325,34.381575,9.93205,43.22445,10.691175
27.50255,34.472025,9.964575,43.23765,10.7166
27.522675,34.52915,9.9846,43.284175,10.7438
27.53625,34.5333,10.017225,43.358875,10.763025
27.54495,34.572575,10.037325,43.5827,10.818675
27.8101,34.63425,10.05255,43.687725,10.915775
27.84765,34.658275,10.067075,43.71755,10.950875
27.8759,34.690425,10.085025,43.752825,10.975725
27.92115,34.77525,10.119125,43.792825,10.98885
28.227775,34.887625,10.141925,43.82065,11.013475
28.244825,34.9219,10.18335,43.917475,11.03375
28.2564,34.968,10.2071,43.967875,11.04855
28.271275,34.993425,10.238775,44.0271,11.111875
28.281225,35.040675,10.265,44.041425,11.138375
28.28835,35.11565,10.292625,44.128525,11.360325
28.2976,35.1677,10.32525,44.3701,11.370325
28.301325,35.218,10.3424,44.389125,11.396825
28.315025,35.254225,10.3661,44.468675,11.413675
28.670125,35.353275,10.393375,44.6957,11.43275
28.821625,35.396075,10.413,44.710525,11.440025
28.843675,35.423725,10.4283,44.7298,11.44885
28.863275,35.452175,10.46545,44.749275,11.467975
28.92165,35.58985,10.49995,44.76105,11.503575
28.957175,35.616425,10.511975,44.7759,11.5156
28.984575,35.658075,10.551875,44.825925,11.532025
29.3227,35.6846,10.570725,44.875125,11.559375
29.4694,35.71855,10.611675,44.91115,11.58935
29.77725,35.789475,10.6437,45.11975,11.608475
29.803125,35.848975,10.6709,45.149375,11.615825
29.8153,35.93125,10.716325,45.1617,11.637725
29.84185,35.9754,10.75095,45.173475,11.660075
30.0235,36.019125,10.793925,45.203425,11.69475
30.0505,36.1412,10.81605,45.239,11.716675
30.29395,36.145325,10.841075,45.250525,11.727425
30.647075,36.187475,10.860875,45.26165,11.759275
30.700825,36.225375,10.89215,45.2739,11.77685
30.73715,36.269975,10.9201,45.3049,11.801175
30.756575,36.3392,10.93615,45.328525,11.81675
31.305475,36.4832,10.95075,45.39225,11.847325
31.3282,36.565825,10.964775,45.447125,11.90725
31.3624,36.6962,10.979825,45.557625,11.971325
31.797125,36.741,10.992775,45.608425,12.037475
31.84585,36.7825,11.01055,45.6213,12.0641
31.85775,36.885325,11.02215,45.6598,12.087125
31.8763,36.973475,11.0375,45.681125,12.101575
31.902525,36.9762,11.057975,45.801775,12.11135
32.65565,37.0705,11.079225,45.851375,12.12455
32.68565,37.080775,11.105125,45.9134,12.143775
32.702675,37.106875,11.1363,45.94555,12.166925
32.7323,37.17435,11.17195,45.973675,12.2892
32.749975,37.219375,11.209625,46.024225,12.31455
32.7622,37.2539,11.2515,46.073425,12.33285
32.768525,37.286,11.30415,46.08905,12.3477
32.785575,37.313125,11.338525,46.185675,12.3592
32.990525,37.35375,11.359925,46.2072,12.37125
33.02495,37.37055,11.366,46.230275,12.386475
33.037225,37.4288,11.3719,46.310625,12.408
33.06205,37.540575,11.379125,46.372625,12.422575
33.080925,37.610875,11.38515,46.388175,12.441975
33.090975,37.73155,11.3922,46.5239,12.480675
33.09735,37.776125,11.397675,46.5433,12.520425
33.104725,37.825425,11.40455,46.586075,12.5387
33.1078,37.8828,11.41105,46.619725,12.55405
33.563,37.9201,11.41935,46.763775,12.583325
33.602225,37.934325,11.42815,46.88885,12.6032
33.6317,37.988975,11.441225,46.89655,12.631925
33.65615,38.08015,11.458075,46.91035,12.685275
33.664725,38.132275,11.474025,47.08905,12.69255
33.684675,38.265075,11.48525,47.099575,12.7056
33.6912,38.303775,11.495475,47.122375,12.711175
33.876825,38.381175,11.511175,47.13355,12.716525
33.931025,38.421925,11.5277,47.287375,12.740075
33.97625,38.467575,11.5653,47.385775,12.761625
33.9847,38.506375,11.5859,47.445925,12.77915
33.99695,38.5375,11.6241,47.5016,12.79995
34.0058,38.553325,11.65905,47.515475,12.882425
34.0242,38.585675,11.697175,47.6581,12.916475
34.030425,38.608825,11.7302,47.68,12.930925
