SPK_SPKC06a (excited),SPK_SPKC06b (no effect),SPK_SPKC12a (NA)
13.719975,55.487475,7.94815
13.765525,55.6081,7.970075
13.818275,55.631225,7.989675
13.8466,55.7065,8.00745
13.870375,55.7691,8.031775
13.92305,55.79635,8.0442
13.97465,55.822075,8.06005
14.0006,55.85495,8.0801
14.024775,55.977925,8.105975
14.054775,56.106175,8.124725
14.15315,56.120875,8.14825
14.1769,56.2336,8.1736
14.227325,56.330575,8.19625
14.2945,56.362725,8.2134
14.3273,56.559525,8.228725
14.39445,56.9095,8.245475
14.416225,56.920175,8.266025
14.44695,57.0234,8.2828
14.478675,57.121175,8.294725
14.563475,57.369825,8.3272
14.590525,57.59885,8.34615
14.645375,57.617175,8.375225
14.6671,57.738975,8.38785
14.693425,57.98175,8.4098
14.7087,58.022925,8.445375
14.767675,58.074325,8.4764
14.800025,58.09835,8.506325
14.8322,58.256725,8.511575
14.9209,58.31655,8.53785
15.01885,58.39235,8.55645
15.039325,58.465225,8.57875
15.07455,58.51165,8.6318
15.098,58.621625,8.75185
15.125275,58.955025,8.755975
15.160125,59.217625,8.7751
15.2464,59.31655,8.79245
15.290725,59.4414,8.8155
15.316825,59.470325,8.854825
15.336125,59.487325,8.88995
15.3597,59.59475,8.916
15.3814,59.60215,8.934
15.398275,59.79665,8.968275
15.43955,59.891525,8.99295
15.4618,60.114875,9.021325
15.4827,60.2623,9.035425
15.52465,60.2992,9.040425
15.5434,60.320875,9.0501
15.6047,60.34275,9.072325
15.7257,60.64845,9.100875
15.7408,60.696275,9.118525
15.758625,60.8529,9.13495
15.783675,60.892925,9.155525
15.7949,60.954025,9.182075
15.823975,61.101875,9.27865
15.878225,61.231425,9.2948
15.9319,61.33975,9.30895
15.97775,61.665225,9.325075
16.0078,61.92325,9.339125
16.03065,62.0174,9.3539
16.069125,62.024575,9.366825
16.08765,62.0363,9.3848
16.106475,62.5222,9.403125
16.132175,62.665,9.424725
16.14815,62.6924,9.443225
16.1655,62.75945,9.4578
16.18345,62.800475,9.47825
16.200075,62.811,9.49945
16.21905,62.827875,9.526025
16.278375,63.0609,9.558675
16.30665,63.105225,9.582425
16.42485,63.141025,9.60375
16.476975,63.3091,9.62285
16.51185,63.52135,9.650475
16.562225,63.60815,9.682225
16.580925,63.627525,9.704125
16.591475,63.7102,9.731225
16.65085,63.777625,9.737725
16.66765,63.823025,9.7528
16.753725,63.929175,9.768025
16.761425,64.094075,9.785425
16.770325,64.1761,9.806125
16.77905,64.19065,9.839525
16.78775,64.21235,9.8701
16.79675,64.249475,9.886125
16.802925,64.334825,9.89855
16.80985,64.36275,9.9033
16.8351,64.596375,9.90715
16.84325,64.8613,9.911075
16.85245,64.8974,9.914425
16.862725,65.0201,9.93
16.8842,65.08605,9.936125
16.91625,65.168825,9.9407
16.941625,65.326,9.9525
16.96345,65.459425,9.958425
17.005425,65.549075,9.9797
17.0154,65.835575,9.9915
17.041175,65.920425,10.005925
17.060125,66.0219,10.0146
17.0915,66.0572,10.028425
17.1362,66.310725,10.05995
17.180525,66.334,10.066775
17.20845,66.3817,10.082375
17.218775,66.40895,10.094975
17.235,66.41675,10.106375
17.249325,66.483675,10.135725
17.28005,66.498275,10.141575
17.292925,66.75715,10.148775
17.306775,66.778225,10.163475
17.323125,66.8055,10.168775
17.337125,66.842175,10.1813
17.34875,66.869025,10.1876
17.365925,66.931325,10.19405
17.3898,66.9471,10.199825
17.40625,66.9591,10.210925
17.4335,67.277,10.216875
17.4481,67.314,10.22515
17.463175,67.45745,10.23865
17.469025,67.593275,10.24565
17.480075,67.610475,10.253575
17.50685,67.65765,10.256775
17.5247,67.698225,10.2707
17.5425,67.718925,10.2776
17.5529,67.7718,10.284875
17.626025,67.786175,10.32575
17.640325,67.85925,10.33365
17.65805,67.9207,10.368575
17.67695,68.1733,10.3758
17.690925,68.211075,10.384125
17.708025,68.2256,10.40255
17.760375,68.31215,10.420725
17.7721,68.329275,10.427475
17.78345,68.385975,10.441425
17.79475,68.4298,10.4473
17.80595,68.5155,10.452125
17.8361,68.5722,10.473375
17.865925,68.632375,10.483525
17.88095,68.648375,10.4921
17.898475,68.9035,10.497525
17.9266,68.9954,10.516425
17.940575,69.189825,10.52295
17.953525,69.23115,10.529225
17.963775,69.325375,10.538675
17.9773,69.3673,10.544075
17.99395,69.42175,10.550075
18.01505,69.7506,10.5568
18.076875,69.87095,10.564325
18.091375,70.00695,10.5737
18.142225,70.061475,10.601525
18.1542,70.062675,10.607125
18.165375,70.0897,10.64045
18.2007,70.14115,10.659275
18.2179,70.25645,10.6654
18.2367,70.300225,10.672875
18.268925,70.316125,10.680025
18.28545,70.388375,10.722475
18.301075,70.43525,10.774825
18.3135,70.48775,10.7803
18.3365,70.50125,10.791625
18.360425,70.537675,10.801125
18.3733,70.6905,10.805975
18.3903,70.70475,10.811275
18.406875,70.75425,10.823375
18.41825,70.786575,10.8588
18.439025,70.823625,10.8834
18.4974,70.935725,10.898225
18.512025,71.162025,10.9036
18.524775,71.488275,10.938025
18.538175,71.55875,10.9544
18.556575,71.626525,10.9739
18.57265,71.7325,11.030925
18.584,71.752325,11.037625
18.594675,71.943,11.047875
18.62165,72.1015,11.052675
18.648175,72.38485,11.0723
18.6579,72.424575,11.0905
18.672525,72.53685,11.097225
18.6874,72.53885,11.1146
18.702125,72.565375,11.121875
18.729725,72.566525,11.138675
18.74135,72.79805,11.168825
18.769125,73.025425,11.1811
18.79095,73.09285,11.2039
18.821525,73.2728,11.204975
18.83265,73.2882,11.239825
18.860175,73.32725,11.254
18.8943,73.411925,11.26055
18.931075,73.683325,11.2668
18.953675,73.74285,11.2727
18.96935,73.8525,11.2804
18.99515,73.9025,11.288175
19.006025,74.07255,11.301525
19.03445,74.093,11.33625
19.099625,74.1136,11.345575
19.162475,74.1233,11.36385
19.218825,74.2638,11.3827
19.270275,74.2811,11.390275
19.291725,74.301525,11.399725
19.335775,74.380275,11.430975
19.34735,74.3996,11.441525
19.368525,74.418975,11.477375
19.38035,74.503975,11.484275
19.38855,74.635375,11.50765
19.429,74.73905,11.54355
19.43915,74.7536,11.561275
19.4472,74.7754,11.595325
19.47055,75.0551,11.62505
19.488875,75.28175,11.640525
19.497475,75.527,11.658875
19.51945,75.541075,11.669225
19.541375,75.61565,11.679025
19.552375,75.652825,11.71875
19.5676,75.71045,11.73815
19.615475,75.98415,11.755925
19.62755,76.0721,11.774125
19.65465,76.170275,11.791325
19.665075,76.277925,11.825625
19.680775,76.356,11.8401
19.72095,76.37935,11.856825
19.7992,76.55255,11.863575
19.90645,76.63245,11.8692
19.926375,76.65795,11.879775
19.954975,76.675025,11.88365
19.9735,76.8222,11.895475
19.988475,76.909375,11.910675
20.01015,76.990525,11.924375
20.0256,77.027325,11.937
20.06855,77.084225,11.95235
20.08335,77.112575,11.960525
20.098925,77.1259,11.975375
20.110225,77.1855,11.985125
20.1306,77.213625,12.011175
20.150425,77.286225,12.030625
20.18195,77.36145,12.039125
20.19405,77.38745,12.04815
20.28465,77.476425,12.058125
20.300575,77.4806,12.0655
20.33715,77.50495,12.081625
20.3505,77.6614,12.1037
20.374825,77.769725,12.11585
20.410875,77.7997,12.1299
20.428325,77.972025,12.142025
20.443725,78.062575,12.153225
20.47055,78.1473,12.190875
20.478225,78.379175,12.20375
20.4847,78.470375,12.215975
20.50415,78.4883,12.232775
20.51255,78.542625,12.2678
20.531125,78.67185,12.290425
20.538325,78.813325,12.316025
20.5474,79.04925,12.3345
20.56395,79.082925,12.359325
20.57535,79.23665,12.384325
20.5912,79.379625,12.398025
20.635,79.66595,12.42295
20.642725,79.725425,12.44405
20.66105,79.745325,12.474475
20.6699,79.805525,12.498725
20.699475,79.8598,12.512225
20.706725,79.901925,12.523
20.7803,79.949325,12.5444
