SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC02c,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC07a,SPK_SPKC09a
14.884,11.191825,10.35435,15.4578,10.93285,18.63915,9.842,5.6295,20.58765
14.966,11.219925,10.378625,15.597725,11.1239,18.7357,9.91395,5.6986,20.6332
15.02095,11.23375,10.45155,15.71855,11.166975,18.864475,9.968725,5.735025,20.72185
15.259675,11.25975,11.015925,15.8839,11.214675,18.9901,10.071225,5.8323,20.73565
15.363825,11.28205,11.0622,16.110475,11.37455,19.0879,10.1199,5.8706,20.9201
15.444075,11.326875,11.086925,16.1394,11.384625,19.16195,10.22235,5.89725,21.052225
15.479875,11.358525,11.1102,16.1681,11.407025,19.20595,10.271725,5.973325,21.0991
15.4891,11.428175,11.13865,16.202575,11.578225,19.331,10.329775,6.006,21.210225
15.6737,11.474275,11.15795,16.26275,11.617175,19.404675,10.40935,6.1077,21.224725
15.8156,11.51585,11.18445,16.459575,11.652825,19.46335,10.4767,6.1256,21.3034
15.850575,11.5496,11.210975,16.707,11.6646,19.64605,10.53915,6.154925,21.443975
15.95915,11.6174,11.230925,17.0235,11.737275,19.758725,10.61195,6.237325,21.51825
16.168,11.646725,11.25005,17.07905,11.80005,20.005325,10.64095,6.240925,21.5423
16.262625,11.716575,11.2681,17.10435,11.8761,20.159025,10.7022,6.274575,21.600075
16.366925,11.747425,11.9041,17.167525,11.921325,20.2721,10.7366,6.29695,21.6226
16.4959,11.800475,11.948675,17.2653,11.980575,20.379225,10.7711,6.333025,21.678775
16.53445,11.88695,11.9914,17.462475,12.03685,20.575975,10.812125,6.345525,21.73375
16.641175,12.045075,12.013625,17.554775,12.09225,20.666675,10.848975,6.38695,21.850875
16.647775,12.160575,12.026725,17.63235,12.1119,20.787925,10.948625,6.39105,21.961425
16.69305,12.3946,12.083025,17.75925,12.13965,20.822425,11.02015,6.414225,21.966875
16.83195,12.6761,12.131225,17.81605,12.207425,20.9313,11.095175,6.448525,22.02395
16.93375,12.723725,12.387425,17.874025,12.26995,21.014775,11.252675,6.4938,22.0606
17.078975,12.73365,12.446725,17.993325,12.332275,21.072925,11.325325,6.545875,22.114825
17.113225,12.787075,12.476825,18.08305,12.4092,21.2538,11.39065,6.591875,22.22185
17.14495,12.7908,12.510675,18.1331,12.481525,21.27975,11.43295,6.617975,22.30415
17.363075,12.8358,12.53335,18.24975,12.5475,21.48495,11.4883,6.62895,22.4086
17.595,12.8458,12.5678,18.4467,12.58545,21.5341,11.51785,6.65725,22.439175
17.786225,12.871125,12.590725,18.4987,12.660475,21.6294,11.55225,6.67325,22.49955
17.8525,12.889825,12.634325,18.57765,12.803625,21.6769,11.606025,6.6987,22.5126
17.942875,12.9579,12.65155,18.686325,12.831125,21.771725,11.632575,6.715475,22.5894
17.978,13.03985,12.663025,18.7427,12.8781,21.90555,11.658575,6.720825,22.6285
18.05435,13.065575,12.68715,19.282725,12.928925,21.997575,11.70855,6.741525,22.77935
18.13145,13.12655,12.714975,19.536075,12.986575,22.08415,11.815775,6.78675,23.111125
18.15045,13.241825,12.735625,19.694025,13.073675,22.442725,11.8822,6.808925,23.2651
18.21085,13.272475,12.748425,19.792975,13.1473,22.578575,12.004575,6.856025,23.492725
18.2511,13.32255,12.768625,20.1107,13.175175,22.8789,12.056675,6.89335,23.50565
18.2754,13.516225,12.803975,20.163925,13.194125,23.1116,12.087575,6.90425,23.511825
18.4041,13.6238,13.25905,20.31985,13.317625,23.232925,12.130225,6.949475,23.862325
18.493,13.64675,13.339175,20.437025,13.367425,23.394625,12.177625,6.983575,23.91415
18.512675,13.651425,13.382125,20.500525,13.41125,23.46145,12.24025,7.01365,24.081925
18.543425,13.662725,13.40145,20.7489,13.474425,23.721075,12.287575,7.019325,24.223825
18.544975,13.694425,13.4228,20.879425,13.529475,23.84585,12.336275,7.0545,24.4604
18.611025,13.7226,13.43445,21.01525,13.64275,24.343425,12.433325,7.0871,24.5418
18.61615,13.741325,13.465425,21.178975,13.689075,24.55795,12.520475,7.14225,24.772225
18.74205,13.808125,13.482325,21.336375,13.75945,24.657725,12.616225,7.1598,24.7993
18.78305,13.8253,13.50955,21.5481,13.813575,24.7985,12.6943,7.17255,25.101925
19.00005,13.8449,13.523875,21.636575,13.866525,25.182425,12.723175,7.232625,25.16675
19.076225,13.89585,13.542375,21.663875,13.870975,25.317625,12.80185,7.28085,25.290625
19.40895,13.957525,13.56135,21.7563,13.907125,25.670375,12.98085,7.329925,25.3504
19.4441,13.9954,13.59495,21.856375,13.98635,25.836,13.0209,7.375,25.40985
19.7459,14.245325,13.6153,21.863875,14.027825,26.069325,13.05795,7.460525,25.529175
19.8375,14.51465,13.636,21.9198,14.124975,26.23195,13.1275,7.476725,25.737325
19.89815,14.58315,14.257575,22.0165,14.1743,26.55615,13.1633,7.49875,25.778175
19.90705,14.695275,14.3098,22.086875,14.211675,26.70365,13.188725,7.520575,25.823025
20.045525,14.826375,14.376675,22.119925,14.301925,26.836625,13.241,7.5524,25.8642
20.126825,14.8427,14.4411,22.17285,14.39195,27.230225,13.30195,7.566475,25.914275
20.136275,14.908875,14.535375,22.242775,14.4297,27.2929,13.47605,7.5997,26.02795
20.1978,14.936925,14.624325,22.559175,14.4747,27.34345,13.6348,7.647325,26.12435
20.2781,14.946625,14.66185,22.66985,14.5824,27.458875,13.7248,7.655525,26.2791
20.355925,14.98055,14.696675,22.772575,14.678775,27.4891,13.7825,7.6863,26.2988
20.43265,14.9984,14.7208,22.89575,14.74375,27.523825,13.867975,7.73385,26.30935
20.4844,15.0091,14.7371,22.995725,14.8027,27.580875,13.919675,7.775075,26.53665
20.51005,15.07055,14.765975,23.367825,14.810425,27.63165,13.953525,7.788025,26.64835
20.5233,15.106325,14.790225,23.445675,14.898275,27.6826,14.0094,7.79325,26.7467
20.5541,15.15145,14.798875,23.5251,14.926775,27.705725,14.02785,7.818525,26.871625
20.586225,15.1837,14.8694,23.6629,14.980775,27.761875,14.045875,7.8204,27.108425
20.6121,15.236725,14.8895,23.80395,15.04255,27.939075,14.08665,7.83715,27.253875
20.7263,15.267725,14.927275,23.935475,15.082525,27.969525,14.136175,7.859675,27.292
20.737625,15.327575,15.52125,24.00275,15.127725,28.014425,14.211625,7.889225,27.308925
20.78565,15.439175,15.649875,24.1234,15.185925,28.081525,14.234025,7.898475,27.3332
20.83535,15.491025,15.72505,24.293675,15.231175,28.169225,14.258225,7.91805,27.509975
20.966125,15.5761,15.76275,24.38375,15.294475,28.305475,14.296325,7.928,27.521475
21.035325,15.69225,15.7761,24.5212,15.315175,28.353475,14.35585,7.9376,27.59465
21.0401,15.9604,15.809975,24.7648,15.3514,28.4754,14.38765,7.940225,27.6551
21.12375,15.982425,15.822925,24.9523,15.396225,32.0957,14.42045,7.9885,27.78975
21.144725,16.065525,15.861275,24.9623,15.44535,32.5667,14.46655,8.027275,27.8532
21.312675,16.0937,15.905625,25.231875,15.545475,32.74235,14.4952,8.0413,27.897825
21.40355,16.135625,15.92045,25.367425,15.55715,32.837075,14.5502,8.051975,27.950875
21.566575,16.211925,15.955125,25.637575,15.627425,32.92295,14.59475,8.0565,28.019825
21.66375,16.2839,15.989225,25.687575,15.629,33.139275,14.823175,8.113675,28.060775
21.773475,16.317975,16.027525,25.78235,15.753625,33.281775,14.906775,8.13135,28.0791
21.860275,16.3972,16.049175,25.8439,15.8005,33.4285,15.006975,8.13345,28.09785
21.906375,16.50035,16.104525,25.946325,15.905375,33.549425,15.055,8.149625,28.13625
21.977325,16.615125,16.4002,26.009625,15.975425,33.83865,15.088775,8.1825,28.258375
22.1245,16.69565,16.461775,26.128825,16.13945,34.5009,15.167075,8.2141,28.4575
22.1859,16.74605,16.486425,26.199775,16.26275,35.56795,15.22015,8.251425,28.536425
22.35315,16.769525,16.531175,26.32965,16.2993,36.555925,15.268025,8.25515,28.776425
22.50625,16.803425,16.57415,26.396025,16.35935,37.46005,15.3152,8.264925,28.8297
22.53495,16.872775,16.597875,26.554725,16.509225,38.050775,15.346725,8.306925,29.026875
22.786775,16.955225,16.6232,26.653225,16.60905,38.27455,15.379,8.333275,29.07015
22.85315,17.003,16.675825,26.901375,16.7016,38.439925,15.44125,8.3366,29.2072
23.083775,17.09225,16.68485,27.183825,16.760075,38.9302,15.5096,8.42995,29.224075
23.139325,17.1355,16.717275,27.226475,16.838625,39.241325,15.6325,8.4627,29.44055
23.1784,17.1478,16.72525,27.298925,16.901025,39.3443,15.691975,8.48095,29.5281
23.370125,17.1988,17.251025,27.400525,16.986175,39.451175,15.7637,8.485825,29.563325
23.479,17.265875,17.31375,27.4628,17.083575,39.50635,15.875625,8.571175,29.6716
23.59515,17.2922,17.33885,27.668025,17.293,39.574975,15.9322,8.59305,29.80215
23.62585,17.35345,17.37665,27.696875,17.315875,39.96625,15.980225,8.621625,30.059975
23.6422,17.437975,17.400275,27.746325,17.3431,40.232075,15.995775,8.67395,30.1164
23.753725,17.5283,17.4323,27.816625,17.458025,41.131175,16.0562,8.730825,30.119
23.765625,17.537825,17.452025,27.8578,17.494525,41.385525,16.096825,8.741375,30.18905
23.803975,17.5528,17.468325,27.8742,17.5027,41.510775,16.1613,8.7449,30.251525
24.339325,17.5826,17.480375,28.0242,17.571375,41.77155,16.21775,8.770925,30.532625
24.461725,17.66255,17.49935,28.088875,17.617625,42.208825,16.2787,8.790825,30.588825
24.513175,17.69575,17.515125,28.11675,17.7182,42.47765,16.3013,8.830725,30.614175
24.594375,17.713875,18.471675,28.230625,17.763475,42.88885,16.4683,8.8572,30.63905
24.647925,17.79875,18.632175,28.320475,17.82585,43.1637,16.549525,8.932525,30.713025
24.682925,17.83595,18.6735,28.38885,17.9028,43.371075,16.616325,8.9753,31.042325
25.132,17.88425,18.700575,28.42665,18.088875,44.115,16.66725,8.997875,31.187325
25.40725,17.917775,18.7284,28.446175,18.1507,44.258075,16.71855,9.0473,31.304175
25.439675,17.955725,18.75935,28.579675,18.278825,44.639975,16.7201,9.052625,31.36675
25.955725,17.9706,18.803875,28.721525,18.32055,45.09035,16.834175,9.099375,31.40875
26.08715,18.05925,18.850575,28.7803,18.3626,45.2481,16.8658,9.107525,31.55415
26.147025,18.12345,18.8769,28.829425,18.39895,45.509925,16.90865,9.1591,31.662925
26.1697,18.2423,18.908225,28.91045,18.5516,45.747125,16.92125,9.210775,31.73365
26.621725,18.343,18.942325,29.00215,18.609325,45.8314,16.950225,9.274925,31.782325
26.651125,18.39465,18.96325,29.168675,18.667225,46.0122,16.988325,9.411175,31.965875
26.76995,18.4737,19.00645,29.4598,18.755475,46.2091,17.0084,9.4385,32.04995
26.8239,18.488475,19.045075,29.648675,18.77975,46.294675,17.060225,9.468325,32.120125
26.894975,18.5832,19.069775,29.767475,18.8295,46.39845,17.091775,9.5374,32.205925
26.94315,18.628175,19.098175,29.833125,18.855175,46.472675,17.172925,9.55515,32.268375
26.9477,18.68815,19.117625,29.966275,18.875025,46.69525,17.2226,9.585,32.2977
27.026875,18.7453,19.13355,30.031225,18.899575,46.914825,17.380875,9.6336,32.36885
27.1237,18.7618,19.218225,30.163775,18.994975,47.284375,17.435225,9.651475,32.40415
27.1389,18.8301,19.243475,30.258175,19.070675,47.66485,17.51115,9.688025,32.5403
27.233775,18.84715,19.30355,30.32945,19.2398,47.7955,17.566125,9.7347,32.54585
27.265975,18.85455,19.6579,30.42215,19.30065,48.63535,17.648275,9.763825,32.67075
27.316375,18.8986,19.706625,30.4721,19.31435,49.447,17.6601,9.766925,32.711275
27.486625,19.0319,19.732525,30.5298,19.358275,49.842675,17.67455,9.80345,32.954075
27.60565,19.058325,19.765425,30.574075,19.3938,50.283575,17.701825,9.8248,33.02355
27.763,19.14175,19.78635,30.63565,19.512175,50.7157,17.715375,9.854375,33.0736
27.857675,19.14565,19.833775,30.694575,19.542525,51.020425,17.7396,9.8684,33.20755
27.928975,19.18635,19.855675,30.757075,19.55535,51.1637,17.82195,9.934875,33.2656
28.0079,19.21035,19.8782,30.899525,19.5872,51.281175,17.9028,9.989425,33.3055
28.078725,19.268175,19.9164,30.962525,19.66155,51.57805,17.947925,10.02715,33.3127
28.1167,19.29625,19.9389,31.047125,19.69915,51.675575,18.061275,10.104225,33.329175
28.207325,19.387325,19.96505,31.145725,19.76795,51.826775,18.1083,10.1184,33.34815
28.225675,19.446425,20.0016,31.25445,19.793,51.850775,18.1151,10.1584,33.406475
28.266825,19.524325,20.0313,31.377625,19.9183,51.9602,18.1716,10.1874,33.4715
28.30445,19.574275,20.073625,31.401725,19.955325,52.112325,18.211725,10.225975,33.716875
