SPK_SPKC08a (inh/exc),SPK_SPKC08b (inhi/exc),SPK_SPKC10a (inhi),SPK_SPKC14a (inhi)
178.951925,161.733125,119.18605,248.653175
179.3984,161.8974,119.247775,249.0763
180.218275,162.01555,119.30865,249.141775
180.689725,162.098625,119.35455,249.38955
180.828175,162.19275,119.384075,249.4615
180.86495,162.2737,119.628,249.538125
180.98605,162.386925,119.7572,249.6473
181.63335,162.4613,119.7907,249.6778
182.314675,162.5763,119.8124,250.218025
182.365075,162.777325,119.833225,250.301125
182.7168,162.8668,119.849225,250.759425
183.107975,163.00665,119.881775,251.087275
183.388825,163.096925,119.915075,251.312325
183.6563,163.36365,119.958625,251.357475
183.6959,163.453975,119.989175,251.4601
183.817575,163.526725,120.019825,251.8565
184.12115,163.607225,120.058975,251.930375
184.1469,163.83895,120.0812,252.024
184.5363,163.917075,120.131425,252.286775
184.5921,163.937025,120.1592,252.347025
184.6331,164.140725,120.240925,252.723575
184.91465,164.22315,120.32445,252.7701
185.70405,164.3014,120.3496,252.875275
187.32745,164.38825,120.3713,253.0257
187.370475,164.6716,120.3979,253.169275
187.584225,164.755575,120.435925,253.2394
187.7047,164.8796,120.493175,253.298575
187.733375,165.0049,120.613325,254.01975
188.061,165.0803,120.64885,254.074875
188.345825,165.16855,120.703,254.12025
188.484,165.29985,120.737225,254.46575
188.559,165.4453,120.7731,254.5825
188.703275,165.6361,120.8498,254.633275
188.96145,165.713175,120.9232,254.96625
189.126075,165.89055,120.9539,255.070075
189.1658,165.99145,121.064225,255.10975
189.4806,166.094675,121.097775,255.176425
189.744175,166.38665,121.13735,255.2533
190.42745,166.469925,121.171825,255.64
190.4661,166.549125,121.215125,255.72915
190.4805,166.707375,121.254525,256.1764
190.779525,166.83805,121.301675,256.236675
190.9574,166.98005,121.353425,256.278875
191.38455,167.11845,121.3889,256.7495
191.39995,167.135275,121.43865,256.7618
191.736875,167.224875,121.529075,256.794825
191.7485,167.231925,121.574475,256.8619
191.811525,167.34835,121.62185,256.9441
191.9104,167.4098,121.64815,257.461025
192.1475,167.44785,121.686575,257.550925
192.2565,167.50315,121.7417,257.593175
192.5063,167.674475,121.77965,257.620225
192.80445,167.7806,121.8296,258.019975
192.925175,167.87805,121.888575,258.08715
193.44655,167.97835,121.9253,258.28635
193.588575,168.06165,121.97145,258.36445
193.76885,168.207525,121.998425,258.40615
193.7892,168.29745,122.017875,258.54375
194.717525,168.36765,122.040775,258.692875
194.740325,168.476875,122.13875,259.12625
194.864825,168.56335,122.1805,259.685825
195.193175,168.9551,122.224,259.7669
195.269875,169.154,122.2559,259.871325
195.282275,169.360175,122.290575,259.93505
195.3181,169.50735,122.345025,260.3856
195.66525,169.637375,122.365025,260.527725
195.802775,169.734,122.3958,260.896975
195.95465,169.873675,122.4532,260.940425
196.356975,170.003575,122.5908,260.995025
196.47765,170.096425,122.638725,261.482875
196.61415,170.186575,122.6648,261.5236
196.65695,170.289625,122.74395,261.566125
196.768925,170.3805,122.78325,261.605
197.259175,170.4616,122.8084,261.71865
197.428475,170.766525,122.844825,262.15455
197.864425,170.94185,122.878175,262.211275
197.874925,171.0382,122.9105,262.2616
198.139,171.257975,122.953075,262.29135
198.41915,171.347475,123.035575,262.411675
198.87075,171.548775,123.13915,262.883575
199.12205,171.729675,123.17445,263.00205
199.22585,171.87975,123.202725,263.379375
199.303125,172.034975,123.282625,263.457425
199.4517,172.146375,123.30545,263.54415
199.57275,172.3344,123.33575,263.609325
199.701625,172.46105,123.3722,264.121125
199.93315,172.59795,123.425075,264.1876
200.0691,172.760625,123.5299,264.223925
200.354175,172.96305,123.5515,264.268975
200.39145,172.9981,123.609725,264.63495
200.76755,173.12055,123.626475,264.69975
201.063075,173.284,123.6526,264.7362
201.1886,173.525075,123.6756,265.200775
