SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC11d,SPK_SPKC12a,SPK_SPKC13b,SPK_SPKC14a
216.968625,214.993025,204.217375,265.4676,210.949225,223.297425,204.80325
217.100075,215.017225,204.244625,265.637725,210.973825,223.4308,204.86655
217.130775,215.152675,204.269175,266.241075,210.983175,223.51,204.873875
217.280925,215.180475,204.27975,266.578625,211.0537,223.54565,204.91675
217.300025,215.206775,204.299375,266.63715,211.082375,223.566625,204.9462
217.370375,215.249475,204.3436,266.96085,211.123825,223.62095,204.952175
217.4182,215.263375,204.400625,267.00115,211.144825,223.787,205.0031
217.696475,215.296475,204.417,268.966375,211.190575,223.8837,205.04465
217.699025,215.306425,204.474575,269.01005,211.24355,223.9123,205.056625
217.704725,215.31825,204.504175,269.236225,211.25525,223.9662,205.10235
217.785475,215.454475,204.535275,270.094725,211.324525,224.111025,205.126775
217.936,215.5254,204.558275,272.61605,211.362475,224.1126,205.137325
217.93995,215.5893,204.594375,272.635375,211.52325,224.317325,205.175675
218.09165,215.598425,204.60455,273.1984,211.533125,224.352425,205.182825
218.098425,215.616825,204.6592,273.675425,211.5397,224.389225,205.195775
218.283225,215.714475,204.6898,273.718075,211.571025,224.4024,205.2025
218.4135,215.7289,204.7118,274.18835,211.599175,224.43785,205.220225
218.4639,215.86625,204.73375,274.951025,211.66045,224.443825,205.3543
218.51875,215.922275,204.757975,276.3122,211.79225,224.47255,205.374125
218.646775,215.9967,204.800325,276.547875,211.797475,224.528225,205.3868
218.697625,216.100325,204.8485,276.567175,211.79975,224.604225,205.40585
218.7504,216.1772,204.909225,276.787325,211.81485,224.6308,205.42995
218.9087,216.239925,204.9752,276.903,212.06075,224.678625,205.495925
218.99665,216.427475,205.023325,277.470275,212.071975,224.6921,205.5295
219.042325,216.4734,205.03275,278.101875,212.0951,224.781125,205.541275
219.18785,216.587225,205.056975,278.1857,212.18815,224.824925,205.5658
219.2568,216.596525,205.07815,278.39,212.193875,224.904275,205.605875
219.509525,216.63105,205.157875,278.4764,212.210975,225.200925,205.60945
