SPK_SPKC04a (inhi),SPK_SPKC08a (sharp exc?),SPK_SPKC09a (no opto-tagging)
28.769275,,15.862975
28.78285,,15.870125
28.804775,,15.899975
28.84905,,15.928175
28.873225,,15.995325
28.89985,,16.026825
28.92355,,16.082375
28.952875,,16.1124
28.987825,,16.128275
29.02375,,16.175275
29.0538,,16.204025
29.10015,,16.27375
29.138475,,16.318
29.186025,,16.341025
29.22795,,16.374325
29.29055,,16.3939
29.329675,,16.445325
29.350025,,16.4741
29.38205,,16.487
29.41185,,16.5035
29.453975,,16.52335
29.49485,,16.53755
29.539025,,16.553975
29.616,,16.5749
29.665525,,16.6216
29.717975,,16.636525
29.789425,,16.65885
29.824025,,16.6735
29.837675,,16.69135
29.859725,,16.705025
29.889425,,16.721925
29.9108,,16.735375
29.973675,,16.754575
30.000425,,16.76315
30.0344,,16.7838
30.090875,,16.81855
30.15635,,16.8339
30.199475,,16.8439
30.264325,,16.86195
30.325075,,16.8737
30.36235,,16.89555
30.4076,,16.918025
30.4617,,16.96935
30.517175,,16.982925
30.57305,,17.006825
30.658325,,17.04465
30.692475,,17.08745
30.7557,,17.135175
30.773975,,17.1852
30.7947,,17.21125
30.83005,,17.22935
30.86095,,17.240125
30.8986,,17.254875
30.95095,,17.281425
30.99605,,17.3083
31.0645,,17.34
31.124875,,17.37475
31.2253,,17.404025
31.31475,,17.4315
31.360875,,17.448775
31.40435,,17.4841
31.447125,,17.504775
31.475475,,17.5313
31.50195,,17.5518
31.520375,,17.575075
31.53605,,17.602175
31.55445,,17.6522
31.580575,,17.688225
31.605125,,17.716475
31.63675,,17.7453
31.6624,,17.7919
31.6998,,17.81805
31.7324,,17.8428
31.761125,,17.86995
31.807475,,17.931125
31.8648,,17.96395
31.94205,,18.02365
31.974525,,18.05555
32.0602,,18.067675
32.1964,,18.0837
32.242575,,18.09645
32.2925,,18.126925
32.341375,,18.139075
32.394525,,18.160825
32.4525,,18.181
32.505025,,18.190725
32.5812,,18.212575
32.632675,,18.257175
32.71375,,18.269725
32.793375,,18.291625
32.86935,,18.312875
32.91325,,18.343075
32.92895,,18.365175
32.948375,,18.404025
32.96305,,18.4439
32.982675,,18.497075
32.99985,,18.533325
33.014425,,18.56715
33.043075,,18.589375
33.0843,,18.609125
33.115025,,18.629725
33.140225,,18.652975
33.185875,,18.675575
33.23845,,18.698725
33.2735,,18.716975
33.31765,,18.74355
33.358725,,18.78545
33.389975,,18.812725
33.431375,,18.832875
33.4598,,18.855725
33.50565,,18.887375
33.55115,,18.91035
33.60245,,18.933
33.66885,,18.943925
33.715875,,18.970225
33.78845,,18.9896
33.8416,,19.005925
33.8684,,19.0253
33.913475,,19.047125
33.944175,,19.070275
33.969675,,19.100375
34.004675,,19.13545
34.033625,,19.1754
34.0875,,19.2244
34.167,,19.254675
34.217025,,19.292075
34.2645,,19.332925
34.3151,,19.35985
34.3599,,19.381575
34.414175,,19.4066
34.493625,,19.423725
34.5402,,19.443375
34.601425,,19.460725
34.656475,,19.487875
34.75125,,19.524225
34.82045,,19.54945
34.896625,,19.589125
34.923625,,19.633525
34.95425,,19.670475
34.9693,,19.690575
35.000225,,19.712175
35.013175,,19.719925
35.033525,,19.72575
35.08205,,19.732975
35.13755,,19.76425
35.1781,,19.816175
35.216125,,19.8825
35.240875,,19.932225
35.26715,,19.969425
35.286025,,20.0031
35.32795,,20.0134
35.36575,,20.032525
35.3919,,20.046425
35.425175,,20.0607
35.452125,,20.075725
35.48295,,20.090325
35.51175,,20.103275
35.58105,,20.12015
35.623925,,20.13435
35.667825,,20.15395
35.73165,,20.173775
35.780725,,20.18775
35.82885,,20.204175
35.8764,,20.2229
35.9411,,20.254375
36.000625,,20.26945
36.065375,,20.28355
36.08865,,20.3187
36.10915,,20.332275
36.1323,,20.350975
36.193675,,20.3635
36.268325,,20.37985
36.3053,,20.39875
36.33705,,20.41495
36.36845,,20.45585
36.408175,,20.47225
36.445325,,20.486875
36.487525,,20.509125
36.582825,,20.52025
36.658875,,20.54165
36.704825,,20.564175
36.7648,,20.586225
36.82805,,20.610875
36.867625,,20.6372
36.9016,,20.679175
36.93805,,20.70745
36.98235,,20.729375
37.05265,,20.75785
37.08785,,20.781475
37.124125,,20.8166
37.138625,,20.836525
37.151775,,20.866775
37.182375,,20.901475
37.20305,,20.9348
37.223575,,20.9487
37.241925,,20.963175
37.26385,,20.990475
37.289525,,21.004075
37.3251,,21.023925
37.408375,,21.0384
37.4531,,21.04195
37.51355,,21.060125
37.56515,,21.076825
37.593,,21.102475
37.634275,,21.1328
37.6763,,21.172925
37.7215,,21.204725
37.808125,,21.24815
37.8734,,21.291
37.936525,,21.3058
37.9728,,21.33115
37.988875,,21.3548
38.01695,,21.3736
38.04345,,21.395325
38.0576,,21.4099
38.111875,,21.44175
38.1525,,21.465625
38.190875,,21.478575
38.3172,,21.4919
38.4084,,21.513075
38.486775,,21.533575
38.56525,,21.55705
38.640525,,21.579025
