SPK_SPKC01a,SPK_SPKC02b,SPK_SPKC11a,SPK_SPKC13b
141.64745,124.812975,110.5237,138.8586
141.687925,124.83965,110.533675,138.921175
141.71655,124.864875,110.5417,139.0207
141.76595,124.989,110.550325,139.058225
141.859575,125.0141,110.5579,139.066425
141.88645,125.016525,110.5659,139.57675
141.911925,125.038425,110.575275,139.6103
142.0337,125.05985,110.586775,139.962925
142.155775,125.0912,110.59905,140.372875
142.228825,125.133675,110.6079,140.4251
142.2548,125.181875,110.61795,141.551925
142.2841,125.2282,110.6328,141.6051
142.440525,125.24595,110.6407,141.64055
142.49385,125.260375,110.6477,141.67935
142.54005,125.291325,110.6555,141.968975
142.6914,125.348175,110.6634,142.104575
142.750375,125.3753,110.673075,142.119975
142.7826,125.401125,110.683225,142.385425
142.825475,125.495325,110.6943,142.594475
142.8785,125.678875,110.70245,142.614475
142.931975,125.6943,110.7088,142.631925
143.008475,125.86945,110.722775,142.687675
143.183075,125.888075,110.731925,142.72575
143.241875,126.01495,110.747525,142.992575
143.294725,126.079225,110.7614,143.104
143.323825,126.093,110.76935,143.11755
143.469425,126.098925,110.78495,143.17855
143.5162,126.109875,110.7914,143.1891
143.6803,126.20005,110.804525,143.545675
143.852675,126.2137,110.81875,143.574775
143.9255,126.24205,110.834475,143.62035
143.94925,126.2641,110.845825,143.76805
144.4415,126.297325,110.85505,143.832875
144.46325,126.32665,110.866925,143.84815
144.506175,126.3658,110.8869,143.89805
144.818525,126.461,110.901725,143.9359
144.983125,126.5652,110.927525,144.08605
145.022175,126.642575,110.94025,144.1124
145.043975,126.70725,110.9617,144.14275
145.117525,126.75515,110.9729,144.20075
145.297375,126.775625,110.981675,144.2701
145.3185,126.83925,110.995075,144.3502
145.371675,126.853775,111.0054,144.3847
145.407125,126.9083,111.016025,144.420375
145.594825,126.928025,111.028975,144.50985
145.656325,127.10205,111.0394,144.592275
145.6764,127.11765,111.05045,144.725725
145.7471,127.216525,111.06365,144.82425
145.79985,127.231225,111.07315,144.895225
145.847625,127.338525,111.0834,145.85605
145.940725,127.3676,111.09645,145.905025
145.98885,127.3955,111.10675,146.01645
146.05235,127.528325,111.115275,146.035425
146.096375,127.5401,111.12225,146.172
146.115375,127.57995,111.138625,146.387325
146.212425,127.597875,111.150225,146.458525
146.233925,127.62535,111.16055,146.510625
146.2974,127.69815,111.17965,146.5172
146.427575,127.699175,111.18815,146.53515
146.7629,127.744875,111.2018,146.5818
146.807575,127.74955,111.213725,146.592875
146.845775,127.764675,111.22835,146.924425
146.97145,127.852425,111.2417,146.989975
147.01935,127.8759,111.24915,147.025925
147.181625,127.88795,111.255625,147.058275
147.210575,127.938325,111.2651,147.083925
147.488475,127.93945,111.272525,147.228525
147.808,127.9944,111.2802,147.2552
147.849875,128.06525,111.289525,147.3138
147.978775,128.20485,111.300925,147.323675
148.32965,128.260825,111.31415,147.359125
148.392425,128.381875,111.323125,147.37915
148.41735,128.4053,111.331975,147.473275
148.57825,128.460625,111.34495,147.51135
148.60465,128.5309,111.370625,147.540025
148.795675,128.5955,111.38825,147.605625
148.830925,128.59685,111.399475,147.662975
148.896175,128.65005,111.41425,147.7214
148.959025,128.68345,111.42615,147.7614
149.002275,128.794125,111.433175,147.783775
149.076225,128.840475,111.44055,147.920275
149.18265,128.86535,111.44835,147.940625
149.532875,128.876725,111.46815,147.96435
149.55515,128.94965,111.4777,148.487
149.61305,128.99085,111.48925,148.515925
149.63065,128.993,111.50065,148.534675
149.690375,129.005975,111.518675,148.564275
149.7123,129.087525,111.542075,148.61405
149.732775,129.10945,111.5606,148.649725
149.84875,129.133925,111.579025,148.7157
149.873475,129.182725,111.603525,149.058325
149.892775,129.23915,111.619925,149.1052
149.969275,129.306175,111.64375,149.226225
150.18705,129.412175,111.66215,149.399925
150.302275,129.459975,111.67595,149.898275
150.4336,129.48735,111.687375,149.923875
150.7808,129.703475,111.696875,149.976775
150.840825,129.751525,111.705875,149.9829
151.05125,129.8303,111.716025,150.101525
152.00125,129.93775,111.727525,150.21615
152.370475,129.9539,111.744675,150.2507
152.4792,129.956825,111.760125,150.544075
152.5355,129.9973,111.77325,150.60285
152.590825,130.033175,111.80225,150.652375
152.6011,130.1585,111.8228,150.680425
152.7343,130.180475,111.8507,150.7078
152.74255,130.243325,111.880725,150.758275
152.943325,130.281275,111.9016,150.928125
153.031475,130.35705,111.92885,150.955025
153.121675,130.3963,111.956225,151.061575
153.204125,130.428275,111.98385,151.149675
153.2623,130.558625,112.00935,151.3771
153.3517,130.591875,112.0423,151.452975
153.3779,130.6874,112.060925,151.4752
153.539925,130.779775,112.0854,151.516275
153.605,130.8026,112.099225,151.7343
153.757075,130.876125,112.115175,152.224575
153.9605,130.897,112.12735,152.281775
153.99785,130.898725,112.1402,152.320675
154.0409,130.919875,112.15595,152.90895
154.123225,130.93185,112.176275,152.977225
154.158625,130.9741,112.19625,153.0028
154.212275,131.0579,112.22135,153.0508
154.34965,131.07865,112.237675,153.123225
154.379575,131.09805,112.248275,153.409175
154.393325,131.131275,112.262475,153.436725
154.420275,131.140625,112.287975,153.523025
154.49845,131.232825,112.310825,153.5633
154.539,131.237075,112.32555,153.665075
154.56275,131.26385,112.350925,153.7433
154.6813,131.276375,112.375675,153.895625
154.8011,131.3711,112.392625,154.23265
154.86745,131.39385,112.414275,154.24825
154.888025,131.4178,112.431975,154.312425
154.907575,131.471425,112.45225,154.420925
154.92065,131.49985,112.4781,154.4452
155.000375,131.50415,112.499875,154.666975
155.067825,131.534625,112.517175,154.722575
155.111875,131.58015,112.5469,154.831475
155.1341,131.70775,112.570825,155.159175
155.186425,131.7545,112.607,155.183525
155.238525,131.81925,112.623525,155.325325
155.269475,131.93065,112.648175,155.350125
155.382375,131.9796,112.666475,155.4046
155.420675,132.050175,112.686775,155.442225
155.640875,132.1312,112.698675,155.4854
155.906325,132.1524,112.71375,155.688625
155.91845,132.1939,112.7276,155.732675
155.93115,132.2304,112.74095,155.78585
155.99905,132.24985,112.750425,156.1517
156.04595,132.25465,112.760425,156.17825
156.0839,132.2854,112.7681,156.198375
156.178525,132.306,112.778275,156.245325
156.25715,132.345425,112.78605,156.375975
156.3484,132.360025,112.7917,156.5405
156.419825,132.49595,112.80295,156.604775
